Hospital Name:  AHMC GARFIELD MEDICAL CENTER,,,,
OSHPD Facility No: 106190315,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
,,,,
CDM,CHARGE DESCRIPTION , PRICE ,,
5050224,.REF AG V W CHARGE,$90.02,,
5050225,.REF RISTOCETIN V W CHARGE,$84.40,,
5050226,.REF AG MULTIMERIC V W CHARGE,$90.04,,
5050227,.REF T CELLS  L2 CHARGE,$33.14,,
5050228,.REF CD 19 B LYMPHS  L2 CHARGE,$33.14,,
5050229,.REF T4 T8 H/S RATIO L2 CHARGE,$33.13,,
5050230,.REF TOXO IGG TPM CHARGE,$23.87,,
5050231,.REF TOXO IGM  TPM CHARGE,$23.87,,
5050232,.REF RUBELLA IGM TPM  CHARGE,$23.87,,
5050233,.REF CMV IGM  TPM  CHARGE,$23.87,,
5050234,.REF HSV IGM  TPM CHARGE,$23.87,,
5050235,.REF ARSENIC BLOOD CHARGE,$23.99,,
5050236,.REF MERCURY BLOOD CHANGE,$20.36,,
5050237,.REF LEAD BLOOD CHARGE,$9.41,,
5050238,.REF OLIGO BANDS CHARGE,$13.61,,
5050239,.REF MYELIN BASIC PRT CHARGE,$13.61,,
5050240,.REF ALBUMIN CSF/MS CHARGE,$13.61,,
5050241,.REF IGG CSF MS CHARGE,$13.61,,
5050242,.REF ALBUMIN SER/MS CHARGE,$13.61,,
5050243,.REF IGG SER MS CHARGE,$13.61,,
5050244,.REF TOXO IGG SER CHARGE,$17.92,,
5050245,.REF TOXO IGM  SER CHARGE,$17.91,,
5050246,.REF TOXO IGG CSF CHARGE,$36.80,,
5050247,.REF TOXO IGM  CSF  CHARGE,$36.80,,
5050248,ALPHA SUBUNIT (),$59.40,,
5050249,RED CELL CD55 AND CD59 EXPRESSION*,$0.00,,
5050250,.REF CD55 CHARGE,$83.30,,
5050251,.REF CD59 CHARGE,$83.30,,
5050252,.REF INTREP 2 MARKER CHARGE,$83.40,,
5050253,HELICOBACTER PYLORI QUANT IGG (),$85.00,,
5050254,LYME DISEASE DNA PCR (CSF AND FLUIDS) (),$235.00,,
5050255,CYTOMEGALOVIRUS DNA PCR QNT(BLOOD),$124.87,,
5050256,DOPAMINE PLASMA (),$75.00,,
5050257,FACTOR V HR2 DNA MUTATION (),$200.00,,
5050258,.REF FV HR2 M/DIAG 1 CHARGE,$50.00,,
5050259,.REF FV HR2 M/DIAG 2 CHARGE,$50.00,,
5050260,.REF FV HR2 MUT/ID CHARGE,$50.00,,
5050261,.REF FV HR2 GENE.ID CHARGE,$50.00,,
5050262,C DIFFICILE DNA AND TOXIN B GENE (),$95.00,,
5050263,ADRENAL ANTIBODY SCREEN SERUM (),$17.50,,
5050264,.REF CHLAMYDIA PSIT.IGA CHARGE,$10.78,,
5050265,.REF CHLAMYDIA PSIT.IGM CHARGE,$10.78,,
5050266,.REF CHLAMYDIA PSIT.IGG CHARGE,$10.78,,
5050267,NBS BIOTINIDASE (BD) CHARGE,$15.95,,
5050268,NBS IRT CHARGE,$15.95,,
5050269,.REF PNEUMO TYPE 1 CHARGE,$12.76,,
5050270,.REF PNEUMO TYPE 3 CHARGE,$12.76,,
5050271,.REF PNEUMO TYPE 4 CHARGE,$12.76,,
5050272,.REF PNEUMO TYPE 5 CHARGE,$12.76,,
5050273,.REF PNEUMO TYPE 8 CHARGE,$12.76,,
5050274,.REF PNEUMO TYPE 9 CHARGE,$12.76,,
5050275,HEPATITIS E IGG ANTIBODY (),$69.00,,
5050276,HEPATITIS E IGM  ANTIBODY (),$40.29,,
5050277,ALPHA 1 ANTITRYPSIN(AAT)MUTATION (),$87.00,,
5050278,.REF ATT MOLE. ISO CHARGE,$17.40,,
5050279,.REF ATT AMPLI. CHARGE,$17.40,,
5050280,.REF ATT MOLE. DIAG CHARGE,$17.40,,
5050281,.REF ATT NUCL ACID CHARGE,$17.40,,
5050282,.REF ATT GENE. ID. CHARGE,$8.70,,
5050283,VARICELLA ZOSTER AG DFA (),$11.92,,
5050284,REDUCING SUBSTANCE STOOL (),$8.37,,
5050285,RHEUMATOID FACTOR SYNOVIAL FLUID (),$35.00,,
5050286,HEAVY METALS PANEL 24HR URINE (),$0.00,,
5050287,.REF UR ARSENIC CHARGE,$27.59,,
5050288,.REF UR MERCURY CHARGE,$27.59,,
5050289,.REF UR LEAD CHARGE,$27.58,,
5050290,INFLAMMATORY BOWEL DISEASE PANEL (),$0.00,,
5050291,.REF ASCA IGG CHARGE,$46.38,,
5050292,.REF ASCA IGA CHARGE,$46.38,,
5050293,.REF ASCA SCREEN CHARGE,$46.38,,
5050294,5 HIAA RANDOM URINE (),$0.00,,
5050295,.REF 5-HIAA RND CHARGE,$12.50,,
5050296,.REF CREAT RND CHARGE,$12.50,,
5050297,CULTURE VIRAL RESPIRATORY RAPID (),$60.35,,
5050298,T CELL RECEPTOR BETA GENE QL PCR (),$400.00,,
5050299,.REF TCR ISOLATE CHARGE,$50.00,,
5050300,.REF TCR AMPL-1 CHARGE,$50.00,,
5050301,.REF TCR AMPL-2 CHARGE,$50.00,,
5050302,.REF TCR AMPL-3 CHARGE,$50.00,,
5050303,.REF TCR HIGH RES CHARGE,$50.00,,
5050304,.REF TCR GENETIC ID. CHARGE,$50.00,,
5050305,.REF.B.HENSELAE IGG TITER CHARGE,$24.05,,
5050306,.REF.B.HENSELAE IGM TITER CHARGE,$24.05,,
5050307,CELIAC DISEASE PANEL (),$0.00,,
5050308,.REF TTG IGA CHARGE,$50.60,,
5050309,.REF TTG IGG CHARGE,$50.60,,
5050310,.REF GLIADIN CD  IGA CHARGE,$50.60,,
5050311,.REF GLIADIN CD IGG CHARGE,$50.60,,
5050312,.REF IGA CD CHARGE,$50.60,,
5050313,MTHFR DNA MUTATION ANALYSIS (),$101.09,,
5050314,.REF MTHFR DIAG1. CHARGE,$19.28,,
5050315,.REF MTHFR DIAG2. CHARGE,$19.28,,
5050316,.REF MTHFR DIAG3. CHARGE,$19.28,,
5050317,.REF MTHFR DIAG4 CHARGE,$19.28,,
5050318,.REF MTHFR MUT1. CHARGE,$19.28,,
5050319,.REF MTHFR MUT2. CHARGE,$19.28,,
5050320,.REF MTHFR EXAM. CHARGE,$19.32,,
5050321,BORDETELLA PERTUSSIS IGG IGA AB (),$0.00,,
5050322,.REF B.PERT IGG CHARGE,$40.14,,
5050323,.REF B.PERT IGA CHARGE,$40.14,,
5050324,.REF B.PERT FHA IGG CHARGE,$40.14,,
5050325,.REF B.PERT FHA IGA CHARGE,$40.13,,
5050326,HYDROXYPREGNENOLONE (),$62.20,,
5050327,HERPES VIRUS 6 DNA BLOOD (),$192.18,,
5050328,CRYPTOCOCCUS ANTIBODY IFA CSF (),$47.00,,
5050329,STREP PNEUMO AG DET(URINE) (),$75.00,,
5050330,VITAMIN B12 BINDING CAPACITY (),$199.99,,
5050331,ALPHA THALASSEMIA DNA MUT(),$460.00,,
5050332,.REF ALPHA MOLE. NUCL. CHARGE,$51.11,,
5050333,.REF ALPHA AMPLI.SEQ CHARGE,$51.11,,
5050334,.REF ALPHA AMPL.ADDON1 CHARGE,$51.11,,
5050335,.REF ALPHA AMPL.ADDON2 CHARGE,$51.11,,
5050336,.REF ALPHA AMPL.ADDON3 CHARGE,$51.11,,
5050337,.REF ALPHA AMPL.ADDON4 CHARGE,$51.11,,
5050338,.REF ALPHA AMPL.ADDON5 CHARGE,$51.11,,
5050339,.REF ALPHA GEL ELECT. CHARGE,$51.11,,
5050340,.REF ALPHA GENETIC EXAM. CHARGE,$51.12,,
5050341,BCR ABL QUANT BY PCR(BLOOD) (),$177.66,,
5050342,.REF BCR/ABL ISOLATE CHARGE,$27.34,,
5050343,.REF BRC/ABL MOLE. CHARGE,$27.34,,
5050344,.REF BCR/ABL AMPL-1 CHARGE,$27.34,,
5050345,.REF BCR/ABL AMPL-2 CHARGE,$27.34,,
5050346,.REF BCR/ABL MOLE.DIAG CHARGE,$27.35,,
5050347,.REF BCR/ABL MOLE.DIAG2 CHARGE,$27.35,,
5050348,.REF BCR/ABL GENETIC EXAM CHARGE,$27.34,,
5050349,KAPPA LAMBDA LIGHT CHAIN AND PEP  (),$0.00,,
5050350,.REF KAPPA CHARGE,$15.00,,
5050351,.REF LAMBDA CHARGE,$15.00,,
5050352,ALLERGEN APPLE IGE (),$6.91,,
5050353,ALLERGEN BANANA IGE (),$6.91,,
5050354,ALLERGEN CARROT IGE (),$6.91,,
5050355,ALLERGEN BEEF IGE (),$6.91,,
5050356,ALLERGEN BROCCOLI IGE (),$6.91,,
5050357,ALLERGEN OAT IGE(),$6.91,,
5050358,ALLERGEN SWEET POTATO IGE (),$23.95,,
5050359,ALLERGEN PEACH IGE*,$6.91,,
5050360,ALLERGEN SPINACH IGE (),$6.91,,
5050361,BICARBONATE URINE (),$56.50,,
5050362,.REF INTERCELL.CHARGE,$13.37,,
5050363,.REF BASE MEM.CHARGE,$13.38,,
5050364,.REF ESTRONE CHARGE,$29.99,,
5050365,.REF ESTRADIOL CHARGE,$29.99,,
5050366,.REF ESTRIOL CHARGE,$29.98,,
5050367,.REF THYROG.CHARGE,$8.00,,
5050368,.REF ANTITHYROG.CHARGE,$8.00,,
5050369,.REF H PYLORI IGG.CHARGE,$57.00,,
5050370,.REF H PYLORI IGM.CHARGE,$20.00,,
5050371,.REF H PYLORI IGA.CHARGE,$57.00,,
5050372,.REF IGG TOT.CHARGE,$14.44,,
5050373,.REF IGGSUB2.CHARGE,$14.44,,
5050374,.REF IGGSUB3.CHARGE,$14.44,,
5050375,.REF IGGSUB4.CHARGE,$14.44,,
5050376,.REF IGGSUB1.CHARGE,$14.44,,
5050377,.REF MUM IGG.CHARGE,$19.82,,
5050378,.REF MUM IGM.CHARGE,$19.83,,
5050379,.REF TYPHUS IgG CHARGE,$17.84,,
5050380,.REF TYPHUS IGM CHARGE,$17.84,,
5050381,.REF FXII CHARGE,$39.53,,
5050382,.REF FXII INH CHARGE,$39.53,,
5050383,.REF ISO/HPDNA CHARGE,$34.60,,
5050384,.REF AMP MULTX CHARGE,$34.60,,
5050385,.REF ENZYME DIG CHARGE,$17.30,,
5050386,.REF SEP.HRES CHARGE,$34.60,,
5050387,.REF INTERP/RPT CHARGE,$34.60,,
5050388,.REF HEXO A CHARGE,$72.90,,
5050389,.REF HEXO TOT CHARGE,$72.91,,
5050390,.REF HPA ISO CHARGE,$42.50,,
5050391,.REF HPA AMP1 CHARGE,$42.50,,
5050392,.REF HPA AMP2 CHARGE,$42.50,,
5050393,.REF HPA SEP1 CHARGE,$42.50,,
5050394,.REF HPA SEP2 CHARGE,$42.50,,
5050395,.REF HPA INT/RPT CHARGE,$42.50,,
5050396,.REF M-CD3 CHARGE,$47.28,,
5050397,.REF M-CD4 CHARGE,$47.28,,
5050398,.REF M-CD5 CHARGE,$47.28,,
5050399,.REF M-CD7 CHARGE,$47.28,,
5050400,.REF M-CD8 CHARGE,$47.28,,
5050401,.REF M-CD10 CHARGE,$47.28,,
5050402,.REF M-CD11C CHARGE,$47.28,,
5050403,.REF M-CD13 CHARGE,$47.28,,
5050404,.REF M-CD19 CHARGE,$47.28,,
5050405,.REF M-CD20 CHARGE,$47.28,,
5050406,.REF M-CD23 CHARGE,$47.28,,
5050407,.REF M-CD33 CHARGE,$47.30,,
5050408,.REF M-CD34 CHARGE,$47.30,,
5050409,.REF M-CD38 CHARGE,$16.30,,
5050410,.REF M-CD56 CHARGE,$16.30,,
5050411,.REF M-CD64 CHARGE,$16.30,,
5050412,.REF M-CD117 CHARGE,$16.30,,
5050413,.REF M-HLADR CHARGE,$16.30,,
5050414,.REF M-KAPPA CHARGE,$16.30,,
5050415,.REF M-LAMBDA CHARGE,$16.30,,
5050416,.REF M-CD45 CHARGE,$16.30,,
5050417,.REF M-CD2 CHARGE,$47.28,,
5050418,.REF L/L INTERP CHARGE,$16.40,,
5050419,.LEUK/LYMPH ADD CHARGES,$0.00,,
5050420,.REF LIPID CHARGE,$47.50,,
5050421,.REF ELP/LIPO CHARGE,$47.50,,
5050422,.REF P/E CATECH CHARGE,$17.71,,
5050423,.REF P/E CREAT.CHARGE,$17.71,,
5050424,.REF P/E METAN.CHARGE,$17.71,,
5050425,.REF P/E CSF CHARGE,$32.51,,
5050426,.REF P/E PROT.CHARGE,$32.52,,
5050427,.REF NTX CHARGE,$18.00,,
5050428,.REF CREAT.UR CHARGE,$17.50,,
5050429,.REF ASP.FUM CHARGE,$5.11,,
5050430,.REF MICRO.FAENI CHARGE,$5.11,,
5050431,.REF PIGEON SER CHARGE,$5.11,,
5050432,.REF T.CANDIDUS CHARGE,$5.11,,
5050433,.REF T.VULGARIS CHARGE,$5.11,,
5050434,.REF S.VIRIDIS CHARGE,$5.13,,
5050435,.REF 17-KETO CHARGE,$65.00,,
5050436,.REF CITRIC ACID.UR CHARGE,$17.50,,
5050437,.REF HVA UR.CHARGE,$13.64,,
5050438,.REF MERCURY.UR CHARGE,$10.36,,
5050439,.REF MICROALB.24HR URINE CHARGE,$13.16,,
5050440,.REF OXALATE UR.CHARGE,$3.32,,
5050441,.REF OXALIC ACID UR CHARGE,$8.95,,
5050442,.REF CYSTINE.UR CHARGE,$12.86,,
5050443,.REF IGE-MILK CHARGE,$12.35,,
5050444,.REF IGE-SOY CHARGE,$12.35,,
5050445,.REF IGE-CODFISH CHARGE,$12.35,,
5050446,.REF IGE-D.FARINEA CHARGE,$12.35,,
5050447,.REF IGE-DOG DANGER CHARGE,$12.35,,
5050448,.REF IGE-EGG WHITE CHARGE,$12.35,,
5050449,.REF IGE-WHEAT CHARGE,$12.35,,
5050450,.REF IGE-PEANUT CHARGE,$12.35,,
5050451,.REF IGE-CAT DANDER CHARGE,$12.35,,
5050452,.REF IGE-COCKROACH CHARGE,$12.35,,
5050453,.REF IGE-A.TENIUS CHARGE,$12.35,,
5050454,.REF IGE-TOTAL CHARGE,$7.52,,
5050455,.REF COPPER.UR CHARGE,$6.47,,
5050456,.REF CREAT-UR CHARGE,$6.47,,
5050457,CYSTIC FIBROSIS SCREEN (),$120.00,,
5050458,.CYSTIC FIB.CHARGES ADD1,$0.00,,
5050459,.CYSTIC FIB.CHARGES ADD2,$0.00,,
5050460,.REF CF-HP DNA CHARGE,$3.00,,
5050461,.REF CF-SEP HIRES CHARGE,$3.00,,
5050462,.REF CF-MUT SEQ1 CHARGE,$3.00,,
5050463,.REF CF-MUT SEQ2 CHARGE,$3.00,,
5050464,.REF CF-MUT SEQ3 CHARGE,$3.00,,
5050465,.REF CF-MUT SEQ4 CHARGE,$3.00,,
5050466,.REF CF-MUT SEQ5 CHARGE,$3.00,,
5050467,.REF CF-MUT SEQ6 CHARGE,$3.00,,
5050468,.REF CF-MUT SEQ7 CHARGE,$3.00,,
5050469,.REF CF-MUT SEQ8 CHARGE,$3.00,,
5050470,.REF CF-MUT SEQ9 CHARGE,$3.00,,
5050471,.REF CF-MUT SEQ10 CHARGE,$3.00,,
5050472,.REF CF-MUT SEQ11 CHARGE,$3.00,,
5050473,.REF CF-MUT SEQ12 CHARGE,$3.00,,
5050474,.REF CF-MUT SEQ13 CHARGE,$3.00,,
5050475,.REF CF-MUT SEQ14 CHARGE,$3.00,,
5050476,.REF CF-MUT SEQ15 CHARGE,$3.00,,
5050477,.REF CF-MUT SEQ16 CHARGE,$3.00,,
5050478,.REF CF-MUT SEQ17 CHARGE,$3.00,,
5050479,.REF CF-MUT SEQ18 CHARGE,$3.00,,
5050480,.REF CF-MUT SEQ19 CHARGE,$3.00,,
5050481,.REF CF-MUT SEQ20 CHARGE,$3.00,,
5050482,.REF CF-MUT SEQ21 CHARGE,$3.00,,
5050483,.REF CF-MUT SEQ22 CHARGE,$3.00,,
5050484,.REF CF-MUT SEQ23 CHARGE,$3.00,,
5050485,.REF CF-AMP MULT CHARGE,$3.00,,
5050486,.REF CF-AMPL.SEQ3 CHARGE,$3.00,,
5050487,.REF CF-AMPL.SEQ4 CHARGE,$3.00,,
5050488,.REF CF-AMPL.SEQ5 CHARGE,$3.00,,
5050489,.REF CF-AMPL.SEQ6 CHARGE,$3.00,,
5050490,.REF CF-AMPL.SEQ7 CHARGE,$3.00,,
5050491,.REF CF-AMPL.SEQ8 CHARGE,$3.00,,
5050492,.REF CF-AMPL.SEQ9 CHARGE,$3.00,,
5050493,.REF CF-AMPL.SEQ10 CHARGE,$3.00,,
5050494,.REF CF-AMPL.SEQ11 CHARGE,$3.00,,
5050495,.REF CF-AMPL.SEQ12 CHARGE,$3.00,,
5050496,.REF CF-AMPL.SEQ13 CHARGE,$3.00,,
5050497,.REF CF-AMPL.SEQ14 CHARGE,$3.00,,
5050498,.REF CF-AMPL.SEQ15 CHARGE,$3.00,,
5050499,.REF CF-INTER/RPT.CHARGE,$3.00,,
5050500,.REF LS-CD3 CHARGE,$51.15,,
5050501,.REF LS-T4/T8 CHARGE,$51.15,,
5050502,.REF LS-CD19 CHARGE,$51.15,,
5050503,.REF LS-CD3/16 CHARGE,$51.15,,
5050504,.REF LS-TCELLS CHARGE,$25.66,,
5050505,.REF LS-H/S RATIO CHARGE,$25.67,,
5050506,BUPROPION (),$91.50,,
5050507,CULTURE FUNGUS SKIN HAIR NAIL*,$12.55,,
5050508,TORCH IGG IGM PANEL(),$0.00,,
5050509,SOLUBLE LIVER ANTIGEN (),$95.00,,
5050510,ANCA EIA (),$0.00,,
5050511,ZINC RBC QUANT (),$51.00,,
5050512,.REF.CARDIO IGG  CHARGE,$18.78,,
5050513,.REF.CARDIO IGM CHARGE,$18.77,,
5050514,.REF.CARDIO IGA CHARGE,$18.78,,
5050515,ACYLCARNITINE PLASMA (),$150.08,,
5050516,CHROMATIN ANTIBODY (),$55.00,,
5050517,FACTOR IX ACT HUMAN INHIBITOR (),$0.00,,
5050518,.REF FIX INHIB CHARGE,$92.49,,
5050519,.REF FIX ACTIVITY CHARGE,$92.49,,
5050520,HOMOCYSTEINE,$120.00,,
5050521,MICROSPORIDIA SPORE DETECTION (),$0.00,,
5050522,.REF MICROSPORE ID CHARGE,$5.73,,
5050523,.REF STOOL CON.CHARGE,$5.73,,
5050524,.LUPUS CHARGES ADDITIONAL,$0.00,,
5050525,.ALLERGY CHARGES ADDITIONAL,$0.00,,
5050526,HCV W/REFLEX*,$14.46,,
5050527,STRONGYLOIDES AB IGG (),$56.75,,
5050528,GC RNA TMA (),$23.78,,
5050529,PARVOVIRUS B19 DNA QUANT(AMN FLUID),$179.00,,
5050530,PARVOVIRUS B19 DNA QUANT PLASMA (),$179.00,,
5050531,PARVOVIRUS B19 DNA QUAL PLASMA (),$120.00,,
5050532,ST LOUIS ENCEPHALITIS AB (),$0.00,,
5050533,.REF ST.ENCEPH.IGG CHARGE,$30.75,,
5050534,.REF ST.ENCEPH.IGM CHARGE,$30.75,,
5050535,QUETIAPINE (),$69.50,,
5050536,.REF ANCA SCREEN CHARGE,$29.73,,
5050537,.REF ANCA MPO CHARGE,$29.73,,
5050538,.REF ANCA PR3 CHARGE,$29.73,,
5050539,.REF ASCA MPO CHARGE,$46.38,,
5050540,.REF ASCA PR3 CHARGE,$46.38,,
5050541,FLUNITRAZEPAM QNT URINE RANDOM (),$166.00,,
5050542,QUINIDINE (),$12.27,,
5050543,PROCAINAMIDE AND NAPA (),$12.99,,
5050544,GC DNA SDA URINE (),$45.10,,
5050545,SOLUBLE TRANSFERRIN RECEPTOR (),$190.00,,
5050546,.REF PHENOBARB CHARGE,$57.59,,
5050547,.REF.DRVVT 1 TO 1 MIX CHARGE,$30.00,,
5050548,COXSACKIE B 1 6 AB PNL (),$0.00,,
5050549,.REF COX B1 AB CHARGE,$7.25,,
5050550,.REF COX B2 AB CHARGE,$7.25,,
5050551,.REF COX B3 AB CHARGE,$7.25,,
5050552,.REF COX B4 AB CHARGE,$7.25,,
5050553,.REF COX B5 AB CHARGE,$7.25,,
5050554,.REF COX B6 AB CHARGE,$7.27,,
5050555,.REF HSV 1 DNA  QNT CHARGE,$133.19,,
5050556,.REF HSV 2 DNA QNT CHARGE,$133.20,,
5050557,VARICELLA ZOSTER AB (IGG IGM) (),$0.00,,
5050558,.REF VZV IGG AB CHARGE,$16.86,,
5050559,.REF VZV IGM AB CHARGE,$16.87,,
5050560,.REF IGE A.TENUIS CHARGE,$5.83,,
5050561,.REF IGE OAK WHITE CHARGE,$5.83,,
5050562,.REF IGE ELM CHARGE,$5.83,,
5050563,.REF IGE ACACIA CHARGE,$5.83,,
5050564,.REF IGE COMMON RAGWEED CHARGE,$5.83,,
5050565,.REF IGE MUGWORT CHARGE,$5.83,,
5050566,VARICELLA ZOSTER DNA PCR QUAL BLOOD (),$173.15,,
5050567,VARICELLA ZOSTER DNA QUAL CSF (),$173.15,,
5050568,KEPPRA (LEVETIRACETAM)LEVEL (),$40.43,,
5050569,.REF ATT MOLE. DIAG2 CHARGE,$8.70,,
5050570,.REF ENZYME DIG2 CHARGE,$17.30,,
5050571,.REF HLA ISO CHARGE,$15.63,,
5050572,.REF HLA AMP1 CHARGE,$15.63,,
5050573,.REF HLA AMP2 CHARGE,$15.63,,
5050574,.REF HLA AMP3 CHARGE,$15.63,,
5050575,.REF HLA EXAM1 CHARGE,$15.63,,
5050576,.REF HLA EXAM2 CHARGE,$15.63,,
5050577,.REF HLA EXAM3 CHARGE,$15.63,,
5050578,.REF HLA DIAG1CHARGE,$15.63,,
5050579,.REF HLA DIAG2CHARGE,$15.63,,
5050580,.REF HLA DIAG3 CHARGE,$15.63,,
5050581,.REF HLA DIAG4 CHARGE,$15.63,,
5050582,.REF HLA DIAG5 CHARGE,$15.63,,
5050583,.REF HLA DIAG6 CHARGE,$15.62,,
5050584,.REF HLA DIAG7 CHARGE,$15.62,,
5050585,.REF DR ISO CHARGE,$11.30,,
5050586,.REF DR AMP CHARGE,$11.30,,
5050587,.REF DR AMP 2 CHARGE,$11.30,,
5050588,.REF DR EXAM CHARGE,$11.30,,
5050589,.REF DR DIAG 1 CHARGE,$11.30,,
5050590,.REF DR DIAG 2 CHARGE,$11.30,,
5050591,.REF DR DIAG 3 CHARGE,$11.30,,
5050592,.REF DR DIAG 4 CHARGE,$11.30,,
5050593,.REF DR DIAG 5 CHARGE,$11.30,,
5050594,.REF DR DIAG 6 CHARGE,$11.30,,
5050595,.REF DR DIAG 7 CHARGE,$11.30,,
5050596,.REF DR DIAG 8 CHARGE,$11.30,,
5050597,.REF DR DIAG 9 CHARGE,$11.20,,
5050598,.REF DR DIAG 10 CHARGE,$11.31,,
5050599,.REF ETHAMBUTOL10 MIC CHARGE,$12.50,,
5050600,.REF RIFAMPIN5 MIC CHARGE,$12.50,,
5050601,.REF ISONIAZID.2 MIC CHARGE,$12.50,,
5050602,.REF STREPTO10 MIC CHARGE,$12.50,,
5050603,MYOGLOBIN SERUM (),$19.66,,
5050609,.REF AFP(SIS) CHARGE,$37.00,,
5050610,.REF ESTRIOL SIS  CHARGE,$37.00,,
5050611,.REF PAPPA SIS CHARGE,$37.00,,
5050612,.REF CGT SIS CHARGE,$37.00,,
5050613,.REF INHIBIN SIS CHARGE,$37.00,,
5050634,URINE CARNITINE RANDOM (),$0.00,,
5050643,.REF PROTEIN ELP.CHARGE,$4.11,,
5050644,.REF PROTEIN. CHARGE,$3.11,,
5050646,.REF HSV CULTURE CHARGE,$64.07,,
5050647,.REF VZV CULTURE CHARGE,$64.07,,
5050650,.REF B.PERT PCR CHARGE,$107.03,,
5050651,.REF B. PARPERT PCR CHARGE,$107.03,,
5050655,.REF H1N1 AMP PCR CHARGE,$100.00,,
5050656,.REF H1N1 GENO PCR CHARGE,$95.00,,
5050659,.REF.FVIII INHIB REFLX CHARGE,$112.38,,
5050665,.REF.JAK2 EXON 12/13.ID CHARGE,$33.00,,
5050669,.REF.COCCID TP AG CHARGE,$23.50,,
5050670,.REF.COCCID F AG CHARGE,$23.50,,
5050683,.QUEST STAT COURIER FEE,$0.00,,
5050692,SOMATOSTATIN (),$112.20,,
5050706,.REF L/L ADD MARKER CHARGE,$25.30,,
5050707,SELENIUM BLOOD (),$111.00,,
5050709,.REF INFLU.A CULT. CHARGE,$54.00,,
5050710,.REF INFLU.B CULT. CHARGE,$54.00,,
5050714,TRYPSIN LEVEL (),$127.05,,
5050715,.REF TTG AB IGA CHARGE,$55.18,,
5050716,.REF TTG AB IGG CHARGE,$55.19,,
5050718,.REF.RA FAC.TITER CHARGE,$29.00,,
5050719,.REF ADD.CD MK1.CHARGE,$25.30,,
5050720,.REF ADD.CD MK2.CHARGE,$50.60,,
5050734,.REF HSV I IGM CHARGE,$20.16,,
5050735,.REF HSV 2 IGM CHARGE,$20.17,,
5050736,.REF PROTHROMBIN CHARGE,$75.00,,
5050737,.REF FACTOR V CHARGE,$75.00,,
5050752,.REF KAPPA CHARGE,$40.00,,
5050753,.REF LAMBDA CHARGE,$40.00,,
5050754,KAPPA LAMBDA LIGHT CHAIN  FREE SERUM (),$0.00,,
5050755,.REF KAPPA URINE CHARGE,$120.00,,
5050756,.REF LAMBDA URINE CHARGE,$120.00,,
5050757,KAPPA LAMBDA LIGHT CHAIN  FREE URINE (),$0.00,,
5050761,.REF.Q FEVER IGG-II TITER CHARGE,$29.25,,
5050762,.REF PNEUMO TYPE 12 CHARGE,$12.76,,
5050763,.REF PNEUMO TYPE 14 CHARGE,$12.76,,
5050764,.REF PNEUMO TYPE 19 CHARGE,$12.76,,
5050765,.REF PNEUMO TYPE 23 CHARGE,$12.76,,
5050766,.REF PNEUMO TYPE 26 CHARGE,$12.76,,
5050767,.REF PNEUMO TYPE 51 CHARGE,$12.76,,
5050768,.REF PNEUMO TYPE 56 CHARGE,$12.76,,
5050769,.REF PNEUMO TYPE 68 CHARGE,$12.76,,
5050775,TRAZODONE SERUM (),$23.99,,
5050776,.REF.COCCIDIODES DNA PROBE CHARGE,$150.00,,
5050777,.REF LYME WB IGG CHARGE,$20.00,,
5050778,.REF LYME WB IGM CHARGE,$20.00,,
5050779,.REF.YEAST ID CHARGE,$15.67,,
5050780,.REF.HISTOPLASMA  DNA PROBE CHARGE,$150.00,,
5050781,.REF.LEUK/LYPHOMA 1 MARKER CHARGE,$3150.00,,
5050782,.REF.LEUK/LYPHOMA 3 MARKER CHARGE,$90.26,,
5050783,.REF.RAPID VIRUS - ADENO CHARGE,$18.00,,
5050784,.REF.RAPID VIRUS - INFLU A CHARGE,$18.00,,
5050785,.REF.RAPID VIRUS - INFLU B CHARGE,$18.00,,
5050786,.REF.RAPID VIRUS - PARA INFLU 1 CHARGE,$18.00,,
5050787,.REF.RAPID VIRUS - PARA INFLU 2 CHARGE,$18.00,,
5050788,.REF.RAPID VIRUS - PARA INFLU 3 CHARGE,$18.00,,
5050789,.REF.RAPID VIRUS -RSV CHARGE,$18.00,,
5050800,.REF HSV 6 IGG  CHARGE,$29.70,,
5050801,.REF HSV 6 IGM  CHARGE,$29.70,,
5050802,HERPES VIRUS 6 ANTIBODY PNL (IGG IGM) (),$0.00,,
5050803,.REF HU CHARGE,$106.95,,
5050804,.REF YO CHARGE,$106.95,,
5050805,.REF RI CHARGE,$106.94,,
5050806,HU YO AND RI ANTBODIES (),$0.00,,
5050808,.REF CAH 17-OHP CHARGE,$53.46,,
5050809,.REF CAH 11- DEOXY CHARGE,$53.46,,
5050810,.REF CAH 18-OH CORT.CHARGE,$53.46,,
5050811,.REF CAH ALDO.CHARGE,$53.47,,
5050822,MYOSITIS ASSESSR W JO 1 ABS (),$0.00,,
5050850,.REF DPD AMP CHARGE,$34.40,,
5050851,.REF DPD AMP2 CHARGE,$34.40,,
5050852,.REF DPD DIAG1 CHARGE,$34.40,,
5050853,.REF DPD DIAG2 CHARGE,$34.40,,
5050854,.REF DPD DIAG3 CHARGE,$34.40,,
5050855,.REF DPD MUT CHARGE,$34.40,,
