Charge Number,Description,Charge
2058399,SUTURE ETHILON 4-0 1864G 12/BX,27.25
2053898,SUTURE ETHILON 4-0 662H 36/BX,7.75
2053956,SUTURE ETHILON 4-0 W/P3 NDLE 12/BX 699G,18.5
2057895,SUTURE ETHILON 4-0 W/PC5 NDL 12/BX,30
41998,SUTURE ETHILON 5-0 1666H 36/BX,20
2051987,SUTURE ETHILON 5-0 661G 12/BX,8.75
2050283,SUTURE ETHILON 5-0 698G 12/BX,22.25
2057896,SUTURE ETHILON 5-0 PC/1 NDLE 12/BX,22.75
2052251,SUTURE ETHILON 5-0 W/PC3 NDL 12/BX,22.75
2050282,SUTURE ETHILON 6-0 697G 12/BX,26.5
70174183,SUTURE FIBERWIRE AR-7210,87.25
61661635,SUTURE MONOCRYL 0 CTX Y397H,11.53
42468,SUTURE MONOSOF 5-0     12/BX,9.5
70174269,SUTURE PDO 0 RA-2067Q,64.12
70174268,SUTURE PDO 2.0 RX-2066Q,64.1
70174277,SUTURE PDO LOOP VARI 2 VLP2011,42.24
2030741,SUTURE PDS,46
70130177,SUTURE PER PAK,63
2050305,SUTURE PLAIN GUT 3-0 852H 36/BX,14.12
70173195,SUTURE PLEDGETS SOFT 4.8MM X 9.5MM,31.95
55783,SUTURE PROLENE 5.0 8681G    12/BX,26.25
55299,SUTURE PROLENE 5-0  8618G,8.56
2050855,SUTURE PROLENE-0 8434H 36/BX,10.75
70171628,SUTURE RETENTION BOLSTERS 450E,12
70171488,SUTURE RETRIEVER,117.08
70174261,SUTURE SILK 2-0 C026D,20.58
70171934,SUTURE SURGICAL FREE NEEDLE 1832-5D,10.5
70171931,SUTURE SURGICAL FREE NEEDLE 1834-7D,1.73
70171930,SUTURE SURGICAL FREE NEEDLE KEITH 2134-4,3.94
70173392,SUTURE SWIVEL LOCK 5.5 AR-2323BCM,880
70173958,SUTURE TACK 3.0 SMALL JOINT AR-8934BCNF,715
70172307,SUTURE TACK BIOCOMPOSITE 3.0,715
70174028,SUTURE TAK PEEK 2.4 AR1934PF24,687.5
70174029,SUTURE TAK PEEK 3.0 AR1934PS,600
65450,SUTURE V LOC 180,0
70174644,SUTURE V LOC 180 0,107.1
2030473,SUTURE VCP426H,23.5
70173851,SUTURE VCP724D,58.9
2056478,SUTURE VICRYL 0 J978H 36/BX,10.75
2056137,SUTURE VICRYL 2-0 J339H 36/BX,11.5
2059574,SUTURE VICRYL 3-0  J980H  36/BX,10.75
2056786,SUTURE VICRYL 3-0 J423H 36/BX,8
2055901,SUTURE VICRYL 4-0 J214H 36/BX,17.75
2053946,SUTURE VICRYL 4-0 W/PC-3NEEDLE,17.25
2051865,SUTURE VICRYL 5-0 (DEXON 772821 OBSOLETE,24.75
2053126,SUTURE VICRYL 5-0 J495H 36/BX,16.75
2052018,SUTURE VICRYL O J352H 36/BX,19.5
70185243,SV16  S-FIX SCREW 2.5LG 16mm,831
3904107,S-VENOGRAM EXTREMITY BILATERAL NON-RAD,759
3904108,S-VENOGRAM EXTREMITY UNILATERAL NON-RAD,627
3370582,S-VENOGRAM IVC,1797
3904109,S-VENOGRAM IVC NON-RAD,1797
3904111,S-VENOGRAM SVC NON-RAD,1797
3904112,S-VENOGRAPHY INC INTRO NEEDLE NON-RAD,1058
2051301,SWAB ACUDYNE 750 PKS/CS,18.75
2054762,SWAB LEMON GLYCERINE 25/BX,5.25
5093033,SWEAT TEST (IONTOPHORESIS),128
70174026,SWIVELOCK PEEK 5.5 AR2323PSLM,1000
70174266,SWIVELOCK W/TIGER TAPE LOOP AR-2324BCCTT,940
1515227,SYMBICORT INH:160-4.5MCG CHANGE (N),265
1511844,SYMMETREL {AMANTADINE 100MG} CAP,14
1511858,SYNTHROID {LEVOTHYROXINE 0.025MG} TAB,12
1511859,SYNTHROID {LEVOTHYROXINE 0.05MG} TAB,12
1513241,SYNTHROID {LEVOTHYROXINE 0.075MG} TAB,12
1513673,SYNTHROID {LEVOTHYROXINE 0.112MG} TAB,12
1513005,SYNTHROID {LEVOTHYROXINE 0.125MG} TAB,14
1511857,SYNTHROID {LEVOTHYROXINE 0.15MG} TAB,12
1500207,SYNTHROID {LEVOTHYROXINE 0.175MG} TAB,14
1511860,SYNTHROID {LEVOTHYROXINE 0.1MG} TAB,12
1512612,SYNTHROID INJ {IV} 0.1MG,74
1500205,SYNTHROID(LEVOTHYROXINE)TAB:0.137MG(N),14
1511861,SYNTHROID(LEVOTHYROXINE)TAB:0.2MG (S),14
1513772,SYNTHROID{LEVOTHYROXINE 0.088MG} TAB,12
70170596,SYRINGE 10CC,33.75
70170599,SYRINGE 10CC CONTROL,33.75
70170600,SYRINGE 10CC SLIP TIP,33.75
70170593,SYRINGE 1CC TB,33.75
70170597,SYRINGE 20CC,33.75
70173188,SYRINGE 30CC B-D309650Z,4.11
70170594,SYRINGE 3CC,33.75
70170595,SYRINGE 5CC,33.75
70170601,SYRINGE 60CC CATHETER TIP,33.75
70170598,SYRINGE 60CC LEUR-LOC,33.75
56456,SYRINGE 60CC LL 30/BX 1186000777,0
70170166,SYRINGE BULB,6
50788,SYRINGE CATH TIP 2 OZ 60CC 20/BX,0
2051919,SYRINGE EAR 3 OZ,13.25
70172393,SYRINGE POWER INJECTOR 150CC,23.4
70170860,SYRINGE TOOMEY,33.75
70172759,SYRINGE/GAUGE ASSEMBLY,120
2030242,SYRINGES ALL SIZES,38.75
70173552,SYSTEM BONE SCREW AIRVANCE,4800
70172200,SYSTEM CT CLOSURE,331.75
70173445,SYSTEM PINK PAD PIGAZZI PT POSITIONER,148
70173241,SYSTEM SMOKE EVAC CLEARFLOW,67.5
70173849,SYSTEM STRAIGHT NEEDLE 72201490,927.5
70172533,SYSTEM ULTRA FAST FIX CURVED NEEDLE,599.72
5092446,T AND B FLOW CYTOMETRY CD-19,210
5005161,T CELL ANTIGEN RECEPTOR GAMMA GENE ARRAN,150
5005255,"T CELL PANEL GAMMA,BETA 481080",1090
5084249,T CELLS TOTAL COUNT,210
70174557,T2 F/T LOCKING SCREW 5mmX50mm,339.9
70185027,T2 F/T LOCKING SCREW 5mmX52.5mm,339.89
70185122,T2 F/T LOCKING SCREW 5mmX60mm,339.9
70174311,T2 F/T LOCKING SCREW 5mmX80mm,339.9
70173719,T2 F/T LOCKING SSCREW FEMORAL 1896-5055S,339.9
70172272,T2 F/T LOCKT2 F/T LOCKING SCREW 5mmX35mm,339.9
70173718,T2 F/T LOCKT2 F/T LOCKING SCREW 5mmX40mm,339.9
70173773,T2 F/T LOCKT2 F/T LOCKING SCREW 5mmX45mm,339.9
70174591,T2 F/T LOT2 F/T LOCKING SCREW 5mmX37.5mm,339.9
70185046,T2 F/T LOT2 F/T LOCKING SCREW 5mmX42.5mm,339.9
70180042,T2 F/T LOT2 F/T LOCKING SCREW 5mmX47.5mm,339.9
70185312,T2 FEMORAL NAIL R1500 12MMx360MM,2547.6
70173461,T2 STANDARD END CAP - 8mm,339.9
70180218,T2 STD. TIBIAL NAIL 10mmX345mm,2214.08
70185026,T2 STD. TIBIAL NAIL 10mmX360mm,2214.08
70185109,T2 STD. TIBIAL NAIL 10mmX390mm,2214.08
70180194,T2 STD. TIBIAL NAIL 9mmX315mm,2214.08
5092519,T3 FREE,101
5005538,T3 FREE MMCN,101
5092007,T3 UPTAKE,49
5005539,T3 UPTAKE MMCN,49
5092008,T4 (THYROXINE),52
5005540,T4 (THYROXINE) MMCN,52
5091043,T4 FREE,101
5094224,T7 (FTI) + T3 + T4,52
70170679,TA45 3.5 GUN,238.93
70170681,TA45 4.8 GUN,357.78
70170677,TA60 4.8 GUN,214.57
70170683,TA90 3.5 GUN,219.98
70170684,TA90 3.5 RELOAD,109.99
61661661,TAB ELECTRODES,13.35
5092486,TACROLIMUS (FK506) 700248,240
70172761,TAGADERM,25
1500550,TALWIN {PENTAZOCINE/NALOXONE} 50MG/0.5MG,13
1512735,TAMBOCOR {FLECAINIDE 100MG} TAB,10
5063124,TAMBOCOR 085662,113
1514319,TAMIFLU {OSELTAMIVIR 75MG} CAP,23
1514830,TAMIFLU {OSELTAMIVIR} SUS 6MG/1ML 60ML,200
1500421,TAMIFLU SUSP 6MG/1ML ED DOSE,50
1511879,TAPAZOLE (METHIMAZOLE) TAB:5MG (S),12
1500206,TAPAZOLE(METHIMAZOLE) TABLET: 10MG (N),12
2050627,TAPE 1/2  DERMICLEAR,0
54856,TAPE 2 X5 YDS 6/BOX,18.75
70173390,TAPE FIBER,209
2056678,TAPE PATIENT SKIN 1  10 PINK 12/TB,24.25
48807,TAPE SKIN 2,24.25
70174523,TAPE SUTURE AR-7500,105
2040094,TARRY BOARD CHILD 3 X7  50/BX,6.5
2040092,TARRY BOARD NEO 11/2 X4  50/CS,8
2040093,TARRY BOARD PED 2 X5  50/CS T92642,6.5
70170426,TED HOSE LARGE,90.66
70170425,TED HOSE MEDIUM,90.66
70170424,TED HOSE SMALL,90.66
70170427,TED HOSE XLARGE,104.4
70170338,TEETH GUARDS SAC,3.25
1500677,TEFLARO {CEFTAROLINE} 600MG,453
40566,TEGASORB (DUODERM) 5/BX,12
5092083,TEGRETOL (CARBAMAZEPINE),84
1511449,TEGretol {carBAMazepine 100MG} CHEW TAB,10
1511895,TEGretol {carBAMazepine 200MG} TAB,17
1513029,TEGretol SUSP:200MG/10ML  (S),17
1513926,TEGretol XR {carBAMazepine 200MG} TAB,16
1513927,TEGretol XR TAB 100MG (S),16
1515181,TEKTURNA {ALISKIREN 150MG} TAB,12
400474,TELEHEALTH ORIGINATING SITE FACILITY FEE,100
70171279,TELFA LARGE,2.3
70171278,TELFA SMALL,1.35
70173984,TENDON VERSACRAFT VRG-001,2580
1512852,TENEX (guanFACINE) TAB:1MG (S),10
1520205,TENORMIN {ATENOLOL 100MG} TAB,0
1513652,TENORMIN {ATENOLOL 25MG} TAB,12
1512345,TENORMIN {ATENOLOL 50MG} TAB,12
1520895,TERA GEL SHAMPOO 0.5%,25
1513088,TERAZOL-3 0.8% VAG CREAM:20GM,87
1511910,TESSALON PERLE {BENZONATATE 100MG} CAP,14
70173302,TEST STIMULATION LEAD 3057,287.5
5005008,TESTOSTERONE FREE 144980,240
5094225,TESTOSTERONE-F AND T 140103,132
5084082,TESTOSTERONE-FREE AND WEAK 143255,122
5005143,TESTOSTERONE-TOTAL,132
5092145,TESTOSTERONE-TOTAL,132
5005541,TESTOSTERONE-TOTAL MMCN,132
5050363,TETANUS ANTITOXOID ABS 163691,161
5005229,TETANUS DIPHTHERIA AB PROFILE 163253,110
1510930,TETANUS IMMUNE GLOBULIN INJ 250UNITS,563.31
1511912,TETANUS-DIPH TOXOID INJ ADULT 0.5ML,49
1513015,TETRACAINE 0.5% OPHTH DROP 4ML,14
1513663,THEO-24 (THEOPHYLLINE) CAP:100MG (S),8
1513678,THEO-24 {THEOPHYLLINE 200MG} CAP,10
1511918,THEO-DUR {THEOPHYLLINE 200MG} TAB,14
1511920,THEO-DUR {THEOPHYLLINE 300MG} TAB,12
5091042,THEOPHYLLINE,76
6506724,THERABAND PEACH,6.93
331483,THERAPEUTIC OR DX INJ SQ OR IM,79
6006015,THERAPEUTIC OR DX INJ SQ OR IM,79
5531762,THERAPEUTIC OR DX INJECTION SQ IM,79
5082021,THERAPEUTIC PHLEBOTOMY,113
5570735,THERAPEUTIC RAD SIMULATION-AIDED 3D,1628
6506725,THERAPUTTY,25
47031,THERMOMETER ORAL MERCURY FREE,18.5
1514432,THERMOTABS (BUFFERED SALT) TAB,3
1510296,THIAMINE {VIT B1 100 MG}  TAB,12
5092177,"THIAMINE B-1, WHOLE BLOOD 121186",146
1512447,THIAMINE INJECTION (VIT B1):200MG/2ML,29
5050404,THIOGUANINE (MERCAPTOPURINE),104
5005248,THIOPURINE METABOLITES 503800,290
3370026,THORACIC SPINE (DORSAL),381
1511949,THORAZINE {chlorproMAZINE 25MG} TAB,12
1511834,THORAZINE {chlorproMAZINE} INJ 50MG/2ML,37
70180261,"THREADED PLATE ELEVATOR,  3.5MM X 30DEG",440
5050112,THROMBIN TIME 015230,90
1511955,THROMBIN TOPICAL 5000 UNIT VIAL,201
400509,THROMBOLYTIC THERAPY STROKE,744
431629,THROMBOTIC HEMORRHOID,164
5050329,THROMBOTIC RISK PROFILE COMP 117074,120
431630,THUMB - CARPOMETACARPAL,151
5084151,THYROGLOBULIN AB & THYGLOBULIN  042060,300
5005401,THYROGLOBULIN COMPREHENSIVE 500540,85
5005436,THYROGLOBULIN QUANTITATIVE,178.5
5050485,THYROID AND TSH,0
5005542,THYROID AND TSH MMCN,0
5092347,THYROID ANTIBODIES  006684,97
5084085,THYROID ANTITHYROGLOBULIN AB  006685,122
5032819,THYROID BINDING GLOBULIN     +,184
5084173,THYROID PEROXIDASE (TPO)  006676,161.53
5050486,THYROID PROFILE,0
5005543,THYROID PROFILE MMCN,0
5050150,THYROID STIMULATING IMMUNOGLOB 140749,356
1500565,THYROID TABLET 1/2 GRAIN 30MG,12
5092450,THYROTROPIN RECEPTOR ANTIBODIES 010314,130
5092449,THYROXINE BINDING GLOBULIN (TBG) 001735,130
70180192,Ti ASNIS III CANNULATED SCR 4X36mm,316.8
70174294,Ti ASNIS III CANNULATED SCR 4X40mm,316.8
70173786,Ti ASNIS III CANNULATED SCR 4X44mm,316.8
70174295,Ti ASNIS III CANNULATED SCR 4X46mm,316.8
70173748,Ti ASNIS III CANNULATED SCR 4X50mm,316.8
70173455,Ti END CAP GAMMA NAIL END CAP 3005-1100S,366.3
70173772,Ti LAG SCREW 10.5Ti LAG SCREW 10.5X100mm,1023
70180041,Ti LAG SCREW 10.5X100mm,1023
70180102,Ti LAG SCREW 10.5X105mm,1023
70173452,Ti LAG SCREW 10.5X110mm,1023
70185123,Ti LAG SCREW 10.5X115mm,1023
70180135,Ti LAG SCREW 10.5X75mm,1023
70180191,Ti LAG SCREW 10.5XTi LAG SCREW 10.5X80mm,1023
70180074,Ti LAG SCREW 10.5XTi LAG SCREW 10.5X85mm,1023
70172273,Ti LAG SCREW 10.5XTi LAG SCREW 10.5X90mm,1023
70173775,Ti LAG SCREW 10.5XTi LAG SCREW 10.5X95mm,1023
1500211,TIAZAC CAP (DILTIAZEM) 360MG (N),12
70172594,TIBIAL ANTERIOR CADAVER TENDON,3050
70174380,TIBIAL BEARING SZ3 AR-501-TBC8,1320
70173406,TIBIAL KNEE MOLD 75MM,1512.5
70174488,TIBIAL STABILIZER 5537-G-513,3897.6
70174381,TIBIAL TRAY CEMENTED SZ 3,2376
1511967,TIGAN INJ:200MG/2ML (S),37
70174506,TIGERSTICK AR-7209T,125
70185231,TIGHTROPE ABS BUTTON ROUND 20MM CONCAVE,560
70174104,TIGHTROPE ACL AR-1588RT,770
70174186,TIGHTROPE BONE TO BONE AR-1588BTB,1062.5
1512586,TIMOPTIC 0.25% {TIMOLOL} OPHT SOLN 5ML,39
1511936,TIMOPTIC 0.5% {TIMOLOL} OPHT SOLN 10ML,54
1513844,TIMOPTIC-XE 0.5% OPH GEL:2.5ML (S),39
2058883,TIP FLANGE F/BATH SEATS,62
70174467,TISSEAL SPRAY SET 0600065,1291.03
70170480,TISSEEL APPLICATOR,15.75
67928,TISSEEL FROZEN SOLUTION 10ML,0
70174459,TISSEEL FROZEN SOLUTION 10ML 1501263,960.17
67927,TISSEEL FROZEN SOLUTION 4ML,18.75
70174458,TISSEEL FROZEN SOLUTION 4ML 1501262,391.27
70170242,TISSOMAT DEVICE SPRAY SET,130
5005085,TISSUE CULTURE; LYMPHOCYTE,420
70174021,TISSUE SAPHENOUS VEIN 81-100CM SV105,16500
5050120,TISSUE TRANSGLUTAMINASE IGA 164640,115
5050183,TISSUE TRANSGLUTAMINASE IGG 164988,115
70185141,Titanium Frisbee,930
5005405,TITANIUM WHOLE BLOOD 792620,110
3370149,TM JOINTS,324
1514388,TNKASE {TENECTEPLASE} INJ KIT 50MG,9849
1513113,TOBRADEX OPHTH DROPS:2.5ML,58
1513947,TOBRADEX OPHTH OINT 3.5GM (S),78
1511285,TOBRAMYCIN INJ 80MG/2ML VIAL,78
5094229,TOBRAMYCIN PEAK,102
5050212,TOBRAMYCIN RANDOM,102
5005546,TOBRAMYCIN RANDOM MMCN,102
5091026,TOBRAMYCIN TROUGH,102
5005547,TOBRAMYCIN TROUGH MMCN,102
1512896,TOBREX 0.3% {TOBRAMYCIN} OPH DROPS 5ML,63
431632,TOE - IP JOINT,114
3370161,TOES LEFT,215
3370162,TOES RIGHT,215
1511982,TOFRANIL {IMIPRAMINE 25MG} TAB,12
70171311,TONGUE DEPRESSOR,0.06
51093,TOOTHBRUSH MDS136000  144/BX,0
51092,TOOTHPASTE 6 OZ 144MIN,0
1514159,topAMAX {TOPIRAMATE 100MG} TAB,15
1514324,topAMAX {TOPIRAMATE 25MG} TAB,12
5084443,TOPIRAMATE 716285,173
1514694,topROL XL {METOPROLOL SUCC} 25MG,12
1513698,topROL XL {METOPROLOL SUCC} 50MG,12
1513176,TORADOL (KETOROLAC) INJ:15MG/1ML,47
1513328,TORADOL {KETOROLAC 10MG} TAB,12
1513177,TORADOL {KETOROLAC} INJ 30MG/1ML,46
1513178,TORADOL {KETOROLAC} INJ 60MG/2ML,48
70173433,TORQUE DEVICE,17
5092195,TOTAL T3 (TRI-IODOTHYRONINE) 002188,122
70173312,TOURNIQUET 12 W/O SLV STER,80.8
70173308,TOURNIQUET 18 W/O SLV STER,89.6
70173311,TOURNIQUET 24 W/O SLV STER,99.6
70173310,TOURNIQUET 30 W/O SLV STER,106.4
70173307,TOURNIQUET 34 W/O SLV STER,115.2
70173304,TOURNIQUET 42 W/O SLV STER,123.6
70173309,TOURNIQUET 8 W/O SLV STER,72
70171512,TOURNIQUET STERILE 18 IN,105
1515468,TOVIAZ {FESOTEROBINE 4MG} ER TAB,30
2056155,TOWEL SURGERY DISP 20MIN MDT2168204,11.5
70171333,TOWELS STERILE BLUE,33.5
70173149,TOWELS STERILE WHITE,11.35
5092448,TOXOPLASMA GONDII IGM 096651,157
5005471,TOXOPLASMA GONDII PCR 138602,615
5091027,TOXOPLASMA GONDII-IGG,107
5050276,TPMT 510750,498
1512526,TRACE METALS INJ 10ML (S),30
300330,TRACH CHANGE / DR MASDON,178
4704710,TRACH MASK SUPPLY,25
43057,TRACH PASSY MUIR VENT SPEAKING VALVE,235
70170715,TRACH SHILEY 6FR (6CFN),114.42
70170720,TRACH SHILEY 6FR (6DCFN),109.83
70170712,TRACH SHILEY 6FR (6DCT),105.25
70170721,TRACH SHILEY 8FR (8DCFN),72
70170713,TRACH SHILEY 8FR (8DCT),105.25
70170729,TRACH TUBE 6.4 (MASDON 6DCFS),120.3
4765128,TRACH TUBE CHANGE,54
70172763,TRACH TUBE HOLDER,17
70171969,TRACHEOSTOMY TUBE HOLDER,7.88
70173394,TRACKER INSTRUMENT MEDTRONIC,330
70173385,TRACKER PATIENT MEDTRONIC,334
1512669,TRACRIUM (ATRACURIUM):10MG/ML 1ML DOSE,24
1510512,TRACRIUM{ATRACURIUM}INJ 10MG/ML 10ML (S),127
2050563,TRACTION BUCKS UNIVERSAL S M L ORT31100,128.75
1500486,TRADJENTA (LINAGLIPTIN) TABLET: 5MG (N),35
5005484,TRAMADOL 071545,278
1517384,TRANEXAMIC ACID 1000MG/10 ML VIAL,347.12
1519903,TRANEXAMIC ACID 1000MG/NS 50ML,347.12
1500702,TRANEXAMIC ACID 650MG TAB,12
61661608,TRANS WARMER,107
61561512,TRANS WARMER INFANT,69.33
1513078,TRANSDERM-SCOP PATCH {SCOPOLAMINE} 1.5MG,51
2030429,TRANSDUCER DISP W/MONITORING KIT,184
70173733,TRANSDUCER THUNDERBEAT TD-TB400,4900
5084160,TRANSFERRIN 004937,82
5082074,TRANSFUSION REACTION WORKUP,312
4704806,TRANSPORT VENT CIRCUIT TAH162122002,64
1512000,TRANXENE T-TAB {CLORAZEPATE} 7.5MG,12
1101120,TRAP SUCTION POLY #H334,12.94
1101158,TRAPEZOID RX 1087,672.5
1101157,TRAPEZOID RX 1088,672.5
1514812,TRAVATAN-Z {TRAVOPROST} OPHT DROPS 2.5ML,138
5080137,TRAVEL ALLOWANCE,0.99
61661622,TRAY AMNIOCENTESIS,52
2030132,TRAY BONE (OR INSTRUMENT),133.75
2050769,TRAY BONE MARROW 11G 4  ADULT 10/CS,270.25
2053443,TRAY CATH STRAIGHT MALE 14FR 20MIN,61
2030539,TRAY CENTRAL LINE,261.75
2051250,TRAY CIRCUMCISION 20/CS CIT2430,51.75
2049886,TRAY EPID SGL SHOT 1MIN 332254,57.5
2030556,TRAY EPIDURAL ANESTHESIA,298.5
2503009,TRAY EPIDURAL/SPINAL COMBINED 333192,113.67
40715,TRAY EPISTAXIS SKLAR  25/CS,0
2053445,TRAY FOLEY 16FR 100MIN BRD300316A,99.75
2053446,TRAY FOLEY 18FR BLADDER 10/CA  1MIN,99.75
70130844,TRAY FOLEY CATH 16FR & 18FR,163
67115,TRAY FOLEY SILICONE,61
2050241,TRAY INCISION &DRAIN 20MIN,67.75
2053444,TRAY IRRIGATION 20MIN,38.5
2058383,TRAY LACERATION 1MIN62740,79
2053807,TRAY LUMBAR PUNCT INFANT,41.75
2050762,TRAY LUMBAR PUNCTURE ADULT 10/CS,77
2050761,TRAY LUMBAR PUNCTURE PED/CHILD 10/CS,103
2031052,TRAY MYELOGRAM,152
2051515,TRAY SHAVE PREP 50/CS,29.25
2030124,TRAY SPINAL,275.25
61661665,TRAY SPINAL/EPID TUOHY 18GX3.5 333174,79.63
2050240,TRAY SUTURE REMOVAL 100MIN,39
2053709,TRAY WET SKIN SCRUB 20/CS,16
5084218,TRAZODONE (DESYREL)  071688,126
400476,TREATMENT ANKLE FRACTURE,594
5570731,TREATMENT DEVICE COMPLEX,915
400506,TREATMENT OF TIBIA FRACTURE,3375
1512623,TRENtal {PENTOXIFYLLINE 400MG} TAB,12
5092525,TRH THYROTROPIN  010314,354
70185040,TRI BEADED W/PA PATELLA 35MM,2217.05
70180019,TRI POST AUGMENT SZ3 5MMTRI POST AUGMENT,2306.95
70180120,TRI POST AUGMENT SZ4 10MM,2422.95
70180119,TRI POST AUGMENT SZ4 5MM,2306.95
70185133,TRI POST AUGMENT SZ5 5MM,2306.95
70185016,TRI PRESS FIT STEM,2405.55
70185208,TRI PRESS-FIT STEM 10MM X 100M,2405.55
70180018,TRI PRESS-FIT STEM 12MTRI PRESS FIT STEM,2405.55
70174483,TRI PRESS-FIT STEM 14MM X 100M,2405.55
70180207,TRI PRESS-FIT STEM 16MM X 100M,2405.55
70180117,TRI PRESS-FIT STEM 18MM X 100M,2405.55
70173695,TRI PRESS-FIT STEM 19MM X 100M,2405.55
70185170,TRI PRESS-FIT STEM 21MM X 100M,2405.55
70180173,TRI TS BASEPLATE SIZE 2,4178.32
70174484,TRI TS BASEPLATE SIZE 5,4178.32
70185134,TRI TS BASEPLATE SIZE 6,4178.32
70180003,TRI TS BASEPLATE TRI TS BASEPLATE SIZE 3,4178.32
70180016,TRI TS FEMUR SZ3 RTRI TS FEMUR SZ3 RIGHT,9764.88
70180118,TRI TS FEMUR SZ4 RIGHT,9764.88
70185136,TRI TS FEMUR SZ5 RIGHT,9764.88
70185138,TRIATHLON PS X3 TIBIAL INSERT,3503.2
70185316,TRIATHLON PS X3 TIBIAL INSERT,3503.2
70180138,TRIATHLON SYMMETRIC X3 PATELLA,2172.1
70173697,TRIATHLON TOTAL KNEE SYSTEM OF,2322.9
70174493,TRIATHLON TOTAL KNEE SYSTEM OF,2322.9
70180014,TRIATHLON TOTAL KNEE SYSTEM OF,2322.9
5005498,TRICHLORACETIC ACID URINE 790062,150
5005127,TRICHOMONAS VAGINALIS NAA 188052,118.5
1500350,TRICOR (FENOFIBRATE) TAB:160MG (N),18
1500351,TRICOR (FENOFIBRATE) TAB:54MG (N),17
70170354,TRICUT BLADE 3.5MM 1883504HR,367.5
70170350,TRICUT BLADE 4MM 1884004HR MEDTRONIC,389.5
5084110,TRICYCLIC ANTIDEPRESSANTS 007690,97
70185112,TRIDENT 0? X3 INSERT 32mm ID,2510.24
70174427,TRIDENT 0?POLYETHYLENE INSERT 623-00-32D,2510.24
5094231,TRIGLYCERIDE,26
5092006,TRIGLYCERIDE,26
5005548,TRIGLYCERIDE MMCN,26
1513792,TRILAFON {PERPHENAZINE 4MG} TAB,8
2502963,TRI-LEG EXTENSION LIFESHIELD 12346-01,12.34
1514532,TRILEPTAL {OXcarbazepine 150MG} TAB,10
70173838,"TRIM-IT Drill BTRIM-IT Drill Bit, 2.5 mm",197.5
1513708,TRIMPEX {TRIMETHOPRIM 100MG} TAB,8
1101199,TRIPOD FORCEP DISP FG600U,157.32
70173419,TRISTAPLE ENDO GIA 60 BLACK,747.08
70173420,TRISTAPLE ENDO GIA 60 PURPLE,657.74
70174428,TRITANIUM HEMISPHERICL CLUSTR 502-03-50D,3836.12
70170623,TROCAR 10MM VERSAPORT,122.4
70170615,TROCAR 11MM VERSASTEP,167.98
70173568,TROCAR 11X100 ZHANDLE CTF34,90
70170626,TROCAR 12MM LONG VERSAPORT,275
70170618,TROCAR 12MM LONG VERSASTEP,184.08
70170625,TROCAR 12MM VERSAPORT,118.83
70170616,TROCAR 12MM VERSASTEP,184.08
70173579,TROCAR 12X10 FIOS ZTHREAD CTF73,90
70173577,TROCAR 5MM HANDLED FIRST ENTRY CTF04,96
70170619,TROCAR 5MM LONG VERSASTEP,153
70170652,TROCAR 5MM SHORT VERSASTEP,153
70173576,TROCAR 5MM SMOOTH BLADELESS CTF03,80
70170624,TROCAR 5MM VERSAPORT,102.83
70170614,TROCAR 5MM VERSASTEP (VS101005),532
70173575,TROCAR 5MMX150MM CTF01,96
70173580,TROCAR APPLIED HASSAN BLUNT COR47,105
70170628,TROCAR OPTIVIEW 11MM ENDOPATH XCEL,291.15
70170627,TROCAR OPTIVIEW 5MM ENDOPATH XCEL,226.7
70171995,TROCARS BLADELESS 5MM XCEL,226
70185001,TROCH NAIL FOR THE GAMMA 3 S NAIL,2544.95
20173885,TROCH NAIL FOR THE GAMMA 3 S NAIL,2544.95
70172271,TROCH NAILTROCH NAIL FOR GAMMA 3 S NAILS,2544.96
70173895,TROCH NTROCH NAIL FOR THE GAMMA 3 S NAIL,2544.96
5050407,TROPONIN I,78
5084349,TROPONIN T,85
5050533,TROPONIN T - MMCN,85
5050202,TROPONIN T (ADDITIONAL),85
1513862,TRUSOPT{DORZOLAMIDE} OPHTH DROPS 2% 10ML,70
1500716,TRUVADA {EMTRICITABINE/TENOFOVIR}#1,360
1500513,TRUVADA {EMTRICITABINE/TENOFOVIR}#3,360
5092272,TRYPSIN  010355,152
5050479,TRYPTASE 004280,250
5094232,TRYPTOPHAN URINE RANDOM  911818,157
5084296,TSH,94
70180032,TTi TROCHANTERIC NAIL KIT 11X180mm X 125,2006.4
70173454,TTi TROCHANTERIC NAIL KIT 11X180mm X 130,2006.4
70170295,TUBE 1.27 MICRON EAR,90.93
40466,TUBE CONNECTING  DYND50216  50/CA,2.06
1101166,TUBE CONNECTING G&A DYND50216,2.05
4704731,TUBE ENDO TRAC 2.5 UNCUF,8
4704733,TUBE ENDO TRAC 3.5 UNCUF,8
4704734,TUBE ENDO TRAC 4.0 UNCUF,8
4704740,TUBE ENDO TRAC 7.0 UNCUF,8
2053501,TUBE ENDO TRAC 7.5 CUFFED 1MIN,19.5
4704741,TUBE ENDO TRAC 7.5 UNCUF,8
4704742,TUBE ENDO TRAC 8.0 UNCUF,8
2050195,TUBE ENDO TRAC 8.5 UNCUF,19.5
2030218,TUBE ENDOTRACHEAL,30.75
70173608,TUBE FEED JEJUNAL 0200-16,302.5
2051282,TUBE FEEDING 5FR X 15  50/CS,25
2040179,TUBE FEEDING 8FR X15  50/CS,9.75
