Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"NASAL BALLOON, NOZ-STOP",31770015,139.70
NASAL CPAP PRONG,41331682,70.00
"NASAL PACK, RHINOROCKET",31770222,26.90
NDL TRANS-ORAL INJ 9010M1,34303351,211.25
NEEDLE BIOPSY 21G ASP SUPERTRAX,41380016,279.50
"NEEDLE BIOPSY OF ABDOMINAL CAVITY GROWTH, ACCESSED THROUGH THE SKIN",41310513,"1,126.00"
NEEDLE BIOPSY OF BREAST,41316496,"1,452.10"
"NEEDLE BIOPSY OF KIDNEY, ACCESSED THROUGH THE SKIN",41310521,"1,202.00"
"NEEDLE BIOPSY OF LINING OF LUNG, ACCESSED THROUGH THE SKIN",41310520,"1,126.00"
"NEEDLE BIOPSY OF LIVER, ACCESSED THROUGH THE SKIN",41310515,"1,126.00"
"NEEDLE BIOPSY OF LUNG OR CHEST TISSUE, ACCESSED THROUGH THE SKIN",41310516,"1,126.00"
"NEEDLE BIOPSY OF MUSCLE, ACCESSED THROUGH THE SKIN",41310518,"1,126.00"
"NEEDLE BIOPSY OF PANCREAS, ACCESSED THROUGH THE SKIN",41310519,"1,126.00"
NEEDLE BIOPSY OF SALIVARY GLAND,41315184,800.00
"NEEDLE BIOPSY OF THYROID, ACCESSED THROUGH THE SKIN",41311330,"1,227.25"
NEEDLE BIOPSY OR REMOVAL OF LYMPH NODES,31738786,"1,275.35"
NEEDLE BONE MARROW ASP SYS,34302917,321.75
NEEDLE EPIDURAL-10,34300469,32.50
NEEDLE FILTER,34300471,1.63
NEEDLE GUIDE KIT-18,41470280,58.50
NEEDLE HUBER,31771959,15.35
NEEDLE KNIFE PAPILLOTOME,40480403,227.50
NEEDLE MACROPLASTIQUE,34305164,97.50
NEEDLE NERVE STIM,34300473,842.99
NEEDLE SPINAL-80,34300489,260.00
NEEDLE SURGEON DISP ANY SIZE,34300491,6.50
NEEDLE TRANSSEPTAL,41470986,568.75
"NEGATIVE PRESSURE WOUND THERAPY, SURFACE AREA LESS THAN OR EQUAL TO 50 SQUARE CENTIMETERS, PER SESSION",41400295,186.85
NERVOUS SYSTEM PROCEDURE,41310759,"1,081.00"
"NEW PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 10 MINUTES",41400830,53.00
"NEW PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 20 MINUTES",41400831,94.15
"NEW PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 30 MINUTES",41400832,144.70
"NEW PATIENT OFFICE OR OTHER OUTPATIENT VISIT, TYPICALLY 60 MINUTES",41400834,264.65
NICU LEVEL 2/EXTENDED CARE,31810016,"1,240.00"
NICU LEVEL 3,31810014,"1,965.00"
NICU LEVEL 4-A1,31810011,"4,300.00"
NICU LEVEL 4-A2,31810012,"3,410.00"
NICU LEVEL 4-A3,31810013,"2,290.00"
NICU/HIGH RISK,31810008,"1,240.00"
NUMED SIZING BALLOON,41470123,715.00
NURSERY WELL BABY CARE,31800006,995.00
"NUSHIELD, PER SQUARE CENTIMETER",41402000,642.00
NUTRITION COUNSEL-INITIAL EA 15MI,41958005,26.20
O2 THERAPY CHARGE,40790572,142.70
"OASIS WOUND MATRIX, PER SQUARE CENTIMETER",41400530,23.20
OBSERVATION L&D PER HOUR,40799000,95.40
OBSERVATION PER HOUR,31649000,54.00
OBTURATOR,41470944,18.16
"OCCLUSION OF ARTERIAL OR VENOUS HEMORRHAGE WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION, ROADMAPPING, AND IMAGING GUIDANCE",41310709,"13,064.00"
"OCCLUSION OF ARTERY (OTHER THAN HEMORRHAGE OR TUMOR) WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION, ROADMAPPING, AND IMAGING GUIDANCE",41310707,"13,064.00"
"OCCLUSION OF HEAD OR NECK ARTERY, ACCESSED THROUGH THE SKIN",41315245,"8,776.00"
"OCCLUSION OF TUMORS OR OBSTRUCTED BLOOD VESSEL WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION, ROADMAPPING, AND IMAGING GUIDANCE",41310708,"13,064.00"
"OCCLUSION OF VENOUS MALFORMATIONS (OTHER THAN HEMORRHAGE) WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION, ROADMAPPING, AND IMAGING GUIDANCE",41315001,"13,064.00"
"OCULAR IMPLANT, AQUEOUS DRAINAGE ASSIST DEVICE,TRIAL EYE STENT CYPASS",40753414,"4,550.00"
OPEN TREATMENT OF BROKEN FINGER OR THUMB,31773376,"4,244.10"
ORAL INTRODUCTION OF LONG DRAINAGE TUBE INTO SMALL BOWEL,41312013,621.00
OVERTUBE ESOPHAGEAL DISP,40480584,406.25
OXYGEN,41331500,65.00
PACEMAKER CABLES,41479063,64.65
PACEMAKER CART,31770028,959.35
"PACEMAKER, DUAL CHAMBER, RATE-RESPONSIVE (IMPLANTABLE)",41471206,"14,625.00"
"PACEMAKER, OTHER THAN SINGLE OR DUAL CHAMBER (IMPLANTABLE)",41471239,"28,925.00"
"PACEMAKER, SINGLE CHAMBER, RATE-RESPONSIVE (IMPLANTABLE)",41471211,"13,000.00"
PACING CATHETER,41470538,347.25
"PACING ELECTRODES, ADULT",31770220,123.95
PACK EXP LAP,34303151,274.69
PACK O.R PROCEDURE-260,34303759,845.00
PACK SRG ASCP,34301876,221.88
PACK SRG CHST TUBE,34301878,162.53
PACK SRG EENT IV STRL LF,34301883,122.85
PACK SRG FACET INJ,34301884,99.22
PACK SRG KN ASCP,34301899,482.04
PACK SRG LAP 3 CNVRT STRL LF DISP,34301886,23.21
PACK SURGICAL PLASTICS,34303192,504.34
"PACK, MINOR PROCEDURE",41479047,111.85
PACU LEVEL 1 FIRST HOUR,40760602,600.00
PACU LEVEL 2 FIRST HOUR,40760603,710.00
PACU LEVEL 3 FIRST HOUR,40760604,880.00
PAD ARTIC GEL MED/LG,31770022,"3,168.75"
PAD ARTIC GEL UNIVERSAL,31770023,958.75
PAD ESU GRD SRFT ADLT DL DSPR ELT,34301903,8.19
PAD TEMP THERAPY GAYMAR,31770066,425.75
PARTIAL REMOVAL OF FINGER BONE,31773047,"3,083.00"
PARTIAL REMOVAL OF TISSUE AT SOLE OF FOOT,41400784,"3,341.00"
PASSER SURG STENT CATH,34302834,265.95
"PATIENT PROGRAMMER, NEUROSTIMULATOR,NEURO STIM PT PROGRAMMER",34303269,"3,481.00"
PD HMST MICROFIBRILLAR CLGN 70X70,34301916,344.50
PD PT POST OP SIL GEL TOPIFOAM AD,40751918,34.13
PEAK FLOWMETER,41331660,31.05
"PEG BRUSH, SALINAS",40480445,11.10
PELVIC BINDER - GC-2000,31770095,709.50
PEN SURG MRK 6IN MLTP BRL RLR LBL,34301923,1.95
"PERCUTANEOUS TRANSCATHETER PLACEMENT OF DRUG ELUTING INTRACORONARY STENT(S), WITH CORONARY ANGIOPLASTY WHEN PERFORMED; SINGLE MAJOR CORONARY ARTERY OR BRANCH",41473586,"8,776.00"
"PERCUTANEOUS TRANSCATHETER PLACEMENT OF DRUG-ELUTING INTRACORONARY STENT(S), WITH CORONARY ANGIOPLASTY WHEN PERFORMED; EACH ADDITIONAL BRANCH OF A MAJOR CORONARY ARTERY (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",41473589,"6,800.00"
"PERCUTANEOUS TRANSLUMINAL CORONARY ATHERECTOMY, WITH DRUG ELUTING INTRACORONARY STENT, WITH CORONARY ANGIOPLASTY WHEN PERFORMED; SINGLE MAJOR CORONARY ARTERY OR BRANCH",41471358,"13,377.00"
"PERCUTANEOUS TRANSLUMINAL REVASCULARIZATION OF ACUTE TOTAL/SUBTOTAL OCCLUSION DURING ACUTE MYOCARDIAL INFARCTION, CORONARY ARTERY OR CORONARY ARTERY BYPASS GRAFT, ANY COMBINATION OF DRUG-ELUTING INTRACORONARY STENT, ATHERECTOMY AND ANGIOPLASTY, INCLUDING ASPIRATION THROMBECTOMY WHEN PERFORMED, SINGLE VESSEL",41471378,"13,377.00"
"PERCUTANEOUS TRANSLUMINAL REVASCULARIZATION OF CHRONIC TOTAL OCCLUSION, CORONARY ARTERY, CORONARY ARTERY BRANCH, OR CORONARY ARTERY BYPASS GRAFT, ANY COMBINATION OF DRUG-ELUTING INTRACORONARY STENT, ATHERECTOMY AND ANGIOPLASTY; SINGLE VESSEL",41471386,"13,377.00"
"PERCUTANEOUS TRANSLUMINAL REVASCULARIZATION OF OR THROUGH CORONARY ARTERY BYPASS GRAFT (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS), ANY COMBINATION OF DRUG-ELUTING INTRACORONARY STENT, ATHERECTOMY AND ANGIOPLASTY, INCLUDING DISTAL PROTECTION WHEN PERFORMED; SINGLE VESSEL",41471369,"8,776.00"
"PERCUTANEOUS TRANSLUMINAL REVASCULARIZATION OF OR THROUGH CORONARY ARTERY BYPASS GRAFT (INTERNAL MAMMARY, FREE ARTERIAL, VENOUS), ANY COMBINATION OF DRUG-ELUTING INTRACORONARY STENT, ATHERECTOMY AND ANGIOPLASTY, INCLUDING DISTAL PROTECTION WHEN PERFORMED; EACH ADDITIONAL BRANCH SUBTENDED BY THE BYPASS GRAFT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",41471373,"6,740.00"
PERICARDIOCENTESIS KIT,41470704,289.35
PERIPHERAL ARTERIAL DISEASE (PAD) REHABILITATION PER SESSION,41253000,117.00
PERI-STRIPS VERITAS 60ECH,34304069,695.89
PHYSICIAN SERVICES FOR OUTPATIENT HEART CARDIAC REHABILITATION PER SESSION,41250650,98.00
PHYSICIAN SERVICES FOR OUTPATIENT HEART REHABILITATION WITH CONTINUOUS EKG MONITORING PER SESSION,41250800,157.90
PICC LINE TRAY,31810067,320.22
PICC LINE TRAY,31810067,320.22
PIN DISPENSING FLD MIC NDL FREE N,40751931,1.56
PIN PASSING ACL DRL TIP W EYLT SS,34301941,352.95
PIN PASSING SUT TROC TIP SS 24MM,34301942,252.23
PIN SF STRL S1 1/16IN,34301944,0.98
PK SRG HRT PERF,34301961,182.03
PLACEMENT OF BREAST LOCALIZATION DEVICES ACCESSED THROUGH THE SKIN WITH MAMMOGRAPHIC GUIDANCE,31730212,479.00
PLACEMENT OF BREAST LOCALIZATION DEVICES ACCESSED THROUGH THE SKIN WITH STEREOTACTIC GUIDANCE,31730219,313.00
PLACEMENT OF BREAST LOCALIZATION DEVICES ACCESSED THROUGH THE SKIN WITH ULTRASOUND GUIDANCE,31730220,479.00
"PLACEMENT OF CATHETER OF KIDNEY AND URINARY TUBE (URETER), ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION",41310137,"3,470.00"
"PLACEMENT OF CATHETER OF KIDNEY, ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION",41315264,"3,199.00"
"PLACEMENT OF DRAINAGE CATHETER OF BILIARY DUCT, ACCESSED THROUGH THE SKIN WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41310730,"4,623.00"
"PLACEMENT OF STENT OF URINARY DUCT (URETER), ACCESSED THROUGH THE SKIN WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41310742,"4,764.00"
PLACEMENT OF TEMPORARY PACEMAKER LEADS,41471002,"6,155.00"
PLASMABLADE,41470650,812.50
PLEURAVAC-DISPOSABLE,31770099,108.00
PLUG CABLE -50,34305022,163.00
PLUG CATH DRN MP STRL LF W TUBE P,40751978,0.50
PLW ABD CNCV W BAND MED,34301981,221.72
"PMP ON-Q 7.5"" SILVERSOAKER PM020A",40751986,"2,362.50"
PNCH SRG 4MM PLNG STRL DISP,34301989,7.83
POLYMEM,41400510,11.05
"PORT, INDWELLING (IMPLANTABLE)",41470874,"1,358.50"
"PORT, INDWELLING (IMPLANTABLE),PORT IMPL PORT-A-CATH",34303324,"1,444.07"
"PORT, INDWELLING (IMPLANTABLE),PORT VASC ACC LIFEPORT KT VTX 2LU",40752018,"1,625.00"
POST 0P SHOE W/INNER CUSH,31770062,52.10
"POSTERIOR CHAMBER INTRAOCULAR LENS,LENS INTRAOCULAR POSTERIOR OVAL S",34300433,435.50
POST-OP RECOVERY,40790556,662.00
POST-OP SHOE,31770052,43.65
POTTS-COURNAND,41470526,23.20
POUCH LAPSAC TISSUE SPEC RETR,34302850,211.25
PRB FLOW BIO PROVE ADLT 3/8IN,34302021,130.00
PRB HEMO ERS 20-23GA STRG BP TPR,34302022,110.50
PRB LAPSCP ARGON BEAM COAGULATOR,34302023,276.25
PRB STM MNPLR FLUSHTIP PRASS W HN,34302030,289.25
PRECUT SPLINT SUPPLIES,31770055,50.00
"PRESBYOPIA CORRECTING FUNCTION OF INTRAOCULAR LENS,LENS INTRAOCULAR RESTOR ASPH SN6A",34300434,"2,908.75"
PRESSURE INFUSOR BAG-DISP,31770750,66.00
PRESSURE LINE,41460561,15.70
PREVENA WOUND VAC,40791106,"1,287.00"
PROBE IO-FLEX,34303469,845.00
"PROBE/NEEDLE, CRYOABLATION,PROBE CRYO ABLAT CRYOICE -2300",34305172,"7,475.00"
PROGRAMMED HEART RHYTHM STIMULATION AFTER DRUG INFUSION INTO A VEIN,41471018,891.85
PROMOGRAN,41400509,22.05
"PROSTHESIS, URINARY SPHINCTER (IMPLANTABLE),IMPL URINARY AMS 800 CUFF -6000",34305160,"19,500.00"
"PROSTHESIS, URINARY SPHINCTER (IMPLANTABLE),IMPL URINARY AMS 800 PUMP -6000",34305161,"19,500.00"
"PROSTHESIS, URINARY SPHINCTER (IMPLANTABLE),IMPLANT URINARY BALLOON",34303789,"7,627.75"
"PROSTHETIC IMPLANT, NOT OTHERWISE SPECIFIED,ALLOGRAFT CARTIFORM -8500",40755200,"27,625.00"
PROXIMATE STAPLER AND REMOV,40790200,13.90
PSHR SUT CTR ASCP STRL KNT FSTFX,40752043,318.50
PSYCHIATRIC GERI-SEMI PRIVATE,31490002,"1,555.00"
PSYCHIATRIC PRIVATE,31493000,"1,620.00"
PSYCHIATRIC SEMI-PRIVATE,31490001,"1,555.00"
PULMONARY REHAB W EXER PER SESSIO,41390424,250.00
PULSAVAC WOUND IRRIGATION SET-DIS,31770226,121.00
PULSE OXIMETER PROBE,31770552,81.85
PULSE OX-PROBE,41330552,81.85
"PURAPLY OR PURAPLY AM, PER SQUARE CENTIMETER",41400533,252.00
Q-GUIDE ELECTRODE INSERT TOOL,41471435,"3,250.00"
QUADRANT ILLUMINATION SYSTEM,34303647,"2,378.45"
QUICK COMBO PADS,41470942,110.60
QUICKCLOT 4X4,31770070,79.23
RADIOPAQUE MARKING TAPE,41479129,101.00
RADPAD RADIATN PROTECTN BLANKET,41470946,140.00
RASP SURGICAL LONG HELIOCOIDAL,34302851,428.48
RAYTEC SPONGES 4X8,41479052,0.10
REAMER -110,34303912,357.50
RECHARGER NEUROSTIMULATOR- 1900,34304086,"6,175.00"
"RE-EVALUATION OF OCCUPATIONAL THERAPY ESTABLISHED PLAN OF CARE, TYPICALLY 30 MINUTES",41212001,103.15
"RE-EVALUATION OF PHYSICAL THERAPY, TYPICALLY 20 MINUTES",41210002,78.70
RELOCATION OF DEFIBRILLATOR DEVICE SKIN POCKET,41471003,"2,746.90"
RELOCATION OF MOUTH TISSUE TO GUM SURFACE,31773526,353.02
RELOCATION OF PACEMAKER GENERATOR SKIN POCKET,41471017,"2,746.90"
"RELOCATION OF PATIENT SKIN TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, AND/OR FEET",41400170,"1,169.35"
REMOVAL AND REPLACEMENT OF DEFIBRILLATOR PULSE GENERATOR,41470667,"53,320.00"
REMOVAL AND REPLACEMENT OF DUAL LEAD PERMANENT PACEMAKER PULSE GENERATOR,41470663,"16,132.00"
REMOVAL AND REPLACEMENT OF MULTIPLE LEAD PERMANENT PACEMAKER PULSE GENERATOR,41470664,"16,132.00"
REMOVAL AND REPLACEMENT OF SINGLE LEAD PERMANENT PACEMAKER PULSE GENERATOR,41470662,"14,708.00"
REMOVAL AND REPLACEMENT OF STENT IN KIDNEY AND URINARY DUCT (URETER) USING FLUOROSCOPIC GUIDANCE INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310142,"3,470.00"
REMOVAL OF 2 TO 4 THICKENED SKIN GROWTHS,41400681,142.00
REMOVAL OF ABDOMINAL CAVITY CATHETER,41310675,"3,491.00"
REMOVAL OF BLOOD ACCUMULATION BETWEEN NAIL AND NAIL BED,31773045,118.05
REMOVAL OF BLOOD CLOT AND INJECTIONS (ACCESSED THROUGH THE SKIN) TO DISSOLVE BLOOD CLOT FROM VEINS USING FLUOROSCOPIC GUIDANCE,41317694,"6,240.00"
"REMOVAL OF BLOOD CLOT AND INJECTIONS TO DISSOLVE BLOOD CLOT FROM ARTERY OR ARTERIAL GRAFT USING FLUOROSCOPIC GUIDANCE, ACCESSED THROUGH THE SKIN",41470795,"5,473.81"
"REMOVAL OF BLOOD CLOT IN HEART ARTERY, ACCESSED THROUGH THE SKIN",41473592,"3,115.35"
"REMOVAL OF BLOOD FLOW ASSIST DEVICE IN AORTA, ACCESSED THROUGH THE SKIN",41474038,0.00
"REMOVAL OF BONES AT SECOND, THIRD, OR FOURTH TOE JOINTS",41400781,"3,340.67"
REMOVAL OF DEEP BONE IMPLANT,41400778,"3,577.00"
REMOVAL OF DEEP FOREIGN BODY IN MUSCLE OR TENDON,31773192,"3,075.90"
REMOVAL OF DEFIBRILLATOR ELECTRODES,41479017,"4,191.50"
REMOVAL OF DEFIBRILLATOR PULSE GENERATOR,41471007,"4,892.00"
REMOVAL OF ELECTRODE FROM RIGHT HEART,41471009,"2,395.00"
REMOVAL OF ELECTRODES FROM RIGHT HEART,41471010,"2,395.00"
REMOVAL OF EMBEDDED FOREIGN BODY OF MOUTH,31773785,621.00
"REMOVAL OF FLUID FROM BETWEEN LUNG AND CHEST CAVITY, OPEN PROCEDURE",31773856,"1,971.60"
"REMOVAL OF FLUID FROM CHEST CAVITY WITH INSERTION OF INDWELLING CATHETER AND IMAGING GUIDANCE, ACCESSED THROUGH THE SKIN",41310161,895.00
"REMOVAL OF FLUID FROM CHEST CAVITY WITH INSERTION OF INDWELLING CATHETER, ACCESSED THROUGH THE SKIN",41310162,"1,192.00"
REMOVAL OF FOOT BONE AT FIFTH TOE JOINT,41400786,"3,341.00"
REMOVAL OF FOREIGN BODY FROM EAR CANAL,31772008,113.00
REMOVAL OF FOREIGN BODY FROM THROAT,31773675,276.00
"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN",31773011,"2,357.15"
REMOVAL OF FOREIGN BODY IN MUSCLE OR TENDON,31773191,"1,126.00"
REMOVAL OF FOREIGN BODY IN NOSE,31773605,113.00
REMOVAL OF FOREIGN BODY OF FOOT TISSUE,31773475,"2,357.15"
"REMOVAL OF FOREIGN BODY OF FOOT TISSUE, ACCESSED BENEATH THE SKIN",31773470,800.00
REMOVAL OF FOREIGN BODY OF FOREARM OR WRIST,31773295,"3,204.40"
"REMOVAL OF FOREIGN BODY OF SHOULDER JOINT, ACCESSED BENEATH THE TISSUE OR MUSCLE",31773242,"3,083.00"
REMOVAL OF FOREIGN BODY OF THIGH OR KNEE,31773410,"3,075.90"
"REMOVAL OF FOREIGN BODY OF UPPER ARM OR ELBOW AREA, ACCESSED BENEATH THE SKIN",31773275,"1,126.00"
"REMOVAL OF FOREIGN BODY, EXTERNAL EYE, CORNEA",31773145,276.00
"REMOVAL OF FOREIGN BODY, EXTERNAL EYE, CORNEA WITH SLIT LAMP EXAMINATION",31773140,194.50
REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN FRACTURE AND/OR DISLOCATION,31773030,800.00
"REMOVAL OF GROWTH (0.5 CENTIMETERS OR LESS) OF THE SCALP, NECK, HANDS, FEET, OR GENITALS",31773109,"1,529.90"
"REMOVAL OF GROWTH (0.5 CENTIMETERS OR LESS) OF THE TRUNK, ARMS OR LEGS",41400600,914.35
"REMOVAL OF GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH",41400613,914.35
"REMOVAL OF GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE SCALP, NECK, HANDS, FEET, OR GENITALS",41400608,"1,529.90"
"REMOVAL OF GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE TRUNK, ARMS, OR LEGS",41400602,914.35
"REMOVAL OF GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE TRUNK, ARMS, OR LEGS",41400603,"1,529.90"
"REMOVAL OF GROWTH (3.1 TO 4.0 CENTIMETERS) OF THE SCALP, NECK, HANDS, FEET, OR GENITALS",41400610,"3,305.85"
"REMOVAL OF IMPACT EAR WAX, ONE EAR",31773013,96.65
REMOVAL OF IMPACTED EAR WAX BY WASHING,31773009,238.00
"REMOVAL OF INFLAMED OR INFECTED SKIN, UP TO 10% OF BODY SURFACE",31773700,408.00
REMOVAL OF INTRA-UTERINE DEVICE (IUD) FOR PREGNANCY PREVENTION,31773870,233.00
REMOVAL OF KIDNEY DRAINAGE TUBE (URETER) USING FLUOROSCOPIC GUIDANCE,41312010,526.00
"REMOVAL OF MALIGNANT GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE SCALP, NECK, HANDS, FEET, OR GENITALS",41400626,"1,529.90"
"REMOVAL OF MALIGNANT GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE SCALP, NECK, HANDS, FEET, OR GENITALS",41400627,"3,305.85"
"REMOVAL OF MALIGNANT GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE TRUNK, ARMS, OR LEGS",41400621,"1,529.90"
"REMOVAL OF MALIGNANT GROWTH (OVER 4.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, OR LIPS",41400635,"4,313.95"
"REMOVAL OF MALIGNANT GROWTH (OVER 4.0 CENTIMETERS) OF THE TRUNK, ARMS, OR LEGS",41400623,"3,305.85"
REMOVAL OF MORE THAN 4 THICKENED SKIN GROWTHS,41400826,479.00
REMOVAL OF NAIL,31773867,664.00
REMOVAL OF PERIPHERAL VENOUS CATHETER FOR INFUSION,41317130,"1,894.50"
REMOVAL OF PERMANENT PACEMAKER PULSE GENERATOR,41471015,"6,155.00"
"REMOVAL OF PLAQUE AND INSERTION OF STENT IN MAJOR CORONARY ARTERY OR BRANCH, ACCESSED THROUGH THE SKIN",41471414,"13,377.00"
"REMOVAL OF PLAQUE AND INSERTION OF STENTS INTO ARTERIES IN ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470151,"31,785.00"
"REMOVAL OF PLAQUE IN ARTERIES IN ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41471107,"18,355.00"
"REMOVAL OF PLAQUE OF MAJOR CORONARY ARTERY OR BRANCH, ACCESSED THROUGH THE SKIN",41470744,"8,776.00"
REMOVAL OF SINGLE THICKENED SKIN GROWTH,41400680,142.00
REMOVAL OF SKIN AND BONE,41400051,"1,338.00"
REMOVAL OF SKIN AND BONE FIRST 20 SQ CM OR LESS,31773039,"1,483.70"
REMOVAL OF SKIN AND TISSUE,41400041,573.00
REMOVAL OF SKIN AND TISSUE FIRST 20 SQ CM OR LESS,31773037,860.00
REMOVAL OF SKIN AND/OR MUSCLE,41400046,573.00
REMOVAL OF SKIN AND/OR MUSCLE FIRST 20 SQ CM OR LESS,41400045,954.00
REMOVAL OF SKIN OF FINGER OR TOE NAIL,31773055,260.00
REMOVAL OF SKIN SUTURE WITH CHANGE OF BLADDER TUBE,31771264,352.45
REMOVAL OF TISSUE FROM 1 TO 5 FINGER OR TOE NAILS,41400065,165.60
REMOVAL OF TISSUE FROM 6 OR MORE FINGER OR TOE NAILS,41400070,165.60
REMOVAL OF TISSUE FROM WOUNDS PER SESSION,41400035,360.10
REMOVAL OR BIVALVING OF FULL ARM OR LEG CAST,31773607,199.00
"REPAIR DEVICE, URINARY, INCONTINENCE, WITH SLING GRAFT,SLING MINIARC",40753173,"5,411.25"
"REPAIR DEVICE, URINARY, INCONTINENCE, WITHOUT SLING GRAFT,IMPL URO DRSPHR EXP BULK AGNT SPN",34301608,81.25
REPAIR OF (2.5 CENTIMETER OR LESS) LACERATION TO FLOOR OF MOUTH AND/OR TONGUE,31773187,378.00
REPAIR OF (OVER 2.6 LACERATION) TO FLOOR OF MOUTH OR TONGUE,31773871,"1,051.54"
REPAIR OF FINGER OR TOE NAIL BED,31773050,408.00
REPAIR OF SEPARATION OF WOUND CLOSURE,31773080,527.00
REPAIR OF SEPARATION OF WOUND CLOSURE WITH INSERTION OF PACKING,31773081,365.00
"REPAIR OF TOE TENDON, ACCESSED THROUGH THE SKIN",41400757,"3,206.86"
"REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF EYELIDS, NOSE, EARS, AND/OR LIPS",31773151,510.00
"REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, AND/OR FEET",31773142,510.00
"REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF SCALP, ARMS, AND/OR LEGS",31773130,510.00
REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF TRUNK,31773120,510.00
"REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773075,452.00
"REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF THE SCALP, UNDERARMS, TRUNK, ARMS, AND/OR LEGS",31773094,649.00
"REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MOUTH",31773110,325.00
"REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF NECK, HANDS, FEET, AND/OR GENITALS",31773100,341.90
"REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773070,244.00
"REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE SCALP, NECK, UNDERARMS, TRUNK, ARMS AND/OR LEGS",31773060,244.00
"REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE SCALP, UNDERARMS, TRUNK, ARMS, AND/OR LEGS",31773090,341.90
"REPAIR OF WOUND (2.6 TO 5.0 CENTIMETERS) OF FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MOUTH",31773111,379.00
"REPAIR OF WOUND (2.6 TO 5.0 CENTIMETERS) OF THE FACE, EARS, EYELIDS, NOSE, LIPS, AND/OR MUCOUS MEMBRANES",31773072,280.00
"REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF EYELIDS, NOSE, EARS, AND/OR LIPS",31773152,"1,020.00"
"REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, AND/OR FEET",31773141,"1,020.00"
"REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF SCALP, ARMS, AND/OR LEGS",31773131,"1,020.00"
"REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF THE SCALP, UNDERARMS, TRUNK, ARMS, AND/OR LEGS",31773091,444.00
REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF TRUNK,31773121,"1,020.00"
