SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
"SLING, OBTAPE #93-40",4005704,"$2,673.00",C1771,C1771,C1771,C1771
"SLING, TRANSOBTURATO",4426991,"$2,471.70",C1771,C1771,C1771,C1771
SLOW FE 160MG,4401555,$6.00,,A9270,,
SMOK COUNSEL > 10,4538011,$41.92,99407,99407,99407,99407
SMOKE COUNCEL 3-10,4538010,$41.92,99406,99406,99406,99406
SMOOTH MUSCLE ANTIBO,4309623,$42.72,83516,83516,83516,83516
SMOOTH STEM COLLAR,4005784,"$9,485.00",C1776,C1776,C1776,C1776
SMX/TMP 200/40 SUS,4401576,$16.00,,A9270,,
SMX/TMP 400/80 IV,4400466,$60.25,J3490,J3490,J3490,J3490
SMZ/TMP 800/1600,4401577,$6.00,,A9270,,
SNRB-C/T INJ -SINGLE,4158187,"$1,902.61",64479,64479,64479,64479
SNRB-C/T INJ-ADD LVL,4158188,"$1,902.61",64480,64480,64480,64480
SNRB-L/S INJ ADD LVL,4158185,"$1,730.00",64484,64484,64484,64484
SNRB-L/S INJ-SINGLE,4158184,"$1,902.61",64483,64483,64483,64483
SOD POLYSTYRENE 120M,4401562,$176.50,,A9270,,
SOD POLYSTYRENE 15/6,4401795,$6.00,,A9270,,
SODIUM BICARB 325MG,4402247,$6.00,,A9270,,
SODIUM CHLORIDE 50ML,4400149,$40.00,J7030,J7030,J7030,J7030
SODIUM OTHER SOURCE,4301087,$45.50,84302,84302,84302,84302
"SODIUM, SERUM",4301379,$46.20,84295,84295,84295,84295
"SODIUM, URINE 24 HR.",4301381,$42.00,84300,84300,84300,84300
"SODIUM, URINE RANDOM",4301382,$42.00,84300,84300,84300,84300
SOLU CORTEF 100MG,4400481,$59.00,J1720,J1720,J1720,J1720
SOMA BLOOD,4309516,$48.00,80369,80369,80369,80369
SOMA URINE,4309517,$146.83,80307,80307,80307,80307
SOMATOMEDIN-C,4308547,$87.15,84305,84305,84305,84305
SONATA 5MG,4401563,$15.00,,A9270,,
SORBITOL 70%,4401564,$7.50,,A9270,,
SOTALOL 80MG TAB,4400737,$10.25,,A9270,,
SO-TMPT ENZYME ACT,4309629,$56.00,82657,82657,82657,82657
SPEC SVCS UNIT BB,4309398,$378.00,99199,99199,99199,99199
SPECIAL BLOOD TYPING,4303517,$107.00,86905,86905,86905,86905
SPECIAL STAINING,4309619,$85.14,88313,88313,88313,88313
SPECIAL STAINS GRP 1,4309294,$84.78,88312,88312,88312,88312
SPECIAL STAINS GRP 2,4309295,$71.40,88313,88313,88313,88313
SPECIAL THERAPY PLAN,4729008,$610.50,77321,77321,77321,77321
SPECIAL TREATMENT PR,4729035,"$1,127.50",77470,77470,77470,77470
"SPECIFIC GRAVITY, BO",4307512,$32.00,84315,84315,84315,84315
"SPECIFIC GRAVITY, UR",4307513,$19.00,81005,81005,81005,81005
"SPECTROPHOTOMETRY, N",4308097,$85.00,84311,84311,84311,84311
SPINAL CONNECTOR,4002489,"$2,625.00",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4002571,"$3,566.92",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4005186,"$2,100.00",,C1821,,
SPINAL CONNECTOR,4005287,"$3,895.00",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4005315,"$2,500.00",,C1821,,
SPINAL CONNECTOR,4005440,"$4,571.00",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4005652,"$2,686.88",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4006522,"$4,375.00",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4006524,"$4,805.00",C1713,C1713,C1713,C1713
SPINAL CONNECTOR,4006720,"$1,750.00",C1713,C1713,C1713,C1713
SPINAL FIXATION PIN,4006010,$905.38,C1713,C1713,C1713,C1713
SPINE - BONE ANCHOR,4006094,"$1,382.50",,C1821,,
SPINE - BONE ANCHOR,4006628,"$1,050.00",C1713,C1713,C1713,C1713
SPINE - CABLE SYSTEM,4006834,"$1,456.00",C1713,C1713,C1713,C1713
SPINE - CROSSLINK,4001102,"$4,271.40",,C1821,,
SPINE - CROSSLINK,4002334,"$3,802.40",,C1821,,
SPINE - CROSSLINK,4002509,"$3,873.00",,C1821,,
SPINE - CROSSLINK,4005609,"$5,607.00",,C1821,,
SPINE - CROSSLINK,4010381,"$5,148.00",,C1821,,
SPINE - CROSSLINK,4006527,"$4,445.00",,C1821,,
SPINE - CROSSLINK,4006740,"$2,184.00",,C1821,,
SPINE - END CAP,4010266,$350.00,,C1713,,
SPINE - END CAP,4006103,$350.00,C1713,C1713,C1713,C1713
SPINE - END CAP,4006754,$262.50,C1713,C1713,C1713,C1713
SPINE - PEDICLE HOOK,4006762,"$2,887.50",C1713,C1713,C1713,C1713
SPINE - PEEK/SPACER,4001189,$336.00,C1713,C1713,C1713,C1713
SPINE - PEEK/SPACER,4002159,"$9,639.00",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4002206,"$3,000.83",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4002729,"$12,444.95",,C1713,,
SPINE - PEEK/SPACER,4002735,"$8,200.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4002775,"$18,830.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4005201,"$2,548.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4005248,"$21,000.00",,C1713,,
SPINE - PEEK/SPACER,4005323,"$16,448.99",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4005376,"$16,448.99",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4005441,"$3,325.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4005523,"$36,385.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4005562,"$25,186.00",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4005620,"$5,512.50",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4005679,"$4,679.50",,C1713,,
SPINE - PEEK/SPACER,4005712,"$20,160.00",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4005771,"$13,300.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4005851,"$9,300.00",,C1713,,
SPINE - PEEK/SPACER,4005862,"$30,187.50",,C1713,,
SPINE - PEEK/SPACER,4005985,"$7,350.00",C1713,C1713,C1713,C1713
SPINE - PEEK/SPACER,4010295,"$17,500.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4010296,"$18,550.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4010298,"$12,250.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006024,"$22,500.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006050,"$15,750.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006059,"$19,250.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006067,"$10,500.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006084,"$3,325.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006088,"$3,325.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006160,"$12,250.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006162,"$4,095.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006189,$367.50,,C1821,,
SPINE - PEEK/SPACER,4006629,"$22,750.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006664,$385.00,C1713,C1713,C1713,C1713
SPINE - PEEK/SPACER,4006711,"$3,500.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006716,"$11,200.00",C1821,C1821,C1821,C1821
SPINE - PEEK/SPACER,4006803,"$32,375.00",C1763,C1763,C1763,C1763
SPINE - PEEK/SPACER,4006830,"$14,525.00",C1713,C1713,C1713,C1713
SPINE - PLATE,4005409,"$4,662.00",,C1821,,
SPINE - PLATE,4010096,"$9,275.00",C1713,C1713,C1713,C1713
SPINE - PLATE,4010117,"$16,625.00",C1713,C1713,C1713,C1713
SPINE - PLATE,4010119,"$19,250.00",C1713,C1713,C1713,C1713
SPINE - PLATE,4006651,"$15,666.50",C1713,C1713,C1713,C1713
SPINE - PLATE,4006693,"$3,850.00",C1713,C1713,C1713,C1713
SPINE - PLATE,4006724,"$3,587.50",C1713,C1713,C1713,C1713
SPINE - SCREW,4010017,"$3,325.00",C1713,C1713,C1713,C1713
SPINE - SCREW,4006692,"$1,750.00",C1713,C1713,C1713,C1713
SPINE - SCREW,4006717,"$2,782.50",C1713,C1713,C1713,C1713
SPINE - SCREW,4006718,$192.50,C1713,C1713,C1713,C1713
SPINE - SCREW,4006723,$437.50,C1713,C1713,C1713,C1713
SPINE - SCREW,4006726,"$3,770.00",C1713,C1713,C1713,C1713
SPINE - SCREW,4006728,"$2,870.00",C1713,C1713,C1713,C1713
SPINE - SCREW,4006783,"$3,042.00",,C1713,,
SPINE - SCREW,4006824,$630.00,C1713,C1713,C1713,C1713
SPINE - SET SCREW,4006722,$280.00,C1713,C1713,C1713,C1713
SPINE - SET SCREW,4006819,$396.41,C1713,C1713,C1713,C1713
SPINE - SET SCREWS,4006813,$350.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4005460,"$3,602.13",,C1713,,
SPINE - SPINAL ROD,4010307,"$1,400.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010308,"$1,575.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010309,"$1,750.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010310,"$1,925.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010314,"$2,625.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010315,"$2,800.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4010318,"$3,325.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006132,$140.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006587,$280.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006592,$735.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006595,$917.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006599,"$1,456.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006600,"$1,627.50",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006653,"$2,243.50",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006719,$630.00,C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006763,"$3,000.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006771,"$1,092.00",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006814,"$1,201.20",C1713,C1713,C1713,C1713
SPINE - SPINAL ROD,4006820,"$1,201.20",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4002253,"$11,165.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4002287,"$8,607.20",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4002487,"$3,693.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4005191,"$12,000.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4010297,"$8,260.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4010333,"$15,750.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4006058,"$9,300.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4006161,"$7,700.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4006178,"$13,982.50",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4006725,"$13,475.00",C1821,C1821,C1821,C1821
SPINE-INTERBODY CAGE,4006756,"$18,375.00",C1821,C1821,C1821,C1821
SPINE-MIS BODY STD,4006801,"$1,400.00",,C1821,,
SPINE-PEDICLE HOOK,4006767,"$2,887.50",C1713,C1713,C1713,C1713
SPINE-PEDICLE HOOK,4006779,"$1,662.50",C1713,C1713,C1713,C1713
SPIRIVA CAPS-HANDIHA,4401565,$378.00,,A9270,,
SPIRO W/VC/FVC/MVV W,4532756,$406.20,94060,94060,94060,94060
SPIROMETRY,4532825,$250.00,94010,94010,94010,94010
SPIROMETRY PULMONARY,4532755,$288.00,94010,94010,94010,94010
SPIRONOLACTONE 25MG,4400655,$6.00,,A9270,,
SPIRONOLACTONE 50MG,4400656,$6.00,,A9270,,
SPLINT APP:LONG ARM,4607085,$438.66,29105,29105,29105,29105
SPLINT APP:SHORT ARM,4607086,$438.66,29125,29125,29125,29125
SPLINT APP:SHORT LEG,4607084,$403.61,29515,29515,29515,29515
SPLINT APPL:LONG LEG,4607059,$435.66,29505,29505,29505,29505
"SPLINT, WRIST/FOREAR",4425616,$53.90,L3908,L3908,L3908,L3908
"SPLINTSRITE, X-LG #S",4427323,$139.00,L4386,L4386,L4386,L4386
SPORANOX 100MG,4401566,$45.50,,A9270,,
SPUTUM INDUCT TRMT,4536503,$103.00,94640,94640,94640,94640
SSD 1% 20GM,4401567,$36.00,,A9270,,
SSD 1% 25GM WATSON,4401539,$23.00,,A9270,,
SSD 1% 400GM,4401569,$140.25,,A9270,,
SSD 1% 50GM,4401568,$66.25,,A9270,,
SSKI,4401570,$48.25,,A9270,,
ST EVALUATION,4675925,$317.00,92506,92506,92506,92506
ST INDIVIDUAL TREATM,4675936,$254.00,92507,92507,92507,92507
STABILIZER FEM COMP,4005867,"$15,933.75",C1776,C1776,C1776,C1776
STAIN HISTO,4309525,$105.13,88314,88314,88314,88314
STALEVO 50,4402114,$14.00,,A9270,,
STAPLE FIXATION LG,4000676,$639.80,,,,
STAPLE FIXATION MD,4000677,$639.80,,,,
STAPLE FIXATION SM,4000678,$639.80,,,,
STAPLE FIXATION XSM,4000679,$639.80,,,,
STAPLE OSTEOTMY 10MM,4000680,$508.20,,,,
STAPLE OSTEOTOMY,4000681,$508.20,,,,
STAPLE OSTEOTOMY 5MM,4000682,$952.00,,,,
STARLIX 120MG,4401816,$6.25,,A9270,,
STARLIX 60MG,4401571,$16.50,,A9270,,
STD  WRIST PLATE,4005980,"$1,925.00",C1713,C1713,C1713,C1713
STD NECK OFFSET SZ13,4001099,"$11,090.80",C1776,C1776,C1776,C1776
STD RIGHT WRIST PLAT,4005109,"$1,131.20",C1713,C1713,C1713,C1713
STD WRIST PLATE,4005981,"$2,432.50",C1713,C1713,C1713,C1713
STD WRIST PLATE,4005982,"$2,674.00",C1713,C1713,C1713,C1713
STD WRIST PLATE,4005983,"$2,800.35",C1713,C1713,C1713,C1713
STEM CEMENTRALIZER,4001022,$385.00,C1776,C1776,C1776,C1776
STEM EXT CANAL FILL,4005789,"$4,256.00",C1776,C1776,C1776,C1776
STEM EXTENSION ST,4000953,"$2,965.20",C1776,C1776,C1776,C1776
STEM HIP,4002444,"$9,137.80",C1776,C1776,C1776,C1776
STEM HUMERAL,4005755,"$17,307.50",C1776,C1776,C1776,C1776
STEM KNEE CEMENTED,4002592,"$5,600.00",C1776,C1776,C1776,C1776
STEM NONAUG TIB SZ 5,4005164,"$6,256.60",C1776,C1776,C1776,C1776
STEM SEAL SMALL,4005098,$194.60,C1776,C1776,C1776,C1776
STEM TIBIAL COMP SZ3,4001061,"$7,691.60",C1776,C1776,C1776,C1776
STEM TIBIAL COMPONEN,4000348,"$8,135.40",C1776,C1776,C1776,C1776
"STEM, HIP 7 #6072-07",4428059,"$4,050.20",C1776,C1776,C1776,C1776
"STEM, IMPLANT #6098-",4005181,"$9,265.20",C1776,C1776,C1776,C1776
STENT 6FR X 26CM,4000927,$555.80,C1763,C1763,C1763,C1763
STENT URETERAL,4000994,$337.40,C1758,C1758,C1758,C1758
"STENT,URETERAL 7FX24",4006003,$465.30,C1758,C1758,C1758,C1758
STIMULATOR REMOTE,4006018,"$2,500.00",,,,
STONE ANALYSIS,4308554,$108.00,82365,82365,82365,82365
STRAIGHT FIBULA PLT,4005776,"$1,747.20",C1713,C1713,C1713,C1713
"STRAP, CLAVICLE TEEN",4427619,$62.70,L3650,L3650,L3650,L3650
STREP GROUP B LATEX,4308431,$70.00,86403,86403,86403,86403
STREP PNEUM ANTI X7,4301240,$68.00,86317,86317,86317,86317
STREP PNEUM IGG X 23,4309628,$68.00,86317,86317,86317,86317
STREPTOCOCCOUS GRP B,4309340,$90.00,87802,87802,87802,87802
STREPTOCOCCOUS GRP B,4308837,$90.00,87802,87802,87802,87802
STREPTOZYME QL,4301180,$51.00,86063,86063,86063,86063
STRIATIONAL AB,4309498,$57.75,86255,86255,86255,86255
STRONG IODINE 5%,4401573,$145.50,,A9270,,
STRYKER- AVON KNEE,4006044,"$17,150.00",C1776,C1776,C1776,C1776
STRYKER HEMI TSA,4002040,"$11,200.00",C1776,C1776,C1776,C1776
STRYKER HIP X3/CERAM,4002039,"$20,400.00",C1776,C1776,C1776,C1776
STRYKER KNEE N2VAC,4002036,"$13,825.00",C1776,C1776,C1776,C1776
STRYKER N2VAC TKA,4000487,"$13,825.00",C1776,C1776,C1776,C1776
STRYKER PARTIAL HIP,4005626,"$16,755.00",,C1776,,
STRYKER PRESSFIT TKA,4006093,"$17,280.00",C1776,C1776,C1776,C1776
STRYKER- REVERSE TSA,4006020,"$26,250.00",,C1776,,
STRYKER REVISION,4002094,"$33,250.00",C1776,C1776,C1776,C1776
STRYKER THA W/REV,4005850,"$21,980.00",C1776,C1776,C1776,C1776
STRYKER TKA W/REV,4005849,"$14,875.00",C1776,C1776,C1776,C1776
STRYKER TOTAL KNEE,4005717,"$15,530.00",,C1776,,
STRYKER TSA,4002041,"$15,225.00",C1776,C1776,C1776,C1776
STRYKER TSA REVISION,4006491,"$33,250.00",C1776,C1776,C1776,C1776
STRYKER X3 TKA W/REV,4002037,"$16,580.00",C1776,C1776,C1776,C1776
STRYKER XFIRE THA,4002038,"$17,097.50",C1776,C1776,C1776,C1776
STX INCENT SPIRO,4538002,$.00,MANUL,MANUL,MANUL,MANUL
STX ROOM HUMIDFIER S,4538009,$.00,MANUL,MANUL,MANUL,MANUL
STX RT ASSIST/VENT/T,4538005,$.00,MANUL,MANUL,MANUL,MANUL
STX RT C-SECTION STA,4538004,$.00,MANUL,MANUL,MANUL,MANUL
STX RT SPUTUM COLLEC,4538001,$.00,MANUL,MANUL,MANUL,MANUL
STX RT SUCTIONING W/,4538003,$.00,MANUL,MANUL,MANUL,MANUL
SUBCHONDROPLASTY KIT,4010344,"$12,425.00",,C1763,,
SUBCHONDROPLASTY KIT,4006822,"$8,750.00",C1713,C1713,C1713,C1713
SUCCINYLCHOLINE,4400181,$92.00,J0330,J0330,J0330,J0330
SUCRALFATE 1GM TAB,4400765,$6.00,,A9270,,
SUCRALFATE 1GM/10ML,4400766,$40.00,,A9270,,
SULAR 10MG,4401991,$9.00,,A9270,,
SULFACE/PRED 10/0.25,4401574,$71.25,,A9270,,
SULFACETAMIDE 10% OI,4401847,$32.50,,A9270,,
SULFACETAMIDE 10% SO,4401475,$74.25,,A9270,,
SULFASALAZINE 500MG,4400719,$6.00,,A9270,,
SULFATIDE ANTIBODIES,4307100,$173.00,83520,83520,83520,83520
SULFONYLUREA,4309380,$288.00,82542,82542,82542,82542
SULINDAC 150MG TAB,4400832,$6.00,,A9270,,
SULINDAC 200MG TAB,4400833,$6.00,,A9270,,
SURETAC GUIDEWIRE,4002020,$228.34,,,,
SURETAC II W/SPIKES,4002021,$712.29,C1713,C1713,C1713,C1713
SURFACE ARTC SZ EF,4001092,"$3,942.00",C1776,C1776,C1776,C1776
SURFACE ARTC SZ GH,4001088,"$3,393.60",C1776,C1776,C1776,C1776
SURFACE ARTC SZ GH,4001090,"$2,515.80",C1776,C1776,C1776,C1776
SURFACE ARTIC SZ CD,4001080,"$3,430.00",C1776,C1776,C1776,C1776
SURFACE ARTIC SZ EF,4001082,"$3,942.00",C1776,C1776,C1776,C1776
SURFACE ARTICULAR,4001077,"$5,518.44",C1776,C1776,C1776,C1776
SURFACE ARTICULAR,4002412,"$5,297.60",C1776,C1776,C1776,C1776
SURGICAL DRILL/BIT,4001056,"$1,168.00",,,,
SURGICAL DRILL/BIT,4002122,$82.50,,,,
SURGICAL MESH,4002014,"$3,871.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4002015,"$5,316.50",C1781,C1781,C1781,C1781
SURGICAL MESH,4002436,"$2,800.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4005356,"$2,188.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4005357,"$4,278.58",C1781,C1781,C1781,C1781
SURGICAL MESH,4005434,"$1,830.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4005435,"$1,365.00",,C1781,,
SURGICAL MESH,4005436,"$3,920.00",,C1781,,
SURGICAL MESH,4006049,"$9,625.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006052,"$2,940.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006053,"$3,675.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006054,"$5,075.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006055,"$8,050.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006164,"$1,575.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006165,"$2,625.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006171,"$5,600.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006497,"$1,365.00",C1781,C1781,C1781,C1781
SURGICAL MESH,4006550,$490.00,C1781,C1781,C1781,C1781
SURGICAL MESH-PLUG,4005028,"$1,148.00",C1781,C1781,C1781,C1781
SURGICAL MESH-PLUG,4002579,"$1,225.00",C1781,C1781,C1781,C1781
SURGICAL REAMER,4002145,$897.40,,,,
SUSPENSION KIT-SHLDR,4001044,"$6,300.00",,,,
SUTURE ANCHOR,4001058,$465.00,,C1713,,
SUTURE ANCHOR,4002022,$904.37,,,,
SUTURE ANCHOR,4002262,$771.75,,,,
SUTURE ANCHOR,4002435,$847.00,,,,
SUTURE ANCHOR,4002503,"$1,047.20",,,,
SUTURE ANCHOR,4002635,$771.40,,,,
SUTURE ANCHOR,4002755,$998.00,,,,
SUTURE ANCHOR,4010230,$350.00,,C1713,,
SUTURE ANCHOR,4010231,$525.00,,C1713,,
SUTURE ANCHOR,4010232,$700.00,,C1713,,
SUTURE ANCHOR,4010233,$875.00,,C1713,,
SUTURE ANCHOR,4010234,"$1,050.00",,C1713,,
SUTURE ANCHOR,4010235,"$1,225.00",,C1713,,
SUTURE ANCHOR,4010236,"$1,400.00",,C1713,,
SUTURE ANCHOR,4010237,"$1,575.00",,C1713,,
SUTURE ANCHOR,4010238,"$1,627.50",,C1713,,
SUTURE ANCHOR,4010239,"$1,925.00",,C1713,,
SUTURE ANCHOR,4010240,"$2,100.00",,C1713,,
SUTURE ANCHOR,4010241,"$2,275.00",,C1713,,
SUTURE ANCHOR,4010242,"$2,450.00",,C1713,,
SUTURE ANCHOR,4010243,"$2,625.00",,C1713,,
SUTURE ANCHOR,4010244,"$2,800.00",,C1713,,
SUTURE ANCHOR,4006521,$805.00,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006528,"$1,715.00",C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006603,$577.50,,C1713,C1713,C1713
SUTURE ANCHOR,4006604,$623.00,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006605,$647.50,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006606,$717.50,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006607,$770.00,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006608,$910.00,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006609,$962.50,C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006610,"$1,137.50",C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006611,"$1,242.50",C1713,C1713,C1713,C1713
SUTURE ANCHOR,406612,"$1,295.00",C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006613,"$1,452.50",C1713,C1713,C1713,C1713
SUTURE ANCHOR,4006612,"$1,295.00",C1713,C1713,C1713,C1713
SUTURE ANCHOR AB 6.5,4000945,$655.00,C1713,C1713,C1713,C1713
SUTURE ANCHOR SWIVEL,4002072,"$1,243.20",,,,
SUTURE ANCHOR-LUPINE,4005210,"$1,204.00",,C1713,,
SUTURE LASSO,4002117,$287.50,,,,
SUTURE LASSO 25,4002093,$350.00,,,,
SUTURE REMOVAL,4608003,"$1,118.00",15850,15850,15850,15850
SUTURE TAK BIOCOMPOS,4002625,"$1,172.50",C1713,C1713,C1713,C1713
SUTURE TWINFIX AB5.0,4001045,$596.00,C1760,C1760,C1760,C1760
SWIVELLOCK SCREW,4001186,"$1,680.00",C1713,C1713,C1713,C1713
SYMBCRT 80MCG/4.5MCG,4402031,$472.00,,A9270,,
SYMBICORT 160MCG,4402111,$896.00,,A9270,,
SYMM PATELLA 29 X 8,4000359,"$2,597.00",C1776,C1776,C1776,C1776
SYNERCID IV,4400062,$682.75,J2770,J2770,J2770,J2770
SYNTHROID 75MCG,4401579,$6.00,,A9270,,
SYPHILIS IGG ANTIBOD,4308429,$107.00,86780,86780,86780,86780
SYPHILIS IGM ANTIBOD,4308430,$105.00,86780,86780,86780,86780
SYRINGE-STERILE MIX,4010668,$375.00,A4213,A4213,A4213,A4213
SYSTEM MOD ACETABULA,4001017,"$13,752.00",C1713,C1713,C1713,C1713
T & B DIFF.,4307027,$158.40,88185,88185,88185,88185
T. CANDIDUS ANTIBODY,4301066,$28.00,86671,86671,86671,86671
T3 REVERSE,4302213,$55.00,84482,84482,84482,84482
T3 TOTAL,4308562,$95.55,84480,84480,84480,84480
"T3, FREE",4308563,$78.75,84481,84481,84481,84481
"T3, UPTAKE",4301383,$50.40,84479,84479,84479,84479
"T4, THYROXINE",4301389,$60.90,84436,84436,84436,84436
"T4,FREE",4306712,$86.10,84439,84439,84439,84439
TACROLIMUS 0.5MG,4402249,$20.00,J7507,J7507,J7507,J7507
TAK BIOSUTURE,4002268,$75.00,C1713,C1713,C1713,C1713
TALWIN NX,4401592,$6.00,,A9270,,
TAMIFLU 12MG/ML SUSP,4402023,$185.00,,A9270,,
TAMIFLU 75MG CAPSULE,4402021,$73.00,,A9270,,
TAMOXIFEN 10MG,4401319,$9.50,,A9270,,
TAP 4.5MM COR/SHAFT,4000071,$490.00,,C1713,,
TAP FOR 3.5 CRTX SCR,4002727,$198.00,99281,99281,99281,99281
TAPER POST,4002594,"$1,904.00",C1776,C1776,C1776,C1776
TAPER POST,4002633,"$2,205.00",C1776,C1776,C1776,C1776
TARKA  2/180,4401593,$11.25,,A9270,,
TARKA 2/240,4401798,$11.25,,A9270,,
TAU/AB42 PROTEIN,4306891,$489.00,83520,83520,83520,83520
TAZICEF 2GM,4402239,$28.50,J0713,J0713,J0713,J0713
TB CELL MED IMMUNITY,4308626,$147.00,86480,86480,86480,86480
TEDIZOLID,4402205,"$1,187.83",,A9270,,
TEFLARO 600MG IV,4408082,$12.82,J0712,J0712,J0712,J0712
TEGRETOL XR 100MG,4401597,$6.00,,A9270,,
TEGRETOL/ CARBAMAZEP,4301393,$108.15,80156,80156,80156,80156
TEKTURNA 150MG TAB,4402038,$10.00,,A9270,,
TEL 2ND FLOOR,3301079,$438.54,93799,93799,93799,93799
TEL 3RD FLR,3091220,$438.54,93799,93799,93799,93799
TEL 4TH FLR,3101220,$438.54,93799,93799,93799,93799
TEMAZEPAM 15MG,4401598,$20.00,,A9270,,
TEMAZEPAM 30MG,4401599,$23.00,,A9270,,
TENECTEPLASE 50MG,4402101,"$21,727.00",J3101,J3101,J3101,J3101
