DRG Code,BAPTIST MEDICAL CENTER,MISSION TRAIL BAPTIST HOSPITAL,NORTH CENTRAL BAPTIST HOSPITAL,NORTHEAST BAPTIST HOSPITAL,SAINT LUKE'S HOSPITAL
816 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC," $46,963 "," $42,914 "," $18,245 ", $- ," $32,187 "
817 - OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W MCC," $13,874 ", $- ," $71,657 "," $54,812 "," $79,426 "
818 - OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W CC," $61,991 ", $- ," $72,533 "," $66,200 ", $- 
819 - OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W/O CC/MCC, $- , $- ," $57,600 "," $45,251 ", $- 
820 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC, $- , $- , $- ," $506,135 "," $218,646 "
821 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC, $- , $- , $- , $- ," $137,074 "
822 - LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC, $- , $- , $- , $- ," $51,818 "
823 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC," $203,745 "," $267,082 ", $- ," $309,475 "," $219,670 "
824 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC," $156,250 ", $- , $- ," $100,321 "," $64,207 "
825 - LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC, $- , $- , $- ," $67,503 "," $150,747 "
826 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC," $257,695 "," $148,207 ", $- ," $232,634 "," $183,977 "
827 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC," $168,063 ", $- , $- ," $137,361 "," $134,861 "
828 - MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC, $- , $- , $- ," $123,330 "," $81,104 "
829 - MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHE," $222,563 ", $- , $- ," $138,831 "," $76,839 "
830 - MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHE, $- , $- , $- , $- , $- 
831 - OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W MCC," $26,036 ", $- ," $37,734 "," $38,917 "," $81,856 "
832 - OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC," $24,222 ", $- ," $27,380 "," $32,483 "," $27,401 "
833 - OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC," $19,346 ", $- ," $12,064 "," $14,738 "," $18,864 "
834 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC," $153,859 ", $- ," $107,250 ", $- ," $126,522 "
835 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC," $122,326 "," $86,358 "," $79,471 ", $- , $- 
836 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC, $- , $- , $- ," $6,094 ", $- 
837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC," $88,820 ", $- , $- , $- , $- 
838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT, $- , $- , $- , $- , $- 
839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC, $- , $- , $- , $- ," $17,689 "
840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC," $51,990 "," $144,053 "," $152,412 "," $133,109 "," $284,318 "
841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC," $113,691 "," $85,755 "," $74,301 "," $110,140 ", $- 
842 - LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC," $95,281 "," $87,413 "," $116,766 "," $113,872 "," $50,717 "
843 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC," $134,661 ", $- , $- , $- ," $108,130 "
844 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC, $- , $- ," $23,806 "," $126,962 ", $- 
845 - OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC, $- , $- , $- , $- ," $95,729 "
846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC," $145,478 "," $53,503 "," $218,251 ", $- , $- 
847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC," $43,983 ", $- ," $66,752 "," $24,004 "," $53,468 "
848 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W/O CC/MCC, $- , $- ," $25,760 ", $- , $- 
849 - RADIOTHERAPY, $- , $- , $- , $- , $- 
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC," $229,227 "," $233,101 "," $194,938 "," $255,875 "," $204,754 "
854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC," $146,965 "," $111,837 "," $84,369 "," $118,845 "," $74,097 "
855 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC, $- , $- , $- ," $56,626 ", $- 
856 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC," $165,242 "," $157,291 "," $175,984 "," $204,456 "," $200,763 "
857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC," $142,690 "," $74,127 "," $101,304 "," $71,890 "," $35,618 "
858 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC, $- , $- ," $74,603 "," $61,921 "," $36,649 "
862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC," $84,355 "," $96,425 "," $57,140 "," $68,220 "," $36,079 "
863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC," $42,376 "," $42,724 "," $35,118 "," $48,396 "," $43,250 "
864 - FEVER AND INFLAMMATORY CONDITIONS," $49,328 "," $34,694 "," $28,304 "," $45,712 "," $39,650 "
865 - VIRAL ILLNESS W MCC," $80,698 "," $65,694 "," $50,748 ", $- , $- 
866 - VIRAL ILLNESS W/O MCC," $21,055 "," $49,816 "," $28,368 "," $34,169 "," $61,570 "
867 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC," $102,338 "," $89,011 "," $393,304 "," $45,263 ", $- 
868 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC, $- ," $81,773 "," $54,556 "," $80,916 ", $- 
869 - OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC, $- , $- ," $4,876 ", $- , $- 
870 - SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREA," $207,298 "," $234,071 "," $158,042 "," $230,494 "," $237,250 "
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," $93,073 "," $80,337 "," $93,812 "," $82,048 "," $66,683 "
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," $51,007 "," $50,643 "," $48,147 "," $57,618 "," $47,217 "
876 - O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS," $282,080 ", $- , $- ," $141,378 "," $31,073 "
880 - ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION," $36,391 "," $51,760 "," $43,039 "," $49,067 "," $69,966 "
881 - DEPRESSIVE NEUROSES," $18,063 "," $38,315 ", $- ," $25,465 ", $- 
882 - NEUROSES EXCEPT DEPRESSIVE, $- ," $33,441 "," $18,277 "," $6,442 "," $61,812 "
883 - DISORDERS OF PERSONALITY & IMPULSE CONTROL, $- , $- ," $51,635 ", $- , $- 
884 - ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY," $41,857 "," $42,950 "," $42,943 "," $76,073 "," $50,370 "
885 - PSYCHOSES," $28,044 "," $129,607 "," $42,727 "," $26,398 ", $- 
886 - BEHAVIORAL & DEVELOPMENTAL DISORDERS, $- , $- , $- , $- , $- 
887 - OTHER MENTAL DISORDER DIAGNOSES," $22,705 ", $- , $- , $- , $- 
"894 - ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA"," $32,359 "," $18,511 "," $35,811 "," $37,392 "," $31,830 "
895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY, $- , $- , $- , $- , $- 
896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC," $66,409 "," $32,930 "," $60,003 "," $53,416 "," $50,280 "
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," $29,488 "," $26,947 "," $33,503 "," $36,432 "," $42,085 "
901 - WOUND DEBRIDEMENTS FOR INJURIES W MCC," $162,411 ", $- , $- ," $75,605 ", $- 
902 - WOUND DEBRIDEMENTS FOR INJURIES W CC," $84,898 ", $- ," $67,865 "," $87,180 "," $31,202 "
903 - WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC," $43,960 ", $- ," $75,064 ", $- , $- 
904 - SKIN GRAFTS FOR INJURIES W CC/MCC," $147,103 "," $47,950 "," $126,698 "," $44,709 ", $- 
905 - SKIN GRAFTS FOR INJURIES W/O CC/MCC, $- , $- , $- ," $102,905 "," $53,522 "
906 - HAND PROCEDURES FOR INJURIES," $29,811 ", $- , $- , $- , $- 
907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC," $169,215 "," $139,747 "," $196,138 "," $135,427 "," $211,008 "
908 - OTHER O.R. PROCEDURES FOR INJURIES W CC," $92,943 "," $88,481 "," $104,568 "," $107,106 "," $73,174 "
909 - OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC," $61,146 "," $78,401 "," $88,001 "," $78,674 "," $43,806 "
913 - TRAUMATIC INJURY W MCC," $3,127 ", $- , $- , $- , $- 
914 - TRAUMATIC INJURY W/O MCC," $18,484 ", $- ," $30,849 "," $44,248 ", $- 
915 - ALLERGIC REACTIONS W MCC, $- ," $77,527 "," $52,731 "," $70,679 ", $- 
916 - ALLERGIC REACTIONS W/O MCC," $15,577 "," $28,399 "," $16,600 "," $15,899 "," $7,275 "
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC," $66,007 "," $65,348 "," $64,099 "," $58,771 "," $77,539 "
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC," $27,784 "," $35,670 "," $31,945 "," $36,330 "," $21,474 "
919 - COMPLICATIONS OF TREATMENT W MCC," $66,078 "," $74,461 "," $35,090 "," $87,706 "," $42,060 "
920 - COMPLICATIONS OF TREATMENT W CC," $39,555 "," $38,821 "," $54,760 "," $46,068 "," $59,040 "
921 - COMPLICATIONS OF TREATMENT W/O CC/MCC," $44,768 "," $24,508 "," $50,531 "," $32,380 "," $27,277 "
"922 - OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC"," $55,449 "," $38,857 "," $95,820 "," $34,395 ", $- 
"923 - OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC"," $48,871 "," $35,353 "," $14,829 ", $- ," $20,991 "
927 - EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W SKIN GRAFT, $- , $- , $- , $- , $- 
928 - FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC, $- , $- , $- , $- , $- 
929 - FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W/O CC/MCC, $- , $- , $- ," $101,778 ", $- 
933 - EXTENSIVE BURNS OR FULL THICKNESS BURNS W MV >96 HRS W/O SKIN GRAFT, $- , $- , $- , $- , $- 
934 - FULL THICKNESS BURN W/O SKIN GRAFT OR INHAL INJ, $- , $- , $- , $- , $- 
935 - NON-EXTENSIVE BURNS," $48,992 ", $- , $- ," $11,498 ", $- 
939 - O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC, $- , $- , $- ," $141,132 "," $98,260 "
940 - O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC," $59,353 ", $- ," $78,475 "," $158,430 ", $- 
941 - O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC," $77,990 "," $79,948 "," $139,509 "," $73,230 "," $151,719 "
945 - REHABILITATION W CC/MCC," $81,852 "," $46,964 "," $60,888 "," $68,505 "," $83,493 "
946 - REHABILITATION W/O CC/MCC, $- , $- , $- , $- , $- 
947 - SIGNS & SYMPTOMS W MCC," $64,370 "," $72,355 "," $59,412 "," $63,927 "," $37,214 "
948 - SIGNS & SYMPTOMS W/O MCC," $35,161 "," $44,152 "," $46,742 "," $39,617 "," $35,922 "
949 - AFTERCARE W CC/MCC, $- ," $45,197 ", $- , $- , $- 
950 - AFTERCARE W/O CC/MCC," $34,358 ", $- ," $29,858 ", $- , $- 
951 - OTHER FACTORS INFLUENCING HEALTH STATUS," $1,660 "," $11,881 "," $9,985 "," $2,995 "," $3,445 "
955 - CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA, $- , $- ," $125,349 ", $- , $- 
"956 - LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA"," $104,120 "," $93,451 "," $158,243 "," $115,758 "," $146,855 "
957 - OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC, $- , $- , $- , $- , $- 
958 - OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC, $- , $- ," $232,325 ", $- , $- 
959 - OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC, $- , $- , $- , $- , $- 
963 - OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC, $- , $- , $- , $- , $- 
964 - OTHER MULTIPLE SIGNIFICANT TRAUMA W CC, $- ," $31,161 "," $69,285 ", $- ," $51,048 "
965 - OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC, $- ," $13,942 ", $- , $- , $- 
969 - HIV W EXTENSIVE O.R. PROCEDURE W MCC," $363,035 ", $- , $- , $- , $- 
970 - HIV W EXTENSIVE O.R. PROCEDURE W/O MCC, $- , $- , $- ," $83,609 "," $62,579 "
974 - HIV W MAJOR RELATED CONDITION W MCC," $104,352 "," $56,412 "," $119,161 "," $88,578 "," $163,526 "
975 - HIV W MAJOR RELATED CONDITION W CC," $94,504 "," $75,352 "," $24,885 "," $68,252 "," $118,614 "
976 - HIV W MAJOR RELATED CONDITION W/O CC/MCC," $55,531 ", $- , $- ," $40,399 ", $- 
977 - HIV W OR W/O OTHER RELATED CONDITION," $74,912 "," $113,025 ", $- , $- ," $41,818 "
981 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," $177,175 "," $181,745 "," $78,356 "," $194,935 "," $151,590 "
982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $95,789 "," $126,942 "," $86,429 "," $153,256 "," $121,590 "
983 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $76,110 ", $- ," $79,542 "," $169,555 "," $106,911 "
987 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC," $120,038 ", $- ," $117,020 "," $228,477 "," $200,144 "
988 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $67,570 "," $69,977 "," $90,602 "," $83,484 "," $35,961 "
989 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $74,609 "," $97,711 "," $42,176 "," $87,052 "," $74,059 "
N/A or NULL - UNIDENTIFIED," $32,739 "," $36,150 "," $81,070 "," $41,374 "," $53,356 "
Grand Total," $77,421 "," $76,592 "," $70,875 "," $78,548 "," $70,986 "
