Description ,  Charge $   , Department 
MONOMETER STOPCOCK PRESSURE,$13 ,Chargeable Supply
NASAL KIT BALLOON EPISTAXIS DP,$172 ,Chargeable Supply
NASAL NASOSTAT NOZSTOP,$135 ,Chargeable Supply
"PACKING,NASAL RHINO/RAPID ROCK",$83 ,Chargeable Supply
NEEDLE BIOPSY ACHIEVE,$235 ,Chargeable Supply
NEEDLE BIOPSY LIVER,$163 ,Chargeable Supply
NEEDLE EPIDURAL,$39 ,Chargeable Supply
NEEDLE BONE MARROW,$80 ,Chargeable Supply
NEEDLE GRIPPER PORT A CATH,$39 ,Chargeable Supply
NEEDLE PORT A CATH HUBER,$60 ,Chargeable Supply
NEEDLE SPINAL,$31 ,Chargeable Supply
NEEDLE SPINAL/EPISET,$48 ,Chargeable Supply
NEEDLE WINGED BUTTERFLY,$12 ,Chargeable Supply
OSTOMY KIT,$42 ,Chargeable Supply
OSTOMY PASTE,$48 ,Chargeable Supply
OSTOMY POUCH,$29 ,Chargeable Supply
OSTOMY RING/SEALS,$52 ,Chargeable Supply
OSTOMY ROD/BRIDGE,$34 ,Chargeable Supply
OSTOMY WAFER STOMAHESIVE,$35 ,Chargeable Supply
PLATE LEG SPIRAL ELECTRODE,$13 ,Chargeable Supply
PAD HYDRO THERAPY K PAD DISP,$33 ,Chargeable Supply
PAD EYE,$18 ,Chargeable Supply
PACK C SECTION DISP,$184 ,Chargeable Supply
PACKING NUGAUZE,$12 ,Chargeable Supply
PAD METATARSAL,$32 ,Chargeable Supply
PACK DELIVERY OB DISP,$58 ,Chargeable Supply
PAD ATTACH SPIRAL ELECTRODE,$10 ,Chargeable Supply
PATCH PRESS PATCH EYE SHIELD,$29 ,Chargeable Supply
PESSARY NON RUBBER ANY TYPE,$105 ,Chargeable Supply
PICK VEIN,$18 ,Chargeable Supply
PIPELLE ENDOMETRIAL SUCTION,$61 ,Chargeable Supply
PROTRACTOR RETACTOR,$286 ,Chargeable Supply
PUNCH BIOPSY,$38 ,Chargeable Supply
BELT S1-LOC SACROILIAC,$98 ,Chargeable Supply
BRACE KNEE HINGED,$225 ,Chargeable Supply
GLOVE COMPRESSION,$52 ,Chargeable Supply
HEEL CUP CUSHION,$86 ,Chargeable Supply
INSOLE HYPAD,$44 ,Chargeable Supply
KIT HIP,$90 ,Chargeable Supply
PULLEY SHOULDER,$91 ,Chargeable Supply
SPLINT FINGER EXT FLX,$92 ,Chargeable Supply
SPLINT FINGER KNUCKLE,$99 ,Chargeable Supply
STABILIZER ANKLE,$99 ,Chargeable Supply
TRACKER PATELLA,$199 ,Chargeable Supply
TRACTION CERVICAL,$137 ,Chargeable Supply
WEDGE ABDUCTION,$96 ,Chargeable Supply
REMOVER STAPLE,$22 ,Chargeable Supply
RETAINER VISCERA FISH,$76 ,Chargeable Supply
EXCISER VOLUME SPIROMETER,$27 ,Chargeable Supply
FLUTTER ACAPELLO,$139 ,Chargeable Supply
CANOPY MIST TENT DISP,$92 ,Chargeable Supply
DETECTOR CO2,$118 ,Chargeable Supply
CIRCUT VENTILATOR DISP,$87 ,Chargeable Supply
HUMIDIFER AQUA DISP,$85 ,Chargeable Supply
METER PEAK FLOW,$41 ,Chargeable Supply
PERCUSSER,$19 ,Chargeable Supply
KIT TRACH BALLARD 14 FR,$43 ,Chargeable Supply
KIT TRACH CLEAN DISP,$13 ,Chargeable Supply
NEBULIZER BREATH ACTIVATED,$28 ,Chargeable Supply
TUBING O2 CONNECT DISP,$13 ,Chargeable Supply
SCALPEL RETRACTABLE KNIFE,$13 ,Chargeable Supply
SHELLS BREAST SHIELD,$24 ,Chargeable Supply
SHEATH HYFRACTURE HANDLE,$23 ,Chargeable Supply
SLING ARM,$69 ,Chargeable Supply
SENSOR BIS LOC,$87 ,Chargeable Supply
SLEEVE COMPRESSION SCD,$134 ,Chargeable Supply
SPIKE FEEDING GASTRO KANGAROO,$27 ,Chargeable Supply
SET FLUID WARMING HOT LINE,$122 ,Chargeable Supply
STETHOSCOPE DISP,$32 ,Chargeable Supply
SPECULUM VAGINAL,$20 ,Chargeable Supply
STENT URETERAL,$501 ,Chargeable Supply
STOCKING ANTI-EMBOL,$54 ,Chargeable Supply
STOPCOCK 3 WAY,$46 ,Chargeable Supply
STRAP MONTGOMERY,$38 ,Chargeable Supply
STYLET INTUBATION,$79 ,Chargeable Supply
SUCTION TIP YAUNKER,$85 ,Chargeable Supply
SUCTION TUBING STERILE,$7 ,Chargeable Supply
SUCTION TIP VIAGUARD,$96 ,Chargeable Supply
SUCTION TUBE POOLE,$27 ,Chargeable Supply
SUPPORT SCROTAL,$45 ,Chargeable Supply
SUTURE PER PKG,$56 ,Chargeable Supply
SYRINGE ASEPTO,$10 ,Chargeable Supply
SYRINGE BULB,$12 ,Chargeable Supply
SYRING TOOMEY UROLOGIC,$18 ,Chargeable Supply
SPLINT WRIST ADJUSTABLE,$37 ,Chargeable Supply
SPLINT WRIST & FOREARM PLASTIC,$92 ,Chargeable Supply
BELT RIB THORACIC,$36 ,Chargeable Supply
STABILIZER PATELLA,$105 ,Chargeable Supply
STRAP KNEE CHO PAT,$64 ,Chargeable Supply
SLING SWATHE,$110 ,Chargeable Supply
SPLINT THUMB SPICA,$96 ,Chargeable Supply
SPLINT THUMB KEEPER,$131 ,Chargeable Supply
SUPPORT TENNIS ELBOW,$74 ,Chargeable Supply
SPLINT WRIST,$63 ,Chargeable Supply
TAPE UMBILICAL STERILE PKG,$13 ,Chargeable Supply
TRAP SPECIMEN,$48 ,Chargeable Supply
TRAY BIOPSY ENDOMETRIAL,$68 ,Chargeable Supply
TRAY FALLOPE RING,$439 ,Chargeable Supply
TAAY LAVAGE GASTRIC,$279 ,Chargeable Supply
TRAY LAVAGE PERITONEAL,$159 ,Chargeable Supply
TUBE FEEDING INFANT,$43 ,Chargeable Supply
TUBE GASTRIC LAVAGE,$48 ,Chargeable Supply
TUBE RECTAL,$53 ,Chargeable Supply
TUBE STOMACH GASTRIC,$16 ,Chargeable Supply
TUBE TRACH MLT,$54 ,Chargeable Supply
"TUBE,GASTRIC TRI-FUNNEL",$197 ,Chargeable Supply
TUBING HEMO DRAIN,$122 ,Chargeable Supply
TUBING PRESSURE MONITOR,$268 ,Chargeable Supply
TUBING NORMOTERMIC LEVEL 1,$137 ,Chargeable Supply
TRAY ARTERIAL,$73 ,Chargeable Supply
TRAY AMNIOCENTESIS,$125 ,Chargeable Supply
TRAY EPIDURAL MULTI,$92 ,Chargeable Supply
TRAY TRACHE/CRICOTHYROTOMY,$420 ,Chargeable Supply
TRAY CV HICKMAN,$513 ,Chargeable Supply
TRAY CENTRAL VENOUS SINGLE,$242 ,Chargeable Supply
TRAY CENTRAL VENOUS MULTI,$166 ,Chargeable Supply
TRAY IRRIGATION,$16 ,Chargeable Supply
TRAY INFUSAID,$93 ,Chargeable Supply
TRAY LAC ECX DISP STERILE,$37 ,Chargeable Supply
TRAY LUMBAR PUNCTURE,$61 ,Chargeable Supply
TRAY PORT-A-CATH,$926 ,Chargeable Supply
TRAY PEG PONSKY GASTRO,$466 ,Chargeable Supply
TRAY PARACERVICAL/PUDENDAL,$53 ,Chargeable Supply
TRAY CAVITY DRAIN PERCU,$452 ,Chargeable Supply
TRAY SUPRAPUBIC CATH,$200 ,Chargeable Supply
TRAY TRACHEOSTOMY PERCUT,"$1,000 ",Chargeable Supply
TRAY THORAVAC DRAIN CHEST,$269 ,Chargeable Supply
TRAY THORACENT/PARACENT,$208 ,Chargeable Supply
TRAY THORACIC VENT URESIL,$618 ,Chargeable Supply
TRAY SPINAL ANESTH,$92 ,Chargeable Supply
TRAY-LAC REPAIR OR REMOVAL,$12 ,Chargeable Supply
TUBE SALEM SUMP,$35 ,Chargeable Supply
TUBE ENDOTRACHEAL,$143 ,Chargeable Supply
TUBE T,$54 ,Chargeable Supply
TUBING COLLECTION DE C BERKLEY,$43 ,Chargeable Supply
TUBE COMBITUBE TRACH,$331 ,Chargeable Supply
TUBE FEEDING DOBHOFF,$64 ,Chargeable Supply
VALVE ANTI REFLUX,$32 ,Chargeable Supply
VALVE CHEST DRAIN HEMLICK,$82 ,Chargeable Supply
WAX BONE STERILE,$10 ,Chargeable Supply
ZEROWET SHIELD SPLASH IRR,$42 ,Chargeable Supply
LAP ENDO ELECTRODE SPATULA,$96 ,Chargeable Supply
CLIPPER SURGICAL DISPOSABLE,$52 ,Chargeable Supply
SPLINT FINGER,$57 ,Chargeable Supply
"SPACER, MICRO FOR METERED DOSE",$38 ,Chargeable Supply
STRAP CLAVICAL SPLINT,$39 ,Chargeable Supply
NEEDLE POWERLOC TO ACCESS PORT,$64 ,Chargeable Supply
OSTEOSET,"$1,205 ",Chargeable Supply
POWER PICC CATHEIER,"$1,041 ",Chargeable Supply
INTRODUCER PORTACATH/VALVED 8F,$295 ,Chargeable Supply
BLADE SHAVE BIOPSY,$12 ,Chargeable Supply
DEVICE NASAL DRUG DELIVERY,$21 ,Chargeable Supply
CONNECTOR TRACH CO2 INTERLINK,$33 ,Chargeable Supply
PROBE SKIN TEMP,$30 ,Chargeable Supply
"LAP ENDO ADAPTER,HARMONIC",$76 ,Chargeable Supply
"TRAINER, INSPIRATORY MUSCLE",$68 ,Chargeable Supply
ORGANIZER SUTURE STERILE,$31 ,Chargeable Supply
LAP ENDO GRASPER,$186 ,Chargeable Supply
"CATHETER,EPIDURAL FLEXTIP 19G",$68 ,Chargeable Supply
BLADE SAW,$33 ,Chargeable Supply
DILATOR VASCULAR,$62 ,Chargeable Supply
INTRODUCER MICROPUNCTURE,$195 ,Chargeable Supply
GEL IODOSORB,$100 ,Chargeable Supply
TRAY INTRODUCER PICC,$178 ,Chargeable Supply
FELT SURGICAL PATCH,$255 ,Chargeable Supply
BALLOON POSTPARTUM BAKRI,$522 ,Chargeable Supply
LAP ENDO RETRACTOR II 10MM,$297 ,Chargeable Supply
GEL CELLERATE 1 OZ,$127 ,Chargeable Supply
STAPLER HEMORRHOID & PROLAPSE,$713 ,Chargeable Supply
AIRWAY MASK EOA,$150 ,Chargeable Supply
STAPLER SKIN DISP,$163 ,Chargeable Supply
"BRACE,PRE-SIZED CUSTOM",$929 ,Chargeable Supply
DRESSING MEPILEX,$50 ,Chargeable Supply
ANKLE FOOT ORTHOSIS SUPPPORT,$85 ,Chargeable Supply
FOLEY CATHETER TRAY/NO CATH,$28 ,Chargeable Supply
FOLEY CATHETER SILICONE,$33 ,Chargeable Supply
CATHETER UNRINARY DARIN COUDE,$16 ,Chargeable Supply
"SPLINT,WRIST AND THUMB",$57 ,Chargeable Supply
"SPLINT, HAND, FINGER ORTHOTIC",$61 ,Chargeable Supply
"BOOT, WALKER ORTHOTIC",$70 ,Chargeable Supply
"SPLINT, THUMBWRAP UNIVERSAL",$37 ,Chargeable Supply
STABILIZER THUMB,$70 ,Chargeable Supply
"BOOT, WALKER MULTIBOOT",$120 ,Chargeable Supply
"BOOT, WALKER MULTIBOOT",$56 ,Chargeable Supply
"SPLINT, WRIST FOREARM",$31 ,Chargeable Supply
DRESSING DUODERM,$24 ,Chargeable Supply
DRESSING DUODERM 8X8,$46 ,Chargeable Supply
STRAP TENNIS ELBOW EPILOCK,$62 ,Chargeable Supply
"BANDAGE,ACE 6"" VELCRO",$12 ,Chargeable Supply
"DRESSING,COBAN COHESIVE 2""",$7 ,Chargeable Supply
"DRESSING,COBAN COHESIVE 3"" BL",$8 ,Chargeable Supply
"DRESSING,COBAN COHESIVE 6""",$12 ,Chargeable Supply
"STOCKING,ANTI-EMB THIGH",$32 ,Chargeable Supply
"SLING, SWATHE MEDIUM",$41 ,Chargeable Supply
"CATHETER, COLON DECOMPRESSION",$301 ,Chargeable Supply
"DRESSING, MEPILEX HEEL>48SQ IN",$57 ,Chargeable Supply
"DRESSING, MEPILEX BORDER 3X3",$13 ,Chargeable Supply
"DRESSING, MEPILEX BORDER 4X4",$18 ,Chargeable Supply
TRAY PASSER,$19 ,Chargeable Supply
"BANDAGE,COMPRESSION WD <3IN/YD",$30 ,Chargeable Supply
COLON GI OVERTUBE ESOPHAGEAL,$418 ,Chargeable Supply
COLON GI OVERTUBE COLONIC,$242 ,Chargeable Supply
TRAY-INTRODUCER PERCUT GROSHON,$260 ,Chargeable Supply
"DIALATOR, DILATERIA",$55 ,Chargeable Supply
"TUBE, LUKI ASPIRATING",$36 ,Chargeable Supply
SPLINT WRIST & FOREARM PREFAB,$57 ,Chargeable Supply
"HOLDER, STATLOCK CATHETER/TUBE",$35 ,Chargeable Supply
OXYGEN PER HOUR,$24 ,Chargeable Supply
"LAP ENDO GRASPER,LIGASURE MAYL",$636 ,Chargeable Supply
SPLINT FINGER,$13 ,Chargeable Supply
PROTECTOR HEEL OR ELBOW,$84 ,Chargeable Supply
DRESSING MEPILEX 4x4,$21 ,Chargeable Supply
GEL CELLERATE 1 OZ,$121 ,Chargeable Supply
"IMMOBILIZ, SHOULDER UNIVER DEL",$44 ,Chargeable Supply
"SPLINT, THUMBKEEPER",$70 ,Chargeable Supply
"DRESS,PRESMA MATRIX 4 3/4 SQ/I",$34 ,Chargeable Supply
"COLLAGEN, PURACOL PLUS AG 4X4",$82 ,Chargeable Supply
"DRESSING, MELGISORB AG 4X4",$27 ,Chargeable Supply
"DRESSING,MEPILEX SACRUM BORDER",$26 ,Chargeable Supply
"GEL,MEDIHONEY 1.5 OZ",$39 ,Chargeable Supply
"BANDAGE,COMPRESSION WD<3IN",$30 ,Chargeable Supply
UNA BOOT GELOCAST,$54 ,Chargeable Supply
GASTROSTOMY/JEJUNOSTOMY TUBE,$513 ,Chargeable Supply
SET DRAINAGE PLEURAL/PNEUMOPER,$246 ,Chargeable Supply
DRAINAGE-PLEURAL COMPLETE KIT,"$3,477 ",Chargeable Supply
CERVICAL FLEXI FOAM COLLAR,$54 ,Chargeable Supply
COLLAR CERV STIFF FORMED,$77 ,Chargeable Supply
"COLLAR,PHILLY MIAMI J",$132 ,Chargeable Supply
"BRACE,SPINE TLSO ULTRALIGN",$611 ,Chargeable Supply
THORACIC-LUMBAR-SACRAL ORTHOTI,"$1,811 ",Chargeable Supply
BELT S1-LOC SACROILIAC,$95 ,Chargeable Supply
BINDER ABDOMINAL,$159 ,Chargeable Supply
"SUPPORT,LUMBOSACRAL CIRFIT",$153 ,Chargeable Supply
"PROTECTIVE BODY SOCK, EACH",$105 ,Chargeable Supply
IMMOBILIZER KNEE,$178 ,Chargeable Supply
"SPLINT, ANKLE FOOT, LARGE",$73 ,Chargeable Supply
ORTHO CUSTOM SOLE SUPPORT,$133 ,Chargeable Supply
"BOOT/SHOE, SURGICAL",$27 ,Chargeable Supply
LIFT HEAL AND SOLE,$33 ,Chargeable Supply
SHOULDER ORTHOTIC SMALL,$382 ,Chargeable Supply
STRAP TENNIS ELBOW EPILOCK,$60 ,Chargeable Supply
ELBOW ORTH W/JOINT PREFABRI,$143 ,Chargeable Supply
SPLINT WRIST & FOREARM PLAS,$89 ,Chargeable Supply
SPLINT WRIST,$61 ,Chargeable Supply
ORTHOTIC DEVICE REPR 15 MIN,$61 ,Chargeable Supply
"BRACE,ANKLE AIR INC STIRRUP",$89 ,Chargeable Supply
BOOT WALKING NONPNEUMATIC,$166 ,Chargeable Supply
SLEEVE COMPRESSION ARM,$130 ,Chargeable Supply
"JOINT, TOE IMPLANT","$2,704 ",Chargeable Supply
ORTH CUSTOM SOLE/OUTGROWTH POL,$183 ,Chargeable Supply
GAUNTLET COMPRESSION,$106 ,Chargeable Supply
FOLEY CATHETER TRAY,$72 ,Chargeable Supply
"CATHETER, FOLEY INDWELLING",$94 ,Chargeable Supply
"INDWELLING CATH COUDE,MUSHROOM",$82 ,Chargeable Supply
INDWELLING CATH FOLEY 2 WAY,$33 ,Chargeable Supply
CATH INTERM STRAIGHT TIP,$20 ,Chargeable Supply
"CATHETER,PEZZER 22FR LAX DRAIN",$16 ,Chargeable Supply
CATHETER TRAY STRAIGHT,$23 ,Chargeable Supply
CATHETER KIT FEMALE,$23 ,Chargeable Supply
FOLEY CATHETER TRAY/NO CATH,$27 ,Chargeable Supply
CATHETER BAG URINE DRAIN CLD,$45 ,Chargeable Supply
URINARY DRAINAGE BAG W/WO TUBE,$26 ,Chargeable Supply
ADHESIVE SKIN GLUE (DERMABOND),$84 ,Chargeable Supply
BINDER ABDOMINAL 3 PANEL 60-75,$159 ,Chargeable Supply
STOCKING ANT-EMBOL,$52 ,Chargeable Supply
PESSARY RUBBER ANY TYPE,$105 ,Chargeable Supply
PESSARY NON RUBBER ANY TYPE,$105 ,Chargeable Supply
SLINGS (ARM),$67 ,Chargeable Supply
CAST SUPPLIES,$33 ,Chargeable Supply
METER PEAK FLOW,$40 ,Chargeable Supply
"TIP, CLEAR YANKAUER OPEN",$83 ,Chargeable Supply
GEL CELLERATE 1/4 OZ,$52 ,Chargeable Supply
GEL CELLERATE 1 OZ,$117 ,Chargeable Supply
"DRESS,PRESMA MATRIX 4 3/4 SQ/I",$35 ,Chargeable Supply
"COLLAGEN, PURACOL PLUS AG 4X4",$82 ,Chargeable Supply
DRESSING AQUACEL W/SILVER,$54 ,Chargeable Supply
"DRESSING, HEEL MEPILEX 5X8",$33 ,Chargeable Supply
"DRESSING, MELGISORB AG 4X4",$27 ,Chargeable Supply
"DRESSING, MELGISORB AG 2X2",$19 ,Chargeable Supply
DRESSING KALTOSTAT,$24 ,Chargeable Supply
DRESSING ALLEVYN 4x4,$19 ,Chargeable Supply
DRESSING MEPILEX 4x4,$20 ,Chargeable Supply
"DRESSING, MEPILEX BORDER 3X3",$13 ,Chargeable Supply
"DRESSING, MEPILEX BORDER 4X4",$17 ,Chargeable Supply
DRESSING MEPILEX,$47 ,Chargeable Supply
NU GAUZE PADS,$11 ,Chargeable Supply
DRESSING TELFA ISLAND,$10 ,Chargeable Supply
DRESSING MEDIPORE,$11 ,Chargeable Supply
DRESSING XEROFOAM,$23 ,Chargeable Supply
DRESSING ADAPTIC,$18 ,Chargeable Supply
DRESSING VASELINE,$12 ,Chargeable Supply
"DRESSING, DUODERM 4 X 4",$11 ,Chargeable Supply
DRESSING DUODERM EA,$23 ,Chargeable Supply
DRESSING  DUODERM 8x8,$46 ,Chargeable Supply
HYDROGEL DRESSING EA (ALLDRESS,$44 ,Chargeable Supply
GEL HYDROGEL,$77 ,Chargeable Supply
DRESSING HYPERGEL,$41 ,Chargeable Supply
DRESSING NORMGEL,$41 ,Chargeable Supply
"DRESSING, HYDROGEL WOUND 3 OZ",$41 ,Chargeable Supply
DRESSING HYDROGEL WOUND 1 OZ,$24 ,Chargeable Supply
DRESSING TELFA <48 SQ IN,$10 ,Chargeable Supply
DRESSING ABS PAD 48 SQ IN >,$12 ,Chargeable Supply
"BANDAGE, CONFORMING 2 """,$17 ,Chargeable Supply
"BANDAGE,COMPRESSION WD<3IN/YD",$30 ,Chargeable Supply
"BANDAGE,ELASTIC 3 TO 5 INCHES",$20 ,Chargeable Supply
"BANDAGE,ELASTIC 5 OR MORE IN",$20 ,Chargeable Supply
SELF ADHERENT BANDAGE-W<3IN/YD,$7 ,Chargeable Supply
LGT COMPRESSI BAND-W>3IN&<5INC,$8 ,Chargeable Supply
"DRESSING,COBAN COHESIVE 6""",$12 ,Chargeable Supply
UNA BOOT GELOCAST,$54 ,Chargeable Supply
"STOCKING,ANTI-EMB THIGH",$31 ,Chargeable Supply
"TUBING, SUCTION STERILE 6' 6MM",$7 ,Chargeable Supply
"SUCTION,TUBING STERILE 6MM 12'",$7 ,Chargeable Supply
"TUBING,SUCTION STERILE 1/4""X 6",$7 ,Chargeable Supply
"NEBULIZER,BREATH ACTIVATED",$27 ,Chargeable Supply
TUBE GASTROSTOMY BUTTON,$513 ,Chargeable Supply
SOFT FOAM COLLAR,$54 ,Chargeable Supply
CERVICAL PLASTIC COLLAR ADULT,$68 ,Chargeable Supply
COLLAR CERVICAL STIFF FORMED,$77 ,Chargeable Supply
BINDER ABDOMINAL,$159 ,Chargeable Supply
KO ELASTIC W JOINT PREFABRICAT,$124 ,Chargeable Supply
PATELLA STABILIZER,$102 ,Chargeable Supply
KNEE ORTHOTIC IMMOBILIZER,$178 ,Chargeable Supply
"KNEE BRACE, ADJUSTABLE JOINT",$130 ,Chargeable Supply
ANKLE/FOOT ORTHOTIC (SWEDO),$91 ,Chargeable Supply
ANKLE FOOT ORTHOSIS SUPPORT,$85 ,Chargeable Supply
ANKLE-FOOT ORTHOTIC,$73 ,Chargeable Supply
ANKLE/FOOT ORTH TIB FX SEMI-RI,$108 ,Chargeable Supply
FOOT SUPPORT NONREM METATARSAL,$32 ,Chargeable Supply
"BOOT/SHOE, SURGICAL",$26 ,Chargeable Supply
LIFT ELEVATION--HEAL BED,$110 ,Chargeable Supply
OROTHOPEDIC SHOE FULL SOLE,$58 ,Chargeable Supply
STRAP CLAVICAL SPLINT,$38 ,Chargeable Supply
"SLING,SWATHE MEDIUM",$40 ,Chargeable Supply
SHOULDER ORTHO-ABDUCTION RESTR,$46 ,Chargeable Supply
"IMMOBILIZER, SHOULDER LARGE",$27 ,Chargeable Supply
"IMMOBIZ, SHOULDER UNIVER DEL",$43 ,Chargeable Supply
"IMMOBILIZER, SHOULDER MENS MED",$27 ,Chargeable Supply
"IMMOBILIZER, SHOULDER XL",$27 ,Chargeable Supply
IMMOBILIZER SHOULDER WMN 24-30,$27 ,Chargeable Supply
"IMMOBILIZER,SHOULDER MEDIUM",$27 ,Chargeable Supply
IMMOBILIZER SHOULDER WMN 36-42,$27 ,Chargeable Supply
IMMOBILIZER SHOULDER WMN 42-48,$27 ,Chargeable Supply
"IMMOBILIZER, SHOULDER SMALL",$27 ,Chargeable Supply
STRAP TINNIS ELBOW EPILOCK,$60 ,Chargeable Supply
ELBOW ORTHOTIC W/JOINT PREFABI,$143 ,Chargeable Supply
WRST/HAND ORTHO W/JNTS CUS,$80 ,Chargeable Supply
"SPLINT, WRITST & THUMB",$55 ,Chargeable Supply
FING/HAND/WRST RIGID W/O JNTS,$93 ,Chargeable Supply
WRST/HAND ORTHO W/O JNTS C FAB,$58 ,Chargeable Supply
WRIST/HAND ORTHOTIC,$55 ,Chargeable Supply
"SPLINT, WRIST FOREARM",$29 ,Chargeable Supply
"SPLINT, HAND, FINGER, ORTHOTIC",$61 ,Chargeable Supply
"SPLINT,THUMBWRAP UNIVERSAL",$37 ,Chargeable Supply
SPLINT FINGER,$55 ,Chargeable Supply
UPPER EXT FX ORTHOSIS HUMERAL,$203 ,Chargeable Supply
UPPER EXT FX ORTHOSIS WRIST,$61 ,Chargeable Supply
"BRACE,ANKLE AIR INC STIRRUP",$89 ,Chargeable Supply
WALKING BOOT PNEUMATIC,$70 ,Chargeable Supply
WALKING BOOT,$166 ,Chargeable Supply
STATIC/DYNAMIC ANKLE-FOOT ORTH,$166 ,Chargeable Supply
"BOOT, WALKER MULTIBOOT",$120 ,Chargeable Supply
"BOOT, WALKER MULTIBOOT",$56 ,Chargeable Supply
SHORT ARM CAST SUPPLIES,$21 ,Chargeable Supply
FINGER SPLINT,$17 ,Chargeable Supply
,,
,,
Description ,  Charge $   , Department 
**** Pharmacy charges vary depending on supplier.  Pharmacy charges are subject to change. ****,,
ADM RX PTS OWN/ACUTE LTC,$17 ,Pharmacy
PROHANCE 15 ML VIAL,$193 ,Pharmacy
OMNIPAQUE-350 100 ML VIAL,$234 ,Pharmacy
OMNIPAQUE-350 150 ML VIAL,$314 ,Pharmacy
OMNIPAQUE-300 50 ML SYR,$125 ,Pharmacy
OMNIPAQUE-300 50ML VIAL,$125 ,Pharmacy
HIV 1 RNA TROPISM,$750 ,Pharmacy
DEFINITY INJECTION PER ML,$261 ,Pharmacy
BUMETANIDE 0.25 MG/ML VIAL,$21 ,Pharmacy
AMPICILLIN 1 GM VIAL,$23 ,Pharmacy
DoBUTamine 12.5 MG/ML VIAL,$23 ,Pharmacy
GLUCAGON 1 EA KIT,$367 ,Pharmacy
METHOTREXATE 25 MG/ML VIAL,$23 ,Pharmacy
DULOXETINE 30 MG CAP,$20 ,Pharmacy
KCL 20MEQ/D5 1/2NS 1000 ML BAG,$63 ,Pharmacy
DEXTROSE10/WATER 250 ML BAG,$12 ,Pharmacy
SODIUM CHLORIDE 0.45% 1000 ML BAG,$63 ,Pharmacy
KCL 10MEQ/D5 1/2NS 1000 ML BAG,$63 ,Pharmacy
PREGABALIN 75 MG CAP,$19 ,Pharmacy
PERPHENAZINE 4 MG TAB,$5 ,Pharmacy
ONDANSETRON HCL 4 MG ODT,$41 ,Pharmacy
CEFDINIR 300 MG CAP,$11 ,Pharmacy
PNEUMOCOCCAL 13-VALENT CONJUGA 0.5 ML SYR,$191 ,Pharmacy
RABIES VACCINE HUMAN DIPL CELL 2.5 IU/ML SYR,$696 ,Pharmacy
"MEASLES,MUMPS,RUBELLA VACCINE 1 ML VIAL",$54 ,Pharmacy
TETANUS/DIPHTHERIA TOX 0.5 ML VIAL (7 YRS OR OLDER,$24 ,Pharmacy
TETANUS/DIPHTHERIA TOX (Td PRESERV FREE > 7YR) 0.5,$24 ,Pharmacy
TDAP (TETANUS/DIPTHERIA/PERTUSSIS) 0.5 ML,$42 ,Pharmacy
HEPATITIS B VACCINE 20 MCG/ML VIAL,$143 ,Pharmacy
ABATACEPT/MALTOSE 250 MG/15 ML VIAL,"$1,675 ",Pharmacy
"ACETAMINOPHEN 1,000 MG/100 ML VIAL",$94 ,Pharmacy
ACETYLCYSTEINE 200 MG/ML VIAL,$402 ,Pharmacy
ACYCLOVIR 50 MG/ML 10 ML VIAL,$47 ,Pharmacy
ADENOSINE 6 MG/2 ML VIAL,$33 ,Pharmacy
ADENOSINE 12 MG/4 ML SYRINGE,$54 ,Pharmacy
EPINephrine 1:1000 1 MG/ML AMP,$10 ,Pharmacy
EPINephrine 1:10000 1 MG/10 ML SYRINGE,$20 ,Pharmacy
AMIODARONE HCL 150 MG/100 ML PREMIX,$14 ,Pharmacy
AMIODARONE 50 MG/ML 3 ML VIAL,$14 ,Pharmacy
AMPICILLIN/SULBACTAM 1.5 GM VIAL,$22 ,Pharmacy
AMPICILLIN/SULBACTAM 3 GM VIAL,$21 ,Pharmacy
SUCCINYLCHOLINE 20 MG/ML VIAL,$48 ,Pharmacy
HydrALAzine 20 MG/ML VIAL,$35 ,Pharmacy
AZITHROMYCIN 500 MG VIAL,$13 ,Pharmacy
ATROPINE SULFATE 0.1 MG/ML ADULT SYRINGE,$28 ,Pharmacy
ATROPINE SULFATE 1 MG/ML VIAL,$34 ,Pharmacy
DICYCLOMINE 10 MG/ML AMP,$183 ,Pharmacy
PENICILLIN G BENZATHINE 1.2 MU/2 ML SYR,$204 ,Pharmacy
BUTORPHANOL TARTRATE 2 MG/ML VIAL,$17 ,Pharmacy
"CALCIUM GLUCONATE 1,000 MG/10 ML VIAL",$19 ,Pharmacy
CALCITONIN SALMON (MIACALCIN) 200 U/ML 2 ML VIAL,"$4,319 ",Pharmacy
CEFAZOLIN 1 GM VIAL,$8 ,Pharmacy
CEFOXITIN 1 GM VIAL,$29 ,Pharmacy
CEFTRIAXONE 250 MG VIAL,$7 ,Pharmacy
CEFTRIAXONE 500 MG VIAL,$7 ,Pharmacy
CEFTRIAXONE 1 GM VIAL,$9 ,Pharmacy
BETAMETHASONE 6 MG/ML VIAL,$24 ,Pharmacy
CEFTAZIDIME 1 GM VIAL,$16 ,Pharmacy
CLONIDINE HCL 100 MCG/ML VIAL,$61 ,Pharmacy
IMIPENEM/CILASTATIN 500 MG VIAL,$4 ,Pharmacy
CIPROFLOXACIN/DEXTROSE 400 MG/200 ML PREMIX BAG,$12 ,Pharmacy
PROCHLORPERAZINE 10 MG/2 ML VIAL,$46 ,Pharmacy
COSYNTROPIN 0.25 MG VIAL,$230 ,Pharmacy
