Arrowhead Regional Medical Center,,,, Effective on 01/01/2019 ,,
38010039,510,1.408,"DEBRIDEMENT,SUBCUT AND MUSCLE",$863.00 ,11043,11043
38010047,510,1.408,"DEBRIDEMENT,BONE OR TENDON","$2,297.00 ",11044,11044
38010146,921,1.408,TCPO2-TRANSCUTNS PRESS O2 MULT,$489.00 ,93923,
38010161,413,1.408,"HBO, 30 MIN EACH",$532.00 ,,
38010195,413,1.408,"HBO, INITIAL 15 MIN EA (MCL)",$267.00 ,,Z7606
38010203,413,1.408,"HBO, SUBSEQ 15 MIN EACH (MCL)",$267.00 ,,Z7608
38011062,510,1.408,"DEBRIDE OPEN WOUND, FIRST 20CM",$475.00 ,97597,97597
38011070,413,1.408,NON-SPECIFIC DEBRID (WC/DC),$289.00 ,97602,
38011100,510,1.408,EXAM/TREATMENT ROOM WCC,$160.00 ,99211,Z7500
38011102,510,1.408,APPL COMPRESSION SYSTEM,$356.00 ,29581,29581
38011106,510,1.408,APPL CAST LEG SHORT WALK,$805.00 ,29425,29425
38011107,510,1.408,BONE MARROW ST CELL HARV TRANS,"$5,750.00 ",38232,38232
38011108,510,1.408,BONE MARROW ST CELL APPL PRP,$264.00 ,0232T,
38011109,510,1.408,APPL OF SKIN SUBSTITUTE < 25SQ,"$2,756.00 ",15271,15271
38011110,510,1.408,APPL OF SKIN SUBSTITUE <25 SQ,"$2,756.00 ",15275,15275
38011111,510,1.408,APPL OF SKIN SUBSTITUTE,"$1,100.00 ",,
38011112,771,1.408,IMMUNIZATION ADMIN INITIAL,$123.00 ,90471,90471
38011113,771,1.408,IMMUNIZATION ADMIN EA ADD,$123.00 ,90472,90472
38011114,771,1.408,ADMIN VACCINE INFLUENZA,$2.00 ,90471,90471
38100010,510,1.4184,PREV MED INDV COUNSLING 15 MIN,$118.00 ,99401,99401
38100011,510,1.4184,PREV MED INDV COUNSLING 30 MIN,$147.00 ,99402,99402
38100012,510,1.4184,PREV MED INDV COUNSLING 45 MIN,$175.00 ,99403,99403
38100013,510,1.4184,PREV MED INDV COUNSLING 60 MIN,$205.00 ,99404,99404
38100021,460,1.4184,FLOW/VOLUME LOOP,$275.00 ,94375,94375
38100022,410,1.4184,MED NEB - PRESS/NPRSS INHAL TX,$134.00 ,94640,94640
38100023,460,1.4184,PULSE OXIMETRY INTERMITTENT,$86.00 ,94760,94760
38100024,924,1.4184,PERCUTANEOUS ALLERGY TEST,$182.00 ,95004,95004
38100025,410,1.4184,MET DS INHALTN TX,$134.00 ,94640,94640
39000149,821,1.474,ER/UNSCHEDULED HEMODIALYSIS,$979.00 ,,Z6006
39000150,801,1.474,"IP HEMODIALYSIS, SINGLE",$979.00 ,90935,90935
39000151,831,1.474,PERITONEAL SINGLE,$979.00 ,90945,90945
39000153,821,1.474,OP HEMODIALYSIS TRMT W/ESRD,$979.00 ,90999,Z6006
39000154,820,1.474,"IP HEMODIALYSIS, RE-EVAL",$490.00 ,90937,90937
39000155,771,1.474,IMMUNIZATION ADMIN INITIAL,$123.00 ,90471,90471
39000156,771,1.474,IMMUNIZATION ADMIN EA ADD,$123.00 ,90472,90472
39000157,510,1.474,INJ INTRAMUSCULAR OR SQ,$123.00 ,96372,96372
39000158,771,1.474,INFLUENZA VACCINE ADMIN,$2.00 ,90471,90471
39000159,771,1.474,PNEUMOCOCCAL VAC ADMIN - MCR,$123.00 ,,
39000160,302,1.474,PPD SKIN TEST,$63.00 ,86580,86580
39000161,831,1.474,PERITONEAL MULTIPLE,$979.00 ,90947,90947
39118203,360,1.4862,KIDNEY SALVAGE,"$86,038.00 ",50300,50300
39118302,360,1.4862,LIV-DONOR-KIDNEY,"$25,486.00 ",50320,50320
39129530,270,1.476,STENT 10FRX5CM RX BIL DB,$996.00 ,,Z7610
40000010,424,1.477,PT EVAL LOW COMPLEX 20 MIN,$328.00 ,97161GP,
40000011,424,1.477,PT EVAL MOD COMPLEX 30 MIN,$351.00 ,97162GP,
40000012,424,1.477,PT EVAL HIGH COMPLEX 45 MIN,$374.00 ,97163GP,
40000119,420,1.477,PT THERAPEUTIC PROC INT 30 MIN,$137.00 ,97110GP,X3908
40000127,420,1.477,THERAPEUTIC PROC EA 15 MIN,$69.00 ,97110GP,
40000318,420,1.477,PT ADD'L WD DBRD =/<20 SQ CM,$475.00 ,97598GP,97598
40000319,420,1.477,PT WD THPY NEG PRESS <50 SQ,$289.00 ,97605GP,97605
40000320,420,1.477,PT WD THPY NEG PRESS >50 SQ,$475.00 ,97606GP,97606
40000324,420,1.477,PT WD DBRD =/<20 SQ CM,$475.00 ,97597GP,97597
40000366,420,1.477,TRACTION MECHANICAL,$70.00 ,97012GP,
40000614,420,1.477,ULTRASOUND THERAPY EA 15 MIN,$55.00 ,97035GP,
40000762,420,1.477,PT WD CARE NON SPEC/DRESSING,$289.00 ,97602GP,97602
40000820,420,1.477,GAIT/STAIR EA 15 MIN,$123.00 ,97116GP,
40000960,420,1.477,MANUAL THERAPY EA 15 MINUTES,$129.00 ,97140GP,
40001026,420,1.477,ORTHOTIC MGMT TRNG EA 15MINUTE,$163.00 ,97760GP,
40001075,420,1.477,PROSTHETIC TRNG EA 15 MIN,$142.00 ,97761GP,
40001158,420,1.477,FUNCTIONAL MOBILITY EA 15 MIN,$150.00 ,97530GP,
40001174,420,1.477,WHEELCHAIR MGMT EA 15 MIN,$132.00 ,97542GP,
40001653,424,1.477,PT RE-EVAL EST PLAN CARE,$183.00 ,97164GP,
40001703,420,1.477,PT TEST & MEASUREMENTS,$143.00 ,97750GP,97750
40001745,420,1.477,NEURO BAL/COORD RE-EDU 15MIN,$143.00 ,97112GP,
40001752,420,1.477,SELF/HOME MGMT TRNG EA 15 MIN,$150.00 ,97535GP,
40001851,420,1.477,ELECTRO THERAPY UNATTENDED,$59.00 ,,
40001852,918,1.477,DEVELOPMENTAL SCREENING,$194.00 ,96110,
40001854,420,1.477,COLD LASER,$83.00 ,97032GP,
40001860,424,1.477,PT EVAL M/C INITIAL 30 MIN,$284.00 ,,X3920
40001861,424,1.477,PT EVAL M/C EA ADDL 15 MIN,$142.00 ,,X3922
40001862,424,1.477,PT RE-EVAL M/C INITIAL 30 MIN,$284.00 ,,X3920
40001866,420,1.477,PT THERAPEUTIC PROC INIT 30MIN,$257.00 ,97110GP,X3908
40001867,420,1.477,PT THERAPEUTIC PROC EA ADDL 15,$130.00 ,97110GP,X3910
40001868,270,1.447,40001868,$0.01 ,34805,
40500028,444,1.478,ST EVAL SPEECH FLUENCY,$511.00 ,92521,X4301
40500029,444,1.478,ST EVAL SPEECH SOUND ARTICULAT,$413.00 ,92522,X4301
40500030,444,1.478,ST EVAL SPEECH ALN COMP EXP,$858.00 ,92523,X4301
40500031,444,1.478,ST EVAL BEHAV QUAL VOICE RES,$428.00 ,92524,X4301
40500035,444,1.478,ST EVAL DYSPHAGIA BEDSIDE,$310.00 ,92610GN,X4320
40500043,444,1.478,ST EVAL DYSPHAGIA MOD BARIUM,$527.00 ,92611,X4320
40500068,449,1.478,ST EVAL&FIT VOICE PROSTHETIC,$453.00 ,92597GN,92597
40500069,440,1.478,VITAL STIM ELECTRODE,$192.00 ,,Z7610
40500084,440,1.478,ST COGNITIVE THERAPY PER DAY,$340.00 ,97127GN,X4303
40500092,440,1.478,ST DYSPHASIA/FEEDING TRMT,$433.00 ,92526GN,X4320
40500095,440,1.478,ST SP/LANG THPY M/C IND 30 MIN,$373.00 ,,X4304
40500100,440,1.478,SP SPEECH/LANG THPY IND,$373.00 ,92507GN,X4303
40500115,444,1.478,ST ASSESS APHASIS PER HR,$487.00 ,96105GN,X4301
41000019,434,1.479,OT EVAL LOW COMPLEX 20 MIN,$366.00 ,97165GO,
41000020,434,1.479,OT EVAL MOD COMPLEX 30 MIN,$389.00 ,97166GO,
41000021,434,1.479,OT EVAL HIGH COMPLEX 45 MIN,$412.00 ,97167GO,
41000100,430,1.479,OT ORTHOTIC MGMT TRNG 15 MIN,$163.00 ,97760GO,
41000127,430,1.479,ELECTRO STIM 1 OR MORE AREA 15,$83.00 ,97032GO,
41000210,434,1.479,OT RE-EVAL EST PLAN CARE,$226.00 ,97168GO,
41000218,430,1.479,OT SENSORY INTEG,$127.00 ,97533GO,97533
41000219,430,1.479,OT APPLY SPLINT LONG ARM,$356.00 ,29105GO,29105
41000220,430,1.479,OT APPLY SPLINT SHORT ARM STAT,$356.00 ,29125GO,29125
41000221,430,1.479,OT APPLY SPLINT SHORT ARM-DYNA,$356.00 ,29126GO,29126
41000225,430,1.479,NEURO BAL/COOD RE-EDU 15MIN,$143.00 ,97112GO,
41000422,430,1.479,OT APPLY SPLINT FINGER STATIC,$356.00 ,29130GO,29130
41000423,430,1.479,OT APPLY SPLINT FINGER DYNAMIC,$356.00 ,29131GO,29131
41000506,430,1.479,OT THERP PROC M/C INIT 30MIN,$137.00 ,,X4110
41000514,430,1.479,FLUIDOTHERAPY,$98.00 ,97022GO,
41000605,430,1.479,THERAPEUTIC PROC EA 15 MIN,$69.00 ,97110GO,
41000613,430,1.479,ULTRASOUND THERAPY 15 MINUTES,$55.00 ,97035GO,
41000665,434,1.479,OT EVAL M/C EA ADD 15 MIN,$183.00 ,,X4102
41000666,434,1.479,OT EVAL M/C INIT 30 MIN,$366.00 ,,X4100
41000680,434,1.479,OT RE-EVAL M/C INITIAL 30 MIN,$366.00 ,,X4100
41000681,434,1.479,OT RE-EVAL M/C EA ADDL 15 MIN,$183.00 ,,X4102
41000682,430,1.479,OCC THER TREATMT EA ADD 15 MIN,$69.00 ,,X4112
41001124,430,1.479,SELF/HM MGMT TRAINING 15 MIN,$150.00 ,97535GO,
41001125,430,1.479,FUNCTIONAL MOBILITY EA 15 MIN,$150.00 ,97530,
41011099,430,1.479,COGNITIVE THERPY PER DAY,$114.00 ,97127GO,
41011123,430,1.479,MANUAL THERAPY 15 MININUTES,$129.00 ,97140GO,
41011149,430,1.479,OT PARAFFIN BATH,$48.00 ,97018GO,97018
41011156,430,1.479,ELECTROTHERAPY UNATTENDED,$59.00 ,,
41011157,918,1.479,DEVELOPMENTAL SCREENING,$194.00 ,96110,
42000061,278,1.447,VAGAL NERVE STIMULATOR,"$46,106.00 ",,Z7610
42020107,270,1.447,DRESSING BURN 4 X 12,$60.00 ,,Z7610
42020151,278,1.4421,"EZ DERM EM SKIN 3X48"" MESHED","$1,212.00 ",,
42020152,278,1.4421,"EZ DERM EM SKIN 3X24"" MESHED",$798.00 ,,
42020154,278,1.4421,"EZ DERM EM SKIN 3X12"" MESHED",$637.00 ,,
42020156,278,1.4421,"EZ DERM EM SKIN 3X4"" MESHED",$174.00 ,,
42020158,278,1.4421,"EZ DERM EM SKIN 7X18"" MESHED","$1,238.00 ",,
42020162,278,1.4421,"EZ DERM EM SKIN 2X2"" MESHED",$128.00 ,,
42020958,270,1.447,NORSEN DEBRIDERS,$127.92 ,,Z7610
42021006,270,1.447,PILLOW ABDUCTION - SMALL,$169.52 ,,Z7610
42030023,270,1.447,"CATH UMBILICAL 5FR 15""",$256.88 ,,Z7610
42030305,270,1.4631,TRAY FOLEY 16F W/METER LUB CAT,$231.00 ,,Z7610
42030306,270,1.4631,TRAY FOLEY 16F W/URINE METER,$208.00 ,,Z7610
42030307,270,1.447,TRAY FOLEY 16F TEMP SEN,$130.00 ,,Z7610
42030593,270,1.447,KIT CATH FEMALE,$21.84 ,,Z7610
42030635,270,1.447,CATH SUCTION 14FR,$12.48 ,,Z7610
42030817,270,1.447,CATH SUCTION 8FR,$12.48 ,,Z7610
42030841,270,1.447,CATH SUCTION 14FR 24 HR,$127.92 ,,Z7610
42031010,278,1.4421,CATH GROSHONG 8.0FR SNGL LUMEN,"$2,263.00 ",,C1886
42031014,272,1.4631,DRAINAGE CATHETER RESOLVE LOCK,$427.00 ,,Z7610
42031015,272,1.447,CATHETER RESOLVE LOCKING 10FR,$354.00 ,,Z7610
42031016,272,1.447,RESOLVE LOCKING 12FR CATHETER,$354.00 ,,Z7610
42031017,272,1.447,CATHETER RESOLVE LOCKING 14FR,$354.00 ,,Z7610
42031018,272,1.447,RESOLVE ENDOSCO 8FR 40CM DRAIN,$416.00 ,,Z7610
42031019,272,1.447,RESOLVE ENDOSC 10FR 40CM DRAIN,$416.00 ,,Z7610
42031020,272,1.447,RESOLVE ENDOSC CATHETER,$416.00 ,,Z7610
42031022,272,1.447,BILARY DRAINAGE CATHETER,$450.00 ,,Z7610
42031023,272,1.447,BILIARY DRAINAGE CATHETER,$450.00 ,,Z7610
42031024,272,1.447,BILIARY DRAINAGE CATHETER 12FR,$450.00 ,,Z7610
42031104,270,1.447,CATH UMBILICAL 3.5FR,$313.04 ,,Z7610
42031153,270,1.447,CATH NEPHROSTOMY 24FR,$615.68 ,,Z7610
42031203,270,1.447,CATH HICKMAN 9.6 SINGLE,"$2,112.24 ",,Z7610
42031252,270,1.447,CATH URETERAL 10 X 50 6FR,$318.24 ,,Z7610
42032155,270,1.447,TRAY FOLEY 16F W/URINE METER,$197.00 ,,Z7610
42032156,270,1.447,TRAY FOLEY 18F W/URINE METER,$176.00 ,,Z7610
42032193,270,1.447,CATH FOLEY 26FR,$163.28 ,,Z7610
42032240,270,1.4421,OTW VALVULOTOME W/GUIDEWIRE,"$6,296.00 ",,C1886
42032260,270,1.4421,REDDICK CHOLANGIO CATHETER,$505.00 ,,Z7610
42032272,272,1.447,EMBOLECTOMY CATHETER 2FR 40CM,$300.00 ,,Z7610
42032273,272,1.447,EMBOLECTOMY CATHETER 3FR 40CM,$300.00 ,,Z7610
42032274,272,1.447,EMBOLECTOMY CATHETER 4FR 40CM,$300.00 ,,Z7610
42032275,272,1.447,EMBOLECTOMY CATHETER 5FR 40CM,$300.00 ,,Z7610
42032276,270,1.447,CATH EMBOLECTOMY 2FR,"$1,185.60 ",,Z7610
42032280,270,1.4421,CATHETER EMBOLECTOMY 2FR 60CM,$205.00 ,,Z7610
42032285,270,1.4421,CATHETER EMBOLECTOMY 3FR 80CM,$205.00 ,,Z7610
42032290,270,1.4421,CATHETER EMBOLECTOMY 4FR 80CM,$205.00 ,,Z7610
42032295,270,1.4421,CATHETER EMBOLECTOMY 5FR 80CM,$205.00 ,,Z7610
42032300,270,1.447,CATH EMBOLECTOMY 3FR,$830.96 ,,Z7610
42032318,270,1.447,CATH EMBOLECTOMY 4FR,"$1,052.48 ",,Z7610
42032565,270,1.447,CATH COUDE 16FR 5CC,$68.00 ,,Z7610
42032573,270,1.447,CATH COUDE 18FR,$185.12 ,,Z7610
42032581,270,1.447,CATH COUDE 20FR,$185.12 ,,Z7610
42033100,270,1.447,CATH OPTI-G FIBER 8FR,"$2,776.80 ",,Z7610
42033308,270,1.447,CATH WORD BARTHOLIN 10FR,$173.68 ,,Z7610
42033381,270,1.447,CATH QUINTON PERITONEAL,$763.36 ,,Z7610
42033400,270,1.457,EAGLE EYE IVUS CATH PLAT DIG,"$5,428.00 ",,Z7610
42033401,272,1.457,VOLCANO REVOLUTION CATHETER,"$5,078.00 ",,Z7610
42033402,270,1.457,VERRATA PRESSURE GUIDE WIRE,"$5,428.00 ",,Z7610
42033403,272,1.447,IVUS CATHETER 90CM,"$3,150.00 ",,Z7610
42033423,272,1.447,CATH URETERAL 6FR,$63.00 ,,Z7610
42033730,270,1.447,CATH FOBARTY 3F EMBOLECTOMY,$696.00 ,,Z7610
42033735,270,1.447,CATH FOGARTY 4F EMBOLECTOMY,$696.00 ,,Z7610
42033740,270,1.447,CATH FOGARTY 5F EMBOLECTOMY,$696.00 ,,Z7610
42035065,270,1.447,CATH VASCULAR 5FR 100CM,$228.00 ,,Z7610
42040014,272,1.447,WIRE GUIDE .038 X 145,$408.00 ,,Z7610
42040018,272,1.447,"GLIDEWIRE, ANGLED .038X260",$695.00 ,,Z7610
42040055,270,1.447,WIRE GUIDE ANGLED .035,$251.00 ,,Z7610
42040088,270,1.447,DREAMWIRE,"$1,710.00 ",,Z7610
42040090,272,1.4421,"DREAMWIRE F/G .35""/STIFF/450CM","$1,333.00 ",,
42040105,278,1.447,STENT 6FR 20CM BLACK SILICONE,$986.07 ,,Z7610
42041115,272,1.447,NAVICROSS STRAIGHT CATHETER 65,"$1,026.00 ",,Z7610
42041116,272,1.447,NAVICROSS STRAIGHT 135CM,"$1,026.00 ",,Z7610
42044024,272,1.447,WIRE GUIDE .038,$91.00 ,,Z7610
42050369,270,1.447,"BANDAGE ELASTIC 4""X4.5YD",$12.48 ,,Z7610
42050393,270,1.447,"BANDAGE ELASTIC 6""X4.5YD",$12.48 ,,Z7610
42050410,270,1.447,SYS BANDAGE PROFORE,$73.00 ,,Z7610
42050411,270,1.447,KIT COMPRIFORE 4 LAYER,$63.00 ,,Z7610
42050658,270,1.447,"DRESSING COBAN 4"" STERILE LF",$27.04 ,,Z7610
42050724,270,1.447,"DRESSING COBAN 2""X5YD",$12.48 ,,Z7610
42050872,270,1.447,DRESSING DOYLE NASAL,$160.16 ,,Z7610
42050906,270,1.447,DRESSING DUODERM 5.5 X 5.5 SIG,$106.08 ,,Z7610
42050930,270,1.447,DRESSING DUODERM 8X8 SIGNAL,$64.00 ,,Z7610
42050963,270,1.447,DRESSING MEDIPORE 7.75X11,$22.88 ,,Z7610
42051078,270,1.447,"PACKING STRIP IODO 1/2""",$32.24 ,,Z7610
42051201,270,1.447,"STRIP PACKING PLAIN 1/4""",$28.08 ,,Z7610
42051235,270,1.447,"STRIP PACKING 1/2"" PLAIN",$28.08 ,,Z7610
42051268,270,1.447,"GAUZE PACKING PLAIN 1""",$36.40 ,,Z7610
42051409,270,1.447,GAUZE KERLIX 4-1/2 6 PLY,$12.48 ,,Z7610
42051474,270,1.447,"SPONGE KERLIX SUPER 6""X6.75""",$12.00 ,,Z7610
42051508,270,1.447,PACK GAUZE DRESSING,$116.48 ,,Z7610
42051520,270,1.447,KIT BURN,$101.79 ,,Z7610
42051706,272,1.447,GEL WOUNDRESS COLLAGEN 102,$69.00 ,,Z7610
42051722,623,1.447,DRESSING ALGINATE 16,$44.72 ,,Z7610
42051730,623,1.447,DRESSING HYDROFIBER 2X2 AQUACE,$27.04 ,,Z7610
42051748,272,1.447,DRESSING ALGINATE 4X4,$18.00 ,,Z7610
42051771,270,1.447,PAD ELASTOGEL 4X4,$49.92 ,,Z7610
42051789,270,1.447,DRESSING ELASTOGEL 6X8,$82.16 ,,Z7610
42051813,270,1.447,"DRESSING TEGADERM 4 X 5.5""",$12.48 ,,Z7610
42051825,270,1.4421,DRSG HYDROFIBER 6x6 AQUACEL EX,$128.00 ,,Z7610
42051835,623,1.447,"DRSG AQUACEL 4x5"" AG EXTRA",$69.00 ,,Z7610
42051839,623,1.447,DRESSING WOUND 14CM X 25CM,$23.92 ,,Z7610
42051840,623,1.447,DRSG WOUND 6x6 AQUACEL AG XTRA,$154.00 ,,Z7610
42051854,270,1.447,DRESSING BIOBRANE 10X15,"$1,619.28 ",,Z7610
42052001,270,1.447,PAD OB NS,$12.48 ,,Z7610
42052076,270,1.447,TRIPAD 23 X 26,$12.48 ,,Z7610
42052308,270,1.447,SPONGE DRAIN 4 X 4 6PLY,$12.48 ,,Z7610
42052472,270,1.447,SPONGE GAUZE 2x2  2/PK,$12.48 ,,Z7610
42052522,270,1.447,SPONGE GAUZE 4X4 12 PLY,$12.48 ,,Z7610
42052548,270,1.447,SPONGE GAUZE 4X4 1 TRAY/10,$12.48 ,,Z7610
42052621,270,1.447,"SPONGE, LAP 18X18"""" 5/PK",$12.48 ,,Z7610
42052647,270,1.447,SPONGE LAP 18 X 4,$12.48 ,,Z7610
42052654,270,1.447,"DRESSING ACTICOAT 8 X16""",$260.00 ,,Z7610
42052688,270,1.447,DRESSING SECOND SKIN 2X3,$12.48 ,,Z7610
42052696,270,1.447,DRESSING SECOND SKIN 3 X 4,$14.56 ,,Z7610
42052910,270,1.447,DRESSING BURN SZ 1,$12.48 ,,Z7610
42052936,270,1.447,DRESSING BURN SZ 2,$12.48 ,,Z7610
42052951,270,1.447,DRESSING BURN SZ 3,$12.48 ,,Z7610
42052977,270,1.447,DRESSING BURN SZ 4,$12.48 ,,Z7610
42052993,270,1.447,DRESSING BURN SZ 5,$12.48 ,,Z7610
42053017,270,1.447,DRESSING BURN SZ 6,$12.48 ,,Z7610
42053033,270,1.447,DRESSING BURN SZ 7,$12.48 ,,Z7610
42053041,270,1.447,DRESSING BURN SZ 8,$12.48 ,,Z7610
42053058,270,1.447,DRESSING BURN SZ 9,$12.48 ,,Z7610
42053066,270,1.447,DRESSING BURN SZ 10,$12.48 ,,Z7610
42053074,270,1.447,DRESSING BURN SZ 11,$12.48 ,,Z7610
42053090,270,1.447,DRESSING BURN SZ 22,$12.48 ,,Z7610
42060061,270,1.447,CRUTCH QUICK-FIT ADULT,$98.80 ,,Z7610
42060085,270,1.447,"CRUTCH ADLT 4'1"" - 4'8"" YOUTH",$68.00 ,,Z7610
42060090,270,1.447,"CRUTCH ADLT 5'10"" - 6'6"" TALL",$96.00 ,,Z7610
42060095,270,1.447,"CRUTCH ADLT 5'2"" - 5'10"" REG",$70.00 ,,Z7610
42060100,270,1.447,"WALKER ADLT W/5"" WHEEL",$167.00 ,,Z7610
42080056,270,1.447,VIT PACK,"$1,978.00 ",,Z7610
42080101,270,1.447,PACK BASIC SURGICAL,$212.00 ,,Z7610
42080150,270,1.447,PACK LAP PELVIS,$241.28 ,,Z7610
42080176,270,1.447,PACK B.T.L,$695.76 ,,Z7610
42080200,270,1.447,PACK GYN/LAPAROSCOPY,$780.00 ,,Z7610
42080250,270,1.4421,TRAUMA PACK-LF,$766.00 ,,Z7610
42080259,270,1.447,PACK TOTAL HIP A & B,"$2,146.56 ",,Z7610
42080309,270,1.447,PACK TOTAL KNEE,"$1,894.88 ",,Z7610
42080358,272,1.447,PACK BURN,"$2,383.68 ",,Z7610
42080507,270,1.447,PACK GOWN,$38.48 ,,Z7610
42080952,270,1.447,PACK LAP CHOLE,"$3,127.28 ",,Z7610
42080978,270,1.447,PACK ORTHO ACCESSORIES,$250.64 ,,Z7610
42081208,270,1.447,PACK HIP,$947.44 ,,Z7610
42081216,270,1.447,PACK ARTHROSCOPY,$803.92 ,,Z7610
42081232,270,1.447,PACK LAPAROTOMY,$765.44 ,,Z7610
42081240,270,1.447,PACK C-SECTION,$960.96 ,,Z7610
42081257,270,1.447,PACK DELIVERY,$444.08 ,,Z7610
42081307,270,1.447,PACK CATARACT EYE,"$3,418.48 ",,Z7610
42081356,270,1.447,PACK NEURO,"$1,140.88 ",,Z7610
42081406,274,1.447,SHEET SHOULDER STR,$299.52 ,,L3650
42081505,270,1.447,PACK EXTREMITY LOWER,$865.28 ,,Z7610
42081554,270,1.447,PACK EXTREMITY UPPER,$851.76 ,,Z7610
42082255,270,1.447,DRAPE ISO WITH POUCH 12X27,$273.52 ,,Z7610
42082305,270,1.4421,PACK EYE POSTERIOR/VITRECTOMY,"$3,638.00 ",,Z7610
42082354,270,1.447,SET TUBING DISP IN/OUT,$991.12 ,,Z7610
42082560,270,1.447,KIT PAT CARE,$377.52 ,,A4649
42096123,270,1.447,TRAY CATH DUAL 11.5FX16CM,"$1,249.04 ",,Z7610
42096206,270,1.447,CATH QUINTON 11.5 X 13.5,"$1,165.84 ",,Z7610
42114606,272,1.447,MOLDING OCCLUSION BALLOON,"$3,054.00 ",,Z7610
42140210,270,1.447,BLADE KNIFE SS,$12.48 ,,Z7610
42140251,270,1.447,BLADE KNIFE SS,$12.48 ,,Z7610
42142000,270,1.447,KNIFE MYRENGOTOMY,$127.92 ,,Z7610
42160028,270,1.447,PUNCH BIOPSY SKIN 3MM STR.,$17.68 ,,Z7610
42160044,270,1.447,NDL BIOSPY 14GA X,"$2,333.76 ",,Z7610
42160051,270,1.447,"SET INFUSION 20GX1""",$120.64 ,,Z7610
42160069,270,1.447,SYRINGE DILATION INFLATION,$341.12 ,,Z7610
42160756,270,1.447,NEEDLE POTOCKY W/LUER LOCK,$67.00 ,,Z7610
42163188,270,1.447,NEEDLE SPINAL 20GA X 3-1/2,$16.64 ,,Z7610
42163600,270,1.447,CONNECTOR CLAVE CLOTLESS,$30.16 ,,Z7610
42170035,274,1.447,SLING ARM X-SM,$29.00 ,,L3763
42170037,278,1.447,OBRYX II TOT SLING,"$8,160.00 ",,
42170043,274,1.447,SLING ARM MEDIUM,$30.00 ,,L3763
42170050,274,1.447,SLING ARM LARGE,$32.00 ,,L3763
42170068,274,1.447,ARM SLING X-LG,$25.00 ,,Z7610
42170076,274,1.447,SLING ARM SMALL,$30.00 ,,L3763
42170084,270,1.447,BINDER ABDOMINAL,$85.00 ,,Z7610
42170100,278,1.447,SINGLE INCISION SLING SYSTEM,"$3,840.00 ",,C1771
42170530,270,1.447,BELT RIB FEMALE 3,$84.00 ,,Z7610
42170589,270,1.447,"BLADE GIGLI SAW 12""",$194.48 ,,Z7610
42170605,270,1.447,"BOOT UNNA GELOCAST 3""",$127.92 ,,Z7610
42170613,270,1.447,"BOOT UNNA 4""X10YD GELO",$38.00 ,,Z7610
42170654,274,1.447,SHOE CANVAS CAST SMALL,$38.00 ,,L2180
42170662,274,1.447,SHOE CANVAS CAST MEDIUM,$38.00 ,,L2180
42170670,274,1.447,SHOE CANVAS CAST LARGE,$38.00 ,,L2180
42171306,270,1.447,ROPE & PULLEY SET,$106.00 ,,Z7610
42171702,274,1.447,IMMOB SHLDR UNIVERSAL,$69.00 ,,L3650
42171900,274,1.447,IMMOB KNEE SM,$155.00 ,,L1830
42171918,274,1.447,IMMOB KNEE MED,$183.00 ,,L1830
42171926,270,1.447,"IMMOBILIZER KNEE 24""",$194.00 ,,Z7610
42171934,270,1.447,CAST BRACE HINGE,$169.00 ,,Z7610
42172031,274,1.447,"BRACE KNEE 32""""-",$696.00 ,,L2405
42172049,274,1.447,"BRACE KNEE 32""""+",$672.00 ,,L2415
42172060,270,1.4421,"BRACE O.R. 20"" REG",$921.00 ,,Z7610
42172065,270,1.4421,"BRACE O.R. 24"" LNG BLK LF",$984.00 ,,Z7610
42172510,270,1.447,"PADDING CAST 4"" X 4",$15.60 ,,Z7610
42172640,270,1.479,POLYFORM-SINGLE SHEET 1%,$447.00 ,,Z7610
42172767,274,1.447,SPLINT BASEBALL - SMALL,$182.00 ,,L3933
42172783,274,1.447,SPLINT BASEBALL - LARGE,$188.00 ,,Z7610
42172957,270,1.447,"SPLINT PLASTER 4""X15XFS",$12.48 ,,Z7610
42173005,270,1.447,"SPLINT PLASTER 5""X30XFS",$12.48 ,,Z7610
42173039,274,1.447,SPLINT THUMB LEFT SMALL/MEDIUM,$118.00 ,,L3808
42173047,274,1.447,SPLNT THMB R MED/LG,$118.00 ,,L3808
42174250,274,1.447,STRAP CLAVICLE SMALL,$53.00 ,,L6676
42174268,274,1.447,"STRAP, CLAVICLE MED",$54.00 ,,L6676
42174276,274,1.447,STRAP CLAVICLE LARGE,$54.00 ,,L6676
42174318,270,1.447,TRACTION BUCKS L,$108.00 ,,Z7610
42176685,274,1.447,"SPLINT WRIST 6"" LG LEFT",$116.48 ,,L3929
42176701,274,1.447,"SPLINT WRIST 6"" SM RIGHT",$42.00 ,,L3809
42176719,274,1.447,"SPLINT WRIST 6"" MED RIGHT",$42.00 ,,L3929
42176727,274,1.447,"SPLINT WRIST 6"" LG RIGHT",$75.00 ,,L3931
42176750,274,1.447,SPLINT WRIST/FOREARM LH UNIV,$152.00 ,,X8162
42176768,270,1.447,SPLINT WRIST/FOREARM RH UNIV,$152.00 ,,Z7610
42176883,270,1.447,HAND HELPER II WHT,$43.00 ,,Z7610
42177700,270,1.447,BOOT LOWER LEG - LARGE,$358.80 ,,Z7610
42177717,274,1.447,BOOT LOWER LEG SMALL,$406.00 ,,L1980
