OUTPATIENT SERVICES,Average Charge for each Outpatient Service
BARIUM ENEMA W/ AIR,$598.75
IVP,$740.25
CYSTOGRAM,$268.75
CYSTOGRAM VOIDING,$280.25
HYSTEROSALPINGOGRAM,$266.00
BONE AGE STUDIES,$261.25
BONE LENGTH STUDIES,$376.00
SKELETAL SURVEY COMPLETE,$704.00
FLUOROSCOPY UP TO 1 HOUR,$611.75
GI TRACT UPPER W/ AIR,$689.75
STANDING KNEES,$271.25
SOFT TISSUE NECK,$232.25
LUMBAR W/BEND VIEWS,$397.50
JOINT SURVEY,$514.50
SINGLE VIEW SPINE CERVICAL,$208.25
LUM PUNCTURE MYEL,"$1,300.75"
INJ CYSTOGRAM/VOID CYSTO,$486.25
CATH & INTRO CONTRST SONOHYST,"$1,003.50"
INJ FISTULA/SIN,"$1,359.75"
CHEST W/APICAL 3 VW,$324.00
CHEST SPECIAL VIEWS 2 VW,$340.00
CERVICAL WITH FLEX & EXT,$542.25
"ARTHROGRAM, SHOULDER LT",$482.25
"ARTHROGRAM, SHOULDER RT",$475.25
"ARTHROGRAM, SHOULDER BILAT",$377.00
"ARTHROGRAM, KNEE LEFT",$331.25
"ARTHROGRAM, KNEE RIGHT",$331.25
"ARTHROGRAM, KNEE BILAT",$430.75
EYE FOREIGN BODY LOC LT,$818.25
EYE FOREIGN BODY LOC RT,$818.25
EYE FOREIGN BODY LOC BI,$818.25
INJ SHOULDER ARTHRO LEFT,"$1,333.00"
INJ SHOULDER ARTHRO RIGHT,"$1,333.00"
INJ SHOULDER ARTHRO BILAT,"$1,650.25"
INJ KNEE ARTHRO LEFT,"$1,732.75"
INJ KNEE ARTHRO RIGHT,"$1,732.75"
INJ KNEE ARTHRO BILATERAL,"$1,732.75"
ANKLE MIN 3 VIEWS LEFT,$241.75
ANKLE MIN 3 VIEWS RIGHT,$241.75
ANKLE MIN 3 VIEWS BILAT,$426.75
ANKLE 2 VIEWS LEFT,$254.25
ANKLE 2 VIEWS RIGHT,$254.25
ANKLE 2 VIEWS BILATERAL,$453.25
X-RAY EXAM OF FEMUR 2/> LT,$354.50
X-RAY EXAM OF FEMUR 2/> RT,$354.50
X-RAY EXAM OF FEMUR 2/> B/L,$461.00
FOOT MIN 3 VIEWS LEFT,$244.50
FOOT MIN 3 VIEWS RIGHT,$244.50
FOOT MIN 3 VIEWS BILAT,$406.25
HEEL MIN 2 VIEWS LEFT,$227.25
HEEL MIN 2 VIEWS RIGHT,$227.25
HEEL MIN 2 VIEWS BILAT,$406.25
KNEE 4 VIEWS LEFT,$330.75
KNEE 4 VIEWS RIGHT,$330.75
KNEE 4 VIEWS BILATERAL,$430.00
KNEE 2 VIEWS LEFT,$319.50
KNEE 2 VIEWS RIGHT,$319.50
KNEE 2 VIEWS BILATERAL,$415.25
"LOWER LEG, LEFT",$297.00
"LOWER LEG, RIGHT",$297.00
"LOWER LEG, BILATERAL",$371.50
TOE(S) MIN 2 VIEWS RIGHT,$222.50
TOE(S) MIN 2 VIEWS BILAT,$289.50
TOE(S) MIN 2 VIEWS LEFT,$222.50
"CLAVICLE, LEFT",$286.25
"CLAVICLE, RIGHT",$286.25
"CLAVICLE, BILATERAL",$289.50
ELBOW MIN 3 VIEWS LT,$237.00
ELBOW MIN 3 VIEWS RT,$237.00
ELBOW MIN 3 VIEWS BILAT,$277.00
FINGER(S) MIN 2 VIEWS BI,$270.00
FINGER(S) MIN 2 VIEWS LT,$270.00
FINGER(S) MIN 2 VIEWS RT,$270.00
FOREARM 2 VIEWS LT,$235.25
FOREARM 2 VIEWS RT,$235.25
FOREARM 2 VIEWS BI,$230.50
HAND MIN 3 VIEWS LT,$241.50
HAND MIN 3 VIEWS RT,$241.50
HAND MIN 3 VIEWS BI,$267.25
"HUMERUS, LEFT",$264.75
"HUMERUS, RIGHT",$264.75
"HUMERUS, BILATERAL",$344.25
"SCAPULA, LEFT",$270.75
"SCAPULA, RIGHT",$270.75
"SCAPULA, BILATERAL",$352.00
SHOULDER MIN 2 VIEWS LT,$270.75
SHOULDER MIN 2 VIEWS RT,$270.75
SHOULDER MIN 2 VIEWS BILAT,$352.00
WRIST COMPLETE 3 VIEWS LT,$214.75
WRIST COMPLETE 3 VIEWS RT,$214.75
WRIST COMPLETE 3 VIEWS BILAT,$244.00
FLUORO GUIDANCE SPINE INJECT,$282.00
SWALLOWING FUNCTION,$396.75
ABDOMEN W/ DECUB/ERECT 2 VW,$237.00
RIBS UNI W/ PA CHEST LT,$273.75
RIBS UNI W/ PA CHEST RT,$273.75
RIBS BILAT W/ PA CHEST,$574.25
SINGLE VIEW SPINE LUMBAR,$208.25
SINGLE VIEW SPINE THOR,$276.75
INFANT UPPER EXT LEFT,$419.75
INFANT UPPER EXT RIGHT,$381.50
INFANT UPPER EXT BILAT,$495.75
X-RAY EX HIP UNI 2-3 VIEWS LT,$214.25
X-RAY EX HIP UNI 2-3 VIEWS RT,$214.25
X-RAY EXAM HIPS BI 3-4 VIEWS,$448.75
X-RAY EX OR HIP UNI 1 VIEW LT,"$1,058.50"
X-RAY EX OR HIP UNI 1 VIEW RT,"$1,164.25"
XRAY EXAM HIPS BI 2 VWS OR,"$1,376.00"
INFANT LOWER EXT LEFT,$461.75
INFANT LOWER EXT RIGHT,$461.75
INFANT LOWER EXT BILAT,$599.75
FLUORO NEEDLE PLACEMENT,$192.50
LUMBAR PUNCTURE,$540.50
RIBS UNI W/O PA CHEST LT,$371.25
RIBS UNI W/O PA CHEST RT,$371.25
RIBS BILAT 3 VIEWS,$444.50
GI TRACT UPPR W/AIR& SM BOWEL,$731.50
PHARYNX CERVICAL ESOPHAGUS,$194.00
GI TRACT UPPR W/KUB W/SM BWL,$540.25
X-RAY EXAM ENTIRE SPI 2/3 VW,$392.75
THORACIC SPINE 3 VIEWS,$316.50
NEPHROSTOGRAM RIGHT,$619.50
NEPHROSTOGRAM BILATERAL,$619.50
MANDIBLE LESS THAN 4 VIEWS,$94.25
FACIAL BONES LESS THAN 3 VIEWS,$98.75
SINUSES LESS THAN 3 VIEWS,$205.00
LOOPOGRAM ANTEGRADE URO BILAT,$619.50
SKELETAL SURVEY INFANT,$247.75
SHUNTOGRAM,$348.00
INJ LOOPOGRAM ILIEAL CONDIUT,$859.75
ABSCESS/FISTULA/SINUS STU,$897.25
NEPHROSTOGRAM LEFT,$619.50
CHILD NOSE-RECTUM FOR FB,$107.75
SKELETAL SURVEY LIMITED,$167.00
CHEST COMPLETE MINIMUM 4 VIEWS,$282.00
ARTHROGRAM LT HIP,$500.25
ARTHROGRAM RT HIP,$500.25
ARTHROGRAM BILAT HIPS,$650.50
INJECT LT HIP ARTHROGRAM,"$1,279.75"
INJECT RT HIP ARTHROGRAM,"$1,279.75"
INJECT BILAT HIP ARTHROGRAM,"$1,279.75"
INJECT HIP W ANESTH/STEROID LT,"$1,279.75"
INJECT HIP W ANESTH/STEROID RT,"$1,279.75"
INJECT HIP W ANESTH/STEROID BL,"$1,279.75"
X-RAY EXAM HIP UNI 1 VIEW LT,$135.75
X-RAY EXAM HIP UNI 1 VIEW RT,$135.75
OGB STATE TB PA&LAT 2 VW,$139.50
CATHETER CHECK CV ACCESS,$432.25
FLUORO CV ACCESS INCL IMAG,$245.75
OPTIRAY 240 PER ML,$2.00
OPTIRAY 320 PER ML,$2.25
CONTRAST INJ EXISTING GASTRIC,$186.00
HAND MIN 3 VIEW LT,$191.50
WRIST COMPLETE 3 VIEWS LT,$170.25
HAND MIN 3 VIEWS RT,$191.50
WRIST COMPLETE 3 VIEWS RT,$170.25
HAND MIN 3 VIEW BIL,$254.75
WRIST COMPLETE 3 VIEWS BILAT,$221.25
FOOT MIN 3 VIEWS LT,$227.25
ANKLE MIN 3 VIEWS LT,$238.25
FOOT MIN 3 VIEW RT,$227.25
ANKLE MIN 3 VIEWS RT,$238.25
FOOT MIN 3 VIEWS BILAT,$406.25
ANKLE MIN 3 VIEWS BILAT,$426.75
INJECTION PROC MAJOR JOINT RT,$241.00
INJECTION PROC MAJOR JOINT LT,$241.00
INJECTION PROC MAJOR JOINT BL,$297.00
SHOULDER 1 VIEW LT,$178.75
SHOULDER 1 VIEW RT,$178.75
SHOULDER 1 VIEW BILAT,$232.50
ISOVUE 250 PER ML,$2.50
ISOVUE 300 PER ML,$2.25
ISOVUE 370 PER ML,$2.25
LOCM 200-299MG/ML IODINE 1ML,$2.00
OPTIRAY 320 100 ML VIAL PER ML,$2.25
OPTIRAY 320 250 ML VIAL PER ML,$2.25
ISOVUE 250  50 ML VIAL PER ML,$2.50
IVC/SVC CATH,"$3,050.00"
EXTREM VENOGRAM INJECTION,$116.00
CATHETER CHECK CV ACCESS,$432.25
CHANGE TUBE OR DRAINAGE CATH,$863.25
DECLOT THROMBOLYTIC CV DEVICE,$363.75
FLUOROGUIDE FOR VEIN DEVICE,$245.75
INSERT TUN IP CATH PERC,"$4,882.00"
INSERTION IVC FILTER,"$9,597.25"
IVC,"$1,694.50"
MECH REMOV OBSTR MATERL CV PR,$362.25
"NEPHROSTOGRAM, BILAT",$619.50
"NEPHROSTOGRAM, LEFT",$619.50
"NEPHROSTOGRAM, RIGHT",$619.50
"PERC ANTEGRADE PYELOGRAM, BILA","$1,026.00"
"PERC ANTEGRADE PYELOGRAM, LEFT",$789.25
"PERC ANTEGRADE PYELOGRAM, RIGH",$789.25
REMOVAL FIBRIN SHEATH SEP ACCE,"$3,770.00"
REMOVE NEPHROSTOMY W FLUORO,$463.25
REMOVE TUNNELED CVP,"$1,344.75"
REPAIR CVP,$804.25
REPLACE NON-TUN CVC,"$2,085.00"
REPLACE PICC,"$2,085.00"
REPLACE TUNNELED CVC,"$2,085.00"
REPOSITION CVC,$804.25
REPOSITIONING IVC FILTER,"$4,578.25"
RETRIEVAL IVC FILTER,"$4,578.25"
SVC,"$1,389.00"
VENOGRAPHY EXTREM BI,"$1,986.00"
VENOGRAPHY EXTREM LEFT,"$1,389.00"
VENOGRAPHY EXTREM RIGHT,"$1,389.00"
CVC NON TUNNELED >= 5YEAR,"$2,046.50"
PTA VENOUS,"$13,856.75"
"INJECT VENOGRAM, LEFT",$116.00
"INJECT VENOGRAM, BILATERAL",$151.00
"INJECT VENOGRAM, RIGHT",$116.00
IVC/SVC CATH,"$3,050.00"
1SR ORDER VENOUS,"$3,050.00"
2ND / 3RD ORDER VENOUS,"$3,947.75"
CVC TUNNELED >= 5YRS OLD,"$2,046.50"
INSERT PICC >=5 YRS OLD,"$2,492.00"
PERC BILIARY DIL WO STENT,"$4,516.50"
PERC BILIARY DIL W STENT,"$4,516.50"
PERITONEAL CATH INSERTION,"$5,355.75"
PERITONEAL CATH REMOVAL,"$4,181.75"
EXCHANGE PREVIOUS DRAIN CATH,"$2,569.00"
CONTRAST INJECT PREVIOUS CATH,"$1,137.00"
EXCHANG INTERN URETERAL STENT,"$3,297.75"
REMOVE INTERN URETERAL STENT,"$3,297.75"
EXCHANG EXTERN NEPH URETE STNT,"$1,228.00"
"NEPHROSTOMY DILATATION, RIGHT","$4,429.50"
"NEPHROSTOMY DILATATION, BILAT","$5,758.25"
"NEPHROSTOMY DILATATION, LEFT","$4,429.50"
INJECT RETRO URETHROCYSTO,"$1,755.25"
PERC BIL DILATION,$733.25
RETRO URETHROCYSTOGRM S&I,$411.50
"NEPHROSTOMY DILATION, BILATERA","$1,069.00"
"NEPHROSTOMY DILATION, LEFT",$904.50
"URETER DILATION, RIGHT",$904.50
"NEPHROSTOMY DILATION, RIGHT",$904.50
"URETER DILATION, BILATERAL","$1,069.00"
"URETER DILATION, LEFT",$904.50
REMOVAL FIBRIN SHEATH S&I,$273.25
MECH REMOV INTRACATH OBST CV,$350.50
PTA PERIPH ARTERY RIGHT,"$13,856.75"
PTA PERIPH ARTERY LEFT,"$13,856.75"
PTA PERIPH ARTERY BILAT,"$13,856.75"
PTA EA ADD PERIPH ART LT,$857.50
PTA EA ADD PERIPH ART RT,$857.50
PTA EA ADD PERIPH ART BI,"$1,114.50"
"NEPHROSTOMY TUBE CHANGE, BILAT","$1,122.50"
CHANGE TUBE OR DRAINAGE CATH,$863.25
"NEPHROSTOMY TUBE CHANGE, LEFT",$863.25
"NEPHROSTOMY TUBE CHANGE, RIGHT",$863.25
IVC VENOGRAM,"$1,694.50"
SVC VENOGRAM,"$1,389.00"
VENOGRAPHY EXTREM RIGHT,"$1,389.00"
VENOGRAPHY EXTREM BI,"$1,986.00"
VENOGRAPHY EXTREM LEFT,"$1,389.00"
MYELEGRAM THORACIC + INJECTION,"$1,873.75"
MYELOGRAM 2-3 AREAS + INJECT,"$2,110.50"
MYELOGRAM LUMBAR + INJECTION,"$1,841.50"
MYELOGRAM CERVICAL + INJECTION,"$1,800.75"
INJECT ELBOW ARTHROGRAM,"$1,279.75"
INJECT LT ELBOW ARTHROGRAM,"$1,279.75"
INJECT RT ELBOW ARTHROGRAM,"$1,279.75"
INJECT LT WRIST ARTHROGRAM,"$1,279.75"
INJECT WRIST ARTHROGRAM,"$1,279.75"
INJECT RT WRIST ARTHROGRAM,"$1,279.75"
INJECT LT ANKLE ARTHROGRAM,$984.50
INJECT ANKLE ARTHROGRAM,"$1,279.75"
INJECT RT ANKLE ARTHROGRAM,$984.50
THORACIC MIN 4 VIEWS,$420.00
ARTHROGRAM ELBOW RT,$522.50
ARTHROGRAM ELBOW LT,$522.50
ARTHROGRAM ELBOW BILAT,$696.00
ARTHROGRAM WRIST BILAT,$696.00
ARTHROGRAM WRIST LT,$522.50
ARTHROGRAM WRIST RT,$522.50
KNEE 3 VIEWS LEFT,$267.00
KNEE 3 VIEWS BILATERAL,$418.00
KNEE 3 VIEWS RIGHT,$267.00
ARTHROGRAM ANKLE BILAT,$696.00
ARTHROGRAM ANKLE LT,$522.50
ARTHROGRAM ANKLE RT,$522.50
BILIARY CATHETER REMOVAL,$814.25
BILIARY DRAINAGE EXTERNAL,"$5,325.00"
BILIARY DRAINAGE INT-EXT,"$5,325.00"
BILIARY DUCT DILATION EA DUCT,$314.00
BILIARY STENT EXISTING CATH,"$6,944.50"
BILIARY STENT W DRAINAGE,"$6,944.50"
CHOLANGIOGRAM EXISTING ACCESS,$979.75
CHOLANGIOGRAM NEW ACCESS,$979.75
CONVERT BILIARY DRAINAGE TUBE,"$5,325.00"
CONVERT NEPHROSTOMY BILAT,"$1,363.50"
CONVERT NEPHROSTOMY LT,"$1,048.50"
CONVERT NEPHROSTOMY RT,"$1,048.50"
EXCHANGE BILIARY CATHETER,"$4,571.00"
EXCHANGE NEPHROSTOMY BILAT,"$4,706.25"
EXCHANGE NEPHROSTOMY LT,"$3,620.25"
EXCHANGE NEPHROSTOMY RT,"$3,620.25"
NEPHROSTOGRAM NEW BILAT,"$1,363.50"
NEPHROSTOGRAM NEW LT,"$1,048.50"
NEPHROSTOGRAM NEW RT,"$1,048.50"
NEPHROSTOMY BILAT,"$5,852.50"
NEPHROSTOMY LT,"$4,500.50"
NEPHROSTOMY RT,"$4,500.50"
NEPHROSTOMY TUBE CHECK BILAT,"$1,363.50"
NEPHROSTOMY TUBE CHECK LT,"$1,048.50"
NEPHROSTOMY TUBE CHECK RT,"$1,048.50"
NEPHROURETERAL STENT BILAT,"$6,931.25"
NEPHROURETERAL STENT LT,"$5,332.00"
NEPHROURETERAL STENT RT,"$5,332.00"
URETERAL STENT VIA NEPH BILAT,"$6,931.25"
URETERAL STENT VIA NEPH LT,"$5,332.00"
URETERAL STENT VIA NEPH RT,"$5,332.00"
URETERAL STENT W NEPH BILAT,"$6,931.25"
URETERAL STENT W NEPH LT,"$5,332.00"
URETERAL STENT W NEPH RT,"$5,332.00"
OGB STATE TB SINGLE 1 VW,$125.75
OGB WELLNESS PA/LAT 2 VW,$139.50
OGB WELLNESS SINGLE 1 VW,$125.75
X-RAY EXAM ENTIRE SPI 1 VW,$162.50
LUMBAR PUNCTURE CHEMO ADMIN,$459.50
FOOT 2 VIEWS RIGHT,$188.00
FOOT 2 VIEWS LEFT,$188.00
FOOT 2 VIEWS BILAT,$388.50
CT ABD W CONTRAST,"$1,487.75"
CT-ABD W/O CONTRAST,"$1,232.75"
CT-GUIDANCE NEEDLE PLACEMENT,"$1,092.00"
CT-HEAD/BRAIN W/ CON,"$1,524.50"
CT-HEAD/BRAIN W/O CON,"$1,452.25"
CT-NECK W/ CON,"$2,496.50"
CT-NECK W/O CON,"$1,062.25"
CT-PELVIS W/ CON,"$1,985.50"
CT-PELVIS W/O CON,"$1,201.25"
CT SP CERV W CON,"$2,135.50"
CT-SP CERV W/O CON,"$1,619.75"
CT-SP LUMBAR W/ CON,"$2,098.75"
CT-SP LUMBAR W/O CON,"$1,365.25"
CT-SP THOR W/ CON,"$2,105.50"
CT-SP THOR W/O CON,"$1,763.50"
CT-THORAX W/ CONTRAST,"$2,571.75"
CT-THORAX W/O CONTRAST,"$1,673.00"
CT-ABD W-W/O CONTRAST,"$1,847.00"
CT-MAXILLOFACIAL W/O CON,"$1,504.50"
CT-MAXILLOFACIAL W/ CON,"$2,010.50"
CT-MAXILLOFACIAL W-W/O CON,"$2,278.75"
CT-HEAD/BRAIN W-W/O CON,"$1,615.50"
CT-ORB/SEL/PF/IAC W/O CONT,"$1,396.75"
CT-ORB/SEL/PF/IAC W/ CON,"$1,991.00"
CT-ORB/SEL/PF/IAC W-W/O CON,"$2,094.75"
CT-NECK W-W/O CON,"$1,825.50"
CT-PELVIS W-W/O CON,"$2,438.00"
CT SP CERV W-W/O CON,"$2,560.00"
CT-SP THOR W-W/O CON,"$2,817.25"
CT-SP LUMBAR W-W/O CON,"$2,671.50"
CT-THORAX W-W/O CONTRAST,"$1,986.50"
BIOPSY TRAY,$59.00
BIOPSY NEEDLE,$127.25
IMAGE CATH FLUID COLXN VISC,"$3,361.75"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
BIOPSY ABD/RETROPE MASS,"$2,056.50"
BIOPSY LIVER ONLY,$838.00
BIOPSY LIVER W/OTH,"$2,056.50"
BIOPSY PANCREAS,"$1,137.00"
PROSTATE BIOPSY,"$2,056.50"
LIMITED OR LOCALIZED FOLLOW UP,$724.25
CT-LOW EXT W/ CON LT,"$2,497.00"
CT-LOW EXT W/ CON RT,"$2,497.00"
CT-LOW EXT W/ CON BI,"$3,246.00"
CT-LOW EXT W/O CON LT,"$1,141.25"
CT-LOW EXT W/O CON RT,"$1,141.25"
CT-LOW EXT W/O CON BI,"$1,177.50"
CT-UPPER EXT W/ CON LT,"$1,790.25"
CT-UPPER EXT W/ CON RT,"$1,790.25"
CT-UPPER EXT W/ CON BI,"$2,327.25"
CT-UPPER EXT W/O CON LT,"$1,141.25"
CT-UPPER EXT W/O CON RT,"$1,141.25"
CT-UPPER EXT W/O CON BI,"$1,177.50"
CT-LOW EXT W-W/O CON LT,"$2,529.25"
CT-LOW EXT W-W/O CON RT,"$2,529.25"
CT-LOW EXT W-W/O CON BI,"$3,287.75"
CT-UPPER EXT W-W/O CON LT,"$1,938.25"
CT-UPPER EXT W-W/O CON RT,"$1,938.25"
CT-UPPER EXT W-W/O CON BI,"$2,519.75"
IMAGE CATH FLUID COLXN VISC LT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC RT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC BI,"$4,182.50"
"BIOPSY, LUNG LEFT/MEDIASTINUM","$2,016.75"
"BIOPSY, LUNG RIGHT/MEDIASTINUM","$2,016.75"
"BIOPSY,LUNG/MEDIASTINUM BILAT","$2,621.75"
IMAGE CATH FLUID COLXN VISC LT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC RT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC BI,"$3,361.75"
"BIOPSY, RENAL LEFT",$821.75
"BIOPSY, RENAL RIGHT",$821.75
"BIOPSY, RENAL BILATERAL","$1,068.50"
CTA HEAD W-W/O CONTRAST,"$1,870.00"
CTA NECK W-W/O CONTRAST,"$1,865.75"
CTA CHEST W-W/O CONTRAST,"$3,200.00"
CTA PELVIS W-W/O CONTRAST,"$1,641.75"
CTA UPPR EXT W-W/O CON LT,"$1,305.50"
CTA UPPR EXT W-W/O CON RT,"$1,645.00"
CTA UPPR EXT W-W/O CON BI,"$1,543.00"
CTA LOWR EXT W-W/O CON LT,"$3,416.00"
CTA LOWR EXT W-W/O CON RT,"$3,361.75"
CTA LOWR EXT W-W/O CON BI,"$3,416.00"
CTA ABDOMEN W-W/O CONTRAST,"$1,970.50"
CTA ABD AORTA + BI ILIOFER EXT,"$2,214.25"
CHEST W/O LUNG CA SCREENING,$99.00
BONE BIOPSY SUPERFICIAL,"$2,645.75"
BONE BIOPSY DEEP,"$2,645.25"
CT-MAXILLOFACIAL LTD W/O CON,"$1,194.00"
RECON AORTA FOR SURGERY,$931.00
CT COLONOGRAPHY DX W/O CONT,"$1,313.25"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
3D RENDERING INDEPEND STATION,$497.75
CT HEART CALCIUM SCORING,$99.00
DRAINAGE CATHETER,$162.25
GUIDANCE DRAINAGE W CATH,$687.75
BIOPSY MUSCLE,$453.25
THORA W/CATH DRAIN W/IMAGING,"$1,115.25"
BIOPSY PLEURA,"$1,065.25"
BIOPSY SUPERFICIAL LYMPH NODE,$480.50
PERC CHOLECYSTOSTOMY,"$2,446.00"
IMAGE CATH FLUID COLXN VISC,"$3,361.75"
INJ CYSTOGRAM/VOID CYSTO,$486.25
CT-CYSTOGRAM (PELVIS W/O),"$1,201.25"
X-RAYS BONE LENGTH STUDIES,$376.00
CONTRAST INJ EXISTING GASTRIC,$186.00
CTA CHEST W-W/O CONTRAST,"$1,615.25"
CTA ABDOMEN W-W/O CONTRAST,"$1,563.75"
CT COLONOGRAPHY DX W/CONT,"$1,549.50"
CT ABD PELVIS WO CONTRAST,"$2,518.00"
CT ABD PELVIS W CONTRAST,"$2,912.00"
CT ABD PELVIS W & WO CONTRAST,"$4,147.25"
CT HEART W/3D IMAGING,$836.00
CTA HEART W/3D IMAGING,"$1,300.50"
CTA ABD & PELVIS W/WO,"$3,940.25"
CTA HEART W/3D IMAGING CONGEN,$906.50
ISOVUE 250 PER ML,$3.25
ISOVUE 370 PER ML,$2.25
CT HEAD STROKE PROTOCOL,"$1,452.25"
CTA NECK WITH M2S,"$2,326.50"
CTA CHEST WITH M2S,"$3,200.00"
CTA PELVIS WITH M2S,"$2,399.00"
CTA LOWR EXT LEFT WITH M2S,"$1,935.00"
CTA LOWR EXT BILAT WITH M2S,"$2,892.25"
CTA LOWR EXT RIGHT WITH M2S,"$1,935.00"
CTA ABD & PELVIS WITH M2S,"$4,000.00"
CTA ABDOMEN WITH M2S,"$2,475.25"
CTA ABD AORTA & RUNOFF W/ M2S,"$3,073.00"
CTA HEART W/3D IMAGING SUNN,"$1,032.00"
DRAIN/INJ MAJOR JNT/BURSA RT,$241.00
DRAIN/INJ MAJOR JNT/BURSA LT,$241.00
DRAIN/INJ MAJOR JNT/BURSA BL,$297.00
CT CHEST PRE-NAVIBRONCH,"$1,673.00"
CT CHEST LUNG CANCER 3 MO FU,"$1,327.75"
CT CHEST LUNG CANCER 6 MO FU,"$1,327.75"
CT ENTEROGRAPHY,"$2,912.00"
BONE MARROW BIOPSY,"$2,645.25"
CT LOW EXTREM SURG PLANNING BI,$441.75
CT LOW EXTREM SURG PLANNING LT,$371.25
CT LOW EXTREM SURG PLANNING RT,$294.50
BONE MARROW ASPIRATE ONLY,"$1,938.00"
BONE MARROW ASPIRATE WITH BX,"$1,938.00"
CT UPPER EXT SURG PLANNING B,$441.75
CT UPPER EXT SURG PLANNING L,$294.50
CT UPPER EXT SURG PLANNING R,$371.25
INJ FISTULA/SIN,"$1,359.75"
ABSCESS/FISTULA/SINUS STU,$897.25
ABDOMEN COMPLETE,"$1,044.00"
ABDOMEN LIMITED,$639.75
PELVIS NON-OB COMPLETE,$684.75
PREG COMP >1ST TRI SGL,$706.75
PREG LIMITED ALL FETUSES,$339.00
PELVIS NON-OB LIMITED,$382.00
SOFT TISSUE HEAD AND NECK,$618.00
SCROTUM AND CONTENTS,$673.75
FEMORAL ARTERIES BILAT,$666.75
PAROTID,$618.00
US GUIDE AMNIOCENTESIS,$201.75
ECHO RETROPERITONEAL LTD,"$1,008.75"
RETROPERITONEAL COMP,$918.75
TRANSRECTAL ULTRASOUND,$679.75
NON-OB TRANSVAGINAL US,$652.00
BIOPSY LIVER,$838.00
BIOPSY TRAY,$56.25
BIOPSY NEEDLE,$121.25
AMNIOCENTESIS TRAY,$53.75
AMNIOCENTESIS,"$3,133.50"
IMAGE CATH FLUID COLXN VISC,"$3,361.75"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
BIOPSY LIVER W/OTH,"$2,056.50"
BIOPSY PANCREAS,"$1,137.00"
PROSTATE BIOPSY,"$2,056.50"
BIOPSY ABD/RETROPE MASS,"$2,056.50"
GUIDED COMPRESSION PSEUDO,$918.25
FETAL BIOPHYSICAL PROFILE,$729.75
US GUIDE ASP OR BIOPSY,$452.75
IMAGE CATH FLUID COLXN VISC LT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC RT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC BI,"$4,182.50"
BIOPSY LUNG LEFT,"$2,016.75"
BIOPSY LUNG RIGHT,"$2,016.75"
BIOPSY LUNGS BILATERAL,"$2,621.75"
IMAGE CATH FLUID COLXN VISC LT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC RT,"$3,361.75"
IMAGE CATH FLUID COLXN VISC BI,"$4,182.50"
RETROPERITONEAL LTD BI,"$1,311.50"
"BIOPSY, RENAL LEFT",$821.75
"BIOPSY, RENAL, RIGHT",$821.75
"BIOPSY, RENAL BILATERAL","$1,068.50"
BREAST CYST ASPIR LEFT,$798.50
BREAST CYST ASPIR RIGHT,$798.50
BREAST CYST ASPIR BILAT,$988.50
THORA W/ CATH DRAIN W/IMAG LT,"$1,115.25"
"THORACENTESIS, LEFT",$821.75
"THORACENTESIS, RIGHT",$821.75
"THORACENTESIS, BILATERAL","$1,063.75"
BX BREAST 1ST LES US IMAG LT,"$2,242.25"
BX BREAST 1ST LES US IMAG RT,"$2,242.25"
BX BREAST 1ST LES US IMAG BIL,"$2,759.50"
DUPLEX ORGANS COMPLETE,"$1,044.00"
DUPLEX ORGANS LIMITED,$890.50
CHEST ULTRASOUND,$861.25
FEMORAL ARTERIES LEFT,$496.75
FEMORAL ARTERIES RIGHT,$496.75
BREAST CYST ASP EA ADD BI,$988.50
BREAST CYST ASP EA ADD LT,$798.50
BREAST CYST ASP EA ADD RT,$798.50
ABD PARACENTESIS W/IMAGING,"$1,091.25"
PREG FOLLOWUP PER FETUS,$388.25
"BIOPSY, THYROID",$796.00
ASPIRATION THYROID CYST,$796.00
GUIDANCE DRAINAGE CATH,$687.75
PERC CHOLECYSTOSTOMY,"$2,446.00"
PERQ DEV BREAST 1ST US IMAG LT,"$1,098.25"
PERQ DEV BREAST 1ST US IMAG RT,"$1,098.25"
PERQ DEV BREAST 1ST US IMAG BI,"$1,348.75"
PERQ DEV BREAST ADD US IMAG LT,"$1,001.00"
PERQ DEV BREAST ADD US IMAG RT,"$1,001.00"
PERQ DEV BREAST ADD US IMAG BI,"$1,348.75"
THROMBIN INJECTION PX,$711.00
"DRAIN,OVARIAN CYSTS VAGINAL","$3,133.50"
"DRAIN, OVARIAN CYSTS ABDOMEN","$3,133.50"
"BIOPSY,OVARY UNILAT OR BILATER","$3,133.50"
IMAGE CATH FLUID PERI/RETRO,"$3,416.00"
BIOPSY MUSCLE,$453.25
"BIOPSY, PLEURA","$1,065.25"
FNA BX W/US GDN 1ST LES,"$1,499.75"
