Charge Code Description,"Rev
Code","Proc
 Code","Rate 
Exception",,,,,,,,,
4900400,ANESTH PROF BASE+TIME UNT,ANES,A,964,,,,,,118,N,Y
4900401,ALBUTEROL SULF INHALER,ANES,A,250,J3535,,,,,237,N,Y
4900403,ROPICACAINE HCl INJ 10 MG/ML {10 ML},ANES,A,636,J2795,,,,,16,N,N
4900404,ROPIVACAINE 0.5% INJ,ANES,A,636,J2795,,,,,21,N,N
4900405,TETRACAINE 1% SPINAL INJ per 1 ML,ANES,A,636,J3490,,,,,162,N,N
4900406,LIDOCAINE W/EPI 1.5% INJ per 10 mg,ANES,A,636,J2001,,,,,25,N,N
4906942,ULTRASOUND GUIDANCE BY CRNA-PROFESSIONAL,ANES,A,964,76942,,,,,212,N,Y
49203R,"EXC DESTR,OPEN,INTRA ABD TUM 5CM OR LESS",RWC,A,960,49203,,,,,"2,273.00",N,Y
49205R,"EXC, DESTRUCTION TUMOR > 10CM",RWC,A,960,49205,,,,,"6,259.00",N,Y
49255L,OMENTECTOMY EPIPLOCTOMY-GS,HCGS,A,960,49255,,,,,"2,538.00",N,Y
49320L,"LAP;DX,ABD,PERIT,OMENTUM-GS",HCGS,A,960,49320,,,,,"2,105.00",N,Y
49320R,"LAP;DX,ABD,PERIT,OMENTUM - RWC",RWC,A,960,49320,,,,,"1,801.00",N,Y
49321L,"LAP;ABD,PERIT,OMENTM W BX-GS",HCGS,A,960,49321,,,,,"2,511.00",N,Y
49321R,"LAP;ABD,PERIT,OMENTM W BX - RWC",RWC,A,960,49321,,,,,"1,829.00",N,Y
49322L,LAP;ABD PERIT OMENTUM W ASP CYST-GS,HCGS,A,960,49322,,,,,"2,225.00",N,Y
49322R,LAP;ABD PERIT OMENTUM W ASP CYST - RWC,RWC,A,960,49322,,,,,"1,967.00",N,Y
49329L,UNLIST LAP ABD PERIT OMENT-GS,HCGS,A,960,49329,,,,,310,N,Y
49329R,UNLIST LAP ABD PERIT OMENT - RWC,RWC,A,960,49329,,,,,299,N,Y
4936569,INSERT PICC LINE BY CRNA-PROF,ANES,A,964,36569,,,,,168,N,Y
49402L,"REMOVE FOREIGN BODY, ABDOMEN-GS",HCGS,A,960,49402,,,,,"3,658.00",N,Y
49402R,"REMOVE FOREIGN BODY, ABDOMEN - RWC",RWC,A,960,49402,,,,,"3,524.00",N,Y
49505L,PRP I/HERN INIT RED>5YR-GS,HCGS,A,960,49505,,,,,"2,511.00",N,Y
49507L,REP I/HERNIA INIT BLCK 5+Y-GS,HCGS,A,960,49507,,,,,"2,696.00",N,Y
49520L,RPR RECUR ING HERNIA ANY AGE-GS,HCGS,A,960,49520,,,,,"2,567.00",N,Y
49521L,REP RECUR ING HERNIA; INCARC-GS,HCGS,A,960,49521,,,,,"2,990.00",N,Y
49550L,RPR INIT FEMORL HERNIA ANY AGE REDUCT-GS,HCGS,A,960,49550,,,,,"2,318.00",N,Y
49553L,REP INIT FEM HERNIA RED:INCARCE-GS,HCGS,A,960,49553,,,,,"2,741.00",N,Y
49555L,HERNIA REPAIR-GS,HCGS,A,960,49555,,,,,"2,525.00",N,Y
49560L,REP INIT INC/VENT HERNIA;REDUCIBLE-GS,HCGS,A,960,49560,,,,,"2,819.00",N,Y
49560PA,REPAIR ABDOMINAL WALL HERNIA,SCS,A,960,49560,,,,,"1,310.00",N,N
49565L,REP RECUR INC HERN;REDUC-GS,HCGS,A,960,49565,,,,,"3,316.00",N,Y
49568L,HERNIA REPAIR W/MESH-GS,HCGS,A,960,49568,,,,,"1,210.00",N,Y
49570L,"REPAIR EPIGASTRIC HERNIA, REDUCIBLE-HCGS",HCGS,A,960,49570,,,,,759,N,Y
49580L,"REP UMBIL HERN,<5YR REDUC-GS",HCGS,A,960,49580,,,,,"2,108.00",N,Y
49585L,RPR UMBIL HERN REDUC >5YR-GS,HCGS,A,960,49585,,,,,"1,956.00",N,Y
49585R,RPR UMBIL HERN REDUC >5YR - RWC,RWC,A,960,49585,,,,,"1,884.00",N,Y
49587L,RPR UMBIL HERN BLOCK 5+YR-GS,HCGS,A,960,49587,,,,,"2,268.00",N,Y
4964415,BRACHIAL PLEXUS BLOCK,ANES,A,964,64415,,,,,131,N,Y
4964417,AXILLARY NERVE BLOCK,ANES,A,964,64417,,,,,140,N,Y
4964420,INTERCOSTAL NERVE BLOCK,ANES,A,964,64420,,,,,133,N,Y
4964421,INTERCOSTAL MULTIPLE OR REGIONAL BLOCK,ANES,A,964,64421,,,,,182,N,Y
4964445,SCIATICA NERVE BLOCK,ANES,A,964,64445,,,,,145,N,Y
4964447,FEMORAL NERVE BLOCK,ANES,A,964,64447,,,,,134,N,Y
4964450,OTHER PERIPHERAL NERVE OR BRANCH,ANES,A,964,64450,,,,,79,N,Y
4964486,TAP BLOCK UNILATERAL,ANES,A,964,64486,,,,,121,N,Y
4964488,TAP BLOCK BILATERAL,ANES,A,964,64488,,,,,143,N,Y
4964999,PECS I  / FASCIA ILLIACA / IPACK/ LIA,ANES,A,964,64999,,,,,428,N,Y
49650L,LAP ING HERNIA REP INIT-GS,HCGS,A,960,49650,,,,,"2,344.00",N,Y
49651L,LAP ING HERNIA REP RECUR-GS,HCGS,A,960,49651,,,,,"2,615.00",N,Y
49652L,LAP VENT/ABD HERNIA REPAIR-GS,HCGS,A,960,49652,,,,,"3,913.00",N,Y
49653L,LAP VENT/ABD HERN PROC COMP-GS,HCGS,A,960,49653,,,,,"4,708.00",N,Y
49654L,LAP INC HERNIA REPAIR-GS,HCGS,A,960,49654,,,,,"4,099.00",N,Y
49657L,"LAP, REPAIR, RECUR, INCIS HERNIA INCARCE",HCGS,A,960,49657,,,,,"1,490.00",N,Y
49659L,PARASTOMAL HERNIA REPAIR-GS,HCGS,A,960,49659,,,,,"3,822.00",N,Y
49999L,UNLISTED PROC ABD PERITONEUM-GS,HCGS,A,960,49999,,,,,"1,560.00",N,Y
5000105,DISP AMBU BAG/CPAP BAG,RT,A,271,,,,,,202,N,N
5000109,PORTABLE O2 TRANSPORT,RT,A,272,,,,,,24,N,N
5000113,DISP INC SPIROMETER,RT,A,271,,,,,,49,N,N
5000117,SPIROMETRY/PFT,RT,A,460,94010,,,,,277,N,N
5000118,SPIROMETRY W/BRONCHODILAT,RT,A,460,94060,,,,,422,N,N
5000119,DLCO,RT,A,460,94727,,,,,279,N,N
5000120,DIFFUSION,RT,A,460,94729,,,,,308,N,N
5000127,CPAP/BIPAP MECH DAILY,RT,A,410,94660,,,,,472,N,N
5000128,CPAP/BIPAP MECH INIT,RT,A,410,94660,,,,,580,N,N
5000150,NEOPUFF SETUP,RT,A,271,,,,,,52,N,N
5000158,6 MINUTE TREADMILL,RT,A,460,94618,,,,,489,N,N
5000201,O2 EA 1-12 HR INTERVAL,RT,A,271,,,,,,133,N,N
5000202,O2 INITIAL,RT,A,271,,,,,,95,N,N
5000215,CPR,RT,A,410,92950,,,,,811,N,N
5000217,PEP THERAPY INITIAL,RT,A,410,94667,,,,,227,N,N
5000220,SUCTION,RT,A,272,,,,,,32,N,N
5000221,CONTINUOUS VENT 1ST DAY,RT,A,410,94002,,,,,"1,288.00",N,N
5000225,DISP PEAK FLOW METER,RT,A,271,,,,,,62,N,N
5000248,NOCTURNAL PULSE OXIMETER,RT,A,460,94762,,,,,281,N,N
5000258,PULSE OXIMETER READING,RT,A,460,94760,,,,,78,N,N
5000259,PULSE OX MULTIPLE READING,RT,A,460,94761,,,,,152,N,N
5000266,CONT VENT SUBSEQUENT DAYS,RT,A,410,94003,,,,,752,N,N
5000270,PEP THERAPY SUBSQT,RT,A,410,94668,,,,,187,N,N
5000275,PLETHYSMOGRAPHY,RT,A,460,94726,,,,,250,N,N
5000301,PULM EDUC AEROSOL OR MDI,RT,A,410,94664,76,,,,224,N,N
5000305,STYLETTE,RT,A,272,,,,,,41,N,N
5000307,END TIDAL CO2,RT,A,469,94770,,,,,330,N,N
5001505,RT ASSIST / STANDBY,RT,A,997,,,,,,0,N,N
5004640,AEROSOL/MDI,RT,A,410,94640,,,,,346,N,N
5004644,CONT AEROSOL INIT HR,RT,A,410,94644,,,,,216,N,N
5004645,CONT AEROSOL EA SUBSQ HR,RT,A,410,94645,,,,,124,N,N
5004799,ER INTUB/ VENT/ AMBU  EA HOUR,RT,A,997,,,,,,0,N,N
5006416,CAPILLARY BLOOD DRAW,RT,A,410,36416,,,,,26,N,N
5006600,"ARTERIAL PUNCT, BLOOD DRW",RT,A,410,36600,,,,,135,N,N
5009440,NEWBORN RESUSCITATION RT,RT,A,410,99465,,,,,795,N,N
5100002,ULTRASOUND 15 MIN,PT,A,420,97035,GP,,,,107,N,N
5100003,MASSAGE 15 MIN,PT,A,420,97124,GP,,,,107,N,N
5100005,JOBST PUMP,PT,A,420,97016,GP,,,,88,N,N
5100008,WHIRLPOOL,PT,A,420,97022,GP,,,,115,N,N
5100011,ELECTRIC STIMULATON-UNATT,PT,A,420,97014,GP,,,,123,N,Y
5100012,MECHANICAL TRACTION,PT,A,420,97012,GP,,,,130,N,N
5100014,THERAPEUTIC EXER 15 MIN,PT,A,420,97110,GP,,,,115,N,N
5100015,GAIT TRAINING 15 MIN,PT,A,420,97116,GP,,,,100,N,N
5100023,MANUAL THERAPY 15 MIN,PT,A,420,97140,GP,,,,115,N,N
5100035,E-STIM-MANUAL 15 MIN,PT,A,420,97032,GP,,,,105,N,N
5100043,IONTO 15 MIN,PT,A,420,97033,GP,,,,149,N,N
5100053,"FOOT INSERT, FORM TO PATIENT, EA",PT,A,274,L3030,,,,,261,N,N
5100054,"HEEL LIFT, ELEVATION, UP TO 1"" HEIGHT",PT,A,274,L3334,,,,,30,N,N
5100058,UNNABOOT APPLICATION BILAT,PT,A,420,29580,50,GP,,,412,N,N
5100067,"DEBRIDEMENT,<=20SQ CM",PT,A,420,97597,GP,,,,306,N,N
5100074,UNNABOOT APPLICATION UNILAT,PT,A,420,29580,GP,,,,264,N,N
5100099,WORK RECOND BWC EA 1/4 HR,PT,A,420,97545,GP,,,,49,N,N
5100100,THERAPEUTIC ACT 15 MIN,PT,A,420,97530,GP,,,,102,N,N
5100101,ADL/SELF HOME MGT TR 15MN,PT,A,420,97535,GP,,,,100,N,N
5100106,NEUROMUSCULAR RE-ED 15MN,PT,A,420,97112,GP,,,,110,N,N
5100107,FUNCT CAP TEST 15 MIN,PT,A,420,97750,GP,,,,146,N,N
5100108,WORK RECOND INITIAL 2 HRS,PT,A,420,97545,GP,,,,330,N,N
5100109,WORK RECOND ADL 1 HR,PT,A,420,97546,GP,,,,134,N,N
5102005,PELVIC THER EX BALL/BAND EA 15 MIN,PT,A,420,97110,GP,,,,214,N,N
51040R,CYSTOSTOMY W DRAINAGE - RWC,RWC,A,960,51040,,,,,"2,063.00",N,Y
5105992,CANALITH REPOSITIONING,PT,A,420,95992,GP,,,,110,N,N
5107110,BIOFEED THER EX EA 15 MIN,PT,A,420,97110,GP,,,,80,N,N
5107111,BIO PELVIC THER EX EA 15 MIN,PT,A,420,97110,GP,,,,98,N,N
5107112,BIOFEED NEURO RE-ED EA 15 MIN,PT,A,420,97112,GP,,,,117,N,N
5107113,AQUATIC W EX 15 MIN,PT,A,420,97113,GP,,,,118,N,N
5107114,BIO PELVIC NEURO RE-ED EA 15 MIN,PT,A,420,97112,GP,,,,100,N,N
5107140,UE LYMPH MANUAL 15MIN,PT,A,420,97140,GP,,,,123,N,N
5107141,LE LYMPH MANUAL 15 MIN,PT,A,420,97140,GP,,,,129,N,N
5107142,MANUAL THERAPY WITH IDN 15 MIN,PT,A,420,97140,GP,,,,115,N,N
5107150,THERAPEUTIC PROC GROUP,PT,A,420,97150,GP,,,,88,N,N
5107151,AQUATIC GROUP,PT,A,420,97150,GP,,,,88,N,N
5107161,PT EVAL LOW COMPLEX 20,PT,A,424,97161,GP,,,,221,N,N
5107162,PT EVAL MOD COMPLEX 30,PT,A,424,97162,GP,,,,242,N,N
5107163,PT EVAL HIGH COMPLEX 45,PT,A,424,97163,GP,,,,268,N,N
5107164,PT RE EVAL 20,PT,A,424,97164,GP,,,,126,N,N
5107535,LE LYMPH ADL 15MIN,PT,A,420,97535,GP,,,,114,N,N
5107536,UE LYMPH ADL 15 MIN,PT,A,420,97535,GP,,,,107,N,N
5107542,WHEELCHAIR MGT 15 MIN,PT,A,420,97542,GP,,,,77,N,N
5107663,CHECKOUT ORTH/PROS SUBSQ VISIT 15 MIN,PT,A,420,97763,GP,,,,100,N,N
5107750,BALANCE TEST EACH 15 MIN,PT,A,420,97750,GP,,,,146,N,N
5107760,INITIAL ORTHOTIC ENCOUNTER 15 MIN,PT,A,420,97760,GP,,,,109,N,N
5107761,INITIAL PROSTHETIC ENCOUNTER 15 MIN,PT,A,420,97761,GP,,,,109,N,N
5108978,MOBILITY CURRENT STATUS,PT,A,420,G8978,GP,,,,0.01,N,N
5108979,MOBILITY GOAL STATUS,PT,A,420,G8979,GP,,,,0.01,N,N
5108980,MOBILITY DISCHARGE STATUS,PT,A,420,G8980,GP,,,,0.01,N,N
5108981,BODY POSITION CURRENT,PT,A,420,G8981,GP,,,,0.01,N,N
5108982,BODY POSITION GOAL,PT,A,420,G8982,GP,,,,0.01,N,N
5108983,BODY POSITION DISCHARGE,PT,A,420,G8983,GP,,,,0.01,N,N
5108984,MOVE OBJECTS CURRENT,PT,A,420,G8984,GP,,,,0.01,N,N
5108985,MOVE OBJECTS GOAL,PT,A,420,G8985,GP,,,,0.01,N,N
5108986,MOVE OBJECTS DISCHARGE,PT,A,420,G8986,GP,,,,0.01,N,N
5108987,SELF CARE CURRENT,PT,A,420,G8987,GP,,,,0.01,N,N
5108988,SELF CARE GOAL,PT,A,420,G8988,GP,,,,0.01,N,N
5108989,SELF CARE DISCHARGE,PT,A,420,G8989,GP,,,,0.01,N,N
5108990,OTHER PRIMARY CURRENT,PT,A,420,G8990,GP,,,,0.01,N,N
5108991,OTHER PRIMARY GOAL,PT,A,420,G8991,GP,,,,0.01,N,N
5108992,OTHER PRIMARY DISCHARGE,PT,A,420,G8992,GP,,,,0.01,N,N
5108993,OTHER SUBSEQ CURRENT,PT,A,420,G8993,GP,,,,0.01,N,N
5108994,OTHER SUBSEQ GOAL,PT,A,420,G8994,GP,,,,0.01,N,N
5108995,OTHER SUBSEQ DISCHARGE,PT,A,420,G8995,GP,,,,0.01,N,N
5109001,C/S STERILIZATION,PT,A,272,,,,,,53,N,N
5109002,SUTURE REMOVAL KIT,PT,A,272,,,,,,11,N,N
5109003,2PK STERILE TOWEL,PT,A,272,,,,,,11,N,N
5109004,GAUZE,PT,A,272,,,,,,1,N,N
5109005,"6"" ACE WRAP",PT,A,271,,,,,,8,N,N
5109008,OPSITE DRESSING,PT,A,272,,,,,,16,N,N
5109009,TELFA,PT,A,272,,,,,,1,N,N
5109012,OPSITE/TEGADERM 4X5,PT,A,272,,,,,,4,N,N
5109013,TEGADERM 2X2,PT,A,272,,,,,,2,N,N
5109016,STERILE SALINE,PT,A,258,,,,,,135,N,N
5109017,PEROXIDE,PT,A,250,,,,,,3,N,N
5109018,STERILE COBAN 6 INCH,PT,A,272,,,,,,21,N,N
5109020,STERILE COBAN 4 IN,PT,A,272,,,,,,11,N,N
5109050,WORK SCREEN - COMPANY,PT,A,429,,,,,,66,N,N
5110005,THERAPEUTIC EXER 15 MIN,OT,A,430,97110,GO,,,,115,N,N
5110011,ELECTRIC STIM-UNATTEND,OT,A,430,97014,GO,,,,123,N,Y
5110012,E-STIM MANUAL 15 MIN,OT,A,430,97032,,,,,105,N,N
5110022,ULTRASOUND 15 MIN,OT,A,430,97035,GO,,,,107,N,N
5110023,MASSAGE 15 MIN,OT,A,430,97124,GO,,,,107,N,N
5110024,PARAFFIN BATH,OT,A,430,97018,GO,,,,93,N,N
5110027,NEUROMUSCULAR RE-ED 15MIN,OT,A,430,97112,GO,,,,110,N,N
5110031,THERAPUTIC  ACT 15MIN,OT,A,430,97530,GO,,,,102,N,N
5110035,ADL-HOME MGT 15 MIN,OT,A,430,97535,GO,,,,100,N,N
5110043,IONTO 15 MIN,OT,A,430,97033,GO,,,,149,N,N
5110050,MANUAL THERAPY 15 MIN,OT,A,430,97140,GO,,,,115,N,N
5110052,FUNC CAP TEST 15 MIN,OT,A,430,97750,GO,,,,146,N,N
5110053,WORK RECOND INITIAL 2 HR,OT,A,430,97545,GO,,,,330,N,N
5110054,WORK RECOND ADDL 1 HR,OT,A,430,97546,GO,,,,134,N,N
5110060,ELBOW ORTHOSIS W/O JT FIT,OT,A,274,L3702,GO,,,,393,N,N
5110061,WRIST HAND FING ORTHOS DYN,OT,A,274,L3806,GO,,,,979,N,N
5110062,WRIST HAND FING ORTHOS STAT,OT,A,274,L3808,GO,,,,426,N,N
5110063,WRIST HAND ORTHOS DYN,OT,A,274,L3905,GO,,,,673,N,N
5110064,WRIST HAND ORTHOS STATIC,OT,A,274,L3906,GO,,,,478,N,N
5110065,HAND FINGER ORTHOS STATIC,OT,A,274,L3913,GO,,,,314,N,N
5110066,HAND FINGER ORTHOS DYN,OT,A,274,L3921,GO,,,,288,N,N
5110100,C/S STERILIZATION,OT,A,272,,,,,,53,N,N
5110101,SUTURE REMOVAL KIT,OT,A,272,,,,,,11,N,N
5110102,2PK STERILE TOWEL,OT,A,272,,,,,,11,N,N
5110105,OPSITE DRESSING,OT,A,272,,,,,,16,N,N
5110107,TELFA,OT,A,272,,,,,,1,N,N
5110408,GROUP SPEECH THERAPY,OT,A,440,92508,GN,,,,104,N,N
5110450,SPEECH THERAPY,OT,A,440,92507,GN,,,,232,N,N
5110500,SPEECH EVALUATION DYSPHAG,OT,A,444,92610,GN,,,,390,N,N
5110545,SPEECH EVAL - FLUENCY,OT,A,444,92521,GN,,,,347,N,N
5110546,SPEECH EVAL - SOUND PROD,OT,A,444,92522,GN,,,,347,N,N
5110547,SPEECH EVAL-SPEECH/LANG,OT,A,444,92523,GN,,,,347,N,N
5110548,SPEECH EVAL - VOICE,OT,A,444,92524,GN,,,,347,N,N
5110550,SPEECH THERAPY DYSPHAGIA,OT,A,440,92526,GN,,,,270,N,N
5110575,SWALLOW EVAL W BARIUM STU,OT,A,444,92611,GN,,,,340,N,N
5110759,"DEBRIDEMENT, <= 20 SQ CM",OT,A,430,97597,GO,,,,306,N,N
5116125,EVAL OF COGNITIVE SKILLS PER HOUR,OT,A,440,96125,GN,,,,368,N,N
5117113,AQUATIC 15 MIN,OT,A,430,97113,GO,,,,118,N,N
5117140,LE LYMPH MANUAL 15 MIN,OT,A,430,97140,GO,,,,129,N,N
5117141,UE LYMPH MANUAL 15 MIN,OT,A,430,97140,GO,,,,123,N,N
5117142,MANUAL THERAPY WITH IDN,OT,A,430,97140,GO,,,,115,N,N
5117150,THERAPEUTIC GROUP,OT,A,430,97150,GO,,,,88,N,N
5117151,AQUATIC GROUP,OT,A,430,97150,GO,,,,88,N,N
5117165,OT EVAL LOW COMPLEX 30,OT,A,434,97165,GO,,,,221,N,N
5117166,OT EVAL MOD COMPLEX 45,OT,A,434,97166,GO,,,,242,N,N
5117167,OT EVAL HIGH COMPLEX 60,OT,A,434,97167,GO,,,,268,N,N
5117168,OT RE-EVAL 30,OT,A,434,97168,GO,,,,126,N,N
5117532,COGNITIVE THERAPY,OT,A,440,97127,GN,,,,134,N,Y
5117535,LE LYMPH ADL 15 MIN,OT,A,430,97535,GO,,,,114,N,N
5117536,UE LYMPH ADL 15 MIN,OT,A,430,97535,GO,,,,107,N,N
5117542,WHEELCHAIR MGT 15 MIN,OT,A,430,97542,GO,,,,77,N,N
5117662,CHECKOUT ORTH/PROS SUBSQ VISITS 15 MIN,OT,A,430,97763,GO,,,,100,N,N
5117750,BALANCE TEST EACH 15 MIN,OT,A,430,97750,GO,,,,146,N,N
5117760,INITIAL ORTHOTIC ENCOUNTER 15 MIN,OT,A,430,97760,GO,,,,109,N,N
5118978,MOBILITY CURRENT,OT,A,430,G8978,GO,,,,0.01,N,N
5118979,MOBILITY GOAL,OT,A,430,G8979,GO,,,,0.01,N,N
5118980,MOBILITY DISCHARGE,OT,A,430,G8980,GO,,,,0.01,N,N
5118981,BODY POSITION CURRENT,OT,A,430,G8981,GO,,,,0.01,N,N
5118982,BODY POSITION GOAL,OT,A,430,G8982,GO,,,,0.01,N,N
5118983,BODY POSITION DISCHARGE,OT,A,430,G8983,GO,,,,0.01,N,N
5118984,MOVE OBJECTS CURRENT,OT,A,430,G8984,GO,,,,0.01,N,N
5118985,MOVE OBJECTS GOAL,OT,A,430,G8985,GO,,,,0.01,N,N
5118986,MOVE OBJECTS DISCHARGE,OT,A,430,G8986,GO,,,,0.01,N,N
5118987,SELF CARE CURRENT,OT,A,430,G8987,GO,,,,0.01,N,N
5118988,SELF CARE GOAL,OT,A,430,G8988,GO,,,,0.01,N,N
5118989,SELF CARE DISCHARGE,OT,A,430,G8989,GO,,,,0.01,N,N
5118990,OTHER PRIMARY CURRENT,OT,A,430,G8990,GO,,,,0.01,N,N
5118991,OTHER PRIMARY GOAL,OT,A,430,G8991,GO,,,,0.01,N,N
5118992,OTHER PRIMARY DISCHARGE,OT,A,430,G8992,GO,,,,0.01,N,N
5118993,OTHER SUBSEQ CURRENT,OT,A,430,G8993,GO,,,,0.01,N,N
5118994,OTHER SUBSEQ GOAL,OT,A,430,G8994,GO,,,,0.01,N,N
5118995,OTHER SUBSEQ DISCHARGE,OT,A,430,G8995,GO,,,,0.01,N,N
5118996,SWALLOWING CURRENT,OT,A,440,G8996,GN,,,,0.01,N,N
5118997,SWALLOWING GOAL,OT,A,440,G8997,GN,,,,0.01,N,N
5118998,SWALLOWING DISCHARGE,OT,A,440,G8998,GN,,,,0.01,N,N
5118999,MOTOR SPEECH CURRENT,OT,A,440,G8999,GN,,,,0.01,N,N
5119086,SERIAL CASTING,OT,A,430,29086,GO,,,,219,N,N
5119125,SHORT ARM SPLINT:STATIC,OT,A,430,29125,GO,,,,173,N,N
5119126,SHORT ARM SPLINT:DYNAMIC,OT,A,430,29126,GO,,,,309,N,N
5119131,FINGER SPLINT:DYNAMIC,OT,A,430,29131,GO,,,,153,N,N
5119158,MOTOR SPEECH DISCHARGE,OT,A,440,G9158,GN,,,,0.01,N,N
5119159,SPK LANG COMPRE CURRENT,OT,A,440,G9159,GN,,,,0.01,N,N
5119160,SPK LANG COMPRE GOAL,OT,A,440,G9160,GN,,,,0.01,N,N
5119161,SPK LANG COMPRE DISCHARGE,OT,A,440,G9161,GN,,,,0.01,N,N
5119162,SPK LANG EXPRES CURRENT,OT,A,440,G9162,GN,,,,0.01,N,N
5119163,SPK LANG EXPRES GOAL,OT,A,440,G9163,GN,,,,0.01,N,N
5119164,SPK LANG EXPRES DISCHARGE,OT,A,440,G9164,GN,,,,0.01,N,N
5119165,ATTENTION CURRENT,OT,A,440,G9165,GN,,,,0.01,N,N
5119166,ATTENTION GOAL,OT,A,440,G9166,GN,,,,0.01,N,N
5119167,ATTENTION DISCHARGE,OT,A,440,G9167,GN,,,,0.01,N,N
5119168,MEMORY CURRENT,OT,A,440,G9168,GN,,,,0.01,N,N
5119169,MEMORY GOAL,OT,A,440,G9169,GN,,,,0.01,N,N
5119170,MEMORY DISCHARGE,OT,A,440,G9170,GN,,,,0.01,N,N
5119171,VOICE CURRENT,OT,A,440,G9171,GN,,,,0.01,N,N
5119172,VOICE GOAL,OT,A,440,G9172,GN,,,,0.01,N,N
5119173,VOICE DISCHARGE,OT,A,440,G9173,GN,,,,0.01,N,N
5119174,OTHER SP LANG CURRENT,OT,A,440,G9174,GN,,,,0.01,N,N
5119175,OTHER SP LANG GOAL,OT,A,440,G9175,GN,,,,0.01,N,N
5119176,OTHER SP LANG DISCHARGE,OT,A,440,G9176,GN,,,,0.01,N,N
5119186,MOTOR SPEECH GOAL,OT,A,440,G9186,GN,,,,0.01,N,N
5127124,MASSAGE THERAPY EA 15 MIN,MT,A,510,97124,,,,,61,N,N
5127140,MANUAL THERAPY,MT,A,510,97140,,,,,82,N,N
5130002,NEW OFFICE/OP VISIT LEV 2,PM,A,761,99202,,,,,294,N,Y
5130003,NEW OFFICE/OP VISIT LEV 3,PM,A,761,99203,,,,,269,N,Y
5130004,NEW OFFICE/OP VISIT LEV 4,PM,A,761,99204,,,,,305,N,Y
5130005,NEW OFFICE/OP VISIT LEV 5,PM,A,761,99205,,,,,327,N,Y
5130011,EST VISIT LEV 1 RN CONSLT,PM,A,761,99211,,,,,121,N,Y
5130012,EST OFFICE OP VISIT LEV 2,PM,A,761,99212,,,,,169,N,Y
5130013,EST OFFICE VISIT LEV 3,PM,A,761,99213,,,,,203,N,Y
5130014,EST OFFICE VISIT LEV 4,PM,A,761,99214,,,,,242,N,Y
5130015,EST OFFICE VISIT LEV 5,PM,A,761,99215,,,,,264,N,Y
5130020,"TRIGGER POINT, 1-2 MUS GR",PM,A,761,20552,,,,,616,N,N
5130021,"TRIGGER POINT,3+ MUS GRP",PM,A,761,20553,,,,,616,N,N
5130022,"DRAIN/INJ, JNT/BURSA LRG",PM,A,761,20610,,,,,616,N,N
5130023,DRAIN/INJ/BURSA SM JNT,PM,A,761,20600,,,,,616,N,N
5130024,"DRAIN/INJ/BURS, MED JNT",PM,A,761,20605,,,,,616,N,N
5130025,"INJECTION SQ,IM",PM,A,761,96372,,,,,91,N,N
5130026,INJ SACROILIAC JNT WO FL,PM,A,761,20610,,,,,616,N,N
5130027,"NERVE BLK, INJ TRIGEMINAL",PM,A,761,64400,,,,,616,N,N
5130028,NERVE BLOCK OCCIPITAL,PM,A,761,64405,,,,,616,N,N
5130030,NERVE BLK INJ BRACH PLEXU,PM,A,761,64415,,,,,"1,708.00",N,N
5130031,"NERVE BLK, SUPRASCAPULAR",PM,A,761,64418,,,,,"1,355.00",N,N
5130032,SCIATIC NERVE INJECTION,PM,A,761,64445,,,,,"1,355.00",N,N
5130033,"NERVE BLK INJ INTERCST, S",PM,A,761,64420,,,,,"1,355.00",N,N
5130034,"NERVE BLK INJ INTERCST,MU",PM,A,761,64421,,,,,"1,708.00",N,N
5130035,NRV BLK INJ ILIO-ING/HYPO,PM,A,761,64425,,,,,"1,355.00",N,N
5130036,NERVE BLK INJ SCIATIC,PM,A,761,64445,,,,,"1,355.00",N,N
5130037,"NERVE BLOCK,OTH PERIPHERL",PM,A,761,64450,,,,,"1,355.00",N,N
5130038,"SYMPATHETIC BLK,LUMBAR/TX",PM,A,761,64520,,,,,"1,708.00",N,N
5130042,PUMP W/PROG/ANALYZE,PM,A,761,62368,,,,,675,N,N
5130043,PUMP WO PROG/ANALYZE,PM,A,761,62367,,,,,675,N,N
5130045,PUMP REPROGRAM&REFILL MD,PM,A,761,62370,,,,,660,N,N
5130046,BOTOX 100 UNIT VIAL(BILL PER UNIT),PM,A,636,J0585,,,,,28.5,N,N
5130047,DEPO-MEDROL 40MG/ML SDV,PM,A,636,J1030,,,,,50,N,N
5130048,DEPO-MEDROL 80MG/ML SDV,PM,A,636,J1040,,,,,87,N,N
5130049,KENALOG40MG/ML SDV (BILL PER 10 MG),PM,A,636,J3301,,,,,10.5,N,N
5130050,MARCAINE 0.25% 10ML VIAL,PM,A,250,,,,,,14.5,N,N
5130051,SYNVISC-ONE 48MG/6ML SYR(BILL PER MG),PM,A,636,J7325,,,,,79,N,N
5130052,XYLOCAINE 1% MPF 5ML,PM,A,250,,,,,,16,N,N
5130053,XYLOCAINE 2% MPF 5ML VIAL,PM,A,250,,,,,,7,N,N
5130054,CHEMODENERV TRUNK MUSCLE,PM,A,761,64646,,,,,"1,355.00",N,N
5130055,CHEMODENERV 1 EXT 1-4MUSC,PM,A,761,64642,,,,,"1,355.00",N,N
5130056,CHEMODENERV NECK MUSCLES,PM,A,761,64616,,,,,616,N,N
