CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
11176,DOMEBORO SOAK,$26.87 
11177,DOLASTERON (ANZEMET) 12.5MG/0.625ML VL,$51.61 
11178,DOLASETRON (ANZEMET) 100MG/5ML VL,$547.79 
11179,DOBUTamine (DOBUTREX) 250MG/20ML VL,$187.68 
11180,DOBUTamine (DOBUTREX) 500MG/D5W 250ML,$90.32 
11181,DOPamine (INOTROP) 200MG/5ML VL,$56.10 
11182,DOBUTamine (DOBUTREX) 250MG/D5W 250ML,$45.29 
11183,DOPamine (INOTROP) 400MG/D5W 500ML,$201.76 
11184,rifAXIMin (XIFAXAN) 200MG TAB,$11.59 
11185,DOXYCYCLINE (VIBRAMYCIN) 100MG VL,$190.03 
11186,EPTIFIBATIDE (INTEGRILIN) 20MG/10ML VL,$267.88 
11187,ENALAPRILAT (VASOTEC) 1.25MG/ML VL,$82.11 
11188,EPTIFIBATIDE (INTEGRILIN) 200MG/100ML VL,"$4,511.58 "
11189,DOPamine (INOTROP) 800MG/D5W 250ML PD,$57.96 
11190,ECALLANTIDE (KALBITOR) 10MG/ML VL,"$13,255.83 "
11191,ERYTHROMYCIN (ERYTHROCIN) 500MG VL,$150.14 
11192,ESMOLOL (BREVIBLOC) VIAL: 10MG/ML   10ML,$64.52 
11193,ESMOLOL (BREVIBLOC) 2500MG/250ML PREMIX,$365.40 
11194,PROLARYN 1ML INJECTABLE IMPLANT GEL,"$1,437.50 "
11195,PROLARYN PLUS 1ML INJECTABLE IMPLANT GEL,"$1,437.50 "
11196,ETOMIDATE (AMIDATE) 2MG/ML 10ML AMP,$89.15 
11197,FAMOTIDINE (PEPCID) 20MG/2ML VL,$39.88 
11198,FAMOTIDINE (PEPCID) TPN 20MG/2ML VL,$79.76 
11199,FAMOTIDINE (PEPCID) 20MG/50ML PREMIX,$90.32 
11200,FAT EMULSIONS (INTRALIPIDS) 20% 250ML,$36.00 
11201,EPTIFIBATIDE (INTEGRILIN) 5MG,$66.97 
11202,EPTIFIBATIDE (INTEGRILIN) 5MG JW,$66.97 
11203,FUROSEMIDE (LASIX) 40MG/4ML VL,$53.96 
11204,GENTAMICIN (GARAMYCIN) 20MG/2ML PED VL,$95.01 
11205,GENTAMICIN (GARAMYCIN) 80MG/NS 50ML,$43.40 
11206,GENTAMICIN (GARAMYCIN) 60MG/NS 50ML,$43.40 
11207,GENTAMICIN (GARAMYCIN) 100MG/NS 100ML,$48.09 
11208,HETASTARCH (HESPAN) 6%/NS 0.9% 500ML,$408.20 
11209,IBUTILIDE (CORVERT) 1MG/10ML VL,$848.08 
11210,KCL 20MEQ/D5W 0.45% NS 1000ML,$75.07 
11211,LABETOLOL (TRANDATE) 100MG/20ML VL,$69.21 
11212,LABETALOL (TRANDATE) 20MG/4ML SYR,$39.88 
11213,LEVOFLOXACIN (LEVAQUIN) 500MG/100ML BAG,$20.18 
11214,LEVOFLOXACIN (LEVAQUIN) 250MG/50ML BAG,$182.99 
11215,LIDOCAINE (XYLOCAINE) 2% URO-JET: 20ML,$63.34 
11216,LIDOCAINE (GLYDO) 2% JELLY 6ML SYR,$8.85 
11217,LIDOCAINE (GLYDO) 2% JELLY 11ML SYR,$11.35 
11218,LEVOFLOXACIN (LEVAQUIN) 750MG/150ML BAG,$182.99 
11219,LIDOCAINE (XYLOCAINE) 2GM/D5W 500ML,$144.28 
11220,MAGNESIUM SULFATE 4GM/100ML,$39.88 
11221,MAGNESIUM SULFATE 2GM/50ML,$60.16 
11222,MAGNESIUM SULFATE 1GM/D5W 100ML,$14.90 
11223,KCL 20MEQ/STERILE WATER 100ML PREMIX,$10.50 
11224,KCL 10MEQ/STERILE WATER 100ML PREMIX,$9.68 
11225,MANNITOL (OSMOTROL) 20% 500 ML,$227.56 
11226,MANNITOL 25% 50ML VL,$43.40 
11227,PROMETHAZINE (PHENERGAN) 12.5MG/25ML PD,$78.59 
11228,PROMETHAZINE (PHENERGAN) 25MG/25ML PD,$78.59 
11229,MEROPENEM (MERREM) 500MG VL,$84.66 
11230,LINEZOLID (ZYVOX) 600MG/300ML PREMIX,$275.00 
11231,LOSARTAN (COZAAR) 25MG TAB,$8.21 
11232,ANASTROZOLE (ARIMIDEX) 1MG TAB,$24.63 
11233,PROMETHAZINE (PHENERGAN) 25MG VL,$38.71 
11234,METHOCARBAMOL (ROBAXIN) 1GM/10ML VL,$290.00 
11235,BACITRA/POLYMYXIN(POLYSPORIN) 0.9GM OINT,$8.21 
11236,ROPIVACAINE (NAROPIN) 0.2% 10ML  AMP,$38.71 
11237,MEROPENEM (MERREM) 1GM VL,$263.93 
11238,ROCURONIUM (ZEMURON) 100MG/10ML VL,$46.92 
11239,ROPIVACAINE (NAROPIN) 0.2% 100ML,$78.26 
11240,KCL 20MEQ/D5W 0.225% NS 1000ML,$104.40 
11241,METHYLPREDNISOLONE(SOLU-MEDROL) 500MG VL,$218.18 
11242,KCL 20MEQ/0.9% NS 1000ML,$144.28 
11243,METHYLPREDNISOLONE (SOLU-MEDROL) 1GM VL,$322.58 
11244,METHYLPREDNISOLONE (SOLU-MEDROL) 2GM VL,$313.19 
11245,METOCLOPRAMIDE (REGLAN) 10MG/2ML VL,$38.71 
11246,METOPROLOL TART (LOPRESSOR) 5MG/5ML VL,$56.75 
11247,RIZATRIPTAN (MAXALT) 10MG TAB,$53.96 
11248,RIZATRIPTAN (MAXALT-MLT) 5MG TAB,$80.94 
11249,METRONIDAZOLE (FLAGYL) 500MG/NS 100ML,$137.24 
11250,ROPIVACAINE (NAROPIN) 0.2% 200ML,$231.75 
11251,MAGNESIUM SULFATE 40MG/ML 500ML,$40.28 
11252,METRONIDAZOLE (FLAGYL) 5MG/ML,$137.24 
11253,KCL 20MEQ/0.45% NS 1000ML,$117.30 
11254,MEMANTINE (NAMENDA) 10MG TAB,$9.38 
11255,MEMANTINE (NAMENDA) 5MG TAB,$9.38 
11256,HEPARIN 100UNITS/ML 5ML SYR,$34.00 
11257,"HEPARIN-SODIUM SOLN 1,000UNITS/500ML CL",$34.00 
11258,HEPARIN 100UNITS/ML 1ML VL,$34.00 
11259,MORPHINE (DURAMORPH) 5MG/10ML AMP,$64.52 
11260,MORPHINE (DURAMORPH) 10MG/10ML AMP,$32.04 
11261,AMPHOTERICIN B LIPOSO (AMBISOME) 50MG VL,$680.13 
11262,AMPHOTERICIN B (FUNGIZONE) 50MG VL,$48.96 
11263,AMINOCAPROIC ACID (AMICAR) 5GM/20ML VL,$7.14 
11264,ANTIPYRIN/BENZO (AURODEX) OTIC DROP 10ML,$11.73 
11265,ATROPINE 0.4MG/ML VL,$48.09 
11266,ATROPINE 1MG/10ML SYR,$64.52 
11267,BENZTROPINE (COGENTIN) 2MG/2ML AMP,$33.78 
11268,BETAMETHA(CELESTONE SOLUS) 6MG/ML 5ML,$84.35 
11269,PEN G BENZ/PROC (BICILLIN CR) 1.2MU SYR,$228.83 
11270,PEN G BENZ (BICILLIN LA) 1.2MU SYR,$431.38 
11271,"PEN G BENZ (BICILLIN LA) 600,000UNITS",$182.13 
11272,BUMETANIDE (BUMEX) 1MG/4ML VL,$38.71 
11273,BUPIVA/EPI (SENSORCA/EPI) MPF 0.5% 30ML,$40.28 
11274,BUPIVA/EPI (SENSORCA/EPI) MPF 0.25% 30ML,$39.88 
11275,BUPIVA/EPI (SENSORCA/EPI) MPF 0.25% 10ML,$15.20 
11276,BUPIVA/EPI (SENSORCA/EPI) MPF 0.25% 10ML,$14.61 
11277,BUPIVACAINE (MARCAINE) 0.25% 30ML VL,$51.61 
11278,STRONG IODINE (LUGOLS SOLUTION): 14 ML,$53.65 
11279,FERRIC SUBSULFATE SOL (MONSELS) 8ML UD,$41.00 
11280,BUPIVACAINE (MARCAINE)0.75% SPINAL: 2ML,$11.83 
11281,BUPIVACAINE (MARCAINE) SP DEXT 0.75% 2ML,$39.88 
11282,BUPIVACAINE (SENSORCAINE) MPF 0.75% 10ML,$14.50 
11283,MEPIVACAINE HCL (CARBOCAINE) 2% 20ML VL,$10.00 
11284,BUPRENORPHINE (BUPRENEX) 0.3MG/ML AMP,$41.82 
11285,BUPRE/NALOX(SUBOXONE) 8-2MG FILM,$21.13 
11286,BUTORPHANOL (STADOL) 1MG/1ML VL,$38.71 
11287,BUTORPHANOL (STADOL) NASAL SPRAY 2.5ML,$93.84 
11288,BUTORPHANOL (STADOL) 4MG/2ML VL,$14.30 
11289,BUTORPHANOL (STADOL) 2MG/1ML VL,$14.64 
11290,CANDIDA SKIN TEST 0.1ML,$55.00 
11291,CARBOPROST (HEMABATE) 250MCG/ML AMP,$315.50 
11292,CEFTRIAXONE (ROCEPHIN) 2GM VL,$469.20 
11293,CEFTRIAXONE (ROCEPHIN) 250MG VL,$194.72 
11294,CEFTRIAXONE (ROCEPHIN) 500MG VL,$2.85 
11295,CHLOROPROCAINE (NESACAINE) 2% 20ML VL,$51.00 
11296,CHLOROPROCAINE (NESACAINE) 3% 20ML PF VL,$63.34 
11297,CHLORPROMAZINE (THORAZINE) 25MG/1ML AMP,$40.13 
11298,CLINDAMYCIN (CLEOCIN) 600MG/4ML VL,$143.11 
11299,COSYNTROPIN (CORTROSYN) 0.25MG/ML VL,$249.85 
11300,CYANOCOBALAMIN (VIT B-12) 1000MCG/ML VL,$41.30 
11301,DEXAMETHASONE (DECADRON) 10MG/ML VL,$48.09 
11302,DEXAMETHASONE (DECADRON) 4MG/ML VL,$48.09 
11303,DEXAMETHASONE (DECADRON) 4MG/ML 5ML VL,$39.88 
11304,DIAZEPAM (VALIUM) 10MG/2ML SYR,$119.95 
11305,DIHYDROERGOTAMINE (DHE) 1MG/1ML AMP,$102.64 
11306,DIPHENHYDRAMINE (BENADRYL) 50MG/ML VL,$48.09 
11307,DIPHTHERIA/TETANUS (TENIVAC) 0.5ML SYR,$67.85 
11308,DIPHTH/TET/PERT (ADACEL) 0.5ML SYR,$131.60 
11309,DIPH/TET/PER (BOOSTRIX) >10YRS 0.5ML SYR,$89.82 
11310,DIPHT/TET/PERT(DAPTACEL)<7YRS INJ: 0.5ML,$55.67 
11311,EDROPHONIUM (ENLON) 150MG/15ML VL,$44.88 
11312,EDROPHONIUM (ENLON) 150MG/15ML VL,$171.49 
11313,ENOXAPARIN (LOVENOX) 30MG/0.3ML SYR,$64.52 
11314,ENOXAPARIN (LOVENOX) 40MG/0.4ML SYR,$83.28 
11315,ENOXAPARIN (LOVENOX) 60MG/0.6ML SYR,$121.75 
11316,EPHEDRINE SULFATE 50MG/ML VL,$141.87 
11317,ENOXAPARIN (LOVENOX) 300MG/3ML VL,$203.83 
11318,EPINEPHRINE (ADRENALIN) 1MG/ML AMP,$43.40 
11319,EPINEPHRINE (ADRENALIN) 1MG/10ML SYR,$18.00 
11320,ENOXAPARIN (LOVENOX) 80MG/0.8ML SYR,$178.63 
11321,ENOXAPARIN (LOVENOX) 100MG/ML SYR,$248.35 
11322,DIAZEPAM (VALIUM) SUPPOSITORY 10MG,$8.38 
11323,EPINEPHRINE (ADRENALIN) 1MG/ML 30ML VL,$73.90 
11324,ENOXAPARIN (LOVENOX) 150MG/ML SYR,$372.68 
11325,ENOXAPARIN (LOVENOX) 120MG/0.8ML SYR,$288.56 
11326,EPINEPHRINE (ADRENALIN) 0.1% NASAL 30ML,$63.34 
11327,"EPOETIN ALFA (ESRD) 10,000UNITS/ML VL",$771.66 
11328,"EPOETIN ALFA (ESRD) 20,000UNITS/ML VL",$930.19 
11329,"EPOETIN ALFA (CHEMO) 10,000UNITS/ML VL",$735.60 
11330,"EPOETIN ALFA (RADIO) 10,000UNITS/ML VL",$735.60 
11331,"EPOETIN ALFA (ESRD) 4,000UNITS/ML VL",$209.97 
11332,"EPOETIN ALFA (CHEMO) 20,000UNITS/ML VL",$930.19 
11333,"EPOETIN ALFA (RADIO) 20,000UNITS/ML VL",$930.19 
11334,"EPOETIN ALFA (CHEMO) 4,000UNITS/ML VL",$209.97 
11335,"EPOETIN ALFA (RADIO) 4,000UNITS/ML VL",$209.97 
11336,"EPOETIN ALFA (NON-CHEM) 10,000UNITS/ML",$771.66 
11337,"EPOETIN ALFA (NON-CHEM) 20,000UNITS/ML",$930.19 
11338,"EPOETIN ALFA (NON-CHEM) 4,000UNITS/ML VL",$209.97 
11339,fentaNYL (SUBLIMAZE) 100MCG/2ML VL,$39.88 
11340,fentaNYL (SUBLIMAZE) 250MCG/5ML VL,$73.90 
11341,fentaNYL (SUBLIMAZE) 2500MCG/50ML VL,$34.00 
11342,EPHEDRINE SULFATE 25MG/5ML SYR,$65.85 
11343,FILGRASTIM (NEUPOGEN) 300MCG/ML VL,$582.98 
11344,PEGILGRASTIM (NEULASTA) 6MG/0.6ML KIT,"$9,888.60 "
11345,FILGRASTIM-TBO (GRANIX) 300MCG/0.5ML SYR,$749.59 
11346,FILGRASTIM (NEUPOGEN) 480MCG/1.6ML VL,$919.63 
11347,FILGRASTIM-TBO (GRANIX) 480MCG/0.8ML SYR,"$1,199.66 "
11348,ROTIGOTINE (NEUPRO) PATCH 2MG/24HR,$8.21 
11349,GLYCOPYRROLATE (ROBINUL) 0.4MG/2ML VL,$39.88 
11350,GLYCOPYRROLATE (ROBINUL) 0.2MG/ML 20ML,$19.97 
11351,GLYCOPYRROLATE (ROBINUL) 1MG TAB,$42.23 
11352,GLYCOPYRROLATE (ROBINUL) 0.2MG/ML VL,$19.52 
11353,GLYCOPYRROLATE (ROBINUL) 1MG/5ML VL,$27.50 
11354,ISOPROPYL ALC. 95% (SWIM EAR) 30ML,$16.42 
11355,HALOPERIDOL (HALDOL) 5MG/ML VL,$39.88 
11356,HEPARIN 100UNIT/ML 5ML SYR,$3.00 
11357,"HEPARIN 5,000UNITS/0.5ML SYR",$38.71 
11358,DILTIAZEM (carDIZEM) 100MG/100ML PD,$220.53 
11359,CEFTRIAXONE (ROCEPHIN) 1GM/50ML PD,$41.75 
11360,"HEPARIN 25,000UNITS/250ML PREMIX",$42.45 
11361,"HEPARIN 25,000UNITS/D5W 250ML",$34.00 
11362,HEPARIN 10UNITS/ML 3ML SYR,$34.00 
11363,"HEPARIN 5,000UNITS/ML 1ML VL",$39.88 
11364,"HEPARIN 10,000UNITS/ML 1ML VL",$34.00 
11365,"HEPARIN 1,000UNITS/ML 10ML VL",$48.09 
11366,"HEPARIN SODIUM SOLN 2,000UNITS/1000ML CL",$34.68 
11367,"HEPARIN 1,000UNITS/ML 1ML VL",$4.77 
11368,HEPATITIS B VACCINE (ENGERIX-B) 20MCG VL,$340.97 
11369,HEPATITIS B VACCINE (ENGERIX-B) 10MCG VL,$96.26 
11370,HEP B IMMUNE GLOB (NABI-HB) 312UNITS/ML,$349.93 
11371,INSULIN NPL/LISPRO (HUMALOG 50/50) 10ML,$111.75 
11372,HYDRALAZINE (APRESOLINE) 20MG/ML VL,$43.40 
11373,INSULIN NPL/LISPRO (HUMALOG 75/25) 10ML,$120.82 
11374,HYDROCORTISONE (SOLU-CORTEF) 100MG VL,$33.78 
11375,HYDROCORTISONE (SOLU-CORTEF) 250MG VL,$90.32 
11376,HYDROMORPHONE (DILAUDID) 1MG/ML SYR,$48.09 
11377,HYDROMORPHONE (DILAUDID) 2MG/ML SYR,$48.09 
11378,HYDROMORPHONE (DILAUDID) 10MG/ML VL,$48.09 
11379,DENOSUMAB (PROLIA) 60MG/ML SYR,"$3,384.60 "
11380,INDIGO CARMINE AMP 0.8%: 5ML,$64.52 
11381,INSULIN ASPART (NovoLOG) 10ML,$183.71 
11382,INSULIN ASPART/PROT (NovoLOG 70/30)10ML,$123.17 
11383,INSULIN GLULISINE (APIDRA) 10ML VL,$200.94 
11384,INSULIN GLARGINE (LANTUS) 10ML VL,$291.95 
11385,INSULIN DETEMIR (LEVEMIR) 10ML VL,$224.40 
11386,INSULIN DETEMIR (LEVEMIR) 3ML FLEXPEN,$79.05 
11387,ISONIAZID (INH) 300MG TAB,$8.21 
11388,ISOPROTERNOL (ISUPREL) VL 1MG/5ML,$522.45 
11389,VARENICLINE (CHANTIX) 1MG TAB,$10.89 
11390,ISONIAZID (INH) 100MG TAB,$8.00 
11391,KETAMINE (KETALAR) 500MG/10ML VL,$73.90 
11392,KETAMINE (KETALAR) 50MG/5ML SYR,$11.30 
11393,KETOROLAC (TORADOL) 30MG/ML VL,$73.90 
11394,KETOROLAC (ACULAR) OPHTH DROPS 0.5% 3ML,$195.89 
11395,KETOROLAC (TORADOL) 15MG/ML VL,$11.25 
11396,LEVOTHYROXINE(SYNTHROID) 200MCG/5ML VL,$382.83 
11397,LEVOTHYROXINE(SYNTHROID) 100MCG/5ML VL,$316.75 
11398,LIDOCAINE MPF (XYLOCAINE) 0.5% 50ML VL,$43.40 
11399,LIDOCAINE MPF (XYLOCAINE) 1% 2ML VL,$19.94 
11400,LIDOCAINE (XYLOCAINE) 1% 20ML VL,$16.42 
11401,LIDOCAINE MPF (XYLOCAINE) 1% 30ML VL,$43.40 
11402,LIDOCAINE/EPI (XYLOCAINE/EPI) 1% 20ML VL,$43.40 
11403,LIDOCAINE/EPI (XYLOCAINE/EPI) 1% 30ML VL,$43.40 
11404,LIDOCAINE/EPI MPF(XYLOCA/EPI) 1% 10ML VL,$22.15 
11405,LIDOCAINE (XYLOCAINE) 100MG/5ML SYR,$42.23 
11406,LIDOCAINE (XYLOCAINE) 2% 20ML VL,$43.40 
11407,LIDOCAINE (XYLOCAINE) 2% JELLY 30ML,$73.90 
11408,LIDOCAINE (XYLOCAINE) 2% JELLY 5ML,$2.30 
11409,LIDOCAINE 2% 20ML VL (FOR CATH LAB ONLY),$43.40 
11410,LIDOCAINE/EPI (XYLOCAINE/EPI) 2% 20ML VL,$43.40 
11411,LIDOCAINE (XYLOCAINE) 2% 10ML VL,$43.40 
11412,LORAZEPAM (ATIVAN) 2MG/ML VL,$73.90 
11413,MAGNESIUM SULFATE 1000MG/2ML VL,$39.88 
11414,MEDIUM CHAIN TRIGLYCERIDE(MCT OIL): 30ML,$8.21 
11415,MEASLES MUMPS RUBELLA VACCINE : EACH,$43.86 
11416,MENINGOCOCCAL VAC (MENACTRA) 4MCG/0.5ML,$262.52 
11417,MEPERIDINE (DEMEROL) 100MG/ML SYR,$48.09 
11418,MEPERIDINE (DEMEROL) 25MG/ML VL,$21.11 
11419,MEPERIDINE (DEMEROL) PCA 300MG/NS 30ML,$76.25 
11420,MEPERIDINE (DEMEROL) 50MG TAB,$8.21 
11421,MEPERIDINE (DEMEROL) 50MG/ML SYR,$48.09 
11422,MEPERIDINE (DEMEROL) 25MG/ML SYR,$48.09 
11423,METHYLENE BLUE 1% 1ML VL,$31.68 
11424,METHYLENE BLUE (PROVAYBLUE) 0.5% 10ML,$559.32 
11425,METHYLENE BLUE (PROVAYBLUE) 1MG,$38.54 
11426,METHYLENE BLUE (PROVAYBLUE) 1MG JW,$38.54 
11427,METHYLERGONOVINE(METHERGINE) 0.2MG/ML VL,$43.40 
11428,METHYLPREDNISOLONE(SOLU-MEDROL) 125MG VL,$26.91 
11429,METHYLPREDNISOLONE (SOLU-MEDROL) 40MG VL,$16.71 
11430,MIDAZOLAM (VERSED) 2MG/2ML VL,$39.88 
11431,MIDAZOLAM (VERSED) 5MG/5ML VL,$76.25 
11432,MIDAZOLAM (VERSED) 25MG/5ML VL,$5.75 
11433,MIDAZOLAM (VERSED) 50MG/10ML VL,$20.70 
11434,MORPHINE 2MG/ML SYR,$48.09 
11435,MORPHINE 10MG/ML SYR,$48.09 
11436,MORPHINE 4MG/ML SYR,$48.09 
11437,MORPHINE 8MG/ML VL,$6.38 
11438,MORPHINE PCA 30MG/30ML CARTRIDGE,$219.35 
11439,HYDROMORPHONE (DILAUDID) PCA 3MG/NS 30ML,$47.28 
11440,fentaNYL (SUBLIMAZE) PCA 750MCG/NS 30ML,$50.00 
11441,NALOXONE (NARCAN) 0.4MG/ML AMP,$58.65 
11442,NALOXONE (NARCAN) 2MG/2ML SYR,$99.00 
11443,NEOSTIGMINE 10MG/10ML VL,$28.95 
11444,NEPAFENAC (NEVANAC) 0.1% OPH DROPS 3ML,$307.75 
11445,ACETYLCYSTEINE (MUCOMYST) 10% 4ML NEB VL,$30.70 
11446,ACETYLCYSTEINE (MUCOMYST) 20% 30ML VL MD,$41.61 
11447,FLUTICA/SALMET(ADVAIR HFA) 115/21MCG INH,$425.34 
11448,FLUTICA/SALMET(ADVAIR HFA) 230/21MCG INH,$581.40 
11449,FLUTICA/SALMET (ADVAIR) 500/50MCG DISKUS,$459.82 
11450,MOMETASONE (ASMANEX) 220MCG INH,$209.56 
11451,ACETYLCYSTEINE (MUCOMYST) 20% 30ML VL LD,$41.61 
11452,ALBUTEROL (PROVENTIL) 0.083% 3ML NEB,$19.94 
11453,ALBUTEROL (PROVENTIL) 0.042% 3ML NEB,$2.63 
11454,ALBUTEROL (PROVENTIL) 0.5% 0.5ML NEB,$19.94 
11455,ALBUTEROL (VENTOLIN HFA) 8GM INH,$85.05 
11456,ALBUTEROL/IPRATRO (DUONEB) 2.5/0.5MG 3ML,$19.94 
11457,AMMONIA INH: EACH,$0.68 
11458,BUDESONIDE (RHINOCORT)NASAL SPRAY: 32MCG,$179.47 
11459,DESFLURANE (SUPRANE) 240ML SOL,$412.00 
11460,"FORMOTEROL (FORADIL) 12MCG INH, BOX",$88.74 
11461,FORMOTEROL (PERFOROMIST) 20MCG/2ML NEB,$48.61 
11462,FLUTICASONE (FLOVENT) 44MCG INH,$193.80 
11463,FLUTICASONE (FLOVENT) 110MCG INH,$280.35 
11464,FLUTICASONE (FLOVENT) 220MCG INH,$434.01 
11465,IPRATROPIUM (ATROVENT) 12.9GM INH,$519.55 
11466,IPRATROPIUM (ATROVENT) 0.02% 2.5ML NEB,$19.94 
11467,IPRATROPIUM (ATROVENT) 0.03% NASAL 30ML,$129.03 
11468,IPRATROPIUM NASAL SPRAY 0.06% 15ML,$107.92 
11469,ACLIDINIUM (TUDORZA) 30DOSES INHALER,$143.60 
11470,ISOFLURANE (FORANE): 100ML,$61.20 
11471,LEVALBUTEROL (XOPENEX) 0.31MG/3ML NEB,$7.14 
11472,LEVALBUTEROL (XOPENEX) 0.63MG/3ML NEB,$7.14 
11473,LEVALBUTEROL (XOPENEX) 1.25MG/3ML NEB,$15.00 
11474,XOPENEX HFA MDI,$126.87 
11475,SODIUM CHLORIDE 0.9% 3ML NEB,$3.06 
11476,SODIUM CHLORIDE 3% 4ML NEB,$3.06 
11477,NICOTINE (NICOTROL) 10MG CARTRIDGE,$4.13 
11478,RACEMIC EPINEPHRINE (S-2) 2.25% 0.5ML,$43.86 
11479,SALMETEROL (SEREVENT) DISKUS 50MCG,$151.98 
11480,SEVOFLURANE (ULTANE) INH SOL: 250 ML,$460.60 
11481,SUMATRIPTAN (IMITREX) NASAL SPRAY 20MG,$68.34 
11482,ZANAMIVIR (RELENZA) DISKHALER,$108.12 
11483,TIOTROPIUM (SPIRIVA) HANDIHALER 18MCG,$176.10 
11484,IBUPROFEN (MOTRIN) 100MG SUPP,$5.21 
11485,ALBUTEROL (VENTOLIN HFA) 90MCG/PUFF INH,$1.00 
11486,SYMBICORT 160-4.5MCG/PUFF INH,$4.95 
11487,SYMBICORT 80-4.5MCG/PUFF INH,$4.95 
11488,TIOTROPIUM (SPIRIVA) 18MCG CAP,$29.53 
11489,CEFAZOLIN (ANCEF) 1GM/NS 50ML ADV,$207.62 
11490,CEFAZOLIN (ANCEF) 1GM/D5W 50ML ADV,$207.62 
11491,ACETIC ACID IRRIG 0.25% 1000ML,$107.92 
11492,ACYCLOVIR (ZOVIRAX) 5% OINT 15GM,$450.00 
11493,ACYCLOVIR (ZOVIRAX) 5% CREAM 5GM,$982.00 
11494,ZINC OXIDE (CURITY) 25% 10.2CM X 9.1M,$13.02 
11495,CALCIUM GLUCON (CALGONATE) 2.5% 25GM GEL,$67.50 
11496,ARTIFICIAL TEARS OPHTH SOL 15ML,$39.88 
11497,ATROPINE OPHTH SOLN 1% 15ML,$43.40 
11498,ATROPINE OPHTH SOLN 1% 5ML,$18.85 
11499,BACITRACIN OPHTH OINTMENT 3.5GM,$120.60 
11500,BACITRACIN/POLYMYXIN B OPHTH OINT 3.5GM,$67.05 
11501,BECLOMETHASONE (BECONASE AQ) 42MCG NASAL,$120.82 
11502,BENZOIN COMPOUND TINCTURE SPRAY 118ML,$22.43 
11503,BETAMETH DIP (DIPROSONE) 0.05% CRM 15GM,$98.53 
11504,BETAMETH DIP (DIPROSONE) 0.05% OINT 45GM,$98.53 
11505,BETAMETH DIP (DIPROSONE) 0.05% OINT 15GM,$98.53 
11506,BETAXOLOL (BETOPTIC) 0.5% OPHTH SOL 5ML,$106.73 
11507,BETAXOLOL (BETOPTIC) 0.25% OPHT SOL 10ML,$324.00 
11508,BIMATOPROST (LUMIGAN) 0.03% OPHTH 3ML,$152.49 
11509,ESZOPICLONE (LUNESTA) 1MG TAB,$15.70 
11510,BIMATOPROST (LUMIGAN) 0.01% OPHTH 2.5ML,$261.85 
11511,SULFA/PRED (BLEPHAMIDE) OPHTH SOLN 5ML,$27.40 
11512,BLISTEX MEDICATED LIP OINT 6GM,$8.21 
11513,CARMEX LIP OINT 0.5OZ,$3.70 
11514,BSS OPHTH SOLN 15ML,$48.09 
11515,CALAMINE LOTION 120ML,$7.14 
11516,ACETYLCHOLINE (MIOCHOL-E) OPH SYSTEM PAK,$117.30 
11517,REFRESH CELLUVISC 1% OPHT SOL 0.4ML,$1.15 
11518,POLYVINYL ALCOHOL 1.4% OPHT SOL 0.4ML,$1.15 
11519,BENZOCAIN/BUTYL/TETRACAI(CETACAINE):SPRA,$107.92 
11520,ALOE VERA GEL,$10.13 
11521,CETAPHIL LOTION: 480ML BOTTLE,$31.67 
11522,CETAPHIL MOISTURIZING CREAM,$15.40 
11523,CIPROFLOX/HYDRO (CIPRO HC)OTIC SUSP 10ML,$380.80 
11524,CIPROFLOXACIN (CILOXAN)OPTH SOL 0.3% 5ML,$64.52 
11525,CIPROFLOXACIN (CILOXAN) OPHTH OINT 0.3%,$103.02 
11526,CIPROFLOX/DEXAM (CIPRODEX)OTIC SUS 7.5ML,$655.83 
11527,CLOBETASOL (TEMOVATE) 0.05% CREAM 15GM,$88.50 
11528,CLOBETASOL (TEMOVATE) 0.05% OINT 30GM,$65.28 
11529,CLOBETASOL (TEMOVATE) 0.05% OINT 15GM,$203.30 
11530,cloNIDine (CATAPRES-TTS)PATCH 0.1MG/24HR,$43.40 
11531,cloNIDine (CATAPRES-TTS)PATCH 0.2MG/24HR,$56.30 
11532,cloNIDine (CATAPRES-TTS)PATCH 0.3MG/24HR,$73.90 
11533,CLOTRIMAZOLE (LOTRIMIN) 1% CREAM 15GM,$31.67 
11534,CLOTRIMAZOLE (GYNE-LOTRIMIN) 1% CRM 45GM,$64.52 
11535,CONJ ESTROGEN (PREMARIN) VAG CREAM 30GM,"$1,140.13 "
11536,CUTEX POLISH REMOVER 120ML,$9.18 
11537,LACTOBACILLUS (CULTURELLE) CAP,$8.21 
11538,CYCLOPENTOLATE (CYCLOGYL) 1% OPH DPS 5ML,$5.03 
11539,CYCLOPENTOLATE (CYCLOGYL) 1% OPH DPS 2ML,$36.93 
11540,METHYLPREDNISOLONE (DEPO-MEDROL) 40MG VL,$31.71 
11541,BENZOCAE/MENTHOL (DERMOPLAST) 60GM SPRAY,$26.98 
11542,MEDROXYPROGESTERONE(DEPO-PROVERA) 150MG,$172.43 
11543,METHYLPREDNISOLONE (DEPO-MEDROL) 80MG VL,$39.88 
11544,ETHYL CHLORIDE 100% SPRAY 103.5ML,$72.45 
11545,ETHYL ALCOHOL 40% (VODKA) 30ML UD,$8.00 
11546,DESMOPRESSIN ACETATE (DDAVP) 0.1MG TAB,$8.16 
