Service Description,CPT/HCPCS Code,Charge
REPLACEMENT GASTRO-JEJUNOSTOMY TUBE PERCUT UNDER FLUORO W/CONTRAST,49452,1533.00
REPLACEMENT GASTRSTMY/CECOSTOMY TUBE PERCUT UNDER FLUORO W/CONTRAST,49450,2468.00
REPLACEMENT OF DUODENOSTOMY OR JEJUNOSTOMY TUBE PERCUTANEOUS W/GUIDANCE,49451,2981.00
REPLANTATION DIGIT EXCLUDING THUMB COMPLETE AMPUTATION,20822,8193.00
REPOSITION GASTROSTOMY TUBE,43761,2230.00
REPOSITION PERCUTANEOUS VENTRICAL ASSIST DEVICE SEP/DISTINCT SESS INSERT,33993,1088.00
REPOSITIONG INTRAVASCULAR VENA CAVA FILTER ENDOVASCULAR APPROACH,37192,11458.00
REPOSITIONING PREV IMPLANTED SUBCUTANEOUS IMPLANTBLE DEFIB ELECTRODE,33273,6565.00
REPROGRAMMING OF PROGRAMMABLE CEREBROSPINAL SHUNT,62252,699.00
REPTILASE TEST,85635,143.00
RESIN COMPOSITE FOUR OR MORE SURFACES POSTERIOR,D2394,461.00
RESIN COMPOSITE ONE SURFACE POSTERIOR,D2391,255.00
RESIN COMPOSITE THREE SURFACES POSTERIOR,D2393,391.00
RESIN COMPOSITE TWO SURFACES POSTERIOR,D2392,323.00
RESIN FOUR OR MORE SURFACES/INCISAL ANGLE,D2335,565.00
RESIN ONE SURFACE ANTERIOR,D2330,298.00
RESIN THREE SURFACES ANTERIOR,D2332,451.00
RESIN TWO SURFACE ANTERIOR,D2331,190.00
RESPIRATORY CULT,87070,211.00
RESPIRATORY SYNCYTIAL VIRUS (RSV)W/DIRECT OPTICAL OBSERVATION,87807,245.00
RESPIRATORY SYNCYTIAL VIRUS ANTIBODY,86756,186.00
RESPIRATORY VIRUS DNA/RNA 12-25 TARGETS,87633,1246.00
RESPIRATORY VIRUS DNA/RNA 3-5 TARGETS,87631,756.00
RETIC COUNT AUTOMATED,85045,70.00
RETIC COUNT MANUAL,85044,90.00
"RETIC COUNT, MANUAL",85044,68.00
RETICULATED PLATELET ASSAY,85055,153.00
RETICULOCYTE AUTOMATED,85046,104.00
RETRIEVAL INTRAVASCULAR VENA CAVA FILTER ENDOVASCULAR APPROACH,37193,11003.00
RETROBULBAR INJECTION ALCOHOL,67505,1735.00
RETROBULBAR INJECTION MEDICATION,67500,688.00
REVASCULAR ENDOVASC OPEN/PERCUT FEM POPLIT ART(S) UNIL W/ATHERECTOMY,37225,36576.00
REVASCULAR ENDOVASC OPEN/PERCUT FEM POPLIT ARTERY(S) UNIL W/ANGIOPLASTY,37224,8142.00
REVASCULAR ENDOVASC OPEN/PERCUT ILIAC ART UNIL INIT VESSEL W/ANGIOPLSTY,37220,7752.00
REVASCULAR ENDOVASC OPEN/PERCUT TIBIAL PERON ART UNIL INIT VSSL W/ANGPL,37228,19645.00
REVASCULAR ENDOVASC OPEN/PERCUT TIBIAL PERON ART UNIL INIT VSSL W/ATHER,37229,28057.00
REVASCULAR ENDOVSC OPEN/PERCUT ILIAC ART EA AD IPSILAT ILIAC VSL W/ANGPL,37222,5932.00
REVASCULAR ENDOVSC OPEN/PERCUT ILIAC ART UNIL INIT VESSL W/STNT PLACE(S),37221,26442.00
REVASCULARIZATION ATO AMI/CABG/STENT SINGLE VESSEL,92941,29942.00
REVASCULARIZATION ATO AMI/DRUG-ELUTING INTRACORONARY STENT SINGLE,C9606,29035.00
REVASCULARIZATION CABG PTA/STENT/ATHERECTOMY EA ADDITIONAL VESSEL,92938,22824.00
REVASCULARIZATION CABG PTA/STENT/ATHERECTOMY SINGLE VESSEL,92937,33617.00
REVASCULARIZATION CABG/DRUG-ELUTING INTRACORONARY STENT/ATH SINGLE,C9604,36199.00
REVASCULARIZATION CTO COR ART STENT EA ADDITIONAL VESSEL,92944,19118.00
REVASCULARIZATION CTO COR ART STENT SINGLE VESSEL,92943,25249.00
REVASCULARIZATION FEMORAL POPLITEAL ARTERY W/STENT PLACEMENT,37226,35643.00
REVASCULARIZATION FEMORAL POPLITEAL ARTERY W/STENT W/ARTHERECTOMY,37227,42773.00
REVASCULARIZATION ILIAC ARTERY W/STENT PLACEMENT W/ANGIOPLASTY,37223,11159.00
REVASCULARIZATION TIBIAL PERONEAL ARTERY W/ANGIOPLASTY EACH ADDL VESSSEL,37232,4684.00
REVASCULARIZATION TIBIAL PERONEAL ARTERY W/ATHERECTOMY EACH ADDL VESSEL,37233,4802.00
REVASCULARIZATION TIBIAL PERONEAL ARTERY W/STENT PLACEMENT EACH ADDL,37234,23894.00
REVASCULARIZATION TIBIAL PERONEAL ARTERY W/STENT W/ATHERECTOMY,37231,42928.00
REVISION MASTOIDECTOMY MODIFIED RADICAL,69602,11183.00
REVISION MASTOIDECTOMY TYMPANOPLASTY,69604,12947.00
REVISION OF COLOSTOMY SIMPLE,44340,8806.00
REVISION OR REPAIR OF OPERATIVE WOUND OF ANTERIOR SEGMENT,66250,4242.00
REVISION TRANSVENOUS INTRAHEPATIC PORTOSYSTEMIC SHUNT(S),37183,18704.00
REVISION/REMOVAL IMPLANTED SPINAL NEUROSTIMULATOR PULSE GENERATR/RECEIVR,63688,8488.00
RHEUMATOID FACTOR QUALITATIVE,86430,137.00
RHEUMATOID FACTOR QUANTITATIVE,86431,154.00
RHINOPLASTY PRIMARY LATERAL & ALAR CARTILAGES AND/OR ELEVATION NASAL TIP,30400,8738.00
RHYTHM ECG 1-3 LEADS TRACING ONLY,93041,359.00
RHYTIDECTOMY CHEEK CHIN AND NECK,15828,5663.00
RHYTIDECTOMY FOREHEAD,15824,4969.00
RIBOSOMAL P IGG,86235,220.00
RICKETTSIA ANTIBODY,86757,136.00
RIFAMPIN,80299,182.00
RIGHT & LEFT HEART CATH W/INJECTION(S) LEFT VENTRICULOGRAPHY S&I,93453,10512.00
RIGHT HEART CATH W/OXYGEN SATURATION/CARDIAC OUTPUT,93451,4331.00
RIGHT HEART CATHETERIZATION FOR CONGENITAL CARDIAC ANOMALIES,93530,8538.00
RIGHT VENTRICULAR RECORDING,93603,3628.00
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH,,32.91
RNP (ENA) AB EACH,86235,221.00
ROOM & BOARD CORONARY CARE UNIT PRIVATE,,4106.00
ROOM & BOARD INTENSIVE CARE UNIT,,4106.00
ROOM & BOARD INTENSIVE CARE UNIT SURGICAL,,4106.00
ROOM & BOARD ISOLATION,,3390.00
ROOM & BOARD MED/SURG GENERAL PRIVATE,,2176.00
ROOM & BOARD MED/SURG GENERAL SEMI PRIVATE,,2176.00
ROOM & BOARD MED/SURG OB/GYN PRIVATE,,2176.00
ROOM & BOARD MED/SURG ONCOLOGY DELUXE,,2331.00
ROOM & BOARD MED/SURG ONCOLOGY PRIVATE,,2176.00
ROOM & BOARD MED/SURG ONCOLOGY SEMI PRIVATE,,2176.00
ROOM & BOARD MED/SURG REHABILITATION PRIVATE,,2176.00
ROOM & BOARD MED/SURG REHABILITATION SEMI PRIVATE,,2176.00
ROOM & BOARD NEONATAL INTENSIVE CARE UNIT,,4106.00
ROOM & BOARD NURSERY LEVEL I,,639.00
ROOM & BOARD NURSERY LEVEL II,,1700.00
ROOM & BOARD NURSERY LEVEL III,,3044.00
ROOM & BOARD OBSTETRICS SEMI PRIVATE,,2176.00
ROOM & BOARD TELEMETRY,,3390.00
ROTAVIRUS ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87425,138.00
"RPR, BLOOD QUANT",86593,136.00
RT ASSESSMENT,,105.00
RT RX INDIVIDUAL,,75.00
RUBELLA ANTIBODY,86762,172.00
RUBEOLA ANTIBODY,86765,169.00
RV5 VACCINE 3 DOSE SCHEDULE LIVE FOR ORAL USE,90680,249.00
SALICYLATE-SERUM,80329,178.00
SALMONELLA ANTIBODY,86768,102.00
SCAN COMPUTER OPHTHAL DIAG IMG PST SGMNT W/INTRP & REP UNIL/BIL RETINA,92134,249.00
SCAN COMPUTER OPHTHALMIC DIAG IMG ANT SEGMNT W/INTERP&REP UNILAT/BILAT,92132,249.00
SCAN COMPUTERIZE OPHTHAL DIAG IMG PST SGMNT W/INTRP&REP UNIL/BIL OPT NRV,92133,249.00
SCLERODERMA (SCL70) (ENA) AB,86235,194.00
SCLEROTHERAPY OF A FLUID COLLECTION,49185,2138.00
SCRAPING CORNEA DIAGNOSTIC,65430,352.00
SCREENING PAPANICOLAOU SMEAR CERVICAL OR VAGINAL UP TO THREE SMEARS,P3000,90.00
SCREENING TEST OF VISUAL ACUITY QUANTITATIVE BILATERAL,99173,93.00
SCREENING TEST PURE TONE AIR ONLY,92551,213.00
SEALANT PER TOOTH,D1351,100.00
SECONDARY CLOSURE SURGICAL WOUND OR DEHISCENSE COMPLICATED,13160,3489.00
SECONDARY PERCUTANEOUS TRANSLUMINAL THROMBECTOMY EACH ADDL,37186,2389.00
SEDATIVE HYPNOTICS (NON-BENZO) ASSAY,80368,259.00
SEDIMENTATION RATE RBC AUTO,85652,111.00
SELECTIVE CATHETER PLACEMENT ARTERIAL SYSTEM EACH 1ST ORDER THORAC/BRACH,36215,2678.00
SELECTIVE CATHETER PLACEMENT LEFT OR RIGHT PULMONARY ARTERY,36014,2096.00
SELECTIVE CATHETER PLACEMENT SEGMENTAL OR SUBSEGMENTAL PULMONARY ARTERY,36015,2403.00
SELECTIVE CATHETER PLACEMENT VENOUS SYSTEM 2ND ORD/MORE SELECT BRANCH,36012,2008.00
SELECTIVE CATHETER PLACEMENT VENOUS SYSTEM FIRST ORDER BRANCH,36011,2792.00
SELENIUM,84255,184.00
SELF CARE CURRENT STATUS AT THERAPY,G8987,0.01
SELF CARE DISCHARGE STATUS AT DISCHARGE,G8989,0.01
SELF CARE PROJ GOAL STATUS AT THERAPY/DISCHARGE,G8988,0.01
SELF-CARE/HOME MANAGEMENT TRAINING DIRECT CONTACT EA 15 MIN,97535,147.00
SEMEN ANALYSIS MOTILITY,89300,68.00
SEMEN ANALYSIS PRESENCE,89321,92.00
SENSORIMOTOR EXAM W/MULT MEASUREMENTS OCULAR DEVIATION W/INTERP & REPORT,92060,249.00
SENSORY INTEGRATION DIRECT PATIENT CONTACT EACH 15 MINUTES,97533,112.00
SEPT9 (SEPTIN9) METHYLATION ANALYSIS,81327,427.00
SERIAL TONMTRY W/MULT MEASRS INTRAOC PRESS EXT TIME W/INTERP&REP SM DAY,92100,160.00
SEROTONIN,84260,267.00
SERPINA1 GENE,81332,415.00
SEVERING ADHESIONS OF ANTERIOR SEGMENT LASER TECHNIQUE,65860,1951.00
SEVERING OF TARSORRHAPHY,67710,3236.00
SEVERING VITREOUS STRANDS LASER SURGERY 1 OR MORE STAGES,67031,1951.00
SEX CHROMATIN ID BARR,88130,125.00
SEX CHROMATIN ID PMN DRUMSTICKS,88140,66.00
SEX HORMONE BINDING GLOBULIN,84270,255.00
SGPT ALT,84460,130.00
SHAVING EPIDERMAL/DERMAL LESION FACE EARS EYELIDS NOSE LIPS MUC <=0.5CM,11310,275.00
SHAVING EPIDERMAL/DERMAL LESION FACE EARS EYELIDS NOSE LIPS MUC 0.6-1CM,11311,281.00
SHAVING EPIDERMAL/DERMAL LESION FACE EARS EYELIDS NOSE LIPS MUC 1.1-2CM,11312,741.00
SHAVING EPIDERMAL/DERMAL LESION SCALP NECK HANDS FEET GENITALIA <=0.5CM,11305,284.00
SHAVING EPIDERMAL/DERMAL LESION SCALP NECK HANDS FEET GENITALIA 0.6-1CM,11306,427.00
SHAVING EPIDERMAL/DERMAL LESION SCALP NECK HANDS FEET GENITALIA 1.1-2CM,11307,427.00
SHAVING EPIDERMAL/DERMAL LESION SINGLE LESION TRUNK ARMS LEGS <=0.5CM,11300,281.00
SHIGA-LIKE TOXIN ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87427,123.00
SHIGELLA ANTIBODY,86771,109.00
SHORT-LATENCY SOMATOSENSORY EVOK POTENTIAL STIM PERIPH NERVES TRUNK/HEAD,95927,946.00
SHORT-LATENCY SOMATOSENSORY EVOKED POTENTIAL STIM PERIPH NRVS U/L LIMBS,95938,734.00
SHORT-LATENCY SOMATOSENSORY EVOKED POTENTIAL STIMULATION LOWER LIMBS,95926,1576.00
SHORT-LATENCY SOMATOSENSORY EVOKED POTENTIAL STIMULATION UPPER LIMBS,95925,1576.00
SIALIC ACID,84275,170.00
SIALIDASE ENZYME ASSAY,87905,70.00
SIALOLITHOTOMY SUBMANDIBULAR INTRAORAL UNCOMPLICATED,42330,7465.00
SICKLE CELL RBC,85660,86.00
SIGMOIDOSCOPY FLEXIBLE DIAG W/COLLECT SPECIMEN(S) BRUSHING/WASHING,45330,997.00
SIGMOIDOSCOPY FLEXIBLE W/DECOMP W/PLACEMENT OF TUBE,45337,1059.00
SIGMOIDOSCOPY FLEXIBLE W/REM TUMOR(S)/POLYP/LESION(S) SNARE TECHNIQUE,45338,2340.00
SIGMOIDOSCOPY FLEXIBLE W/TRANSEND US GUIDED INTRAM/TRANSM FNA/BIOP,45342,2524.00
SIGMOIDOSCOPY FLEXIBLE WITH BAND LIGATION(S),45350,2886.00
SIGMOIDOSCOPY FLEXIBLE WITH BIOPSY SINGLE OR MULTIPLE,45331,1242.00
SIGMOIDOSCOPY FLEXIBLE WITH CONTROL OF BLEEDING ANY METHOD,45334,1649.00
SIGMOIDOSCOPY FLEXIBLE WITH DIRECTED SUBMUCOSAL INJECTION(S) ANY SUBST,45335,2603.00
SIGMOIDOSCOPY FLEXIBLE WITH ENDOSCOPIC ULTRASOUND EXAMINATION,45341,1672.00
SIGMOIDOSCOPY FLEXIBLE WITH REMOVAL OF FOREIGN BODY(S),45332,988.00
SIGMOIDOSCOPY FLEXIBLE WITH TRANSENDOSCOPIC BALLOON DILATION,45340,1531.00
SIGNAL-AVERAGED ELECTROCARDIOGRAPHY WITH OR WITHOUT ECG,93278,604.00
SILICA,84285,194.00
SIMPLE CYSTOMETROGRAM,51725,910.00
SIMPLE UROFLOWMETRY,51736,271.00
SINUSOIDAL VERTICAL AXIS ROTATIONAL TESTING,92546,679.00
SITAGLIPTIN 25 MG TABLET,,25.11
SKELETAL MUSCLE => 3 DEFINITIVE ASSAY,80370,259.00
SKELETAL MUSCLE 1-2 DEFINITIVE ASSAY,80369,84.00
SKIN TEST CANDIDA,86485,110.00
SLEEP STUDY ATT/TECHN REC VENTILATION/RESP EFFORT/ECG/02 SAT 10HR/5 CHNL,95807,2908.00
SLEEP STUDY UNATTENDED SIMULTANEOUS REC HR/02 SAT/RESP AIRFLOW/EFFORT,95806,820.00
SLITTING PREPUCE DORSAL OR LATERAL EXCEPT NEWBORN,54001,3805.00
SMALL INTESTINAL ENDOSC ENTERSC BEYOND 2ND PORTN DUODN INCL ILEUM W/BIOP,44377,2490.00
SMALL INTESTINAL ENDOSCOPY BEYOND 2ND PORTION DUODEMUM W/CTRL BLEEDING,44366,4153.00
SMALL INTESTINAL ENDOSCOPY ENTEROSCOPY BEYOND 2ND PORTN DUODEN W/BIOPSY,44361,2515.00
SMEAR COMPLEX OVA/PARASITES,87209,154.00
SMEAR FLUOURESCENT/ACID STAIN,87206,121.00
SMEAR NASAL EOSINOPHIL,89190,92.00
SMEAR ROUTINE STAIN,87205,66.00
SMEAR SPECIAL STAIN INCLUSION BODIES,87207,129.00
SMEAR WET MOUNT,87210,74.00
SMITH (ENA) AB,86235,221.00
SMOKING/TOBACCO USE CESSATION COUNSELING VISIT INTENSIVE >10 MINUTES,99407,71.00
SMOKING/TOBACCO USE CESSATION COUNSELING VISIT INTERMD >3 MIN/<10 MIN,99406,68.00
"SMPD1(SPHINGOMYELIN PHOSPHODIESTERASE 1, ACID LYSOSOM) GENE COMMON VARI",81330,387.00
SNIP INCISION OF LACRIMAL PUNCTUM,68440,1101.00
SNRPN/UBE3A GENE,81331,17.00
SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE 62.5 MG/5 ML INTRAVENOUS,J2916,46.27
SODIUM OTHER SOURCE,84302,113.00
SODIUM SERUM PLASMA WHOLE BLOOD,84295,65.00
SODIUM URINE,84300,84.00
"SODIUM, URINE",84300,84.00
"SODIUM,URINE 24HR",84300,74.00
SOMATOMEDIN-C,84305,283.00
SOMATOSTATIN,84307,667.00
SP GRAVITY-URINE,81003,18.00
SPEC STAINS-OTHER,88313,213.00
SPECIAL DOSIMETRY ONLY WHEN PRESCRIBED BY THE TREATING PHYSICIAN,77331,497.00
SPECIAL MEDICAL RADIATION PHYSICS CONSULTATION,77370,1687.00
SPECIAL STAIN 1,88312,170.00
SPECIAL STAIN 2,88313,213.00
SPECIAL STAIN GROUP 3 ENZYME,88319,504.00
SPECIAL TELETHERAPY PORT PLAN PARTICLES HEMIBODY TOTAL BODY,77321,1008.00
SPECIAL TREATMENT PROCEDURE,77470,2471.00
SPECIFIC GRAVITY BODY FLUID,84315,39.00
SPECTROPHOTOMETRY ANALYTE,84311,253.00
SPEECH AUDIOMETRY THRESHOLD,92555,255.00
SPERM ANTIBODY,89325,92.00
SPERM EVALUATION TEST,89329,160.00
SPERM ISOLATION SIMPLE,89260,229.00
SPHINCTEROTOMY ANAL DIVISION OF SPHINCTER,46080,5953.00
SPINAL PUNCTURE LUMBAR DIAGNOSTIC,62270,547.00
SPINAL PUNCTURE THERAPEUTIC FOR DRAINAGE OF CEREBROSPINAL FLUID,62272,570.00
SPIROMETRY SIMPLE,94010,400.00
SPLINT APPLICATION FINGER DYNAMIC,29131,434.00
SPLINT APPLICATION FINGER STATIC,29130,421.00
SPLINT APPLICATION LONG ARM SHOULDER TO HAND,29105,441.00
SPLINT APPLICATION LONG LEG THIGH TO ANKLE OR TOES,29505,462.00
SPLINT APPLICATION SHORT ARM FOREARM TO HAND DYNAMIC,29126,305.00
SPLINT APPLICATION SHORT ARM FOREARM TO HAND STATIC,29125,434.00
SPLINT APPLICATION SHORT LEG CALF TO FOOT,29515,341.00
SPLIT BLOOD UNIT,P9011,697.00
SPLIT OF BLOOD PRODUCT EACH,86985,189.00
SPLIT-THICKNESS AUTOGRAFT TRUNK ARMS LEGS 1ST100 SQ CM/1% INFANTS/CHILD,15100,3215.00
SPLIT-THICKNESS AUTOGRAFT TRUNK ARMS LEGS ADDL 100SQCM/1% INFANT/CHILD,15101,6758.00
SPOKEN LANGUAGE COMPREHEN FUNCTIONAL LIMIT CURRENT STATUS AT THERAPY,G9159,0.01
SPOKEN LANGUAGE COMPREHEN FUNCTIONAL LIMIT DISCHARGE STAT AT DISCHRG,G9161,0.01
SPOKEN LANGUAGE EXPRESSION FUNCTIONAL LIMIT CURRENT STATUS AT THERAPY,G9162,0.01
SPONTANEOUS NYSTAGMUS TEST W/GAZE AND FIXATION NYSTAGMUS W/RECORDING,92541,335.00
SPUN MICROHEMATOCRIT,85013,43.00
SPUTUM COLLECTION,89220,145.00
SSA (ENA) AB EACH,86235,220.00
SSB (ENA) AB EACH,86235,221.00
STAB PHLEBECTOMY OF VARICOSE VEINS 1 EXTREMITY 10-20 STAB INCISIONS,37765,5382.00
STAB PHLEBECTOMY OF VARICOSE VEINS 1 EXTREMITY MORE THAN 20 INCISIONS,37766,5370.00
STEM CELLS TOTAL COUNT,86367,312.00
STENGER TEST PURE TONE,92565,185.00
STENT PLACEMENTT CENTRAL DIALYSIS SEGMENT WITH IMAGING,36908,2833.00
STEREOTACTIC BODY RADIATION THERAPY/FRACTION >1 LESNS W/IMG <5 FRACTION,77373,21393.00
STEREOTACTIC TREATMENT BRAIN GROWTH ADDL COMPLEX SECOND THROUGH FIFTH,61799,2204.00
STEREOTACTIC TREATMENT BRAIN GROWTH ADDL SIMPLE SECOND THROUGH FIFTH,61797,1683.00
STEREOTACTIC TREATMENT BRAIN GROWTH COMPLEX SECOND THROUGH FIFTH SESSION,61798,5570.00
STEREOTACTIC TREATMENT BRAIN GROWTH SIMPLE SECOND THROUGH FIFTH SESSION,61796,1683.00
STEREOTACTIC TREATMENT OF BRAIN GROWTH ADDITIONAL COMPLEX FIRST SESSION,61799,2204.00
STEREOTACTIC TREATMENT OF BRAIN GROWTH ADDITIONAL SIMPLE FIRST SESSION,61797,1683.00
STEREOTACTIC TREATMENT OF BRAIN GROWTH COMPLEX FIRST SESSION,61798,5570.00
STEREOTACTIC TREATMENT OF BRAIN GROWTH SIMPLE FIRST SESSION,61796,1683.00
STEROEOISOMER DEFINITIVE ASSAY,80374,259.00
STIMULANTS SYNTHETIC DEFINITIVE ASSAY,80371,259.00
STOOL WBC STAIN,87205,86.00
STRAPPING ANKLE AND/OR FOOT,29540,162.00
STRAPPING ELBOW OR WRIST,29260,345.00
STRAPPING HAND OR FINGER,29280,215.00
STRAPPING HIP,29520,219.00
STRAPPING KNEE,29530,318.00
STRAPPING SHOULDER,29240,381.00
STRAPPING THORAX,29200,227.00
STRAPPING TOES,29550,282.00
STRAPPING UNNA BOOT,29580,357.00
STREP GROUP A ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87430,193.00
STREP PNEUMONIAE ANTIGEN URINE,87899,197.00
STREPTOCOCCUS A DNA DIRECT PROBE,87650,165.00
STREPTOCOCCUS A NUCLEIC ACID PROBE AMPLIFIED,87651,289.00
STREPTOCOCCUS GROUP A DNA QUANTITATIVE,87652,344.00
STREPTOCOCCUS GROUP A SCREEN RAPID W/DIRECT OPTICAL OBSERVATION,87880,79.00
STREPTOCOCCUS GROUP B W/DIRECT OPTICAL OBSERVATION,87802,99.00
STREPTOKINASE ANTIBODY,86590,46.00
SUBCONJUNCTIVAL INJECTION,68200,317.00
SUBCUT INFUSION THERAPY/PROPHYLAXIS EA ADD HOUR,96370,154.00
SUBCUT INFUSION THERAPY/PROPHYLAXIS INITIAL <=1 HR W/PUMP SET-UP W/SITE,96369,752.00
SUBCUTANEOUS INJECTION FILLING MATERIAL 5.1 TO 10.0CC,11952,987.00
SUBCUTANEOUS INJECTION FILLING MATERIAL OVER 10.0CC,11954,1357.00
SUBQ INF ADDL SET UP NEW SITE,96371,202.00
SUCTION ASSISTED LIPECTOMY HEAD AND NECK,15876,5505.00
SUCTION ASSISTED LIPECTOMY LOWER EXTREMITY,15879,6273.00
SUCTION ASSISTED LIPECTOMY UPPER EXTREMITY,15878,3363.00
SUGARS MULTIPLE QUALITATIVE,84377,45.00
SUGARS MULTIPLE QUANT,84379,67.00
SULFATE URINE,84392,84.00
SUPERVISION HANDLING LOADING OF RADIATION SOURCE,77790,846.00
SUPERVISION PREPARATION/PROVISION ANTIGENS 1 STINGING INSECT VENOM,95145,139.00
SUPERVISION PREPARATION/PROVISION ANTIGENS IMMUNOTHERAPY SINGLE/MULTIPLE,95165,130.00
SUPERVISION PREPARATION/PROVISION ANTIGENS SINGLE DOSE VIAL(S),95144,202.00
SURG PATH LEVEL 4,88305,337.00
SURG PREP/CREATE RECIP SITE FC/SCLP/EYLD/MTH/NCK/ER/ORB/GNT/HND/FT +100,15005,1088.00
SURG PREP/CREATE RECIP SITE FC/SCLP/EYLD/MTH/NCK/ER/ORB/GNT/HND/FT 100SQ,15004,1091.00
SURG PREP/CREATE RECIP SITE TRUNK ARMS LEGS 1ST 100SQCM/1% INFANT/CHILD,15002,4260.00
SURG PREP/CREATE RECIP SITE TRUNK ARMS LEGS ADDL 100SQCM/1% INFANT/CHILD,15003,1652.00
SURGICAL CLOSURE TRACHEOSTOMY OR FISTULA WITHOUT PLASTIC REPAIR,31820,8408.00
SURGICAL PATHOLOGY LEVEL 1 GROSS ONLY,88300,111.00
SURGICAL PATHOLOGY LEVEL 2 GROSS & MICRO,88302,177.00
SURGICAL PATHOLOGY LEVEL 3 GROSS & MICRO,88304,199.00
SURGICAL PATHOLOGY LEVEL 4 GROSS & MICRO,88305,337.00
SURGICAL PATHOLOGY LEVEL 5 GROSS & MICRO,88307,403.00
SURGICAL PATHOLOGY LVL 6 GROSS & MICRO,88309,925.00
SURGICAL TREATMENT OF ANAL FISTULA INTERSPHINCTERIC,46275,5300.00
SURGICAL TREATMENT OF ANAL FISTULA SUBCUTANEOUS,46270,4791.00
"SURGICAL, UNCOMPLICATED",88304,199.00
SUSCEPTIBILITY AGAR PER PLATE,87181,182.00
SUSCEPTIBILITY DISK PER PLATE,87184,139.00
SUSCEPTIBILITY ENZYME DETECTION PER ENZYME,87185,40.00
SUSCEPTIBILITY MACROBROTH EA,87188,170.00
SUSCEPTIBILITY MINIMUM INHIBITORY CONCENTRATION (MIC) PER PLATE,87186,188.00
SUSCEPTIBILITY MINIMUM LETHAL CONCENTRATION (MLC) PER PLATE,87187,85.00
SUSCEPTIBILITY MYCOBACTERIA PER AGENT,87190,46.00
SUTURE WOUND EYELID FULL THICKNESS,67935,5603.00
SUTURE WOUND EYELID PARTIAL THICKNESS,67930,5942.00
SWALLOWING FUNCTIONAL LIMIT CURRENT STATUS AT THERAPY,G8996,0.01
SWALLOWING FUNCTIONAL LIMIT DISCHARGE STATUS AT DISCHARGE,G8998,0.01
SWALLOWING FUNCTIONAL LIMIT PROJ GOAL STATUS AT THERAPY/DISCHARGE,G8997,0.01
SWIM MOLDS FAC BINAURAL,,235.00
SWIM MOLDS HOSP BINAURAL,,136.00
SWIM MOLDS HOSP MONAURAL,,87.00
SYPHILIS ANTIBODY QUALITATIVE,86592,101.00
T3 (TRIIODOTHYRONINE) FREE,84481,335.00
T3 (TRIIODOTHYRONINE) TOTAL,84480,256.00
T3 UPTAKE,84479,117.00
T4 (THYROXINE) FREE,84439,176.00
T4 (THYROXINE) TOTAL,84436,146.00
TANGENTIAL BIOPSY SKIN SINGLE LESION,11102,7957.00
TAPENTADOL DEFINITIVE ASSAY,80372,259.00
TARGETED GENOMIC SEQ ANALYSIS,81455,2592.00
TB SKIN TEST INTRADERMAL,86580,74.00
TD VACCINE PRSRV FREE 7 YRS OR OLDER FOR IM USE,90714,104.00
TDAP VACCINE 7 YRS/> IM,90715,134.00
TELETHERAPY ISODOSE PLAN COMPLEX W/BASIC DOSIMETRY CALCULATION(S),77307,1752.00
TEMOZOLOMIDE 140 MG CAPSULE,J8700,613.09
TEMPORARY CLOSURE OF EYELID BY SUTURE,67875,2667.00
TENOTOMY ELBOW LATERAL OR MEDIAL PERCUTANEOUS,24357,7149.00
TENOTOMY PERCUTANEOUS TOE SINGLE TENDON,28010,4248.00
TEST RBC PROTOPORPHYRIN,84203,71.00
TESTING AUTONOMIC NERVOUS SYSTEM FUNCT VASOMOTOR ADRENERGIC INNERVATION,95922,497.00
TESTING AUTONOMIC NERVOUS SYSTEM FUNCTION CARDIOVAGAL INNERVATION,95921,347.00
TESTING AUTONOMIC NERVOUS SYSTEM FUNCTION SUDOMOTOR,95923,497.00
TESTOSTERONE,84403,283.00
TESTOSTERONE RESPONSE,80414,426.00
TETANUS ANTIBODY,86774,60.00
THEOPHYLLINE- LEV,80198,244.00
THEOPHYLLINE THERAPUTIC DRUG ANALYSIS,80198,244.00
THERAPEUTIC ACTIVITIES DIRECT PATIENT CONTACT EACH 15 MINUTES,97530,151.00
THERAPEUTIC APHERESIS PLASMAPHESIS,36514,3340.00
THERAPEUTIC APHERESIS PLATELTES,36513,2998.00
THERAPEUTIC APHERESIS RBC,36512,4512.00
THERAPEUTIC APHERESIS WBC,36511,3109.00
THERAPEUTIC DRUG NOT OTHERWISE SPECIFIED QN,80299,182.00
THERAPEUTIC INTERVENTION WITH FOCUS ON COGNATIVE FUNCTION,97127,148.00
THERAPEUTIC PROC INCREASE STRENGTH/ENDURANCE RESP MUSCLES EA 15 MIN,G0237,129.00
THERAPEUTIC PROCEDURE >=1 AREAS EA 15 MIN AQUATIC THERAPY W/EXERCISES,97113,146.00
THERAPEUTIC PROCEDURE >=1 AREAS EA 15 MIN GAIT TRAINING,97116,155.00
