IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
6048843,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6049429,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6049430,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6052243,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6054326,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6088556,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6088557,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6096604,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6110893,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6115062,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6118444,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.00",
6024383,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.49",
6045745,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,159.73",
6049358,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,160.95",
6062527,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,163.88",
6062528,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,163.88",
6062530,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,163.88",
6101051,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,165.22",
6052486,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,165.34",
6037188,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,166.41",
6045526,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,166.44",
6062808,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,170.59",
6030196,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,170.71",
6051581,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,171.20",
6052956,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,171.20",
6030352,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,173.88",
6050405,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,174.86",
6036453,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,186.45",
6058305,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,189.50",
6036094,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,190.96",
6036094,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,190.96",
6045409,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,194.62",
6049436,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,195.60",
6052246,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,195.60",
6062749,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,195.60",
6109702,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,195.60",
6054927,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,195.97",
6047741,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,196.58",
6062529,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,196.82",
6030446,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,201.58",
6052109,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,201.70",
6036259,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,202.77",
6045408,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,205.85",
6022373,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,207.80",
6067681,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,207.80",
6106044,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,207.80",
6045433,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,211.46",
6045407,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,215.12",
6107191,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,218.90",
6030906,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6031626,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6036297,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6040272,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6044675,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6045543,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6050824,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6051647,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6052618,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6056608,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6056609,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6056610,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6056611,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6062130,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6062679,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6065860,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6065861,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6066613,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6067771,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6114047,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6114048,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6150776,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,220.00",
6054249,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,228.42",
6054250,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,228.42",
6054251,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,228.42",
6054252,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,228.42",
6058669,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,228.42",
6056248,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,232.20",
6056249,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,232.20",
6056251,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,232.20",
6044528,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,234.05",
6045513,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,234.64",
6049119,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,235.86",
6119898,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,238.30",
6045144,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,241.72",
6053234,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,242.45",
6022376,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,244.40",
6044877,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,244.40",
6051810,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,244.40",
6045907,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,245.13",
6051723,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,253.55",
6105411,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,255.38",
6058574,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,258.80",
6052474,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,259.53",
6048096,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,267.70",
6049667,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,267.95",
6049685,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,267.95",
6082183,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,268.80",
6103337,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,268.80",
6076948,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,270.87",
6061779,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,274.90",
6061780,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,274.90",
6051434,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,278.93",
6031368,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6045622,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6050042,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6062022,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6065766,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6096771,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,281.00",
6047952,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,282.10",
6040281,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,282.59",
6047995,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,285.76",
6062654,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,285.88",
6030365,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,286.61",
6048182,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,289.91",
6032722,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,293.20",
6050768,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,293.20",
6036260,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,296.49",
6047707,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,297.23",
6037042,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,305.40",
6052286,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,305.40",
6062653,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,306.62",
6100501,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,309.67",
6049153,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,316.38",
6022346,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,316.75",
6044692,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,317.60",
6062136,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,323.70",
6104981,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,324.43",
6048097,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,328.09",
6062711,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,329.07",
6056252,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,329.80",
6116416,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,335.90",
6057203,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,336.51",
6065786,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,340.54",
6022257,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6045603,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6045623,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6052049,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6056063,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6068544,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,342.00",
6065988,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,345.05",
6044798,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,345.66",
6029650,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,347.00",
6029650,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,347.00",
6030204,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,347.61",
6052310,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,348.10",
6055674,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,348.10",
6089230,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,353.35",
6049417,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,353.59",
6058632,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,354.20",
6031167,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,361.52",
6029646,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,366.52",
6029646,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,366.52",
6049830,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,368.84",
6056844,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,369.82",
6054622,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,370.67",
6048186,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,370.79",
6044797,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,371.28",
6045269,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,372.26",
6045528,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,377.14",
6056916,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,377.50",
6044415,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,378.60",
6056293,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,380.06",
6044950,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,384.21",
6062843,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,387.75",
6050329,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,389.58",
6058581,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,389.95",
6044691,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,390.80",
6112102,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,391.23",
6099876,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,394.58",
6031296,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6031546,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6050945,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6054876,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6054877,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6054880,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6085097,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6110895,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,403.00",
6088461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,408.37",
6040022,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,411.17",
6053107,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,411.33",
6065987,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,411.91",
6116642,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,412.52",
6065989,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,424.72",
6055768,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,427.40",
6051407,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,430.57",
6053559,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,431.91",
6051585,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,433.26",
6088504,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,435.70",
6109611,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,437.89",
6051808,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,439.60",
6051809,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,439.60",
6050629,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,445.70",
6031537,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,451.80",
6052396,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,451.80",
6065774,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,452.04",
6104980,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,459.85",
6048094,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,460.34",
6048421,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,464.00",
6054492,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,464.00",
6098613,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,465.22",
6102510,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,468.39",
6104278,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,468.76",
6104920,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,468.76",
6045278,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,470.59",
6045278,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,470.59",
6045465,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,472.30",
6104979,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,475.47",
6051433,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,482.30",
6029644,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,483.28",
6049652,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,488.40",
6052431,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,488.40",
6106630,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,488.40",
6036487,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,489.38",
6040108,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,497.31",
6045459,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,499.62",
6022374,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,500.60",
6050921,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,502.06",
6062507,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,509.02",
6062508,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,509.02",
6062509,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,509.02",
6050703,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,510.85",
6050283,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,512.80",
6051387,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,512.80",
6030347,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,513.41",
6049111,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,520.12",
6036766,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6050388,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6056325,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6057123,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6057124,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6057125,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
6150465,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,Supply/Implant,"$1,525.00",
