83894,$67.00 
PROCAINAMIDE 250MG CAP, $-   
PROCAINAMIDE 375MG CAP, $-   
PROCAINAMIDE 500MG CAP, $-   
PROCAINAMIDE 500MG/ML INJ. 2ML, $-   
PROCAINAMIDE CR 500MG TAB, $-   
PROCAINAMIDE HCL 1000MG/10ML VIAL, $-   
PROCAINAMIDE SR 750MG TAB, $-   
PROCAINAMIDE/NAPA,$273.00 
PROCAINE PEN G 1.2MU/2ML INJ., $-   
PROCALCITONIN,$300.00 
PROCARBAZINE 50 MG CAP, $-   
PROCHLORPERAZINE 10MG TAB, $-   
PROCHLORPERAZINE 2.5MG SUPP, $-   
PROCHLORPERAZINE 25MG SUPP, $-   
PROCHLORPERAZINE 5MG SUPP, $-   
PROCHLORPERAZINE 5MG TAB, $-   
PROCHLORPERAZINE 5MG/5ML LIQ 30ML, $-   
PROCHLORPERAZINE 5MG/ML INJ 2ML, $-   
PROCHLORPERAZINE CR 10MG CAP, $-   
PROCHLORPERAZINE CR 15MG CAP, $-   
PROCHLORPERAZINE MALEATE 5MG TAB, $-   
PROCTOSIGMOIDOSCOPY RIGID DIAGNOS,"$1,634.00 "
PROCTOSIGMOSCOPY RIGID W/REM FB,"$6,875.00 "
PRODRIN CAPLET, $-   
PROFESSIONAL FEE COMPOUND, $-   
PROFESSIONAL FEE IV, $-   
PROFFESIONAL FEE CHEMOTHERAPY, $-   
PROFILE 335290, $-   
PROGENITOR CELL ANALYSIS,$548.00 
PROGENITOR CELL ANALYSIS EXPANDED, $-   
PROGESTERONE,$102.53 
PROGESTERONE,$118.00 
PROGESTERONE 50MG/1ML INJ. 10ML, $-   
PROGESTERONE 50MG/ML 1ML INJ, $-   
PROGESTERONE GEL 8% 1.45GM, $-   
PROGRAF 1MG CAPSULE, $-   
PROINSULIN,$169.00 
PROLACTIN,$178.00 
PROLONGED IP SERV 1ST HOUR,$142.00 
PROLONGED IP SERV ADDL 30MIN,$142.00 
PROMETH THIOPURINE METAB,$275.63 
PROMETH W/COD 1.25-2MG/ML ELX 5ML, $-   
PROMETHAZINE 12.5MG SUPP, $-   
PROMETHAZINE 25MG/1ML INJ 1ML, $-   
PROMETHAZINE 25MG/ML 1ML (IVPB), $-   
PROMETHAZINE 50MG SUPP, $-   
PROMETHAZINE 50MG SUPP, $-   
PROMETHAZINE 50MG/ML 1ML, $-   
PROMETHAZINE 50MG/ML INJ 1ML, $-   
PROMETHAZINE 6.25 MG/ML ELIX 30ML, $-   
PROMETHAZINE DM SYRP 5ML, $-   
PROMETHAZINE SUPP 25MG, $-   
PROMETHAZINE SYR 6.25MG/5ML 5ML, $-   
PROMETHAZINE TAB 25MG, $-   
PROMETHAZINE VC ELIXIR 30ML, $-   
PROMETHAZINE W/DM ELIXIR 30ML, $-   
PROMETRIUM LF 100MG CAPSULE, $-   
PROPAFENONE 150 MG TAB, $-   
PROPAFENONE 150MG TAB, $-   
PROPAFENONE 225MG, $-   
PROPANOLOL 20MG TAB, $-   
PROPANOLOL 80MG TAB, $-   
PROPANOLOL LA 120MG CAP, $-   
PROPANOLOL LA 160MG CAP, $-   
PROPANTHELINE BROMIDE 15MG TABLET, $-   
PROPARACAINE 0.5% OPTH SOLN 15ML, $-   
PROPINE OPTH 1% SOLN 5ML, $-   
PROPOFOL 10MG/1ML INJ 50ML, $-   
PROPOFOL 10MG/1ML INJ. 100ML, $-   
PROPOFOL 10MG/ML INJ 20ML, $-   
PROPOXYPHENE 65MG CAP, $-   
PROPOXYPHENE AND MET,$30.00 
PROPOXYPHENE N/APAP 100-650MG TAB, $-   
PROPOXYPHENE N/APAP 50-325MG TAB, $-   
PROPOXYPHENE(80367),$30.00 
PROPRANOLOL 10 MG TAB, $-   
PROPRANOLOL 1MG/ML INJ 1ML, $-   
PROPRANOLOL 40 MG TAB, $-   
PROPRANOLOL 5MG/5ML SUSP ORAL SYR, $-   
PROPRANOLOL ER 160MG, $-   
PROPRANOLOL HCL ORAL SOLN 4 MG/ML, $-   
PROPRANOLOL LA 120MG, $-   
PROPRANOLOL LA 60 MG CAP, $-   
PROPRANOLOL LA 80 MG CAP, $-   
PROPRANOLOL/HCTZ 40-25 TAB, $-   
PROPYLTHIOURACIL 50MG TAB, $-   
PROSARTAN MESYLATE 400MG TABLET, $-   
PROSTAGLANDIN,$350.00 
PROSTATE SPECIFIC ACID PHOS,$331.00 
PROSTATIC ACID PHOSPHATASE,$147.00 
PROSTH TRN UP&LO EXT INT 15,$174.00 
PROSTH TRN UP&LO EXT INT 15,$174.00 
PROSTIGMIN 15MG TABLET, $-   
PROT C AG (FOR PANEL 6154),$128.00 
PROT C FUNCTIONAL (FOR PANEL 6154,$392.00 
PROT S FUNCTIONAL (PANEL 6151),$317.00 
"PROT.ELECTRO.,CSF",$179.00 
"PROT.ELECTRO.,SERUM",$179.00 
"PROT.ELECTRO.,URINE",$179.00 
"PROT.ELECTRO.CSF,CONC.",$179.00 
"PROT.ELECTRO.URINE,CONC.",$179.00 
PROTAMINE SULFATE 10MG/ML INJ., $-   
PROTAMINE SULFATE 50MG INJ., $-   
PROTECTANT W/BENZ PASTE 6GM, $-   
PROTECTOR HEEL ELBOW/KNEE MESH,$22.10 
PROTECTOR HEEL/ELBOW STOCKINETTE,$23.49 
PROTEIN C,$128.00 
PROTEIN C ACTIVITY,$392.00 
PROTEIN C DEFICIENCY PROFILE, $-   
PROTEIN C FUNCTIONAL,$392.00 
PROTEIN CREAT URINE RANDOM, $-   
"PROTEIN ELECTRO., SERUM",$179.00 
PROTEIN ELECTROPHORETIC(84166),$179.00 
PROTEIN S,$75.63 
PROTEIN S,$317.00 
PROTEIN S DEFICIENCY PROFILE, $-   
PROTEIN S FREE (PANEL 6151),$317.00 
PROTEIN S FUNCTIONAL,$317.00 
PROTEIN S TOTAL (PANEL 6151),$317.00 
PROTEIN URINE 12 HR,$65.00 
"PROTEIN, BODY FLUID",$65.00 
"PROTEIN, CSF",$65.00 
"PROTEIN, RANDOM URINE",$65.00 
"PROTEIN, TOTAL URINE RR", $-   
"PROTEIN, URINE 24HR",$65.00 
"PROTEIN,24 HRS(LABCORP)",$65.00 
"PROTEIN,BODY FLUID.", $-   
"PROTEIN,UA",$46.00 
PROTEUS OX19,$53.00 
PROTHROMBIN COMPLEX HUMAN 1000 U, $-   
PROTHROMBIN COMPLEX HUMAN 500 U, $-   
PROTHROMBIN GENE MUTATION ASSAY,$135.00 
PROTHROMBIN TIME,$71.00 
PROTHROMBIN TIME(INR) POC,$71.00 
PROTIME,$71.00 
PROTONIX 20MG TABLET, $-   
"PROTOPORPHYRIN, FREE ERYTHROCYTE",$57.00 
PROZAC WEEKLY 90MG, $-   
PSA (DIAGNOSTIC),$219.00 
PSA (OP LAB SCREEN),$219.00 
PSA FREE-TOTAL RATIO, $-   
"PSA, SCREEN",$219.00 
"PSEUDOCHOLINESTERASE, SERUM",$62.00 
PSEUDOEPHED-GUAIFEN 120-600MG TAB, $-   
PSEUDOEPHEDRINE 12 HR 120 MG, $-   
PSEUDOEPHEDRINE 30MG TAB, $-   
PSEUDOEPHEDRINE 60MG, $-   
PSEUDOEPHEDRINE 60MG TAB, $-   
PSEUDOEPHEDRINE COD GG 10ML SYRP, $-   
PSEUDOEPHEDRINE INFANT DROPS 15ML, $-   
PSEUDOEPHEDRINE/GUAIFENESIN CR TA, $-   
PSEUDO-HYDROCOD-GUAIFEN EXP 5ML, $-   
PSEUDOPHED/GUAIFEN SR 60-600 TAB, $-   
PSEUDOPHED/TRIPROL 60-2.5MG TAB, $-   
PSYCHIATRIC DIAG EVAL W/MED SERV,$615.00 
PSYCHOTHERAPY PT 30MIN,$113.00 
PSYCHOTHERAPY PT 45MIN,$173.00 
PSYCHOTHERAPY PT 60MIN,$224.00 
PSYLLIUM, $-   
PSYLLIUM 3.4GM POWDER PKTS, $-   
PSYLLIUM CITRUS SF POWDER 426GM, $-   
PSYLLIUM HUSK 0.52G, $-   
PSYLLIUM HUSK 450 GM BOTTLE, $-   
PSYLLIUM HUSK CAP 0.52GM, $-   
PSYLLIUM/SENNA GRANULES 250GM, $-   
PT & PTT, $-   
PT EVAL HIGH COMPLEXITY,$301.32 
PT EVAL LOW COMPLEXITY,$301.32 
PT EVAL MOD COMPLEXITY,$301.32 
PT MIX,$60.64 
PT RE EVAL,$203.48 
PT(INR)-PTT-DDIMER, $-   
PTAH STAIN,$107.00 
PTAH STAIN (HISTOLOGY),$107.00 
PTH, $-   
PTH (WITH CALCIUM), $-   
PTT SUBSTITUTION,$139.00 
PULLALARIA PULLALANS (ON6754&6761,$33.00 
PULMOZYME INH. SOLN 2.5ML AMP, $-   
PULSE OX MULT DETERMINATION,$48.00 
PULSE OX SINGLE,$74.00 
PULSE OXIMETER MULTIPLE,$91.00 
PULSE OXIMETRY INSTALL, $-   
PUNCH BIOPSY DISP 2MM STL SHRP,$6.07 
"PUNCTURE ASPIR HYDROCELE,TUNICA V","$1,292.00 "
PUNCTURE ASPIRATION ABSCESS PF,$166.00 
"PUNCTURE ASPIRATION ABSCESS,HEMA","$1,208.00 "
PURPOSE SOAP, $-   
PURPOSE SOAP 100GM BAR, $-   
PYRAZINAMIDE 500MG TAB, $-   
PYRETHRIN-PIPERONYL SHAMPOO 60ML, $-   
PYRETHRINS-PIPERONYL BUTOX SHAMPO, $-   
PYRIDIUM 100MG TAB, $-   
PYRIDOSTIGMINE 5MG/ML INJ 2ML, $-   
PYRIDOSTIGMINE 60MG TAB, $-   
PYRIDOSTIGMINE 60MG/5ML ELIX 30ML, $-   
PYRIDOSTIGMINE BROMIDE 180MG, $-   
PYRIDOSTIGMINE SR 180MG TAB, $-   
PYRIDOXAL 5 PYOS-L METHYLFOL TAB, $-   
PYRIDOXINE 1 GRAM INJ., $-   
PYRIDOXINE 100MG TABLET, $-   
PYRIDOXINE 100MG/1ML INJ 1ML, $-   
PYRIDOXINE 50MG TAB, $-   
PYRIDOXINE ORAL SYR 25MG/ML 2ML, $-   
PYRUVATE,$108.00 
Q FEVER ANTIBODIES,$124.00 
Q-BID DM 30-600MG TABLET, $-   
QUAIFENESIN DM SYRUP, $-   
QUAIFENISIN/PSEUDO 250-90MG CAP, $-   
QUAL.-OPIATES GC/MS LOD,$30.00 
QUANTIFERON-TB GOLD,$145.10 
QUETIAPINE 100MG TAB, $-   
QUETIAPINE 200MG TAB, $-   
QUETIAPINE 200MG XR TABLET, $-   
QUETIAPINE 25MG TAB, $-   
QUETIAPINE 300MG TB24, $-   
QUETIAPINE 50MG, $-   
QUETIAPINE ER 400MG TABLET, $-   
QUETIAPINE FUMARATE 50MG TABLET, $-   
QUINAPRIL 10MG TAB, $-   
QUINAPRIL 20MG TABLET, $-   
QUINAPRIL 5MG TAB, $-   
QUINIDINE,$136.00 
QUINIDINE 200MG TAB, $-   
QUINIDINE 300 MG TAB, $-   
QUINIDINE CR 300MG TAB, $-   
QUINIDINE GLUC 80MG/ML INJ 10ML, $-   
QUINIDINE GLUCONATE CR 324MG TAB, $-   
QUINIDINE POLYGALACT 275MG TAB, $-   
QUINIDINE SULFATE 300MG TBSR, $-   
QUININE 260MG TAB, $-   
QUININE 5GR CAP, $-   
QUINUPRISTIN/DALFOPRISTIN 500MG, $-   
QUINUPRISTIN-DALFOPRISTIN 7.5MG, $-   
QUIXIN EYE DROPS 0.5% 5ML, $-   
RA FACTOR-LABCORP,$32.00 
RA QUANTITATIVE-BODY FLUID,$124.00 
RA SCREEN,$67.00 
"RA, QUANTITATIVE",$32.00 
RABEPRAZOLE 20MG TAB, $-   
RABIES AB,$130.00 
RABIES IG 10UNIT/0.067ML 0.067ML, $-   
RABIES IG 150U/ML INJ 10ML, $-   
RABIES IMM GLOB 10UNIT/0.067ML, $-   
RABIES IMM. GLOB 150U/ML INJ. 2ML, $-   
RABIES VACCINE INJ, $-   
RACEPINEPHRINE INH 2.25%, $-   
RACEPINEPHRINE INHALATION 2.25%, $-   
RADIACARE CREAM, $-   
RAGWEED (ON 6716&6774),$33.00 
"RAGWEED,GIANT",$33.00 
"RAGWEED,SHORT (ON 6774)",$33.00 
RALOXIFENE 60MG TAB, $-   
RALTEGRAVIR 400MG TAB, $-   
RAMELTEON 8MG TABLET, $-   
RAMIPRIL 1.25MG CAPSULE, $-   
RAMIPRIL 10MG CAP, $-   
RAMIPRIL 2.5MG CAP, $-   
RAMIPRIL 5MG, $-   
RAMIPRIL 5MG, $-   
RANITIDINE 150 MG EFFERV.GRANULES, $-   
RANITIDINE 150MG TABLET, $-   
RANITIDINE 150MG/10ML UD CUP, $-   
RANITIDINE 15MG/1ML ELIXIR 30ML, $-   
RANITIDINE 15MG/1ML ELIXIR 5ML, $-   
RANITIDINE 25MG/1ML INJ 2ML, $-   
RANITIDINE 300MG, $-   
RANITIDINE 50MG/0.45% NS 50ML, $-   
RANITIDINE HCL INJ 25MG/ML 6ML, $-   
RANITIDINE SOLN 25MG/ML 2ML, $-   
RANITIDINE SYRP 15MG/ML 5ML, $-   
RANOLAZINE 500MG TABLET CR 12H, $-   
RANOLAZINE ER 1000MG TABLET, $-   
RAPACURONIUM 100MG INJ., $-   
RAPACURONIUM 200 MG INJ, $-   
RAPE HIV PEP KIT, $-   
RAPID CRYPTOCOCCUS ANTIGEN,$107.00 
RAPID HIV (TYPE I),$115.00 
RAPID MENINGITIS PANEL, $-   
RAPID MENINGITIS PANEL (SERUM), $-   
RAPID MENINGITIS/CULTURE PANEL, $-   
"RAPID, CHLAMYDIA",$108.00 
"RAPID, CRYPTOCOCCUS",$107.00 
"RAPID, GROUP B STREP",$107.00 
"RAPID, H. INFLUENZAE",$107.00 
"RAPID, INFLUENZA A",$115.00 
"RAPID, INFLUENZAE A/B",$115.00 
"RAPID, N. MENINGITIDIS",$107.00 
"RAPID, ROTAVIRUS",$126.00 
"RAPID, RSV",$70.00 
"RAPID, S. PNEUMONIAE",$107.00 
"RAPID,GROUP A STREP- THROAT",$136.00 
"RAPID,GROUP B OB",$108.00 
RAPID. GROUP A STREP-THROAT,$136.00 
RASAGILINE 0.5MG TABLET, $-   
RASAGILINE 1 MG TABLET, $-   
RAST ALLERGEN,$33.00 
RAST ALLERGEN-CHRG ONLY,$33.00 
RAST ANIMAL SCREEN,$42.00 
RAST DUST SCREEN,$42.00 
RAST FOOD PROFILE, $-   
RAST FOOD SCREEN,$42.00 
RAST GRASS SCREEN,$42.00 
RAST INHALANT SCREEN,$42.00 
RAST MOLD SCREEN,$42.00 
RAST TREE SCREEN,$42.00 
RAST WEED SCREEN I,$42.00 
RAST WEED SCREEN III,$42.00 
RBC LEUKOCYTE REDUCED,$789.00 
RBC PRETREATMENT 86970-CHRG ONLY,$25.00 
RBC PRETREATMENT86971-CHRG ONLY,$25.00 
READ TB SKIN TEST, $-   
READING TUTORING PER HOUR,$46.00 
RECOMBINANT HUMAN NPH INS 1ML, $-   
RECOMBINANT HUMAN REG INSULIN 1ML, $-   
RECONSTRUCTION OF NAIL BE W G,"$4,849.00 "
RECOVERY ROOM,$13.00 
RED BLOOD CELL(RBC),$36.00 
"RED BLOOD CELL, AUTOMATED",$36.00 
RED CEDAR,$33.00 
RED CELL SEP/WITH ANTIGEN TYPING,$391.00 
RED MAPLE (ON 6791),$33.00 
RED MULBERRY,$33.00 
RED OAK,$33.00 
"REDUCING SUBSTANCE, STOOL",$44.00 
"REDUCING SUBSTANCES, URINE",$30.00 
REDUCTION TORSION TESTIS SURG W/W,"$6,687.00 "
REFECOXIB 12.5MG TAB, $-   
REFRESH LACRILUBE OINT. 3.5GM, $-   
REGADENOSON 0.4MG/5ML 5ML SYR, $-   
REGULAR INSULIN HUMAN 500UNITS/ML, $-   
REGULAR INSULIN HUMAN 500UNITS/ML, $-   
RELENZA 5MG DISKHALER, $-   
REM EMBEDDED FB VEST MOUTH COMPL,"$2,231.00 "
REM EMBEDDED FB VEST MOUTH SIMPLE,$189.00 
REM FB UPPER ARM/ELBOW DEEP,"$5,093.00 "
REM FB UPPER ARM/ELBOW DEEP BIL,"$10,187.00 "
REM FB UPPER ARM/ELBOW SUB BIL,"$2,867.00 "
REM IMP CERUMEN IRR/LAV,$450.00 
REM IMP CERUMEN IRR/LAV BIL,$450.00 
REM OF DEV TISSUE <= 20 CENT,$123.00 
REM OF DEV TISSUE <= 20 CENT,$123.00 
REM OF DEV TISSUE > 20 CENT,$140.00 
REM OF DEV TISSUE > 20 CET,$140.00 
REM/BIVALVING FULL ARM/LEG CAST,$316.00 
REM/BIVALVING GAUNTLET/BT/BD/CAST,$316.00 
REMERON SOLTABS 15MG TABLET, $-   
REMIFENTANIL 1MG INJ, $-   
REMINYL 4MG TAB, $-   
REMOVAL FB CORNEAL W/SLIT LAMP,$273.00 
REMOVAL FB CORNEAL W/SLIT PF,$700.00 
REMOVAL FB CORNEAL WO SLIT,$273.00 
REMOVAL FB CORNEAL WO SLIT PF,$680.00 
REMOVAL FB DEEP THIGH/KNEE,"$6,733.00 "
REMOVAL FB DEEP THIGH/KNEE BIL,"$13,466.00 "
REMOVAL FB EXT AUDITORY CANAL,$189.00 
REMOVAL FB EXT AUDITORY CANAL PF,$195.00 
REMOVAL FB EXT EYE SUPERFICIAL,$273.00 
REMOVAL FB EXT EYE SUPERFICIAL PF,$291.00 
REMOVAL FB EYE EMBEDDED,$273.00 
REMOVAL FB EYE EMBEDDED PF,$311.00 
REMOVAL FB EYELID EMBEDDED,$650.00 
REMOVAL FB EYELID EMBEDDED BIL,$650.00 
REMOVAL FB FOOT COMPLICATED,"$2,393.00 "
REMOVAL FB FOOT COMPLICATED BIL,"$6,032.00 "
REMOVAL FB FOOT DEEP,"$5,093.00 "
REMOVAL FB FOOT DEEP BIL,"$10,187.00 "
REMOVAL FB FOOT SUBCUTANEOUS BIL,"$4,786.00 "
REMOVAL FB FOOT SUBQ,"$2,393.00 "
REMOVAL FB FOOT SUBQ PF,$655.00 
REMOVAL FB MOUTH PF,$312.00 
REMOVAL FB MUSCLE TENDON DEEP,"$6,733.00 "
REMOVAL FB MUSCLE/T SHEATH,"$1,434.00 "
REMOVAL FB MUSCLE/T SHEATH PF,$578.00 
REMOVAL FB NASAL,$189.00 
REMOVAL FB NASAL PF,$385.00 
REMOVAL FB PHARYNX,$189.00 
REMOVAL FB SHOULDER SUBQ BIL,"$3,377.00 "
REMOVAL FB SHOULDER SUBQ UNL,"$2,393.00 "
REMOVAL FB SUBQ SIMPLE,$770.00 
REMOVAL FB UPPER ARM/ELBOW SUB,"$1,434.00 "
REMOVE FB SHOULDER DEEP SF/IM,"$1,725.00 "
REMOVE FENTANYL PATCH, $-   
REMOVE IMPACTED CERUMEN BIL,$378.00 
REMOVE IMPACTED CERUMEN BIL PF,$278.00 
REMOVE IMPACTED CERUMEN UNL,$189.00 
REMOVE IMPACTED CERUMEN UNL PF,$139.00 
REMOVE PATCH, $-   
REMOVE TOENAIL SIMPLE SINGLE,$256.00 
REMOVE TOENAIL SIMPLE SINGLE PF,$155.00 
REMOVER SKIN STAPLE,$5.25 
RENAGEL 403MG CAPSULE, $-   
RENAGEL 800MG TABLET, $-   
RENAL BIOPSY, $-   
"RENAL BX,PERCUT BY TROCAR/NEEDLE","$1,316.00 "
"RENAL BX,PERCUT BY TROCAR/NEEDLE","$1,438.00 "
RENAL FUNCTION PANEL,$268.00 
RENIN,$147.74 
"RENIN,ACTIVE",$170.00 
RENTAL DAILY NEWERA 1 PUMP NPWT,$239.40 
REOPRO FOR DRIP 10MG/5ML, $-   
REP COLLATERAL LIG METAC/INTER JN,"$6,265.00 "
REP EXTENSOR TENDON DIST INSERT,"$6,265.00 "
REP EXTENSOR TENDON HAND WO GR EA,"$4,836.00 "
REP LAC <=2.5CM POST 1/3 TONGUE,"$1,001.00 "
REP TENDON FLEXOR FOOT EA,"$8,031.00 "
REP/ADV FLEXOR TENDON WO GRAFT EA,"$10,382.00 "
REPAGLINIDE 0.5MG TAB, $-   
REPAIR BLOOD VESSEL DIRECT HAN,"$11,754.00 "
REPAIR BLOOD VESSEL DIRECT LOW,"$4,959.00 "
REPAIR BLOOD VESSEL DIRECT UP,"$10,280.00 "
REPAIR COM A 1.1-2.5CM,"$1,308.00 "
REPAIR COM A 1.1-2.5CM PF,$509.00 
REPAIR COM A 2.6-7.5CM,"$1,308.00 "
REPAIR COM A 2.6-7.5CM PF,$628.00 
REPAIR COM A EA ADDL 5CM,"$1,308.00 "
REPAIR COM B 1.1-2.5CM,$891.00 
REPAIR COM B 1.1-2.5CM PF,$554.00 
REPAIR COM B 2.6-7.5CM,$891.00 
REPAIR COM B 2.6-7.5CM PF,$878.00 
REPAIR COM B EA ADDL 5CM,$376.00 
REPAIR COM C 1.1-2.5CM,$891.00 
REPAIR COM C 1.1-2.5CM PF,$647.00 
REPAIR COM C 2.6-7.5CM,"$1,308.00 "
REPAIR COM C 2.6-7.5CM PF,"$1,134.00 "
REPAIR COM C EA ADDL 5CM,$891.00 
REPAIR COM C EA ADDL 5CM PF,"$1,359.00 "
REPAIR COM D 1.1-2.5CM,"$1,308.00 "
REPAIR COM D 1.1-2.5CM PF,$741.00 
REPAIR COM D 2.6-7.5CM,"$1,308.00 "
REPAIR COM D 2.6-7.5CM PF,"$1,434.00 "
REPAIR COM D EA ADDL 5CM,$891.00 
REPAIR COM D EA ADDL 5CM PF,$547.00 
REPAIR COMP A EA ADDL 5CM,$249.00 
REPAIR COMP B EA ADDL 5CM,$370.00 
REPAIR COMPLEX LAC MOUTH >2.6,"$2,231.00 "
REPAIR COMPLEX LAC MOUTH S.5 CM,$319.00 
REPAIR EXTENSOR TENDON FINGER,"$4,836.00 "
REPAIR EXTENSOR TENDON FOOT,"$6,366.00 "
REPAIR FLEXOR TENDON FA WRIST,"$9,084.00 "
REPAIR INT A <2.5CM,$376.00 
REPAIR INT A <2.5CM PF,$341.00 
REPAIR INT A >30CM,$891.00 
REPAIR INT A >30CM PF,$812.00 
REPAIR INT A 12.6-20.0CM,$376.00 
REPAIR INT A 12.6-20.0CM PF,$591.00 
REPAIR INT A 2.6-7.5CM,$891.00 
REPAIR INT A 2.6-7.5CM PF,$437.00 
REPAIR INT A 20.1-30.0CM,$891.00 
REPAIR INT A 20.1-30.0CM PF,$741.00 
REPAIR INT A 7.6-12.5CM,$376.00 
REPAIR INT A 7.6-12.5CM PF,$473.00 
REPAIR INT B <2.5CM,$376.00 
REPAIR INT B <2.5CM PF,$375.00 
REPAIR INT B >30CM,$891.00 
REPAIR INT B >30CM PF,$928.00 
REPAIR INT B 12.6-20.0CM,$891.00 
REPAIR INT B 12.6-20.0CM PF,$642.00 
REPAIR INT B 2.6-7.5CM,$376.00 
REPAIR INT B 2.6-7.5CM PF,$450.00 
REPAIR INT B 20.1-30.0CM,$891.00 
REPAIR INT B 20.1-30.0CM PF,$825.00 
REPAIR INT B 7.6-12.5CM,$376.00 
REPAIR INT B 7.6-12.5CM PF,$499.00 
REPAIR INT C <2.4CM,$891.00 
REPAIR INT C <2.5CM PF,$434.00 
REPAIR INT C >30CM PF,$966.00 
REPAIR INT C 12.6-20.0CM,$891.00 
REPAIR INT C 12.6-20.0CM PF,$779.00 
REPAIR INT C 2.6-5.0CM,$376.00 
REPAIR INT C 2.6-5.0CM PF,$472.00 
REPAIR INT C 20.1-30.0CM PF,$992.00 
REPAIR INT C 5.1-7.5CM,$376.00 
REPAIR INT C 5.1-7.5CM PF,$625.00 
REPAIR INT C 7.6-12.5CM,$376.00 
REPAIR INT C 7.6-12.5CM PF,$609.00 
REPAIR INTERMED FACE 20.1-30.0CM,"$1,158.00 "
REPAIR INTERMED FACE OVER 30.0CM,"$1,158.00 "
REPAIR LIP FULL THICKNESS VERM,"$2,231.00 "
REPAIR NAIL BED,$376.00 
REPAIR SIM A <2.5CM,$376.00 
REPAIR SIM A <2.5CM PF,$300.00 
REPAIR SIM A >30CM,$376.00 
REPAIR SIM A >30CM PF,"$1,070.00 "
REPAIR SIM A 12.6-20.0CM,$376.00 
REPAIR SIM A 12.6-20.0CM PF,$464.00 
REPAIR SIM A 2.6-7.5CM,$376.00 
REPAIR SIM A 2.6-7.5CM PF,$320.00 
REPAIR SIM A 20.1-30.0CM,$376.00 
REPAIR SIM A 20.1-30.0CM PF,$573.00 
REPAIR SIM A 7.6-12.5CM,$376.00 
REPAIR SIM A 7.6-12.5CM PF,$369.00 
REPAIR SIM B <2.5CM,$376.00 
REPAIR SIM B <2.5CM PF,$318.00 
REPAIR SIM B >30CM,$376.00 
REPAIR SIM B >30CM PF,$796.00 
REPAIR SIM B 12.6-20.0CM,$376.00 
REPAIR SIM B 12.6-20.0CM PF,$616.00 
REPAIR SIM B 2.6-5.0CM,$376.00 
REPAIR SIM B 2.6-5.0CM PF,$348.00 
REPAIR SIM B 20.1-30.0CM,$376.00 
REPAIR SIM B 20.1-30.0CM PF,$658.00 
REPAIR SIM B 5.1-7.5CM,$376.00 
REPAIR SIM B 5.1-7.5CM PF,$406.00 
REPAIR SIM B 7.6-12.5CM,$376.00 
REPAIR SIM B 7.6-12.5CM PF,$515.00 
REPOS NASO/OR GASTRIC FEED TUBE,"$1,563.00 "
REPTILASE TIME,$120.00 
REQUIP 1MG TABLET, $-   
RESERPINE 0.1MG TAB, $-   
RESERPINE 0.25MG TAB, $-   
RESERPINE/HYDROFLU 50-.125MG TAB, $-   
RESP VIRUS PANEL PCR,$604.00 
RESP.SYNCTIAL VIRUS (ON 6689),$198.00 
"RESPIRATORY INFECTION EVAL,VIRAL", $-   
RESUSCITATOR INFANT W/MASK 742,$68.09 
RETAPAMULIN OINT 1% 10GM, $-   
RETAVASE HALF-KIT 10 UNITS, $-   
RETEPLASE INJECTION, $-   
RETIC COUNT AUTO-OP LAB,$89.00 
"RETIC COUNT, AUTOMATED",$89.00 
"RETIC COUNT, MANUAL",$89.00 
RETIC STAIN,$107.00 
RETIC STAIN (HISTOLOGY),$107.00 
RETICULIN ANTIBODY,$158.76 
RETROVIR 10 MG/ML SYRUP 30ML, $-   
RETROVIR 10 MG/ML. ORAL SYRINGE, $-   
REV REM PERIPHERAL NEUROSTIM ELEC,"$6,120.00 "
REVERSE T3,$77.00 
RH,$61.00 
RH PHENOTYPE,$159.00 
RH TYPE (CORD BLOOD),$61.00 
RH TYPE-CHRG ONLY,$61.00 
RHO D IMM.GLOBULIN 1000 MCG INJ., $-   
RHO(D) IMMUNE GLOBULIN 300MCG, $-   
"RHOGAM,ANTE", $-   
"RHOGAM,POST", $-   
RHOGAM-CHRG ONLY,$214.00 
RHYTHM ECG 1-3 LEADS,$121.00 
RIAZTRIPTAN BENZOATE 10MG TABLET, $-   
RIBOFLAVIN 100MG TABLET, $-   
RIBOFLAVIN 50MG TAB, $-   
RIBOSOMAL P PROTEIN AB (ON 6461),$268.00 
RIBOSOMAL P PROTEIN ANTIBODY,$194.00 
RICKETTSIAL DISEASE PANEL, $-   
RICKETTSIAL FEVER IGG/IGM, $-   
RIFABUTIN 150MG CAP, $-   
RIFADIN 600MG INJECTION, $-   
RIFAMPIN 300 MG CAP, $-   
RIFAMPIN CAPSULE 150MG, $-   
RIFAXIMIN 200MG TABLET, $-   
RIFAXIMIN 550MG, $-   
RIFAXIMIN 550MG TABLET, $-   
RILUZOLE 50MG TABLET, $-   
RIMANTADINE 100MG TAB, $-   
RIMANTADINE SYRUP 50 MG/5 ML, $-   
RIMEXOLONE OPTH 1% 5ML, $-   
RING INVALID W/COVER 14IN,$74.34 
RIPTILASE TEST,$120.00 
RISEDRONATE SODIUM 150MG TABLET, $-   
RISEDRONATE TABLET 35MG, $-   
RISPERDAL 0.25MG TABLET, $-   
RISPERDONE 1MG/1ML SOLUTION 30ML, $-   
RISPERIDONE,$114.66 
RISPERIDONE 0.5 MG TABLET, $-   
RISPERIDONE 1 MG TAB, $-   
