Wheeling ,,
Item Description,CPT/HCPC ,Price
VASC EMBOLIZE OCCLUDE ART,37242,$108.25 
LAP PARAESOPH HER RPR W/M,43282,$371.75 
ESOPH FUNDOLPLASTY THOR,43328,$251.75 
DESTROY VAG LESIONS SIMPL,57061,$20.25 
TENOLYSIS TRICEPS,24332,$125.00 
AMPUTATION OF LEG AT HIP,27295,$272.75 
SKIN SUB GRAFT TRNK/ARM/L,15271,$18.25 
COLECTOMY P; W/COLOPROCTO,44139,$26.25 
TUBE PERICARDIOSTOMY,33015,$108.75 
OSTEOCHONDRAL KNEE ALLOGR,27415,$286.50 
LAP W/OMENTOPEXY ADD ON,49326,$41.00 
HYSTERECTOMY/REVISE VAGIN,58275,$189.75 
REVIS RECONST SHOLDERJOIN,23473,$342.75 
EXC SOFT TISS THIGH SUBSQ,27339,$156.50 
REVISION OF MAJOR VEIN,37650,$111.00 
MENISCAL TRNSPL KNEE W/SC,29868,$350.75 
SURGERY OF BREAST CAPSULE,19370,$142.25 
CROSS OVER VEIN GRAFT,34520,$233.75 
REPAIR SHOULDER CAPSULE,23450,$212.25 
LAPROMYOMECTOMY COMP >250,58546,$243.25 
OPEN PERQ PLACE STENT,37236,$102.00 
REPAIR STOMACH BOWEL FIST,43880,$237.75 
RECONSTRUCT HEAD OF RADIU,24365,$130.50 
EXC ABD TUM OVER 10 CM,49205,$374.50 
OBSTETRICAL CARE,59409,$175.50 
INCISE TENDON + MUSCLE,23406,$173.50 
REPLACE ELBOW JOINT,24363,$276.75 
FUSION OF SHOULDER JOINT,23800,$230.50 
REVISION OF ILEOSTOMY,44314,$154.50 
TIB PER REVASC W/TLA,37228,$125.00 
BX OF CERVIX W/SCPE LEEP,57460,$35.25 
REVIS/RMV PN/GASTR STIMU,64595,$28.50 
REMOVAL OF PELVIS CONTENT,58240,$491.00 
REMOVE FEMUR LESION BURSA,27062,$92.50 
LAPAROSCOPE PROC APP,44979,$522.75 
REMOVAL OF NERVE LESION,64792,$200.25 
INS CATH ABD/L EXT ART 2,36246,$59.50 
DRAINAGE OF FOREARM LESIO,25028,$103.75 
REPAIR PARAVAG DEFECT VAG,57285,$143.50 
REPAIR OF ACHILLES TEND,27654,$163.00 
REMOVE AORTIC ASSIST DEV,33968,$7.50 
INSERT CARD ELETRODES,33211,$40.00 
REMV REPLC CVD GEN DUAL L,33263,$85.00 
REPAIR GRAFT OF TIBIA,27722,$193.00 
REPAIR FIBULA NONUNION,27726,$202.75 
THYMECT PRTL TOT TRANSCER,60520,$233.50 
THORACOSCOPY W MEDIAST EX,32662,$246.50 
REPAIR LIVER WOUND,47361,$371.00 
ASPIRATE PLEURA W/O IMAGE,32554,$19.50 
REMOVE SHOULDER FB DEEP,23333,$94.50 
TREATMENT OF ANKLE FX,27792,$124.50 
ACELLULAR DERM MATRIX IMP,15777,$46.00 
FREEING OF BOWEL ADHESION,44005,$173.00 
EXCISE PAROTID GLAND/LES,42425,$186.00 
EXCISION OF BOWEL LESION,44111,$160.50 
NEG PRESS WOUND TX >50CM,97608,$6.50 
NERVE REPAIR W ALLOGRAFT,64910,$172.00 
VISC & INFRAREN ABD 1 PRO,34845,$248.75 
RESECT BACK TUM <5CM,21935,$218.75 
ENDOVASC VISC AORTA 1 GRA,34841,$227.50 
REVIS RECONST SHOULDER JT,23474,$374.75 
OCCLDE FALLOPIAN TUBE (S),58615,$253.00 
SIGMOIDOSCOPY & DECOMPRES,45337,$30.25 
UNLISTED PROCEDURE COLON,45399,$152.00 
INC W SQ IMPL CRAN BONE G,61316,$20.50 
ANTERIOR TIBIAL TUBERCLEP,27418,$176.50 
OPEN PERQPLACE STENT SAME,37238,$71.25 
COLPOPEXY INTRAPERITONEAL,57283,$144.25 
REVISION OF CHEST WALL,19271,$269.75 
HIP ARTHRO W/LABRAL REPAI,29916,$212.25 
PERC BX OR EXC LN SUPERFI,38505,$15.00 
MCP JNT ARTHR W LIG RED,29902,$100.75 
COLLECTOMY W/ILEOANAL ANA,44157,$475.00 
HIP ARTHRO W/DEBRIDEMENT,29862,$167.50 
REPAIR OF SPINAL HERNIATI,63702,$236.75 
ESOPHAGOMYOTOMY THORACIC,43331,$237.00 
REMOVAL OF SPLEEN PARTIAL,38101,$169.50 
INCISE BLADDER/DRAIN URET,51045,$96.25 
CHANGE G TUBE TO G-J PERC,49446,$186.50 
BIOPSY FLOOR OF MOUTH,41108,$46.50 
FIXATION OF SHOULDER BLAD,23400,$211.00 
EXPLORE WOUND ABDOMEN,20102,$47.00 
REMOVAL OF TONSIL,42826,$52.50 
LAP REVISION PERM IP CATH,49325,$90.50 
OPEN WEDGE BX LUNG INFILT,32096,$176.75 
INSERT TUNNELED CV CATH,36560,$84.75 
REMOVAL SWEAT GLAND LESIO,11470,$58.50 
SUTURE POSTERIOR TIBIAL N,64840,$178.25 
PERQ VERTEBRAL AUGMENTATI,22514,$108.25 
ENDOSCOPIC INJECT IMPLANT,51715,$42.50 
PHLEB VEINS EXTREM 20 +,37766,$161.75 
HIP ARTHRO W/SYNOVECTOMY,29863,$168.25 
HYSTEROSCOPY REMOVE MYOMA,58561,$124.50 
EXC SHOULDER TUM DEEP 5CM,23073,$147.50 
REVISE/REMOVE NEURORECEIVER,61888,$74.50 
REMOVALOF COLLAR BONE,23125,$155.75 
PERQ VERTEBRAL AUGMENTATI,22513,$113.25 
EXC HIP PELVIS LES SC 3CM,27043,$101.00 
Myringotom Incl ASP,69421,$30.50 
MEDIASTINOSCPY W/LMPH NOD,39402,$90.50 
REPAIR TUNNELS CV CATH,36575,$7.75 
REMOVAL OF NAIL PLATE,11730,$11.75 
REMOVE HUMERUS LESION,24110,$122.00 
REPAIR NASAL STENOSIS,30465,$200.20 
REPAIR OF RUPTURED SPLEEN,38115,$175.00 
THORABD DIAPHR HERN REPAIR,43336,$333.00 
REMOVAL OF RESIDUAL CERVIX,57550,$80.00 
LSH W/T/O/UT 250G OR LESS,58542,$173.00 
TREAT HUMEROUS FRACTURE,24530,$70.00 
INTRO CATH DIALYSIS CIRCUIT,36902,$48.00 
TLH UTERUS 250 G OR LESS,58570,$165.00 
REMOVAL OF ARM FOREIGN BODY,24200,$25.70 
COLONOSCOPY SUBMUCOUS NJX,45381,$35.00 
ARTERY TRANSPOSE/ENDOVAS TAA,33889,$144.00 
PERQ ACCESS & CLSR FEM ART,34713,$28.50 
VAG HYST COMPLEX > 250 MG,58290,$189.65 
PERQ CLSR TCAT L ATR  APNDGE,33340,$138.75 
PART EXC OLECRANON PROCESS BONE,24147,$103.35 
EMBEDDED IP CATH EXIT SITE,49436,$31.75 
PARTL EXC ANKLE OR HEEL BONE,28120,$82.35 
UNLISTED HYSTEROSCOPY UTERUS,58579,$31.00 
EXCISION OF LINGUAL FRENUM (FRENECTOMY),41115,$24.25 
BALO ANGIO CTR DIALYSIS SEG,36907,$25.60 
THORAX SPINE FUSION,22556,$350.00 
MECH REMOVAL TUNNELED CV CATH,36595,$39.10 
ECMO/ECLS INSJ PRPH CANNULA,33952,$96.15 
ECMO/ECLS INITIATION ARTERY,33947,$77.00 
RECONSTRUCT LIP WITH FLAP,40525,$114.50 
ECMO/ECLS INITIATION VENOUS,33946,$68.00 
INCISION OF LABIAL FRENUM (FRENOTOMY),40806,$7.75 
BIO STEM-FEM H-STD-XR-T-1,C1776,"$5,032.00 "
BIOMET SCW-ACET-HIP-G-7,C1776,$399.00 
BIOMET LINER G7,C1776,"$2,707.00 "
BIOMET LINER ARCOM-XL-G7,C1776,"$2,404.00 "
BIO SHELLS-OSS LIM-HOL-G7,C1776,"$4,183.00 "
BIO SHELLS-OSS-MUL-HOL-G7,C1776,"$4,793.00 "
BIOMET FEM-COCR-M-HEAD,C1776,"$1,925.00 "
BIOMET FEM-COCR MOD-HEAD,C1776,"$2,011.00 "
BIO FEM-HEAD CER-B-DEL-OP,C1776,"$2,782.00 "
BIO FEM-SLEE-CER-B-DEL-OP,C1776,$623.00 
STRY K WIRE 1.25M 390157, ,$26.00 
ZIM-FEM-COM-CCR-NAR-R1-L1, ,"$4,704.25 "
ZIM K-WIR1.25 00490101215, ,$19.50 
ZIM K-WIR 1.6 00490101615, ,$19.50 
ZIM K-WIR 2.0 00490102015, ,$19.50 
ZIM LAV BACTI 00888700100, ,"$1,400.00 "
ZIM BLD RECIP 13076089LR1, ,$175.00 
ZIM REFOB CEMEN 110034355,C1713,$612.50 
ZIM BIOM BON C 110035368,C1713,$199.50 
STRY SPEEDGUIDE T10-L30M, ,"$1,254.00 "
STRY SPEEDGUIDE T8-L30M, ,"$1,196.25 "
STR SPED-DR 2.0-2.6M L30M, ,$536.00 
STR SPED-DR 2.0-2.6M L70M, ,$516.25 
STR SPEEDGUIDE T10-L70M, ,"$1,254.00 "
STR SPEEDGUIDE P-K 703948, ,$490.75 
STR SPEEDG S-K L78 703949, ,$490.75 
STR SCRWDR-BLAD T7 703665, ,"$1,036.00 "
OSTEO OST BO 5CC K OB 05P,C1713,"$2,425.00 "
OSTEO OST BO 10 CC K OB 10P,C1713,"$2,675.00 "
STR REA SHAF 450 2273000S, ,$932.50 
ZIM CUF TO 18 60707510300, ,$62.00 
ZIM CUF TO 24 60707510400, ,$82.75 
SNR HIP LIN ACCT R3  36M, ,"$2,991.50 "
SNR STEM-F-KN-AN 71424221, ,"$2,498.50 "
SNR SCWLEG-L-SE 71424228, ,$339.25 
SNR INS-ART-LEG-XLPE 18M, ,"$3,091.25 "
SNR PIN TROCAR 71210002, ,$86.50 
ARTHR DRILL BIT AR1250LT, ,$234.50 
ARTH CAN-PA 4M AR65920840, ,$108.50 
ARTH CAN-PA 3M AR65920830, ,$108.50 
ARTH KIT FASCIOT AR8856DS, ,"$2,145.00 "
ATHREX LAB TAPE AR7276, ,$241.50 
ARTHR REAMER LOW PROF ALL, ,$665.00 
ARTHR FIX KIT SECO ARI593, ,"$1,850.00 "
ARTH SPEEDB AC 8928bcj CP , ,"$3,245.00 "
ARTHR IMP BIC DI S AR2260, ,"$2,078.00 "
ARTH SUT AN CO AR1928SNF2, ,$903.00 
ARTH BLD QU T GR AR238510, ,$619.50 
ARTH DIS CU 4.0 AR8400CEX, ,$129.50 
ARTH DISS 4.0 ST AR8400EX, ,$129.50 
SYN DRIL BIT 5 03010102S, ,"$1,624.00 "
SYN S F SC 3.5 45 212.119,C1713,$749.00 
SYN S F SC 3.5 32 212.112,C1713,$749.00 
SYN DRILL 4.2 03.010.101, ,"$1,438.50 "
STR BON MAT 2.5C 31022102,C1713,"$2,681.00 "
STR BON MATRI 5C 31022105,C1713,"$3,860.00 "
STR BON MATR 10C 31022110,C1713,"$6,374.25 "
UNITED HEALTH CARE AUTH ADJ, ,$0.01 
Suspense Account Charge for Posting Payment Only, , 
NON STRESS TEST,59025,$298.98 
PULSE OXIMETER USAGE,94760,$28.46 
NX GEN SPECIMEN COLLECTION ,36415,$20.00 
SEQUENOM SPECIMEN COLLECTION ,36415,$20.00 
OB US BIOPHYS W/NONSTRESS,76818,$673.51 
OB US BIO W/NS (TWINS),76818,$700.59 
OB US 1ST TRIMESTER <14WK,76801,$387.34 
OB US 1ST TRI (TWINS),76802,"$1,045.85 "
US OB TV AND/OR CERV LGTH,76817,$334.82 
OB US LIMITED,76815,$390.89 
OB US BIOPHYS W/O NONSTRS,76819,$398.82 
OB US BIO W/O NS (TWINS),76819,$567.90 
OB US FETAL ART UMBILICAL,76820,$267.30 
PELVIS US COMPLETE,76856,$695.02 
OB US FOLLOW UP,76816,$539.55 
OB US FOLLOW UP (TWINS),76816,$318.78 
INIT HEALTH ASSESS EA 15M,96150,$110.48 
REASSESSMENT,96151,$110.48 
HLTH/BEHAVE EA 15MIN INDI,96152,$110.48 
HEALTH BEHAV GRP 15 MIN,96153,$43.01 
INTERV EA 15 MIN FAMILY,96154,$110.48 
TRANSVAG PELVIS US-NON OB,76830,$742.50 
SPECIMEN COLLECTION,36415,$24.60 
TREATMENT ROOM-INJECTION,96372,$44.00 
IMMUN ADMIN,90471,$46.00 
IMMUN ADMIN EACH ADDL,90472,$40.00 
PNEUMONIA VAC ADMIN,90471,$40.00 
FLU VACCINE ADMIN,90471,$46.00 
"I&D ABCESS, SIMPLE/SINGLE",10060,$160.62 
"I&D ABCESS, COMPL./MULT.",10061,$192.50 
INC & RM FB SQ SIMPLE,10120,$420.75 
"PUNCTURE ASPIRATION,1ST",19000,$424.38 
"PUNCT. ASPIR., EA. ADDL.",19001,$265.32 
"BIOPSY, BREAST, PURCAT.",19100,$397.65 
FINE NEEDLE ASPIR. W/IMAG,10022,$667.20 
US FOR NEEDLE PLACEMENT,76942,$683.25 
PLACE BREAST CATH NSD,19296,"$2,877.00 "
MAMMOSITE VARIABLE 5-6 CM,C1728,$1.00 
MAMMOSITE ELLIPSOIDAL 4X6,C1728,$1.00 
MAMMOSITE VARIABLE 4-5 CM,C1728,$1.00 
MAMMOSITE ML BALLOON,C1728,$1.00 
US FOR MAMMOSITE EVAL,76965,"$1,774.18 "
I&D HEMATOMA/SEROMA,10140,"$2,531.43 "
I&D POST-OP INFECTION,10180,"$1,461.00 "
MAMMOSITE + US PLACE RT,19296,"$13,699.29 "
MAMMOSITE + US PLACE LT,19296,"$13,699.29 "
POST SURGICAL BRA XXL, ,$58.50 
POST SURGICAL BRA M-L-XL, ,$52.75 
HIBICLENS, ,$9.25 
BIOPSY OF SKIN SNG LESION,11100,$185.79 
SAVI 6-1,C1728,$1.00 
SAVI 8-1,C1728,$1.00 
SAVI 10-1,C1728,$1.00 
PHONE ASSESSMENT,98966,$33.00 
NEW PT LEVEL 1,99201,$48.50 
NEW PT LEVEL 2,99202,$50.00 
NEW PT LEVEL 3,99203,$75.50 
NEW PT LEVEL 4,99204,$84.30 
NEW PT LEVEL 5,99205,$100.25 
LESION CLINIC LEVEL 1, ,$622.38 
LESION CLINIC LEVEL 2, ,"$1,449.03 "
LESION CLINIC LEVEL 3, ,"$1,709.40 "
WHOLE BODY PHOTOGRAPHY,96904,$150.00 
FOCUSED BODY MAP <3 MOLES,96904,$115.00 
DEBRIDE DEVITALIZED TISSU,97602,$186.90 
DEBRIDEMENT OF INCISION,11042,$410.16 
FOOT SP AFO,L1930,$105.30 
ANKLE AIRCAST STANDARD,L4350,$70.98 
ANKLE AIRCAST LONG,L4350,$70.98 
SLING ARM DEROYAL,A4565,$38.00 
BINDER ABDOMINAL 3PAN,L0625,$50.88 
BIOFEEDBACK,90911,$229.00 
SUP OM WOODEN CANE,E0100,$22.28 
CAST BOOT DEROYAL,L3260,$16.75 
SUP LUMBAR ROLL, ,$38.00 
CRUTCH AXILLARY PADS MEDL,A4635,$7.29 
CRUTCH HAND PADS MEDLINE,A4636,$7.29 
CRUTCH TIPS MEDLINE,A4637,$10.73 
SUP MEDLINE CRUTCH,E0114,$52.00 
ISOKINETIC TST/PRT EA15MN,97750,$74.00 
TRACTION,97012,$132.05 
ELECTRICAL STIMULAT,97014,$77.65 
TENS INSTRUCTION,97032,$162.30 
MANUAL ELECTRIC STIM 15MN,97032,$162.30 
KNEE BI FLUK PAT STRAP,L2999,$28.00 
ANKLE WALKER MAXTRAX,L4360,$151.14 
GAIT TRAINING EA 15MIN,97116,$47.01 
FOOT FTMGT HEEL LIFT,L3332,$9.63 
FOOT HAPAD METATARSAL BAR,L3050,$8.22 
NECK MDSHOP HOME CT UNIT,E0860,$84.99 
HOSE KNEE HIGH KENDALL,A6530,$12.50 
HOSE THIGH HIGH KENDALL,A6533,$21.75 
HOT PACK/COLD PACK,97010,$81.48 
MAG SULFATE BOTTLE 30 ML, ,$8.25 
DEXAMETHAZONE BOTTLE 30ML, ,$2.00 
IONTOPHORESIS EA 15 MIN,97033,$67.50 
SUP JUMPSTRE FLEXBAND,A9300,$33.72 
VASOPNEUMATIC COMPRESSION,97016,$113.85 
SPLINT KNEE UNIVERSAL,L1830,$84.02 
MANUAL THERAPY EA 15 MIN,97140,$120.20 
MASSAGE EA 15 MIN,97124,$52.20 
CANALITH REPOSITIONING,95992,$95.82 
NEUROMUSCULR RE-ED EA15MN,97112,$124.38 
ORTHOTICS TRAINING INITIAL ENCOUNTER ,97760,$65.70 
SHLD SP OVERHEAD PULLEY,A9300,$33.72 
PARAFFIN BATH,97018,$72.00 
PHONOPHORESIS EA 15MIN,97035,$107.83 
PHONOPHORESIS CREAM 8 OZ, ,$12.50 
FOOT AC PRAFO BOOT,L4396,$116.61 
MISC. PHYSICAL THERAPY, ,$0.01 
BINDER RIB, ,$10.77 
SENSORY INTEGRATIVE TECH,97533,$69.55 
THERAPEUTIC ACTIVITIES,97530,$43.65 
THERAPEUTIC EXER/EA 15MIN,97110,$120.76 
THERAPEUTIC EXER GROUP,97150,$50.85 
SUP SP THERAPUTTY 3OZ,A9300,$6.75 
HAND SP HAND GRIPPER,A9300,$14.50 
ULTRASOUND EA 15MIN,97035,$108.41 
SUP APRIA PLATFORM ATTACH,E0154,$362.32 
SUP APRIA WALKER WHEELS,E0155,$100.49 
SUP APRIA WALKER PEDIATRI,E0135,$105.26 
SUP APRIA WALKER ADULT,E0135,$105.26 
WALKER HEAVY DUTY APRIA,E0148,$238.01 
SUP EMPI CUFF WEIGHT,A9300,$16.50 
WHIRLPOOL,97022,$60.98 
WHIRLPOOL WITH ADDITIVE,97022,$60.98 
LEVEL 1 FCE NO SHOW, ,$66.00 
LEVEL 2 FCE NO SHOW, ,$132.00 
FCE-WV LEVEL 2 EA 15 MIN, ,$69.75 
FUNCTIONAL CAPACITY 15MIN,97750,$74.00 
WORK HARD/COND  INIT 2HR,97545,$69.75 
WORK HARD/COND EA ADDL HR,97546,$43.25 
WORK CONDITIONING OH, ,$49.50 
JOB ANALYSIS PER HOUR,97799,$78.75 
FOOT FTMGT CUSTOM ORTHOTI,L3020,$406.36 
SUP JOBST STOCKING BKNEE,A6530,$95.00 
SUP JOBST STOCKING THIGH,A6533,$123.00 
TEMPER STICK PADDING SH, ,$12.50 
KNEE DJ ELASTIC KNEE, ,$84.65 
KNEE DJ HINGED KNEE ECONO,L1810,$82.81 
SUP EMPI ELECTRODE, ,$16.50 
SELECTIVE DEBRIDEMENT,97597,$437.40 
SUP ELASTIC BACK SUPPORT,L0625,$50.88 
ANKLE SP PLANTFAS SPLINT,L1930,$105.30 
SLING/SWATHE DEROYAL,A4565,$36.50 
FOOT FOOT MGT AQUATEMP,L3030,$52.37 
FOOT FTMGT TOE SPREADER, ,$4.75 
FOOT FTMGT TOE NIGHTSPLIN, ,$26.00 
ANKLE SP MALLEOTRAIN, ,$80.12 
FOOT SP POSTOP SHOE,L3260,$14.00 
ELASTIC BAND LESS 3IN,A6448,$11.00 
ELASTIC BAND 3 TO 5 IN,A6449,$11.00 
ELASTIC BAND GREAT 5 IN,A6450,$11.90 
STRAP CLAVICAL DEROYAL,L3650,$39.10 
CERVICAL COLLAR ASPEN,L0172,$98.89 
COLLAR CERVICAL,L0120,$24.66 
SUP OM ALUMINUM CANE,E0100,$22.28 
SUP APRIA QUADCANE,E0105,$89.56 
SUP SP REPCORD,A9300,$5.50 
FOOT SP WONDERCUP RED,L3485,$77.00 
FOOT SP VISCOSPOT HEEL SP,L3485,$105.00 
ANKLE DJ STABILIZING,L1906,$70.11 
ANKLE SWED IL8,L1906,$77.12 
KNEE DJ IROM COOL,L1832,$277.12 
KNEE DJ TELE-TROM,L1832,$277.12 
KNEE DJ LATERAL J BUTTRES, ,$67.72 
WRIST SP COCK-UP SPLINT,L3908,$77.34 
ELBOW SP BAND-IT STRAP,A4570,$39.51 
PROSTHETIC TRAIN EA 15MIN,97761,$43.00 
ORTH CHECK ESTAB EA 15MIN,97763,$73.80 
WOUNDCARE DRESSING CHANGE,97799,$45.42 
CONTRAST BATH,97034,$85.28 
KNEE DJ UNLOADER,L1843,$506.62 
KNEE DJ PLAYMAKER,L1845,$591.50 
BLEDSOE ACL,L1845,"$1,435.00 "
KNEE DJ 4TITUDE,L1845,$989.38 
KNEE DJ ARMOR,L1845,$989.38 
CAST BOOT, ,$31.25 
GROUP THER PROC 15 MIN,97150,$50.18 
GROUP THER PROC 30 MIN,97150,$56.02 
GROUP THER PROC 45 MIN,97150,$62.10 
GROUP THER PROC 60 MIN,97150,$65.47 
CPM SOFT KIT, ,$55.75 
POSITIONING DEVICE,E0190,$154.50 
CROSSBOW EVAL, ,$23.50 
MOBILITY CURRENT STATUS,G8978,$0.01 
MOBILITY GOAL STATUS,G8979,$0.01 
MOBILITY DC STATUS,G8980,$0.01 
BODY POS CURRENT STATUS,G8981,$0.01 
BODY POS GOAL STATUS,G8982,$0.01 
BODY POS DC STATUS,G8983,$0.01 
CARRY CURRENT STATUS,G8984,$0.01 
CARRY GOAL STATUS,G8985,$0.01 
CARRY DC STATUS,G8986,$0.01 
SELF CARE CURRENT STATUS,G8987,$0.01 
SELF CARE GOAL STATUS,G8988,$0.01 
SELF CARE DC STATUS,G8989,$0.01 
OTHER PT CURRENT STATUS,G8990,$0.01 
OTHER PT GOAL STATUS,G8991,$0.01 
OTHER PT DC STATUS,G8992,$0.01 
SUB PT CURRENT STATUS,G8993,$0.01 
SUB PT GOAL STATUS,G8994,$0.01 
SUB PT DC STATUS,G8995,$0.01 
MOBILITY CURENT CH,G8978,$0.01 
MOBILITY CURRENT CI,G8978,$0.01 
MOBILITY CURRENT CJ,G8978,$0.01 
MOBILITY CURRENT CK,G8978,$0.01 
MOBILITY CURENT CL,G8978,$0.01 
MOBILITY CURRENT CM,G8978,$0.01 
MOBILITY CURRENT CN,G8978,$0.01 
MOBILITY GOAL CH,G8979,$0.01 
MOBILITY GOAL CI,G8979,$0.01 
MOBILITY GOAL CJ,G8979,$0.01 
MOBILITY GOAL CK,G8979,$0.01 
MOBILITY GOAL CL,G8979,$0.01 
MOBILITY GOAL CM,G8979,$0.01 
MOBILITY GOAL CN,G8979,$0.01 
MOBILITY DISCHARGE CH,G8980,$0.01 
MOBILITY DISCHARGE CI,G8980,$0.01 
MOBILITY DISCHARGE CJ,G8980,$0.01 
MOBILITY DISCHARGE CK,G8980,$0.01 
MOBILITY DISCHARGE CL,G8980,$0.01 
MOBILITY DISCHARGE CM,G8980,$0.01 
MOBILITY DISCHARGE CN,G8980,$0.01 
BODY POSITION CURRENT CH,G8981,$0.01 
BODY POSITION CURRENT CI,G8981,$0.01 
BODY POSITION CURRENT CJ,G8981,$0.01 
BODY POSITION CURRENT CK,G8981,$0.01 
BODY POSITION CURRENT CL,G8981,$0.01 
BODY POSITION CURRENT CM,G8981,$0.01 
BODY POSITION CURRENT CN,G8981,$0.01 
BODY POSITION GOAL CH,G8982,$0.01 
BODY POSITION GOAL CI,G8982,$0.01 
BODY POSITION GOAL CJ,G8982,$0.01 
BODY POSITION GOAL CK,G8982,$0.01 
BODY POSITION GOAL CL,G8982,$0.01 
BODY POSITION GOAL CM,G8982,$0.01 
BODY POSITION GOAL CN,G8982,$0.01 
BODY POSITION DC CH,G8983,$0.01 
BODY POSITION DC CI,G8983,$0.01 
BODY POSITION DC CJ,G8983,$0.01 
BODY POSITION DC CK,G8983,$0.01 
BODY POSITION DC CL,G8983,$0.01 
BODY POSITION DC CM,G8983,$0.01 
BODY POSITION DC CN,G8983,$0.01 
CARRY CURRENT CH,G8984,$0.01 
CARRY CURRENT CI,G8984,$0.01 
CARRY CURRENT CJ,G8984,$0.01 
CARRY CURRENT CK,G8984,$0.01 
CARRY CURRENT CL,G8984,$0.01 
CARRY CURRENT CM,G8984,$0.01 
CARRY CURRENT CN,G8984,$0.01 
CARRY GOAL CH,G8985,$0.01 
CARRY GOAL CI,G8985,$0.01 
CARRY GOAL CJ,G8985,$0.01 
CARRY GOAL CK,G8985,$0.01 
CARRY GOAL CL,G8985,$0.01 
CARRY GOAL CM,G8985,$0.01 
CARRY GOAL CN,G8985,$0.01 
CARRY DC CH,G8986,$0.01 
CARRY DC CI,G8986,$0.01 
CARRY DC CJ,G8986,$0.01 
CARRY DC CK,G8986,$0.01 
CARRY DC CL,G8986,$0.01 
CARRY DC CM,G8986,$0.01 
CARRY DC CN,G8986,$0.01 
SELF CARE CURRENT CH,G8987,$0.01 
SELF CARE CURRENT CH,G8987,$0.01 
SELF CARE CURRENT CJ,G8987,$0.01 
SELF CARE CURRENT CK,G8987,$0.01 
SELF CARE CURRENT CL,G8987,$0.01 
SELF CARE CURRENT CM,G8987,$0.01 
SELF CARE CURRENT CN,G8987,$0.01 
SELF CARE GOAL CH,G8988,$0.01 
SLEF CARE GOAL CI,G8988,$0.01 
SELF CARE GOAL CJ,G8988,$0.01 
SELF CARE GOAL CK,G8988,$0.01 
SELF CARE GOAL CL,G8988,$0.01 
SELF CARE GOAL CM,G8988,$0.01 
SLEF CARE GOAL CN,G8988,$0.01 
SELF CARE DC CH,G8989,$0.01 
SLEF CARE DC CI,G8989,$0.01 
SELF CARE DC CJ,G8989,$0.01 
SELF CARE DC CK,G8989,$0.01 
SELF CARE DC CL,G8989,$0.01 
SELF CARE DC CM,G8989,$0.01 
SLEF CARE DC CN,G8989,$0.01 
OTHER CURRENT CH,G8990,$0.01 
OTHER CURRENT CI,G8990,$0.01 
OTHER CURRENT CJ,G8990,$0.01 
OTHER CURRENT CK,G8990,$0.01 
OTHER CURRENT CL,G8990,$0.01 
OTHER CURRENT CM,G8990,$0.01 
OTHER CURRENT CN,G8990,$0.01 
OTHER GOAL CH,G8991,$0.01 
OTHER GOAL CI,G8991,$0.01 
OTHER GOAL CJ,G8991,$0.01 
OTHER GOAL CK,G8991,$0.01 
OTHER GOAL CL,G8991,$0.01 
OTHER GOAL CM,G8991,$0.01 
OTHER GOAL CN,G8991,$0.01 
OTHER DC CH,G8992,$0.01 
OTHER DC CI,G8992,$0.01 
OTHER DC CJ,G8992,$0.01 
OTHER DC CK,G8992,$0.01 
OTHER DC CL,G8992,$0.01 
OTHER DC CM,G8992,$0.01 
OTHER DC CN,G8992,$0.01 
SUB OTHER CURRENT CH,G8993,$0.01 
SUB OTHER CURRENT CI,G8993,$0.01 
SUB OTHER CURRENT CJ,G8993,$0.01 
SUB OTHER CURRENT CK,G8993,$0.01 
SUB OTHER CURRENT CL,G8993,$0.01 
SUB OTHER CURRENT CM,G8993,$0.01 
SUB OTHER CURRENT CN,G8993,$0.01 
SUB OTHER GOAL CH,G8994,$0.01 
SUB OTHER GOAL CI,G8994,$0.01 
SUB OTHER GOAL CJ,G8994,$0.01 
SUB OTHER GOAL CK,G8994,$0.01 
SUB OTHER GOAL CL,G8994,$0.01 
SUB OTHER GOAL CM,G8994,$0.01 
SUB OTHER GOAL CN,G8994,$0.01 
SUB OTHER DC CH,G8995,$0.01 
SUB OTHER DC CI,G8995,$0.01 
SUB OTHER DC CJ,G8995,$0.01 
SUB OTHER DC CK,G8995,$0.01 
SUB OTHER DC CL,G8995,$0.01 
SUB OTHER DC CM,G8995,$0.01 
SUB OTHER DC CN,G8995,$0.01 
PT EVALUATION LOW,97161,$270.68 
PT EVALUATION MODERATE,97162,$270.68 
PT EVALUATION HIGH,97163,$194.40 
PT RE-EVALUATION, ,$97.67 
ELECTRICAL STIMULAT,97014,$51.52 
MANUAL ELECTRIC STIM 15MN,97032,$162.30 
GAIT TRAINING EA 15 MIN,97116,$90.47 
HOT PACK/COLD PACK,97010,$49.80 
IONTOPHORESIS EA 15 MIN,97033,$67.50 
MASSAGE EA 15 MIN,97124,$52.20 
MANUAL THERAPY EA 15 MIN,97140,$122.55 
NEUROMUSCULAR RE-ED EA 15,97112,$149.53 
PARAFFIN BATH,97018,$72.00 
THERAPEUTIC ACTIVITIES,97530,$50.20 
THERAPEUTIC EXER/EA 15 MN,97110,$120.76 
THERAPEUTIC EXER GROUP,97150,$58.48 
ULTRASOUND EA 15 MIN,97035,$84.00 
