Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
5021004,ANTIGEN TYPING EA ANTIBOD ARC,$52.00,
5021005,CROSSMATCH ANTIGLOBULIN T ARC,$98.00,
5021006,*ARC RH BLOOD TYPE,$9.50,
5021007,*ARC CROSSMATCH INCUBATION TEC,$11.50,
5021017,*ARC ELUTION RBC ANTIBODY,$68.00,
5021024,*ARC CELL SEPA TECH RETICS,$90.00,
5021106,BF LIPASE TO UCI,$18.00,
5021180,COMP TEST EA UNIT IMMEDIA,$178.50,
5021182,ARC ABO GROUP,$71.45,
5021183,GROUP RH,$98.10,
5021213,PHENOBARBITAL SERUM TO UCI,$30.00,
5021411,*PROTIME TO UCI,$13.00,
5021420,PROCALCITONIN UCI,$110.46,
5021486,*SALICYLATES BLOOD TO UCI,$23.00,
5021536,BF AST TO UCI,$16.00,
5021544,BF ALT TO UCI,$16.00,
5021643,*THROMBIN TIME PLASMA UCI,$27.00,
5021999,*FLOW CYTOMETRY EACH MARKER,$0.00,
5022003,IMMUNOPEROXIDASE STAIN EA ADD,$40.00,
5022004,IMMUNOPEROXIDASE STAIN EA MULTIPLEX AB,$40.00,
5022372,BF CREATININE UCI,$15.00,
5022876,CSF ALK PHOS TO UCI,$16.00,
5022955,*FACTOR VIII ACTIVITY UCI,$57.00,
5023254,RAST LATEX IGE,$6.31,
5023842,*CORTISOL UCI URINE TOTAL,$35.00,
5023908,SWINE FLU SEROTYPING TO LA CNTY PB HLTH*,$0.00,
5023995,TUMOR IMMUNOHISTOCHEM MANUAL,$443.00,
5024013,FLOW CYTOMETRY NEO GENOMICS,$0.00,
5024266,*FACTOR XI TO UCI,$88.00,
5024670,*PROTEIN 24 HR URINE UCI,$0.00,
5024872,*BETA-HYDROXYBUTYRATE TO UCI,$58.00,
5024971,*PROTEIN RANDOM URINE QT UCI,$0.00,
5025334,*METHADONE CONFIRM UCI,$35.00,
5025367,*DRUG SCREEN SERUM STAT UCI,$35.00,
5025375,*DRUG SCREEN SERUM/URINE UCI,$0.00,
5025482,*FDP UCI,$40.80,
5025556,LEVETIRACETAM,$0.00,
5025599,*APT FETAL HGB TO UCI,$22.00,
5025938,FACTOR VIII INHIBITOR TO UCI,$110.00,
5025987,*METHOTREXATE BLOOD QUANT UCI,$55.00,
5026126,PLATELET FUNCTION ANALYSIS UCI,$0.00,
5026225,*CYCLOSPORINE BLOOD TO UCI,$45.00,
5026597,*T4 FREE UCI,$0.00,
5026675,*FIBRIN DEGRAD PROD (FDP) UCI,$43.00,
5026683,*D-DIMER QUANT - UCI,$85.00,
5026741,*D-DIMER QUANT BY UCI,$85.00,
5027066,*FIBRINOGEN ACTIVITY UCI,$20.00,
5027249,*B HCG QUANT UCI,$28.00,
5027769,*IRON AND IBC TO UCI,$35.00,
5027777,*IRON TO UCI,$15.00,
5028380,CHROMOSOME TEST PANEL,$0.00,
5028381,*TISSUE CULT; BONE MARROW AND BLOOD CELL,$176.47,
5028382,*CHROMOSOME ANALYSIS 20-25 CELLS,$174.14,
5028383,*CHROMOSOME ANALYSIS  ADD KARYOTYPES EA,$35.07,
5028384,*CYTOGENETICS & MOLECULAR CYTO INTERP,$29.29,
5028734,*BF TOTAL PROTEIN TO UCI,$13.00,
5028742,*PROTEIN RANDOM URINE TO UCI,$0.00,
5028924,RPR TO UCI,$15.00,
5029187,THEOPHYLLINE TO UCI,$36.00,
5029674,*ACETAMINOPHEN BLOOD TO UCI,$42.00,
5029700,BF CHYLOMICRONS UCI,$10.00,
5029740,*ALCOHOL ETHYL BLOOD UCI,$36.00,
5029872,AMYLASE URINE UCI,$0.00,
5029899,*FLOW CYTOMETRY MARKER,$63.00,
5029900,*FLOW CYTOMETRY ADD ON,$13.00,
5030000,AMIKACIN PEAK UCI,$35.00,
5030004,AMIKACIN TROUGH UCI,$35.00,
5030008,*NBS HYDROXYPROGESTERONE UCLA,$18.25,
5030012,*NBS TANDAM MASS SPECTROMETRY UCLA,$19.75,
5100002,*FSH**,$9.62,
5100003,HAPTOGLOBIN QUANT*,$13.00,
5100005,LUTEINIZING HORMONE*,$9.62,
5100012,PHENYTOIN FREE*,$10.59,
5100015,CALCIUM URINE RANDOM QUANT*,$5.63,
5100018,PSEUDOCHOLINESTERASE*,$9.77,
5100022,*CORTISOL FREE,$67.58,
5100025,DHEA*,$41.29,
5100028,MYELIN BASIC PROTEIN CSF*,$21.76,
5100033,PROTHROMBIN 20210G>A MUTATION*,$17.40,
5100035,PHOSPHORUS URINE RANDOM*,$6.62,
5100038,*PREALBUMIN,$8.23,
5100041,TETANUS ANTITOXOID AB*,$7.81,
5100043,VITAMIN B-6*,$42.24,
5100045,*PYRUVATE*,$16.53,
5100047,*UREA NITROGEN URINE RAND*,$6.62,
5100049,ZINC URINE 24 HR*,$13.81,
5100051,PHOSPHOLIPIDS*,$11.44,
5100053,*LYSOSOMAL ENZYME SCREEN*,$17.85,
5100055,ADENOSINE DEAMINASE PLEURAL FLUID*,$142.50,
5100057,*AMINOLEVULINIC ACID ALA*,$19.73,
5100059,FACTOR V LEIDEN*,$55.00,
5100061,FACTOR VII ACTIVITY*,$30.96,
5100063,FACTOR IX ACTIVITY*,$72.60,
5100067,THROMBIN TIME PLASMA*,$3.42,
5100069,*COMPLEMENT C1,$58.47,
5100071,COMPLEMENT C-3*,$13.00,
5100073,COMPLEMENT C-4*,$13.00,
5100075,COMPLEMENT C-5*,$68.59,
5100077,COMPLEMENT C-6*,$68.59,
5100079,SCLERODERMA ANTIBODY*,$10.00,
5100081,NEUTROPHIL CYTOPLASMIC AB*,$108.34,
5100083,HERPES SIMPLEX BY DFA*,$58.00,
5100085,*ROCKY MT SPOTTED FEVER IGM**,$16.67,
5100087,ADENOVIRUS AB SERUM*,$16.53,
5100089,ASPERGILLUS AB BY ID*,$4.60,
5100091,EHRLICHIA AB*,$133.00,
5100093,BRUCELLA  ANTIBODIES*,$47.32,
5100095,HIV 1/2 AG/AB*,$98.46,
5100097,HIV AB SCREEN ROUTINE*,$4.98,
5100099,*HEP B CORE IGG,$13.12,
5100101,*HEP B CORE AB IGM*,$9.68,
5100103,*TETANUS AB*,$55.18,
5100105,*MHA-TP*,$10.04,
5100107,CULT HERPES*,$19.74,
5100109,CULT LEGIONELLA*,$25.03,
5100111,"CHLAMYDIA TRACHOMATIS, EYE, DNA*",$7.50,
5100113,"*CEA, SERUM*",$9.62,
5100115,MICROALBUMIN URINE RANDOM QUANT*,$11.00,
5100117,ALDOLASE*,$9.00,
5100119,ALDOSTERONE SERUM*,$35.00,
5100121,ALDOSTERONE 24 HR URINE*,$41.28,
5100123,ALPHA-1-ANTITRYPSIN TOTAL*,$14.36,
5100125,ALPHA-FETOPROTEIN SERUM*,$6.75,
5100127,APOLIPOPROTEIN A-1*,$8.65,
5100129,APOLIPOPROTEIN B*,$8.65,
5100131,CALCITONIN*,$28.18,
5100133,CALCIUM URINE 24 HOUR*,$6.62,
5100135,CERULOPLASMIN*,$9.76,
5100137,CHOLINESTERASE SERUM*,$9.96,
5100139,CHOLINESTERASE RBC & PLASMA*,$23.22,
5100141,*CREATININE URINE,$5.07,
5100143,*CREATININE URINE 24 HOUR,$5.63,
5100145,ERYTHROPOIETIN*,$17.88,
5100147,ESTROGEN TOTAL*,$17.32,
5100149,GASTRIN*,$14.36,
5100151,GLUCOSE-6-PHOSPHATE DEHYDROGENASE*,$14.65,
5100153,FOLLICLE STIMULATING HORMONE*,$9.62,
5100155,*LH*,$9.62,
5100159,HEAVY METAL SCREEN URINE*,$0.00,
5100161,HEMOGLOBIN ELECTROPHORESIS*,$14.02,
5100163,"HEMOGLOBIN,FREE,PLASMA*",$13.67,
5100165,HEMOSIDERIN QUAL URINE*,$8.02,
5100167,LDH ISOENZYMES*,$12.03,
5100169,*LIPOPROTEIN ELECTROPHORESIS*,$34.00,
5100171,NUCLEOTIDASE-5*,$10.04,
5100173,OLIGOCLONAL BANDS*,$18.90,
5100177,PORPHOBILINOGEN QUANT 24 HR URINE*,$10.53,
5100179,PORPHYRINS  RANDOM URINE QUAL*,$16.81,
5100181,*MYOCARDIAL AB*,$5.63,
5100183,THYROID STIMULATING IMMUNOGLOBULIN*,$50.00,
5100185,"URIC ACID, 24 HOUR URINE*",$3.70,
5100187,VITAMIN A*,$19.73,
5100189,C-PEPTIDE*,$22.59,
5100191,VISCOSITY*,$14.36,
5100193,*CARDIOLIPIN ANTIBODY*,$42.63,
5100195,IMMUNOFIXATION SERUM*,$26.50,
5100197,INTRINSIC FACTOR BLOCKING ANTIBODY*,$30.36,
5100199,LYME DISEASE ANTIBODIES*,$40.92,
5100201,CHLAMYDIA TRACHOMATUS AB IGGAM*,$74.00,
5100203,*COCCIDIOIDES AB*,$187.50,
5100205,ECHO VIRUS AB*,$52.83,
5100207,EBV NUCLEAR AG*,$14.92,
5100211,HEP BE ANTIBODY*,$10.88,
5100213,*ENTAMOEBA HISTOLYTICA AB*,$18.34,
5100215,VITAMIN C ASCORBIC ACID*,$35.00,
5100217,*MOLEC DX REV TRNSCRP,$17.40,
5100221,FTA-ABS*,$10.04,
5100223,*VAR ZOSTER AB IGG**,$4.60,
5100225,THYROGLOBULIN AB PANEL*,$14.02,
5100227,*HEP C ANTIBODY W/CONFIRM*,$7.50,
5100229,CHLAMYDIA TRACHOMATUS CULTURE*,$15.39,
5100231,*OVA & PARASITES TO QUEST*,$8.79,
5100233,*ACID FAST STAIN*,$4.58,
5100235,*HEP B SURF ANTIGEN*,$4.03,
5100239,COPPER SERUM*,$10.88,
5100241,*HIV-1 RNA BY PCR,$95.00,
5100243,MYOGLOBIN URINE*,$16.53,
5100245,VIT D CALCIFEROL*,$47.52,
5100247,*CMV AB IGM,$15.13,
5100249,GABAPENTIN LEVEL*,$26.00,
5100251,*BENZODIAZEPINE*,$142.00,
5100253,CLONAZEPAM*,$19.53,
5100255,LIDOCAINE QUANT*,$16.81,
5100257,"*CORTISOL ROUTINE, SERUM TO QUEST*",$5.55,
5100259,*VITAMIN B-12*,$6.68,
5100261,*FOLATE (FOLIC ACID) SERUM*,$6.67,
5100263,*GLYCOHEMOGLOBIN,$4.75,
5100265,*LIPASE URINE*,$17.22,
5100269,*PHENCYCLIDINE*,$15.13,
5100271,LEUKOCYTE ALKALINE PHOS SCORE*,$12.55,
5100275,ASO*,$7.18,
5100277,*C-REACTIVE PROTEIN,$4.82,
5100279,*PARAPERTUSSIS AG*,$21.41,
5100281,*PERTUSSIS DFA*,$17.50,
5100283,CAT SCRATCH FEVER ANTIBODIES*,$155.60,
5100285,*INSULIN AB,$55.25,
5100287,COCCIDIOIDES AB CSF CF*,$20.78,
5100291,*HERPES SIMPLEX AB PANEL,$23.36,
5100293,INFLUENZA A ANTIBODY TO QUEST*,$18.34,
5100295,ROTAVIRUS AG STOOL*,$13.63,
5100297,CULT YERSINIA*,$8.65,
5100299,"CULT FUNGUS SPUTUM,CSF,BF*",$7.39,
5100301,*SENSITIVITY MIC,$16.81,
5100303,LEGIONELLA SMEAR*,$23.22,
5100305,"HEP C RNA, QUAL TMA*",$110.98,
5100307,TRYPSIN SERUM*,$127.05,
5100309,VON WILLEBRAND AG MULTIMERIC*,$112.39,
5100311,*HIV-2 DNA BY PCR,$225.00,
5100313,*HEP C W/CONFIRMATION*,$60.00,
5100315,GIARDIA ANTIGEN EIA*,$10.12,
5100317,HTLV 1&2 ANTIBODY EIA*,$20.00,
5100319,*ENDOMYSIAL AB QUAL*,$75.94,
5100321,*TRYPTASE QUAN,$67.00,
5100323,GLIADIN AB IGA*,$33.00,
5100325,*AMINO ACID QUANT EA,$120.00,
5100329,INFLUENZA B ANTIBODY TO QUEST*,$18.34,
5100331,*THYROXINE BINDING GLOBULIN*,$16.00,
5100333,*RUBELLA AB IGG*,$4.33,
5100335,MOLECULAR DX INTERP/REPORT,$17.40,
5100337,CARDIOLIPIN AB IGA*,$15.79,
5100339,CARDIOLIPIN AB IGM*,$15.79,
5100341,CARDIOLIPIN AB IGG*,$15.79,
5100343,N-TELOPEPTIDE*,$180.00,
5100345,*INFLUENZA VIRUS A&B ANTIGEN BY DF,$11.92,
5100346,VITAMIN B1 PLASMA*,$39.96,
5100347,"PARAINFLUENZA AG DFA 1,2,3*",$11.92,
5100351,PROTEIN S ACTIVITY*,$13.31,
5100353,TYPHUS MURINE AB PANEL*,$21.06,
5100355,CAFFEINE QUANT*,$13.67,
5100357,*CALCIUM;URINE QUANT TIME,$6.62,
5100359,COLD HEMAGGLUTININS*,$5.79,
5100361,TRILEPTAL*,$5.79,
5100363,*CHLAMYDIA AG*,$9.62,
5100365,CHLAMYDOPHILA PNEU AB IGGAM*,$74.00,
5100367,*CHLORIDE SWEAT COLLECTION,$14.65,
5100369,CHLOROPROMAZINE*,$15.41,
5100371,*CLOSTRIDIUM DIFFICILE CULTURE,$8.03,
5100373,*FACTOR XIII ACTIVITY*,$115.64,
5100375,*COCAINE BY GC/MS,$18.55,
5100377,COCCIDIOIDES AB I.D. SERUM*,$13.67,
5100379,CITRIC ACID 24HR URINE*,$17.85,
5100381,*PHENOBARBITAL QUAN,$5.79,
5100383,COMPLEMENT C-2*,$68.60,
5100385,*CRYOGLOBULIN SCREEN W/REFLEX*,$4.81,
5100387,*CRYPTOCOCCUS AG CSF*,$12.27,
5100389,"CRYPTOCOCCUS AG, SERUM/CSF*",$103.71,
5100391,*CRYSTAL JOINT FLUID,$98.30,
5100393,CRYPTOSPORIDIUM AG DFA*,$10.39,
5100395,*CULT-BUFFY COAT CMV,$149.85,
5100397,*CULT H PYLORI,$15.13,
5100401,*CULT TYPING HERPES*,$17.82,
5100403,*DRUG CONFIRM EA,$23.29,
5100411,*DRUG SCREEN SERUM AND URINE,$59.40,
5100413,EBV PANEL*,$7.74,
5100415,ELECTROLYTES FECES*,$7.74,
5100417,"DNA AB, DBL STRAND, EIA*",$7.95,
5100419,"ESTROGENS FRACT, 24 HR URINE*",$56.90,
5100423,FAT/LIPIDS FECES QUAL*,$10.11,
5100425,*FATTY ACIDS NONESTERIFIED*,$15.34,
5100429,*FENTANYL*,$73.00,
5100431,*FIBRIN DEGRAD PROD*,$10.39,
5100433,FIBRIN SOLUBLE MONOMER*,$52.65,
5100437,FRUCTOSAMINE*,$11.86,
5100439,*FUNGUS ID MOLD*,$14.37,
5100441,FUNGUS SMEAR*,$4.81,
5100445,HAV TOTAL-REFLEX TO IGM*,$36.70,
5100447,H PYLORI AB IGM*,$20.00,
5100449,HALOPERIDOL*,$24.34,
5100451,*HEP C AB EIA*,$10.39,
5100455,*HEP C RNA PCR QUANT LIPA*,$220.00,
5100457,HEP DELTA VIRUS AB*,$69.60,
5100459,*HERPES AG BY DFA*,$11.92,
5100461,HEP BE ANTIGEN*,$10.88,
5100463,*HERPES II AB IGM*,$17.07,
5100465,*HETEROPHILE QUANT*,$4.81,
5100467,*HIV-1 RNA bDNA QUANT*,$250.00,
5100469,JO-1 AB*,$20.00,
5100471,*HIV-1 RNA BY PCR,$138.60,
5100473,*HLA TYPING; DR/DQ MULTI A,$304.76,
5100477,*IBUPROFEN*,$40.00,
5100479,IGG SYNTHESIS CSF/SERUM*,$7.82,
5100481,*IMMUNOCYTOCHEMISTRY EA INIT SNGL AB,$85.05,
5100483,*IMMUNOFIXATION FLUID*,$20.92,
5100485,IMMUNOFIXATION SERUM*,$20.92,
5100487,CYANIDE WB*,$10.00,
5100489,*IGF-I*,$19.39,
5100491,*LACTOSE TOLERANCE*,$12.55,
5100493,*LDH FRACT LDI,$10.18,
5100495,CYCLIC AMP UR RANDOM*,$37.93,
5100497,"CULT VIRAL, BODY FLUIDS/TISSUE*",$41.29,
5100499,*LORAZEPAM*,$66.00,
5100501,LUPUS ANTICOAGULANT*,$20.00,
5100503,MAGNESIUM URINE RANDOM*,$7.67,
5100505,MAGNESIUM URINE 24 HOUR*,$9.48,
5100507,*MALARIA SMEAR,$18.34,
5100509,METHOTREXATE QUANT*,$18.62,
5100511,CULT AFB W/AFB SMEAR*,$12.26,
5100513,*MUCIN ROPE TEST SYNOVIAL FLUID*,$4.05,
5100515,OXALATE 24 HR URINE*,$13.32,
5100517,*OXYCODONE*,$67.19,
5100519,PARVOVIRUS PCR B19 DNA*,$120.00,
5100521,*PH BODY FLUID,$16.50,
5100523,*PH URINE,$2.93,
5100527,PHOSPHORUS URINE 24 HR*,$6.62,
5100529,PNEUMOCYSTIS CARINII DFA*,$76.00,
5100531,*LYMPHOCYTE SUBSET PANEL 5*,$24.34,
5100533,*PROPANOLOL*,$14.02,
5100535,*PROTAMINE SULFATE*,$18.69,
5100537,PROTEIN C ANTIGEN*,$65.00,
5100539,*ACID PHOSPHATASE BLOOD,$8.02,
5100541,PROTEIN ELECT UR 24 HR*,$20.00,
5100543,*CYCLOSPORINE WEST HILLS,$26.45,
5100545,PROTEIN ELECT UR RANDOM*,$6.62,
5100547,PROTEIN S ANTIGEN*,$65.00,
5100549,*TOTAL PROTEIN SYNOVIAL FLUID,$6.62,
5100551,*PROTHROMBIN TIME,$3.42,
5100553,RAJI CELL IMMUNE COMPLEX*,$103.28,
5100555,REDUCING SUBSTANCE STOOL*,$8.37,
5100557,RISTOCETIN COFACTOR*,$57.25,
5100559,CYSTINE URINE*,$13.32,
5100561,*RSV ANTIGEN,$14.50,
5100563,RUBEOLA AB IGG*,$4.26,
5100565,RUBEOLA AB IGM*,$26.50,
5100569,*DEPAKENE (VALPROIC ACID),$9.57,
5100573,RHEUMATOID FACTOR (RA) QUANT*,$5.00,
5100579,SKELETAL MUSCLE ANTIBODY*,$10.00,
5100581,WORM ID*,$6.62,
5100583,*SYNOVIAL FLD CELL CM,$21.48,
5100585,*THC BY GC/MS,$18.55,
5100587,*THIORIDAZINE*,$13.67,
5100589,*TOCOPHEROL,$15.41,
5100591,TOXOPLASMA IGG AB*,$15.13,
5100593,TOXOPLASMA IGM AB*,$65.39,
5100595,*BF TRIGLYCERIDES*,$6.62,
5100597,*T4 FREE,$3.88,
5100599,UREA NITROGEN URINE 24HR*,$5.63,
5100601,"URIC ACID, RANDOM URINE*",$6.62,
5100603,"*URIC ACID, OTHER SOURCE*",$6.62,
5100605,VARICELLA ZTR IGM*,$23.76,
5100607,*VDRL ROUTINE,$6.97,
5100609,DHEA S*,$25.03,
5100613,*YEAST ID*,$14.37,
5100615,*DIGITOXIN*,$37.65,
5100625,EBV CAPSID IGM*,$14.92,
5100627,EBV EARLY AG IGG*,$28.93,
5100629,EBV CAPSID IGG*,$14.92,
5100631,ECHINOCOCCUS AB IGG*,$31.68,
5100633,*ELECTRON MICROSCOPY,$570.00,
5100635,*PEP,$49.03,
5100637,ENDOMYSIAL AB IGA*,$75.94,
5100639,*EOSINOPHIL COUNT URINE,$4.81,
5100641,ESTRADIOL*,$18.00,
5100643,ESTRIOL SERUM*,$35.00,
5100645,ESTRIOL URINE 24HR*,$35.00,
5100649,EUGLOBULIN LYSIS*,$75.00,
5100651,FACTOR II ACTIVITY*,$112.38,
5100653,FACTOR X ACTIVITY*,$112.38,
5100655,FACTOR XI ACTIVITY*,$95.00,
5100659,*FEBRILE AGGLUTININS,$70.88,
5100661,CMV DNA PCR QUAL*,$89.00,
5100663,CYCLOSPORA & ISOSPORA EXAM*,$9.00,
5100665,FLOUXETINE*,$16.32,
5100667,"FOLATE, RBC ONLY, QUEST*",$22.87,
5100671,STONE ANALYSIS*,$8.02,
5100673,*FSH*,$9.62,
5100675,*FUNGUS ID YEAST*,$13.18,
5100677,"CEA, FLUID*",$16.11,
5100679,GGT*,$2.58,
5100681,GLUCAGON*,$23.22,
5100683,*GONORRHOEAE DNA*,$7.50,
5100685,GROWTH HORMONE*,$18.00,
5100687,*H INFLUENZA AB*,$47.02,
5100689,*H PYLORI AB IGG*,$30.00,
5100691,*HCG QUANT,$16.11,
5100693,HEP B CORE TOTAL AB*,$6.40,
5100695,HEMOGLOBIN A2,$20.36,
5100696,HEMOGLOBIN A2*,$60.00,
5100699,HEP A AB IGG & IGM*,$12.55,
5100701,*HEP A AB IGM*,$12.55,
5100703,"HEPARIN, UNFRACTIONATED*",$130.00,
5100705,*HERPES SIMPLEX PCR*,$235.00,
5100713,HIAA-5 UR 24HR*,$13.67,
5100715,HISTAMINE URINE*,$35.43,
5100717,HISTAMINE PLASMA*,$35.43,
5100721,"*HLA A,B, OR C MULTIPLE",$89.26,
5100723,HLA B27*,$21.76,
5100725,HOMOVANILLIC ACID (HVA)*,$23.64,
5100727,*HYDROXY CORT-17*,$20.08,
5100731,IGA*,$7.77,
5100733,IGD*,$13.67,
5100735,IGE*,$14.01,
5100737,IGG*,$7.76,
5100739,IGM*,$7.76,
5100743,IGG CSF*,$11.58,
5100745,IGM CSF*,$7.76,
5100747,IMMUNE COMPLEX DET C1q*,$45.75,
5100749,IMMUNOFIXATION URINE*,$20.92,
5100751,*IMMUNO FLUORESCENT AB,$20.92,
5100753,IMMUNOGLOBULINS QUANT IGAGM*,$25.95,
5100755,INSULIN LEVEL*,$10.04,
5100757,*IRON TOTAL,$4.04,
5100759,KETOSTEROIDS-17*,$11.44,
5100761,*KLEIHAUER-BETKE,$152.33,
5100763,LEAD UR*,$9.41,
5100765,LEAD WB*,$9.41,
5100769,LEGIONELLA IGG AB*,$22.75,
5100771,LEGIONELLA AG URINE EIA*,$26.14,
5100773,LEGIONELLA AG DFA*,$23.22,
5100775,LEGIONELLA IGM AB*,$110.00,
5100777,LEUCINE AMINOPEPTIDASE*,$12.48,
5100779,*LIBRIUM QUANT*,$15.13,
5100781,*LIPASE SERUM*,$7.18,
5100785,*LITHIUM SER,$5.29,
5100787,*LYMPH CELL EVAL,$51.33,
5100791,MANGANESE WHOLE BLOOD*,$54.00,
5100793,*MEPROBAMATE*,$20.08,
5100795,MERCURY BLOOD*,$20.36,
5100797,MERCURY 24HR URINE*,$22.25,
5100799,METANEPHRINES 24HR UR FRACTIONATED*,$16.26,
5100801,*METHEMALBUMIN,$74.56,
5100803,*MIC SUSCEPTIBILITY*,$16.81,
5100805,*MIC AN/ACRO EACH AB,$16.81,
5100807,MICROSPORIDIUM*,$11.45,
5100809,*MISC REF LAB CHARGE*,$0.00,
5100811,*MISC SEND OUT TEST,$0.00,
5100813,*MISC LAB QUEST*,$0.00,
5100815,*MISC LAB UCI,$0.00,
5100817,MYELOPEROXIDASE AB*,$4.04,
5100819,*MYCOBACTER ID/SP,$229.00,
5100821,MYCOPLASMA IGM AB*,$10.00,
5100823,MYCOPLASMA IGG AB*,$15.00,
5100825,MYOGLOBIN SERUM*,$16.53,
5100827,*NORTRIPTYLINE*,$13.47,
5100829,*NSE(191),$59.40,
5100831,*OCCULT BLD - SPEC*,$4.04,
5100833,*OPIATE SER QUANT,$19.53,
5100835,OSTEOCALCIN*,$24.69,
5100837,*P-24 AG DISASSOCIATION*,$78.98,
5100839,*PAROXETINE*,$63.36,
5100841,*PHENYLALANINE (PKU) BLOOD*,$18.62,
5100843,*PHOSPHATIDYLGYLCERL (PG)*,$39.61,
5100845,PORPHOBILINOGEN RANDOM URINE*,$10.39,
5100847,PORPHYRINS PLASMA FRACT*,$16.81,
5100851,PROCAINAMIDE*,$12.99,
5100853,*PROGEST RECEPT TIS,$180.00,
5100855,PROGESTERONE*,$11.54,
5100857,PROLACTIN*,$13.47,
5100859,"PROSTATE SPEC AG, FREE&TOTAL*",$6.75,
5100863,PROTEIN ELECT SERUM*,$8.00,
5100865,*PROTEIN RAND UR,$6.62,
5100867,"*PROTEIN, TOTAL*",$6.62,
5100869,*PTH C-TERMINAL*,$49.65,
5100871,PTH INTACT*,$18.00,
5100873,*PTH N-TERMINAL*,$49.65,
5100875,*QUINIDINE,$12.27,
5100877,Q FEVER IGG/IGM*,$60.00,
5100879,*RECEPTOR ASSAY; ESTROGEN,$180.00,
5100881,RENIN ACTIVITY PLASMA*,$20.08,
5100882,RICKETTSIAL AB PANEL*,$60.00,
5100883,*AMIKACIN,$10.83,
5100885,*ROTAVIRUS AB SERUM*,$23.22,
5100887,RPR*,$4.00,
5100889,RUBELLA AB IGM*,$18.00,
5100893,*SALICYLATE SER QUEST,$10.04,
5100895,*SALICYLATE UR QNT*,$10.04,
5100897,SELENIUM SERUM*,$42.12,
5100899,SEROTONIN SERUM*,$65.00,
5100901,SICKLE CELL SCREEN*,$3.70,
5100903,*STAT REF FEES*,$15.00,
5100905,"T&B CELLS, CD19, CD3*",$75.18,
5100907,TACROLIMUS*,$48.00,
5100909,"TESTOSTERONE, URINE*",$125.00,
5100911,"TESTOSTERONE, FREE & TOTAL*",$8.02,
5100913,THIOCYANATE SERUM*,$19.73,
5100915,THYROID PEROXIDASE AB*,$6.00,
5100917,TRANSFERRIN*,$12.27,
5100919,*TARZADONE,$23.99,
5100921,TULAREMIA AG*,$8.30,
5100923,T3 TOTAL REF LAB*,$11.06,
5100925,VALIUM (DIAZEPAM)*,$19.53,
5100927,*VANCOMYCIN,$18.34,
5100929,VASOPRESSIN (ADH)*,$41.29,
5100931,CSF VDRL*,$6.97,
5100933,*VDRL SERUM*,$6.97,
5100935,VITAMIN B1 WHOLE BLOOD*,$24.48,
5100937,VITAMIN D 25-HYDROXY (ROUTINE)*,$29.86,
5100939,"VITAMIN D 1,25-DIHYDROXY*",$47.52,
5100941,VITAMIN E*,$15.41,
5100943,VMA RANDOM URINE*,$15.41,
5100945,VMA 24 HR URINE*,$18.00,
5100947,*VOLATILE SCRN URINE*,$17.02,
5100949,*VOLATILES,$58.00,
5100951,*XYLOSE SERUM*,$15.13,
5100953,*XYLOSE UR*,$15.13,
5100955,ZINC PROTOPORPHYRIN*,$23.22,
5100957,*ACETAMINOPHEN,$14.64,
5100959,*ACETONE QUAL,$13.67,
5100961,ACTH BLD*,$37.93,
5100963,ADRENAL ANTIBODIES*,$17.50,
5100965,*AFB ID CHARGE,$12.26,
5100967,*AFB SENSI CHARGE,$19.60,
5100969,ALA 24 HR URINE*,$19.73,
5100971,VON WILLEBRAND FACTOR AG*,$125.00,
5100973,*ALCOHOL URINE*,$13.67,
5100975,ALK PHOSPHATASE BONE FRACTION*,$28.30,
5100977,ALK PHOSPHATASE ISOENZYMES*,$12.27,
5100979,*ALPHA-FETOPROTEIN MATERNAL*,$18.34,
5100981,ALUMINUM SERUM*,$17.31,
5100985,*AMINO ACID SCREEN*,$15.41,
5100987,AMIODARONE LEVEL*,$31.80,
5100989,AMITRIPTYLINE*,$15.39,
5100991,AMOEBA ANTIBODY IGG*,$18.34,
5100993,*AMYLASE FLUID*,$7.74,
5100995,*ANA TITER CHARGE,$15.75,
5100996,PROTEIN C ACTIVITY*,$12.88,
5100997,ACETYLCHOLINE RECEPTOR BINDING AB*,$77.71,
5100999,ANGIOTEN CONV ENZ (ACE)*,$15.13,
5101001,*ANTI-DNA AB DFA*INACTIVE-DO NOT USE,$17.16,
5101003,"DNA AB, IFA, CRITHIDIA*",$15.44,
5101005,GLOMERULAR BASEMENT MEMBRANE AB*,$82.50,
5101007,MITOCHONDRIAL AB*,$7.50,
5101009,MYOCARDIAL AB*,$11.00,
5101011,*ANTI-PARIETAL AB*,$14.00,
5121001,PARAPERTUSSIS PCR*,$90.00,
5121002,PERTUSSIS PCR*,$90.00,
5121003,Mi-2 AUTOANTIBODIES*,$5.00,
5121006,PRIMIDONE AND PHENOBARB*,$16.53,
5121015,HERPES SIMPLEX 1&2 PCR*,$180.00,
5121020,ZONISAMIDE*,$84.00,
5121023,*FRUCTOSAMINE,$11.86,
5121024,RUBELLA ANTIBODY IGG,$26.50,
5121033,T3 UPTAKE REF LAB*,$3.37,
5121034,PARTIAL THROMBOPLASTIN TI*,$29.87,
5121037,LEVETIRACETAM*,$34.00,
