Hospital Service Code,Service Description,Hospital Charge
58090531,ABSCESS INCISION/DRAINAGE,182.00
58090895,ANOSCOPY,141.00
58090986,ARTHROCENTESIS JOINT,1049.00
58091471,VENIPUNCTURE,38.00
58091646,CATHETERIZATION,455.00
58092826,DRESSING CHANGE,21.00
58092842,EAR IRR/LAVAGE W INSTRUMENT,248.00
58092909,EKG TRACING,224.00
58093105,STERILE TRAY,59.00
58093568,FOREIGN BODY REMOVAL-EYE,261.00
58093592,FOREIGN BODY REMOVAL-EAR,223.00
58093741,GLUCOSE REAGENT STRIP,45.00
58093808,HEMATOCRIT,53.00
58093923,HEPATITIS B IMMUNE GLOBULIN,299.00
58093956,INFLUENZA VACCINE ADMIN.,28.00
58093980,INJECTION TENDON/JOINT,1049.00
58094103,IV INSERT,134.00
58094251,LACERATION REPAIR,335.00
58094343,LUMBAR PUNCTURE SIMPLE,2304.00
58094376,EXCISION NAIL PARTIAL/COMPLETE,778.00
58094673,"NAIL AVULSION, 1ST",695.00
58094822,OCCULT BLOOD TEST,45.00
58095134,MORPHINEN 10 MG,84.00
58095142,MORPHINE 4 GM,38.00
58095183,PNEUMOCOCCAL VACCINE,103.00
58095209,HYDROMORPHONE 2MG INJ.,65.00
58095217,PPD TEST,86.00
58095308,IV HYDRATION 31MIN-1HR,277.00
58095316,"IV HYDRATION, EA ADD 1H",165.00
58095555,ACE BANDAGE/SPLINT,21.00
58096058,TETANUS TOXOID,59.00
58096181,ONDANSETRON 1 MG,177.00
58096538,UNNA BOOT,568.00
58096603,URINE DIP STICK,38.00
58096652,URINE PREGNANCY TEST,59.00
58096710,VISION SCREENING TEST,152.00
58096736,KOH SLIDE,45.00
58096777,WET MOUNT SMEAR,53.00
58097221,PENICILLIN G 5 MU,84.00
58097668,CEFTRIAXONE 250 MG,111.00
58097734,KENALOG,35.00
58097759,BICILLIN LA 1.2 MIL U,94.00
58097767,CEFTRIAXONE 500 MG,123.00
58097775,INSULIN NPH,38.00
58097783,INSULIN REGULAR,38.00
58097809,LIDOCAINE 1%/EPINEPHRINE,38.00
58097817,PROCAINE PENICILLIN,103.00
58097833,BENADRYL 50MG INJ.,38.00
58097866,DEXAMETHAXONE (DECADRON),84.00
58097874,GENTAMICIN 10 MG,38.00
58097882,GENTAMICIN 40 MG,84.00
58097908,IMFERON,72.00
58097916,PENERGAN 25 MG,38.00
58097924,SOLUMEDROL 125 MG,84.00
58097932,CHLORPROMAZINE (THORAZINE),38.00
58097940,PROCHLORPERAZINE (COMPAZINE),84.00
58097957,HEPARIN 1000 UNITS,36.00
58097965,EPINEPHRINE,36.00
58097973,CEFAZOLIN SOD. 500 MG IV,84.00
58098302,HYDROXYZINE 25 MG (VISTARIL),36.00
58098401,PENOBARBITOL 130 MG,38.00
58098427,SUSPRINE,38.00
58098450,AMPICILLIN 1GM,103.00
58098518,HEPATITIS B RECOMBIVAX,119.00
58098583,NAFCILLIN 1 GM,103.00
58098591,NALAXONE 4 GM (NARCAN),63.00
58098617,SODIUM CHLORIDE 10 ML INH,35.00
58098625,AMPICILLIN 500 MG.,103.00
58098682,CEFUROXIME 1.5 GM,123.00
58098922,FLUROSCINE ANGIOSCOPY,582.00
58098955,DILANTIN 300 MG,38.00
58098971,GLUCAGON 1 MG,94.00
58099094,CEFTRIAXONE 1 GM,123.00
58099698,PEAK FLOW METER,103.00
58099771,MINOR PROCEDURE TRAY,95.00
58099789,ADMIN. PNEUMO. VACCINE,28.00
58099995,MISC. CLINIC CHARGE,
58200163,"Mirror, Flexible Insp",141.00
58201013,EXAM/TREATMENT ROOM,247.00
58201021,EXAM/TREATMENT ROOM,270.00
58201039,EXAM/TREATMENT ROOM,282.00
58201047,EXAM/TREATMENT ROOM,378.00
58201120,EXAM/TREATMENT ROOM,261.00
58201138,EXAM/TREATMENT ROOM,285.00
58201146,EXAM/TREATMENT ROOM,399.00
58208604,PODOPHYLLIN 25%,36.00
58208612,CEFTRIAXONE 125MG,123.00
58208869,TRIPHASAL,63.00
58208877,CEFIXINE 400 MG,195.00
58208885,AMOXICILLIN,63.00
58208893,AZITHROMYCIN 250MG,36.00
58208901,E/M EST. BRIEF EXAM,272.00
58208943,NITROFURONATOIN 100MG,36.00
58208976,BB THERM,36.00
58208984,I.U.D.,923.00
58208992,LEVEEN,63.00
58209511,DESTR. PENILE LESION,1329.00
58209743,IUD REMOVAL SUPPLIES,188.00
58209750,DESTRUCTION OF LESION SUPPLIES,59.00
58209768,DESTRUCTION OF LESION SUPPLIES,59.00
58209776,BIOPSY OF LESION SUPPLIES,27.00
58209784,COLPOSCOPY SUPPLIES,36.00
58209800,"CRYO CERVIX, SUPPLIES",95.00
58209818,IUD INSERTION SUPPLIES,188.00
58209826,NORPLANT INSERTION SUPPLIES,95.00
58209834,NORPLANT REMOVAL SUPPLIES,95.00
58209842,I.U.D. PARAGARD,923.00
58209859,NORPLANT KIT,1232.00
58212465,NEXPLANON INSERT,1305.00
58212473,NEXPLANON REMOVAL,1198.00
58212481,NEXPLANON REMOVAL/REINSERT,1701.00
58220435,HEMOGLOBIN,53.00
58221300,NEXPLANON,369.00
58226366,NEXPLANON INSERT SUPPLIES,21.00
58226374,NEXPLANON REMOVAL SUPPLIES,21.00
58266511,COLPOSCOPY W/BIOPSY SUPPLIES,282.00
58267006,FAMILY PLANNING GROUP EDUCA.,29.00
58267014,INITIAL FAMILY PLANNING METHOD,36.00
58267022,FP COUNSELING - 15 MINUTES,59.00
58267030,FP COUNSELING - 30 MINUTES,95.00
58267048,FP COUNSELING - 45 MINUTES,134.00
58267204,BIOPSY OF LESION,3025.00
58267220,COLPOSCOPY WITH BIOPSY,1253.00
58267238,CRYOTHERAPY,561.00
58267246,"DESTRUCTION OF LESION, VULVA",6486.00
58267253,"DESTRUCTION OF LESION, VAGINA",9474.00
58267279,DIAPHRAGM FITTING,691.00
58267303,I.U.D. INSERTION,474.00
58267311,I.U.D. REMOVAL,1253.00
58267436,CEPHALEXIN 500MG #40,36.00
58267451,CLOTRIMAZONE 1% VAGINAL CREAM,36.00
58267477,DOXYCYLINE 100MG #14,36.00
58267485,DOXYCYLINE 100MG #20,59.00
58267493,ESTINYL ESTRADIOL 20MCG,36.00
58267501,FLUCONAZOLE 150MG,36.00
58267519,METRONIDAZOLE 500MG #4,38.00
58267527,MERONIDAZOLE 500MG #14,36.00
58267543,PREMARIN CREAM,36.00
58267550,SEPTRA DS,36.00
58267584,CONDOMS,63.00
58267592,OFLOXAXIN,36.00
58267600,FEMALE CONDOMS,63.00
58267618,DIAPHRAGM,63.00
58267626,FILM/GEL/SUPPOSITORIES,63.00
58267634,FOAM,63.00
58267642,MICRONOR,63.00
58267691,NORDETTE,63.00
58267717,POST-COITAL 8,63.00
58267758,DIPHENHYDRAMINE HCL 25 MG,36.00
58290008,E/M INITIAL EXPANDED EXAM,586.00
58290016,E/M INITIAL DETAILED EXAM,669.00
58290065,E/M EST. EXPANDED EXAM,427.00
58290131,E/M INITIAL FOCUSED EXAM,352.00
58290172,E/M EST. FOCUSED EXAM,324.00
58290180,E/M EST. DETAILED EXAM,604.00
58290222,E/M INITIAL COMPREHENSIVE EXAM,895.00
58290289,EXAM/TREATMENT ROOM,247.00
58292574,TETANUS DIPHTHERIA (TD),29.00
58293747,GLUCOSE REAGENT STRIP,45.00
58294406,MMR 1ST DOSE,29.00
58294497,MMR 2ND DOSE,29.00
58294828,OCCULT BLOOD TEST,45.00
58295213,PPD TEST,86.00
58296591,UA-DIPSTICK W/O MICRO,38.00
58296658,URINE PREGNANCY TEST,59.00
58296773,WET MOUNT,53.00
58297219,COLPOSCOPY,616.00
58297276,DESTR OF LESION PENIS/CRYO,303.00
58297292,BIPSY OF PENIS,307.00
58297664,CEFTRIAXONE 250MG,123.00
58297722,PENICILLIN G BENZATHINE,84.00
58297839,BENADRYL 50MG,38.00
58298530,HEPATITIS B IMMUNIZATION,119.00
58298811,DEPO-PROVERA,188.00
58299884,NORPLANT INSERTION,1305.00
58299892,NORPLANT REMOVAL,561.00
58299983,UA-DIPSTICK W/O MICRO,38.00
60001013,EXAM/TREATMENT ROOM,247.00
60001021,EXAM/TREATMENT ROOM,270.00
60001039,EXAM/TREATMENT ROOM,366.00
60001047,EXAM/TREATMENT ROOM,470.00
60001054,EXAM/TREATMENT ROOM,618.00
60001112,EXAM/TREATMENT ROOM,200.00
60001120,EXAM/TREATMENT ROOM,276.00
60001138,EXAM/TREATMENT ROOM,285.00
60001146,EXAM/TREATMENT ROOM,399.00
60001153,EXAM/TREATMENT ROOM,470.00
60001419,EXAM/TREATMENT ROOM,302.00
60001427,EXAM/TREATMENT ROOM,326.00
60001435,EXAM/TREATMENT ROOM,341.00
60001443,EXAM/TREATMENT ROOM,458.00
60001450,EXAM/TREATMENT ROOM,481.00
60008901,E/M EST. BRIEF EXAM,272.00
60008992,E/M FOCUSED CONSULT,311.00
60010485,CPR                          *,8086.00
60010519,DEXRAZOXANE 250MG,561.00
60010527,NANDROLONE 100MG,38.00
60010535,TOPOTECAN 4MG,2911.00
60010543,IRINOTECAN 5ML,1679.00
60010550,PAMIDRONATE 30MG,745.00
60010568,ACTHAR (ACTH) 1MG,59.00
60010584,VERSED 2MG,188.00
60011368,FINE NEEDLE ASPIRATION,338.00
60012226,IRRIGATION                   *,182.00
60016227,INHALATION THERAPY           *,240.00
60016458,NEBULIZER MASK               *,27.00
60023306,MENINGOCOCCAL VACCINE,29.00
60023389,HEMOPHILUS INFLUENZA B VACC.,46.00
60031846,KIT CENTRAL VEIN CATH,311.00
60059938,IV TUBING                    *,87.00
60063708,IV START KIT                 *,21.00
60065547,ZOSTER VACCINE,491.00
60067055,DOXCIL 20MGS,2234.00
60067063,NEUPOGEN 300 MCG,649.00
60067071,NEUPOGEN 480 MCG,986.00
60067089,ALBUTEROL,36.00
60067097,GEMCITABINE 200MG,315.00
60067105,TRIAMCINOLONE,36.00
60069564,PREDNISONE,38.00
60083656,NAVELBINE 10MG,247.00
60083664,NAVELBINE 50MG,966.00
60088002,E/M INITIAL EXPANDED EXAM,586.00
60088010,E/M INITIAL FOCUSED EXAM,352.00
60089877,BLD.PROD.PROCESS/STORAGE,80.00
60089893,BLD.PROD.PROCESS/STORAGE,80.00
60090008,E/M INITIAL EXPANDED EXAM,586.00
60090016,E/M INITIAL DETAILED EXAM,669.00
60090024,E/M INITIAL COMPLEX EXAM,1118.00
60090032,E/M EXPANDED CONSULTATION,531.00
60090057,FACILITY FEE ONLY            *,247.00
60090065,E/M EST. EXPANDED EXAM,427.00
60090073,E/M DETAILED CONSULT,636.00
60090081,E/M EST. COMPREHENSIVE EXAM,943.00
60090123,E/M COMPREHENSIVE CONSULTATION,841.00
60090131,E/M INITIAL FOCUSED EXAM,352.00
60090149,E/M COMPLEX CONSULTATION,997.00
60090156,INDIV. NUTRITION ASSMT.,302.00
60090172,E/M EST. FOCUSED EXAM,324.00
60090180,E/M EST. DETAILED EXAM,604.00
60090222,E/M INITIAL COMPREHENSIVE EXAM,895.00
60090891,ANOSCOPY,141.00
60090958,ARTERIAL PUNCTURE,123.00
60091196,BONE MARROW BIOPSY,728.00
60091477,VENIPUNCTURE,38.00
60091527,BONE MARROW ASPIR ONLY,213.00
60091766,CHEMOTHERAPY FIRST HOUR      *,367.00
60091774,CHEMOTHERAPY ADD'L HOUR      *,200.00
60091824,IV CHEMOTHERAPY PUSH         *,304.00
60092822,DRESSING CHANGE              *,141.00
60092905,EKG TRACING,224.00
60093507,NEUMEGA 5MG,884.00
60093747,GLUCOSE REAGENT STRIP,45.00
60093895,IMMUNE GLOBULIN              *,84.00
60093929,HEPATITIS B IMMUNE GLOBULIN  *,299.00
60093952,INFLUENZA VACCINE ADMIN.,28.00
60094125,CENTRAL LINE CARE            *,141.00
60094315,RITUZMAB 100MG,1623.00
60094349,LUMBAR PUNCTURE SIMPLE,2304.00
60094463,MEASLES VACCINE              *,84.00
60094497,MSLES/MUMPS/RUBEL VACCINE    *,222.00
60094562,HERCEPTIN 440MG,7289.00
60094588,MUMPS                        *,38.00
60095064,PARACENTESIS,1927.00
60095130,MORPHINE 10MG                *,63.00
60095155,DOXORUBICIN 10MG             *,303.00
60095163,DOXORUBICIN 50MG             *,1113.00
60095171,BLEOMYCIN 15UNITS            *,1113.00
60095189,PNEUMOCOCCAL VACCINE         *,103.00
60095197,CISPLATIN 10MG               *,200.00
60095205,CISPLATIN 50MG               *,644.00
60095213,PPD                          *,86.00
60095221,VINBLASTINE 10MG             *,303.00
60095239,VINCRISTINE 2MG              *,709.00
60095247,VINCRISTINE 1MG,188.00
60095254,ETOPOSIDE 20MG (VP-16)       *,406.00
60095262,FLUOROURACIL (5FU)           *,141.00
60095270,CYCLOPHOSPHAMIDE 100MG       *,38.00
60095288,CYCLOPHOSPHAMIDE 200MG       *,84.00
60095296,CYCLOPHOSPHAMIDE 500MG       *,141.00
60095304,IV REHYDRATION FIRST HOUR    *,367.00
60095312,IV REHYDRATION ADD'L HOUR    *,182.00
60095338,EAR IRR/LAVAGE W INSTRUMENT,248.00
60095379,NS FIRST 1000CC              *,103.00
60095387,NS EACH ADD'L 1000CC         *,103.00
60095411,D51/2 NS FIRST 100CC         *,103.00
60095429,D51/2 NS ADD'L 1000CC        *,103.00
60095437,D51/2 NS W/20KCL 1000CC      *,103.00
60095445,"D51/2NS W/20KCL ADD""L 1000CC *",103.00
60095452,D5NS FIRST 1000CC            *,103.00
60095460,D5NS EACH ADD'L 1000CC       *,103.00
60095478,VANCOMYCIN 500MG,103.00
60095569,STERILE TRAY                 *,95.00
60095601,ANTIBIOTIC IV THERAPY 1ST HR *,367.00
60095619,ANTIBIOTIC IV THERAPY AD'L HR*,182.00
60095668,D5W FIRST 100CC              *,103.00
60095676,D5W EACH ADD'L 1000CC        *,103.00
60095684,POTASSIUM CHLORIDE 40MEQ     *,38.00
60095692,THIAMINE 100MG               *,38.00
60095924,DIAZEPAM 5MG                 *,38.00
60095940,AMPHOTERICIN B 50MG          *,200.00
60095957,LORAZEPAM 2MG                *,38.00
60095965,CYTARABINE 100MG             *,84.00
60095973,CYTARABINE 500MG             *,618.00
60095981,GANCICLOVIR 500MG (DHPG)     *,200.00
60096005,IFOSFAMIDE 1GM               *,303.00
60096013,FUROSEMIDE 10MG              *,38.00
60096021,LEUCOVORIN 50MG,38.00
60096039,LEUCOVORIN 1GM               *,406.00
60096047,MAGNESIUM SULFATE            *,38.00
60096054,TETANUS TOXOID               *,59.00
60096062,MESNA 200MG                  *,84.00
60096070,MESNA 400MG                  *,141.00
60096088,MESNA 1000MG                 *,303.00
60096096,METHOTREXATE 100MG           *,161.00
60096104,MITOXANTRONE,2334.00
60096120,MUSTARGEN 10MG               *,84.00
60096138,STREPTOZOCIN 1000MG          *,161.00
60096146,THORACENTESIS,303.00
60096161,REGLAN                       *,63.00
60096179,"UROKINASE 250,000UNITS       *",1318.00
60096187,ONDANSETRON 1MG INJ,200.00
60096385,TRANSF.PACKED RED CELLS,558.00
60096419,"TRANSFUSION, PLATELETS",558.00
60096443,CHEMO INTO PLEURA,670.00
60096450,CHEMO INTO CNS,513.00
60096534,CHEMO INTO PERITONEAL,598.00
60096542,CHEMO SUBCUTANEOUS ADMIN.,369.00
60096807,CANDIDA SKIN TEST            *,38.00
60097003,LCSW 20-30 MINUTES,282.00
60097045,LCSW 40-50 MINUTES,372.00
60097110,LCSW PSYCHOSICIAL EVAL,561.00
60097151,LCSW 75-80 MINUTES,469.00
60097292,NEULASTA 6MG SYR,22067.00
60097557,BENZATHINE PENICILLIN        *,84.00
60097649,PUMP REFILL                  *,182.00
60097656,BILATERAL IV INSERT          *,134.00
60097664,IV INSERT BILATERAL,134.00
60097672,CENTRAL LINE PLACEMENT,406.00
60097680,PORT-A-CATH INSERT,123.00
60097698,IV INSERT,134.00
60097706,"EPOGEN PER 1,000 UNITS",188.00
60097714,"EPOGEN 1,000 UNITS",188.00
60097748,BICILLIN PENICILLIN,103.00
60097763,CEFTRIAXONE 500MG            *,123.00
60097789,INSULIN 100 UNITS,38.00
60097805,LIDOCAINE 1%                 *,38.00
60097813,PROCAINE PENICILLIN          *,84.00
60097839,DIPHENHYDRAMINE 10MG         *,38.00
60097854,MERPERIDINE                  *,38.00
60097862,DEXAMETHASONE 4MG            *,84.00
60097888,HEPARIN 100UNITS             *,38.00
60097946,PROCHLORPERAZINE 5MG         *,84.00
60098019,INTERFERON,161.00
60098043,PACLITAXEL 30MG,841.00
60098068,LUPRON 3.75MG,2048.00
60098076,LUPRON 7.50MG,2425.00
60098084,LUPRON 30MG,3518.00
60098100,DOCETAXOL (TAXOTERE),841.00
60098118,LEVOFLOXACIN 500MG,841.00
60098373,CALCIUM GLUCONATE            *,38.00
60098399,ISOPROTERENOL 5MG            *,84.00
60098514,HEPATITIS B VACCINE          *,119.00
60098597,NALOXONE                     *,63.00
60098654,CEFAZOLIN 500MG              *,84.00
60098696,HIB INFLUENZA VACCINE,602.00
60098746,THIOTEPA 15MG                *,269.00
60098753,DACARBAZINE 200MG (DTIC)     *,123.00
60098761,CARMUSTINE 100MG (BCNU)      *,341.00
60098779,MITOMYCIN 20MG               *,1418.00
60098787,MITOMYCIN 5MG                *,509.00
60098795,CEFTAZADIME                  *,123.00
60098803,ESTRADIOL 40MG,38.00
60098837,DROPERIDOL 5MG,38.00
60098878,FAMOTIDINE (PEPCID),38.00
60098969,VITAMIN B12                  *,38.00
60099082,CEFTRIAXONE 250MG            *,123.00
60099165,FLUDARABINE 50MG             *,690.00
60099249,FOSCARNET                    *,406.00
60099256,GOSERELIN 3.6MG              *,1418.00
60099264,PROCHLORPERAZINE 10MG        *,123.00
60099280,CARBOPLATIN 450MG            *,2224.00
60099298,CARBOPLATIN 50MG             *,303.00
60099322,GRANISTRON 1MG,335.00
60099462,BONE MARROW BIOPSY TRAY      *,303.00
60099470,THORACENTESIS SUPPLIES       *,728.00
60099488,LUMBAR PUNCTURE TRAY         *,2304.00
60099496,PERITONEOCENTESIS SUPP       *,608.00
60099751,HEPATITIS A,103.00
60099785,ADMIN. PNEUMOCCOCAL VACCINE,28.00
60099801,ADMIN. HEP.B VACCINE,28.00
60100187,ERTAPENEM SODIUM 1GM VIAL,1197.00
60101011,EXAM/TREATMENT ROOM,247.00
60101029,EXAM/TREATMENT ROOM,276.00
60101037,EXAM/TREATMENT ROOM,366.00
60101045,EXAM/TREATMENT ROOM,470.00
60101052,EXAM/TREATMENT ROOM,618.00
60101110,EXAM/TREATMENT ROOM,200.00
60101128,EXAM/TREATMENT ROOM,276.00
60101136,EXAM/TREATMENT ROOM,285.00
60101144,EXAM/TREATMENT ROOM,399.00
60101151,EXAM/TREATMENT ROOM,470.00
60101714,DELESTROGEN 10MG INJ,242.00
60104437,INVEGA SUSTENNA 117MG/ML/.75ML,3532.00
60108909,E/M EST. BRIEF EXAM,272.00
60110012,ADMIN. IMMUNIZATION,28.00
60110210,ACUPUNCTURE W/O STIM 1ST 15MIN,315.00
60110376,"ALLERGY TEST(SCRATCH,PRICK,PUN",223.00
60110400,ARTHROCENTESIS SMALL JOINT,1049.00
60110418,ARTHROCENTESIS INTERM.,244.00
60110434,PUNCTURE/ASPIRATION CYST,1329.00
60110459,AUDIOMETRY,113.00
60110483,CPR                          *,8086.00
60110517,DEXRAZOXANE 250MG,561.00
60110525,NANDROLONE 100MG,38.00
60110533,TOPOTECAN 4MG,2911.00
60110541,IRINOTECAN 5ML,1679.00
60110558,PAMIDRONATE 30MG,745.00
60110566,ACTHAR (ACTH) 1MG,59.00
60110582,VERSED 2MG,188.00
60110970,BIOPSY OF SKIN,1329.00
60111010,BURN TREATMENT INITIAL,282.00
60111077,CATHETERIZATION (BLADDER),455.00
60111143,DEBRIDEMENT SKIN 1ST 20SQ CM,695.00
60111150,DEBRID SUBQ TISS 1ST 20SQ CM,1329.00
60111218,WART DESTRUCTION ANUS,13929.00
60111226,WART DESTRUCTION PENILE,1329.00
60111234,WART DESTRUCTION VAGINAL,9474.00
60111242,WART DESTRUCTION VULVAR,6486.00
60111259,DIAPHRAGM FITTING,691.00
60111382,FOREIGN BODY REMOVAL EAR RT,223.00
60111416,FOREIGN BODY REMOVAL SUBQ TISS,1329.00
60111432,I & D HEMATOMA,5618.00
60111473,INJECTION SINGL TEND ORGN/INS,1049.00
60111499,INJECTION TENDON SHEATH,1049.00
60111507,INJECT TRIGGER POINT 3+ MUSC,1049.00
60111556,"SUTURING, SIMPLE < 2.5CM",695.00
60111580,NAIL AVULSION SINGLE,695.00
60111598,NAIL AVULSION EA ADD NAIL PLAT,53.00
60111762,REMOVAL OF SKIN TAGS <16,695.00
60111788,SPIROMETRY,182.00
60111796,FINGER SPLINT,248.00
60111986,UNNA BOOT,568.00
60112224,IRRIGATION SOLUTION          *,63.00
60112331,INJECT TRIGGER POINT 1-2 MUSC,1049.00
60112463,NEXPLANON INSERTION,1305.00
60112471,NEXPLANON REMOVAL,1198.00
60112489,NEXPLANON REMOVAL/REINSERT,1701.00
60112661,REMOVAL OF DEVITALIZED TISSUE,695.00
60112679,CRYOTHERAPY (ACNE),231.00
60112836,CONTROL NASAL HEMORRH ANT SIMP,213.00
60113370,ABD PARACENTESIS W/O IMAGE,1801.00
60113461,ACUPUNCTURE W/O STIM ADD 15MIN,147.00
60113479,ACUPUNCTURE W/STIM 1ST 15MIN,295.00
60113487,ACUPUNCTURE W/STIM ADDL 15MIN,147.00
60113511,THER/PROPH/DIAG INJ SQ/IM,213.00
60113974,FUNDUS PHOTOGRAPGHY,455.00
60114428,EAR IRRIGATION/LAVAGE,248.00
60116225,INHALATION THERAPY           *,240.00
60116456,NEBULIZER MASK               *,27.00
60116787,PENTAMIDINE 150MG            *,608.00
60120250,AMPICILLIN 500MG,103.00
60121084,DEPO-PROVERA 150MG SYR.,205.00
60121290,INSULIN REG PER 5 UNITS SQ/IV,.01
60121571,RISPERIDAL CONSTA 0.5MG INJ,1906.00
60121696,HYDROMORPHONE 2MG SYR.,59.00
60122082,CORTROSYN 0.25 INJ,315.00
60122223,AZITHROMYCIN 1G PO,12.00
60122231,BENZATHINE PENICILLIN 2.4MU IM,.03
60122249,CEFTRIAXONE 1 GRAM,1.00
60122256,COSYNTROPIN 0.5MG,57.00
60122264,CYANOCOBALAMIN 1000 MCG,1.00
60122272,EPINEPHRINE 1MG,2.00
60122280,FLUMAZENIL 0.5MG,5.00
60122298,GENTAMICIN 80MG,1.00
60122306,HYDROCORTISONE SUCC 200MG,.01
60122314,POTASSIUM CHLORIDE 10MEQ/100ML,2.00
60122322,VACOMYCIN 1 GRAM,2.00
60122330,INSULIN NPH PER 5 UNITS SQ,.01
60122371,IPRATROPIUM BROMIDE 0.02% NEB,.13
60123023,ENGERIX-B 20 VACCINE,391.00
60123031,HPV VACCINE,1367.00
60123072,MMR-II VACCINE,419.00
60123122,BOOSTRIX VACCINE,278.00
60123148,VARICELLA VACCINE,222.00
60123239,GARDASIL 9 VACCINE,1053.00
60123247,HAVRIX 1440 VACCINE,476.00
60123254,HIB VACCINE,29.00
60123262,INFANRIX VACCINE,153.00
60123270,IPOL VACCINE,205.00
60123296,MENACTRA VACCINE (MCV4),845.00
60123304,MENINGOCOCCAL VACCINE,845.00
60123320,PNEUMOVAX 23 VAC (PPSV23),512.00
60123338,TWINRIX VACCINE (HEP A&B),382.00
60123346,PROQUAD VACCINE,1158.00
60123361,TENIVAC VACCINE (TD),165.00
60123379,PREVNAR 13 VACCINE,103.00
60123387,VARIVAX VACCINE,703.00
60124377,BOOSTRIX ADMIN FEE,28.00
60124419,FLUARIX PFS ADMIN FEE,28.00
60124435,FLUZONE MDV ADMIN FEE,28.00
60124450,FLUZONE PFS ADMIN FEE,28.00
60124476,GARDASIL 9 ADMIN FEE,28.00
60124534,MENACTRA (MCV4) ADMIN FEE,28.00
60124542,MMR-II ADMIN FEE,28.00
60124575,PREVNAR 13 ADMIN FEE,28.00
60124609,TENIVAC (TD) ADMIN FEE,28.00
60124617,TWINRIX (HEP A&B) ADMIN FEE,28.00
60124625,VARIVAX ADMIN FEE,28.00
60124799,FLULAVAL MDV ADMIN FEE,28.00
60124807,FLUVIRIN PFS ADMIN FEE,28.00
60124815,FLUZONE HIGH DOSE ADMIN FEE,28.00
60124823,FLUVIRIN MDV ADMIN FEE,28.00
60128568,UA-DIPSTICK W/O MICRO,38.00
60129210,TYPHOID VACCINE,285.00
60135167,ACYCLOVIR 500MG INJ.,125.00
60151743,CATHETER URETHRA INSERT,525.00
60163540,LIVER BIOPSY TRAY,745.00
60163557,LIVER BIOPSY,625.00
60165545,ZOSTER VACCINE,491.00
60165578,TDAP VACCINE,177.00
60166519,COLPOSCOPY W/BIOSPY SUPPLY,282.00
60167053,DOXCIL LIPSOME 20MGS,2234.00
60167061,LEUCOVARIN 25MG,649.00
60167079,GCSF-NEUPOGEN(FILGRASTIM)1.6ML,986.00
60167087,ALBUTEROL,36.00
60167095,GEMCITABINE 200MG,315.00
60167103,TRIAMCINOLONE,36.00
60167228,COLPOSCOPY WITH BIOPSY,1253.00
60167301,IUD INSERTION,431.00
60167319,IUD REMOVAL,1253.00
60167772,I.U.C. PARAGARD,840.00
60169265,DEXTROSE 50%-WATER 25G IV,2.00
60169562,PREDNISONE 25MG INJ.,38.00
60171766,METHOTREXATE 50MG,161.00
60179934,P.O. MEDICATION,
60180353,HEMOGLOBIN,53.00
60180429,OCCULT BLOOD TEST,45.00
60180452,URINE PREGNANCY TEST,59.00
60180460,URINE PREGNANCY TEST,111.00
60183654,NAVALBINE 10MG,247.00
60183662,NAVALBINE 50MG,966.00
60185063,FLAGYL 500MG INJ.,72.00
60187119,IVIG (IV IMMUNOGLOBULIN)GRAMS*,134.00
60187150,PEAK FLOW DETERMINATION,194.00
60188000,E/M INITIAL EXPANDED EXAM,586.00
60188018,E/M INITIAL FOCUSED EXAM,352.00
60189875,BLD PROD PROCESS/STORAGE EA UN,564.00
60189891,BLD PROD PROCESS/STORAGE EA UN,80.00
60189990,E/M INITIAL EXPANDED EXAM,586.00
60190006,E/M INITIAL EXPANDED EXAM,586.00
60190014,E/M INITIAL DETAILED EXAM,669.00
60190022,E/M INITIAL COMPLEX EXAM,1118.00
60190048,E/M EST. FOCUSED EXAM,324.00
60190055,FACILITY FEE ONLY            *,247.00
60190063,E/M EST. EXPANDED EXAM,427.00
60190089,E/M EST. COMPREHENSIVE EXAM,943.00
60190139,E/M INITIAL FOCUSED EXAM,352.00
60190154,INDIV. NUTRITION ASSMT.,302.00
60190170,E/M EST. FOCUSED EXAM,324.00
60190188,E/M EST. DETAILED EXAM,604.00
60190220,E/M INITIAL COMPREHENSIVE EXAM,895.00
60190287,EXAM/TREATMENT ROOM          *,247.00
60190535,ABSCESS I & D,182.00
60190881,ANOSCOPY W/BIOPSY,3321.00
60190899,ANOSCOPY,169.00
60190956,ARTERIAL PUNCTURE            *,123.00
60190980,ARTHROCENTESIS LG JNT,1049.00
60191194,BIOPSY BONE MARROW           *,728.00
60191376,BIOPSY VAGINAL MUCOSA,1656.00
60191475,VENIPUNCTURE,38.00
60191525,BONE MARROW ASPIR ONLY       *,213.00
60191764,CHEMO IV CMPLX/TO 1 HR       *,367.00
60191772,IV COMPLEX/ADD'L HR          *,200.00
60191822,CHEMOTHERAPY IV SIMPLE       *,367.00
60191962,INCIDENT TO - NURSE VISIT,272.00
60191970,INCIDENT TO - PHARMD VISIT,272.00
60192085,WART DEST. CUTANEOUS,171.00
60192093,TRAY CRYOTHERAPY ANY AREA,104.00
60192820,DRESSING CHANGE              *,141.00
60192903,EKG TRACING,224.00
60193505,NEUMEGA 5MG,884.00
60193596,FOREIGN BODY REMOVAL EAR LT,223.00
60193745,GLUCOSE REAGENT STRIP,45.00
