Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
CANNULA INNER #8 DISP FEN,19,
"CARDIAC/PERITONEAL CATHETER, STND, BARIUM IMPREGNANTED, 90CM",575,
"CARDIAC/PERITONEAL CATHETER, BARIUM IMPREGNANTED, 120CM",575,
CAROTID ARTERY SHUNTS,86,
CASPAR DISTRACTION PIN 14MM,277,
CASPAR DISTRACTION PIN 16MM,277,
CASSETTE BLOOD WARMING STD,79,
CATH THORACIC 28F RT ANGL LF,29,
CATH THORACIC 32F RT ANGL,29,
CATH THORACIC 36F RT ANGL,29,
CATH THORACIC 20F LF,29,
CATH THORACIC 24F LF,29,
CATH THORACIC 28F LF,29,
CATH THORACIC 32F LF,29,
CATH THORACIC 36F LF,29,
"CATH TROCAR 10F 9 STRL""",69,
"CATH TROCAR 12F 9 LF STRL""",69,
"CATH TROCAR 20F 16 LF STRL""",69,
CATH MALE EXT LG FREEDOM,6,
CATH FOLEY 8F SILVER CTD,40,
CATH FOLEY 10F SILVER CTD,40,
CATH FOLEY 12F SILVER CTD,40,
CATH FOLEY 14F SILVER CTD,40,
CATH FOLEY 16F SILVER CTD,40,
CATH FOLEY 18F SILVER CTD,40,
CATH FOLEY 20F SILVER CTD,40,
CATH FOLEY 24F SILVER CTD,40,
CATH FOLEY 26F SILVER CTD,40,
CATH FOLEY 30CC 18F SIL CTD,42,
CATH FOLEY 30CC 20F SIL CTD,42,
CATH FOLEY 30CC 22F SIL CTD,42,
CATH FOLEY 30CC 26F SIL CTD,42,
CATH FOLEY 30CC 28F SIL CTD,42,
CATH FOLEY 30CC 30F SIL CTD,42,
CATH COUDE TIP 5CC 12F,66,
CATH COUDE TIP 5CC 16F,66,
CATH COUDE TIP 5CC 18F,66,
CATH COUDE TIP 5CC 20F,66,
CATH COUDE TIP 5CC 22F,66,
CATH FOLEY 5CC 16F RED,86,
CATH FOLEY 5CC 18F RED,86,
CATH FOLEY 30CC 18F CONT IRR,67,
CATH FOLEY 30CC 20F CONT IRR,65,
CATH FOLEY 30CC 22F CONT IRR,67,
CATH FOLEY 30CC 24F CONT IRR,65,
CATH FOLEY 3CC 10F SIL LF,18,
CATH FOLEY 3CC 8F SIL LF,23,
CATH FOLEY 5CC 12F SIL LF,17,
CATH FOLEY 5CC 14F SIL LF,17,
CATH FOLEY 5CC 16F SIL LF,17,
CATH ROBINSON 8F RED XRAY STRL,2,
CATH ROBINSON 10F RED XRAY STL,2,
CATH ROBINSON 12F RED XRAY STR,2,
CATH ROBINSON 14F RED STRL,17,
CATH ROBINSON 18F RED XRAY STL,2,
CATH WORD BARTHOLIN 10F,105,
"CATH IV 12Gx3 ANGIOCATH""",66,
"CATH IV 14Gx5-1/4 ANGIOCATH""",66,
"CATH IV 14Gx1.25 PROTECTIVE""",8,
"CATH IV 16Gx2 ACUVANCE""",8,
"CATH IV 16Gx1.25 GRAY W/ GUARD""",8,
"CATH IV 22Gx1 BLUE LF STRL""",9,
"CATH IV 20Gx1.25 PROTECTIVE""",8,
"CATH IV 24Gx.56 INSYTE AUTO""",13,
"CATH IV 22Gx1 PROTECTIVE""",8,
"CATH UMBILICAL 3.5F 15 POLY""",68,
"CATH UMBILICAL 5F 15 POLY""",68,
"CATH IV 18Gx1.25 GRN W/ GUARD""",8,
"CATH IV 18Gx1.75 GRN MET HUB""",13,
"CATH IV 22Gx1 INSYTE AUTO LF""",8,
CATH SWAN GANZ PACING,528,
CATH BROVIAC 2.7F SNGL,1311,
CATH SUCTION 10F REPLOGLE,40,
CATH NEONATAL 5F SURFACTANT,67,
CATH SUCTION 10F DELEE TIP,3,
CATH TRACHCARE 14F SHRT,61,
CATH TRACHCARE 14F LNG STD,68,
CATH SUCTION 14F DELEE TIP,2,
CATH NEONATAL 6F TRACH-CARE,63,
CATH HICKMAN 7F DBL LUMEN,1931,
CATH SNGL LUMEN 1.9Fx40CM,208,
CATH UMBILICAL 3.5F DBL LUMEN,171,
CATH UMBILICAL 5F DBL LUMEN,171,
CATH FOLEY 6F PED,117,
CATH PICC 1.9F,228,
"CATH IV 18Gx1.25 GRN MET HUB""",13,
"CATH IV 20Gx1.25 PINK LF STRL""",9,
"CATH IV 24Gx3/4 INSYTE AUTO""",8,
CATH BALLOON RIPENING CERV,195,
CATH BALLOON 500ML BAKIRI,1113,
CATH SUCTION 8F REPLOGLE,40,
"CATH IV 24Gx3/4 PROTECTIVE""",8,
CATH SUCTION 6F REPLOGLE,40,
CATH FOLEY 5CC 20F RED,86,
CATH SUCTION CLSD 12F DBL,68,
"CATH IV 18Gx2.5 INTROCAN""",86,
CATH CHOLANGIOGRAM 4F 40CM,212,
CATH BILARY 6F BALLOON,271,
CATH BILIARY BALLOON 5F,271,
CATH EMBOLECTOMY 3F,244,
CATH EMBOLECTOMY 4F,244,
CATH FOGARTY 5F EMBOLECTOMY,244,
CATH FOGARTY 6F EMBOLECTOMY,244,
"CATHETER CONNECTOR, 3-WAY",793,
"CATHETER CONNECTOR, STARIGHT",250,
"CATHETER CONNECTOR, RIGHT ANGLE",250,
CATHETER INTRODUCER,63,
CEMENT CATRIDGE KIT,1494,
"CERVICAL DISTRACTION PIN, 12MM",156,
"CERVICAL DISTRACTION PIN, 14MM",156,
"CERVICAL DISTRACTION PIN, 16MM",156,
CERVICAL SPINE LOCKING PLATE TI 80MM (72MM),4646,
CHANNEL DRAIN 15 FR. ROUND WITH TROCAR,58,
CHANNEL DRAIN 28FR. ROUND NO TROCAR,123,
CHANNEL DRAIN 7MM FLAT WITH TROCAR,58,
CLAMP UMBILICAL CORD LF,816,
CLICK'X PEDICLE SCREW 5.2MM TI DUAL CORE 40MM THREAD LENGTH,16382,
CLICK'X PEDICLE SCREW 8.0MM TI DUAL CORE 50MM THREAD LENGTH,10922,
CLICK'X LOW PROFILE TRANSCONNECTOR 31.5MM-34MM,5551,
CLICK'X 6.0MM TI CURVED SOFT ROD 55MM,4311,
CLICK'X 6.0MM TI SOFT ROD 50MM,2537,
CLICK'X 6.0MM TI SOFT ROD 75MM,3812,
CLICK'X 6.0MM TI SOFT ROD 100MM,5004,
CLICK'X 6.0MM TI SOFT ROD 125MM,5004,
CLICK'X 6.0MM TI SOFT ROD 150MM,5004,
CLICK'X 7.0MM TI PEDICLE SCREW DUAL CORE 40MM THREAD LENGTH,2730,
CLICK'X 6.2MM TI PEDICLE SCREW DUAL CORE 45MM THREAD LENGTH,2730,
CLICK'X TI LOCKING CAP FOR TI 3-D HEAD,1091,
CLICK'X TI 3-D HEAD FOR TI SCREWS,2495,
CLICK'X 6.2MM PEDICLE SCREW PREASSEMBLED 30MM THREAD LENGTH,5188,
CLICK'X 7.0MM PEDICLE SCREW PREASSEMBLED 35MM THREAD LENGTH,5188,
CLICK'X 8.0MM PEDICLE SCREW PREASSEMBLED 35MM THREAD LENGTH,5188,
CLICK'X 5.2MM PEDICLE SCREW PREASSEMBLED 30MM THREAD LENGTH,5188,
CLIPPER UMBILICAL CORD,50,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Drilling 12mm,1465,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Drilling 14mm,1465,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Drilling 16mm,1465,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Drilling 18mm,1465,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Drilling 20mm,1465,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Drilling 12mm,1723,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Drilling 14mm,1723,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Drilling 16mm,1723,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Drilling 18mm,1723,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Drilling 20mm,1723,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Tapping 12mm,1106,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Tapping 14mm,1106,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Tapping 16mm,1106,
CLSP 4.0mm TI Quick Lock Cancellous Screw Self-Tapping 18mm,1106,
CLSP 4.0MM TI QUICK LOCK CANCELLOUS SCREW SELF-TAPPING 20MM,1106,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Tapping 12mm,1407,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Tapping 14mm,1407,
CLSP 4.5MM TI QUICK LOCK CANCELLOUS SCREW SELF-TAPPING 16MM,1407,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Tapping 18mm,1407,
CLSP 4.5mm TI Quick Lock Cancellous Screw Self-Tapping 20mm,1407,
"COLD KNIFE, STRAIGHT BLADE",1070,
"COLD KNIFE, HOOK BLADE",1070,
"COLLAR UNIV 3 ECONOMY""",12,
COLLAR CERV ADLT X-TALL,116,
COLLAR CERV CHILD REG,116,
"COLLAR CERV L/C 2.5 S/D SML""",14,
COLLAR VISTA ADLT,200,
CONDYLAR 4.5MM LCP PLATE 6 HOLES/170MM/RIGHT,5665,
CONDYLAR 4.5MM LCP PLATE 8 HOLES/206MM/LEFT,5773,
CONDYLAR 4.5MM LCP CURVED PLATE 14 HOLES/314MM/LEFT,6300,
CONDYLAR 4.5MM LCP PLATE 18 HOLES/386MM/RIGHT,6556,
CONTOUR SOFT PERCUFLEX MATERIAL URETERAL STENT 7FR.X28CM,545,
CONTOUR CURVED CUTTER STAPLER 3.0MMX4.7MM,1733,
CORKSCREW 5.5,867,
CORKSCREW 5.5 WITH FIBERWIRE,798,
CORTICAL/CANCELLOUS STRUT,817,
CORTICAL PIN 2.7MM,919,
CORTICAL PIN 2.4MM,919,
COVERING STOMAHESIVE 4x4,8,
"COVER PROBE 5x96 W/GEL PK""",30,
"CR FLEX PROLONG ARTICULATING SURFACE C-H/7,10 BLU, 17MM",4387,
"CR-FLEX GSF PRECOAT FEMORAL, SIZE G-LEFT",13804,
"CR-Flex GSF Precoat Femoral, Size C-Left",13804,
"CR-Flex GSF Precoat Femoral, Size C-Right",13804,
"CR-Flex GSF Precoat Femoral, Size C-Left Minus",13804,
"CR-Flex GSF Precoat Femoral, Size C-Right Minus",13804,
"CR-Flex GSF Precoat Femoral, Size D-Left",13804,
"CR-Flex GSF Precoat Femoral, Size D-Right",13804,
"CR-Flex GSF Precoat Femoral, Size D-Left Minus",13804,
"CR-Flex GSF Precoat Femoral, Size D-Right Minus",13804,
"CR-Flex GSF Precoat Femoral, Size E-Left",13804,
"CR-Flex GSF Precoat Femoral, Size E-Right",13804,
"CR-Flex GSF Precoat Femoral, Size E-Left Minus",13804,
"CR-Flex GSF Precoat Femoral, Size E-Right Minus",13804,
"CR-Flex GSF Precoat Femoral, Size F-Left",13804,
"CR-Flex GSF Precoat Femoral, Size F-Right",13804,
"CR-Flex GSF Precoat Femoral, Size F-Left Minus",13804,
"CR-Flex GSF Precoat Femoral, Size F-Right Minus",13804,
"CR-Flex GSF Precoat Femoral, Size G-Right",13804,
"CR-Flex GSF Precoat Femoral, Size G-Left Minus",13804,
"CR-Flex GSF Precoat Femoral, Size G-Right Minus",13804,
CRANIAL ACCESS KIT #1,1756,
CRANIAL ACCESS KIT #2,1423,
CRANIOPLASTIC KIT,4197,
"CSF- VENTRICULAR RESERVOIR, 12MM, CONVERTIBLE",1715,
"CSF- VENTRICULAR RESERVOIR, BURR HOLE, 12MM",1307,
"CSF- VENTRICULAR RESERVOIR, 28MM, BOTTOM INLET",1307,
"CSF- VENTRICULAR RESERVOIR, SIDE INLET, 28MM",1307,
"CSF- FLOW CONTROL VALVE, CONTOURED SMALL, LOW PRESSURE",3056,
"CSF- Flow Control Valve, Contoured Small, Medium Pressure",3056,
"CSF- Flow Control Valve, Contoured Regular, Medium Pressure",3056,
"CSF- Flow Control Valve, Contoured Regular, Low Pressure",3056,
"CSF- Flow Control Valve, Contoured Small, High Pressure",3056,
"CSF- Flow Control Valve, Contoured Regular, High Pressure",3056,
"CSF- LUMBOPERITONEAL RESERVOIR, 30MM",1133,
"CSF- LUMBOPERITONEAL CATHETER SYSTEM, 84CM",2322,
CURVED CUTTER STAPLER RELOAD (THICK),975,
Canale Vent Tube with Tab 1.14mm Silicone,69,
"Cancellous Chips, 15cc",1106,
"Cancellous Chips, 30cc",1868,
Cannulated Coring Reamer with Collared Pin 11mm,947,
Cannulated Coring Reamer with Collared Pin 10mm,947,
Cannulated Coring Reamer with Collared Pin 9mm,947,
Cannulated Coring Reamer with Collared Pin 8mm,947,
Cannulated Interference Screw with Disposable Sheath 7x25mm,398,
Cannulated Interference Screw with Disposable Sheath 8x20mm,398,
Capio Suture Capturing Device,1750,
Carr-Locke Injection Needle 25g,268,
Catheter Adaptor,3,
Cervical Spine Locking Plate TI 22mm (14mm),3663,
Cervical Spine Locking Plate TI 24mm (16mm),3663,
Cervical Spine Locking Plate TI 26mm (18mm),3663,
Cervical Spine Locking Plate TI 28mm (20mm),3663,
Cervical Spine Locking Plate TI 30mm (22mm),3663,
Cervical Spine Locking Plate TI 32mm (24mm),3663,
Cervical Spine Locking Plate TI 34mm (26mm),3663,
Cervical Spine Locking Plate TI 36mm (28mm),4106,
Cervical Spine Locking Plate TI 39mm (31mm),4106,
Cervical Spine Locking Plate TI 42mm (34mm),4106,
Cervical Spine Locking Plate TI 45mm (37mm),4106,
Cervical Spine Locking Plate TI 48mm (40mm),4106,
Cervical Spine Locking Plate TI 51mm (43mm),4106,
Cervical Spine Locking Plate TI 54mm (46mm),4106,
Cervical Spine Locking Plate TI 53mm (45mm),4303,
Cervical Spine Locking Plate TI 56mm (48mm),4303,
Cervical Spine Locking Plate TI 59mm (51mm),4303,
Cervical Spine Locking Plate TI 62mm (54mm),4303,
Cervical Spine Locking Plate TI 65mm (57mm),4303,
Cervical Spine Locking Plate TI 68mm (60mm),4303,
Cervical Spine Locking Plate TI 71mm (63mm),4303,
Cervical Spine Locking Plate TI 74mm (66mm),4303,
Cervical Spine Locking Plate TI 77mm (69mm),4303,
Cervical Spine Locking Plate TI 72mm (64mm),4646,
Cervical Spine Locking Plate TI 76mm (68mm),4646,
Cervical Spine Locking Plate TI 84mm (76mm),4646,
Cervical Spine Locking Plate TI 88mm (80mm),4646,
Cervical Spine Locking Plate TI 92mm (84mm),4646,
Chiou SP Tube Introducer Set,424,
Classic ERCP Catheter 5.5Fr./200cm Radiopaque Bullet,274,
Click'X Pedicle Screw 5.2mm TI Dual Core 30mm Thread Length,16382,
Click'X Pedicle Screw 5.2mm TI Dual Core 35mm Thread Length,16382,
Click'X Pedicle Screw 5.2mm TI Dual Core 45mm Thread Length,16382,
Click'X Pedicle Screw 8.0mm TI Dual Core 30mm Thread Length,5460,
Click'X Pedicle Screw 8.0mm TI Dual Core 35mm Thread Length,5460,
Click'X Pedicle Screw 8.0mm TI Dual Core 40mm Thread Length,10922,
Click'X Pedicle Screw 8.0mm TI Dual Core 45mm Thread Length,10922,
Click'X Pedicle Screw 8.0mm TI Dual Core 55mm Thread Length,5460,
Click'X TI Low Profile Transconnector 35mm-41mm for 6.0mm Rods,5551,
Click'X TI Low Profile Transconnector 42mm-55mm for 6.0mm Rods,5551,
Click'X TI Low Profile Transconnector 56mm-83mm for 6.0mm Rods,5551,
Click'X 6.0mm TI Curved Soft Rod 45mm,4311,
Click'X 6.0mm TI Curved Soft Rod 65mm,4311,
Click'X 6.0mm TI Curved Soft Rod 75mm,4311,
Click'X 6.0mm TI Curved Soft Rod 85mm,4311,
Click'X 7.0mm TI Pedicle Screw Dual Core 30mm Thread Length,2730,
Click'X 7.0mm TI Pedicle Screw Dual Core 35mm Thread Length,2730,
Click'X 7.0mm TI Pedicle Screw Dual Core 45mm Thread Length,2730,
Click'X 7.0mm TI Pedicle Screw Dual Core 50mm Thread Length,2730,
Click'X 7.0mm TI Pedicle Screw Dual Core 55mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Dual Core 30mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Dual Core 35mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Dual Core 40mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Dual Core 50mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Dual Core 55mm Thread Length,2730,
Click'X 6.2mm TI Pedicle Screw Preassembled 35mm Thread Length,5188,
Click'X 6.2mm TI Pedicle Screw Preassembled 40mm Thread Length,5188,
Click'X 6.2mm TI Pedicle Screw Preassembled 45mm Thread Length,5188,
Click'X 6.2mm TI Pedicle Screw Preassembled 50mm Thread Length,5188,
Click'X 6.2mm TI Pedicle Screw Preassembled 55mm Thread Length,5188,
Click'X 7.0mm TI Pedicle Screw Preassembled 30mm Thread Length,5188,
Click'X 7.0mm TI Pedicle Screw Preassembled 40mm Thread Length,5188,
Click'X 7.0mm TI Pedicle Screw Preassembled 45mm Thread Length,5188,
Click'X 7.0mm TI Pedicle Screw Preassembled 50mm Thread Length,5188,
Click'X 7.0mm TI Pedicle Screw Preassembled 55mm Thread Length,5188,
Click'X 8.0mm TI Pedicle Screw Preassembled 30mm Thread Length,5188,
Click'X 8.0mm TI Pedicle Screw Preassembled 40mm Thread Length,5188,
Click'X 8.0mm TI Pedicle Screw Preassembled 45mm Thread Length,5188,
Click'X 8.0mm TI Pedicle Screw Preassembled 50mm Thread Length,5188,
Click'X 8.0mm TI Pedicle Screw Preassembled 55mm Thread Length,5188,
Click'X 5.2mm TI Pedicle Screw Preassembled 35mm Thread Length,5188,
Click'X 5.2mm TI Pedicle Screw Preassembled 40mm Thread Length,5188,
Click'X 5.2mm TI Pedicle Screw Preassembled 45mm Thread Length,5188,
"Coated Vicryl Suture Undyed Braided, Size 2-0",27,
"Coated Vicryl Suture Undyed Braided, Size 0",37,
Cobalt HV Bone Cement,243,
Coil Sheath Compatible Lithotriptor 3.9mm/900mm,2257,
Collar Button Vent Tube 1.27mm Ultrasil Silicone,48,
Column Drape Da Vinci Robot,18,
Combitube 41Fr. Esophageal Tracheal Airway,249,
Combitube 37Fr. Esophageal Tracheal Airway,249,
Concise Cement Sculps Kit,282,
Condylar 4.5mm LCP Plate 6 Holes/170mm/Left,5665,
Condylar 4.5mm LCP Plate 8 Holes/206mm/Right,5773,
Condylar 4.5mm LCP Curved Plate 10 Holes/242mm/Left,6043,
Condylar 4.5mm LCP Curved Plate 10 Holes/242mm/Right,6043,
Condylar 4.5mm LCP Curved Plate 12 Holes/278mm/Left,6171,
Condylar 4.5mm LCP Curved Plate 12 Holes/278mm/Right,6171,
Condylar 4.5mm LCP Curved Plate 614Holes/314mm/Right,6300,
Condylar 4.5mm LCP Curved Plate 16 Holes/350mm/Left,6422,
Condylar 4.5mm LCP Curved Plate 16 Holes/350mm/Right,6422,
Condylar 4.5mm LCP Curved Plate 18 Holes/386mm/Left,6556,
Continuous Epideral Anesthesia Tray,107,
Contour Soft Percuflex Material Ureteral Stent 6Fr.x24cm,545,
Contour Soft Percuflex Material Ureteral Stent 6Fr.x26cm,545,
Contour Soft Percuflex Material Ureteral Stent 6Fr.x28cm,545,
Contour Soft Percuflex Material Ureteral Stent 7Fr.x24cm,545,
Contour Soft Percuflex Material Ureteral Stent 7Fr.x26cm,545,
Cook Airway Exchange Catheter 8.0Fr./45cm,228,
Cook Airway Exchange Catheter 11.0Fr./83cm,228,
Cook Airway Exchange Catheter 14.0Fr./83cm,228,
Cook Airway Exchange Catheter 19.0Fr./83cm,228,
Cotton-Leung Biliary Stent 8.5Fr./5cm,226,
Cotton-Leung Biliary Stent 8.5Fr./7cm,226,
Cotton-Leung Biliary Stent 8.5Fr./9cm,226,
Cotton-Leung Biliary Stent 8.5Fr./10cm,226,
Cotton-Leung Biliary Stent 8.5Fr./12cm,226,
Cotton-Leung Biliary Stent 8.5Fr./15cm,226,
Cotton-Leung Biliary Stent 10Fr./5cm,226,
Cotton-Leung Biliary Stent 10Fr./7cm,226,
Cotton-Leung Biliary Stent 10Fr./9cm,226,
Cotton-Leung Biliary Stent 10Fr./10cm,226,
Cotton-Leung Biliary Stent 10Fr./12cm,226,
Cotton-Leung Biliary Stent 10Fr./14cm,226,
Cotton-Leung Biliary Stent 10Fr./15cm,226,
Cotton-Leung Sof-Flex Biliary Stent 10Fr./7cm,226,
"Covaderm Adhesive Dressing, 4 in. x 10 in.",7,
"Crushed Cancellous, 30cc",2537,
Crystal Cannula 5.75mm x 7cm,347,
"DBX MIX, 5CC",4140,
"DBX MIX, 10CC",6480,
"DBX PUTTY, 1CC",832,
"DBX Putty, 5cc",3413,
"DBX PUTTY, 10CC",5249,
"DBX PASTE, 5CC",3413,
DCS PLATE 95° 10 HOLES/178MM,3315,
DCS PLATE 95° 12 HOLES/210MM,3744,
DCS PLATE 95° 14 HOLES/242MM,3744,
DCS PLATE 95° 16 HOLES/274MM,3992,
DCS PLATE 95° 6 HOLES/114MM,3315,
DCS PLATE 95° 8 HOLES/146MM,3315,
"DELTA BURR HOLE VALVE, 12MM, PERFORMANCE LEVEL 1",5149,
DERMABOND TOPICAL SKIN ADHESIVE,1,
DERMACARRIES II SKIN GRAFT CARRIERS 3 TO 1,102,
DHS 2.5MM THREADED GUIDE WIRE SPADE POINT 230MM,235,
DHS PLATE-STANDARD BARREL 135° 4 HOLES/78MM,1850,
DHS Plate-Standard Barrel 135° 5 Holes/94mm,1850,
DHS Plate-Standard Barrel 135° 6 Holes/110mm,1850,
DHS Plate-Standard Barrel 140° 4 Holes/78mm,1850,
DHS PLATE-STANDARD BARREL 140° 5 HOLES/94MM,1850,
DHS Plate-Standard Barrel 140° 6 Holes/110mm,1850,
DHS PLATE-STANDARD BARREL 145° 4 HOLES/78MM,1850,
DHS Plate-Standard Barrel 145° 5 Holes/94mm,1850,
DHS Plate-Standard Barrel 145° 6 Holes/110mm,1850,
DHS PLATE-STANDARD BARREL 505° 4 HOLES/78MM,1850,
DHS PLATE-STANDARD BARREL 150° 5 HOLES/94MM,1850,
DHS Plate-Standard Barrel 150° 6 Holes/110mm,1850,
DHS PLATE-SHORT BARREL 135° 4 HOLES/78MM,1850,
DHS PLATE-SHORT BARREL 150° 4 HOLES/78MM,1850,
DHS/DCS 4.5MM CORTEX SCREW SELF TAPPING 32MM,111,
DHS/DCS Lag Screw 12.7mm Thread/100mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/105mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/110mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/115mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/120mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/125mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/130mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/135mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/140mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/145mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/65mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/70mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/75mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/80mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/85mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/90mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/50mm,1180,
DHS/DCS LAG SCREW 12.7MM THREAD/55MM,1180,
DHS/DCS Lag Screw 12.7mm Thread/60mm,1180,
DHS/DCS Lag Screw 12.7mm Thread/95mm,1180,
DHS/DCS Compression Screw 36mm,151,
"DIGIT TRAP FINGER GRASPING DEVICE, LG.",69,
"DILATOR SET 8.0,12.0,16.0,20.0FR.",222,
DISPOSABLE ACTIVE CORD,153,
DISPOSABLE KIT FOR BIO-TENODESIS SCREW,606,
DISPOSABLE HIGH FLOW INSUFFLATOR TUBE SET,70,
DISPOSABLE CRANIAL PERFORATOR WITH HUDSON END MINI 11/7MMR,772,
DISPOSABLE REFLECTIVE MARKER SPHERES,96,
DISTAL RADIUS 2.4MM VA LOCKING SCREW STARDRIVE 22MM,438,
DISTAL RADIUS LOCKING PEGS T7 2.0X16MM,451,
DISTAL RADIUS 0.045IN. (1.143MM) K-WIRE WITH LENGTH MARKINGS,130,
DISTAL RADIUS PARTIALLY THREADED BONE SCREW T7 2.7X16,617,
DISTAL RADIUS BONE SCREW T7 2.7X20MM,491,
DISTAL RADIUS LOCKING SCREWS T7 2.7X14MM,617,
DISTAL RADIUS DORSAL SMARTLOCK PLATE WIDE LEFT X LONG,5038,
DISTAL RADIUS VOLAR SMARTLOCK PLATE NARROW SHORT,3672,
DISTAL RADIUS RADIAL COLUMN SMARTLOCK PLATE SHORT,3016,
DISTAL RADIUS ULNAR COLUMN SMARTLOCK PLATE SHORT RIGHT,3016,
DISTAL RADIUS K-WIRE WITH 17MM STOP,130,
"DISTAL POSTERIOR/LATERAL FIBULAR PLATES, 8 HOLE, LEFT, 116MM",1940,
"DISTAL LATERAL FIBULAR PLATES, 18 HOLE, LEFT, 219MM",2932,
"DISTAL POSTERIOR/LATERAL HUMERAL PLTE, 12 HOLE, RIGHT, 153MM",3237,
"DISTAL SMALL MEDIAL HUMERAL PLATE, 12 HOLE, 79MM",1841,
DRAINAGE UNIT THORA-SEAL III,215,
"DRAIN PENROSE 1/4x12 STRL LTX""",3,
"DRAIN PENROSE 1/4x18 STRL LTX""",3,
DRAIN PENROSE 1/2x12 STRL,3,
"DRAIN PENROSE 1x18 STRL LTX""",3,
DRESSING EPISTAXIS LG,167,
"DRILL-FREE MXDRV MICRO EMERG SCRW, 1.8MM X 5MM, TI-6AL-4V",172,
"DRILL-FREE MAXDRIVE MICRO EMERGENCY SCREW, 1.8MM X 5MM",172,
"DRILL-FREE MAXDRIVE MICRO SCREW, 1.5MM X 7MM",1240,
DRSG ULCER COMFEEL CONTOUR,18,
DRSG HVY DRAINAGE,8,
"DRSG ALGINATE 12 SORBSAN""",28,
DURAGEN PLUS DURAL REGENERATION MATRIX 4IN.X5IN. 10CMX12.5CM,5107,
DURAGEN DURAL GRAFT MATRIX 4IN.X5IN. 10CMX12.5CM,4637,
DUREPAIR DURA REGENERATION MATRIX 5X8,12450,
DYNAMIZATION CLIP FOR LARGE COMBINATION CLAMP,387,
DYONICS 2.9MM FULL RADIUS BLADE,314,
DYONICS 25 FLUID MANAGMENT SYSTEM DISPOSABLE INFLOW TUBE SET,232,
DeBakey Forceps (Robotics),200,
Dermacarries II Skin Graft Carriers 1.5 to 1,111,
"Dermabond Topical Skin Adhesive, 0.7 mL 12 Ea",64,
"Dermabond Topical Skin Adhesive, 0.7 mL 6 Ea",67,
"Dermabond Mini, Topical Skin Adhesive",39,
Digit Trap Finger Grasping Device,61,
Disposable Cranial Perforator with Hudson End 14/11mmR,596,
Disposable Vein Stripper,117,
Disposable Fallope Ring Band Applicator Kit,728,
DistaFlo Bypass Graft Flex Small Bead Small Cuff 6mm 60cm,8527,
DistaFlo Bypass Graft with Flex Small Beading 6mm 70cm,8836,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 6mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 8mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 10mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 12mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 14mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 16mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 18mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 20mm,380,
Distal Radius 2.4mm Locking Screw Self-Tapping with Stardrive Recess 22mm,380,
