Standard Hospital Charge, Unit Price 
"PURAPLY/ PURAPLY AM, PER SQ CM", $452.00 
"PURE TONE AUDIOMETRY, AIR", $110.00 
"PURE TONE HEARING TEST, AIR", $60.00 
PUSHER  NEWTON RED-COOK, $44.00 
PUSHER NEWTON PURPLE-COOK, $43.00 
QUANT DIFFERENTIAL PULMONARY PERFUSION & VENTILATION W/WO IMAGING," $1,375.00 "
QUANT DIFFERENTIAL PULMONARY PERFUSION W/WO IMAGING," $1,009.00 "
QUANT MBF - PET - REST & STRESS, $185.00 
QUTENZA-CAPSAICIN PATCH ADMINISTRATION, $793.00 
R & L HRT TRANSSEPTAL CATH," $10,244.00 "
R& L HEART RETROGRD CATH," $11,609.00 "
"R&L HEART TRANSSEPTAL CATH, EXISTING OPENING, W/ OR W/OUT LEFT CATH"," $9,534.00 "
RAD CRYOABLATION SOFT TISSUE MUSCLE," $1,521.00 "
RAD TRMT COMPLEX," $1,382.00 "
RAD TRTMT INTERMEDIATE, $862.00 
RAD TRTMT SIMPLE, $620.00 
RADIAL ARTERY COMPRESSION DEVICE, $179.00 
RADIOELEMENT HANDLING, $581.00 
RADIOFREQ ABLATION ADRENAL MASS," $4,740.00 "
RADIOFREQUENCEY ABLATION OF BILE DUCTS," $2,368.00 "
"RADIOLOGIC GUIDED,PERCUTANEOUS DRAINAGE,W/ CATH PLACE", $825.00 
RADIOLOGY PORT FILM(S), $407.00 
RADIONICS ABLATION NEEDLE," $4,952.00 "
"RADIOPHARM THERAPY, BY ORAL ADMIN", $800.00 
RADONC CUSTOM. IMMOBILIZATION DEVICE," $1,880.00 "
RAPID DESENSITIZATION EACH, $390.00 
RAPID RESPONSE AIRWAY SUPPORT, $42.00 
RB-BOARDER BABY-BONE MARROW LOW,
RB-BOARDER BABY-INTENSIVE CARE,
RB-BOARDER BABY-ISOLATION GENERAL CARE,
RB-BOARDER BABY-ISOLATION ICU,
RB-BOARDER BABY-ISOLATION MODERATE CARE,
RB-BOARDER BABY-ISOLATION VENT,
RB-BOARDER BABY-MODERATE CARE,
RB-BOARDER BABY-PRIVATE,
RB-BOARDER BABY-TELEMETRY-PRIVATE,
RB-BOARDER BABY-VENTILATOR,
RB-INPATIENT- INTENSIVE CARE,
RB-INPATIENT- ISOLATION ICU,
RB-INPATIENT- ISOLATION MODERATE CARE,
RB-INPATIENT MH 9NEST,
RB-INPATIENT- MODERATE CARE,
RB-INPATIENT- PRIVATE,
RB-INPATIENT-BONE MARROW HIGH,
RB-INPATIENT-BONE MARROW LOW,
RB-INPATIENT-INTENSIVE CARE,
RB-INPATIENT--ISOLATION GENERAL CARE,
RB-INPATIENT--ISOLATION ICU,
RB-INPATIENT--ISOLATION MODERATE CARE,
RB-INPATIENT--ISOLATION TELEMETRY,
RB-INPATIENT-ISOLATION VENT,
RB-INPATIENT-MODERATE CARE,
RB-INPATIENT-PRIVATE,
RB-INPATIENT-SEMI PRIVATE,
RB-INPATIENT-TELEMETRY-PRIVATE,
RB-INPATIENT-TELEMETRY-SEMI,
RB-INPATIENT-VENTILATOR,
RB-INPATIENT-WARD,
RB-NEWBORN-NURSERY,
RB-PSYCH INPATIENT-ISOLATION GENERAL CARE,
RB-PSYCH INPATIENT-ISOLATION MODERATE CARE,
RB-PSYCH INPATIENT-MODERATE CARE,
RB-PSYCH INPATIENT--PRIVATE,
RB-PSYCH INPATIENT-SEMI PRIVATE,
RB-REHAB INPATIENT-ISOLATION GENERAL CARE,
RB-REHAB INPATIENT-PRIVATE,
RB-REHAB INPATIENT-REHAB HIGH,
RB-REHAB INPATIENT-REHAB LOW,
RB-REHAB INPATIENT-SEMI PRIVATE,
RB-SEMI PRIVATE MIDNIGHT,
RECONSTRUCT CT ANGIO AORTA," $1,852.00 "
"RECONSTRUCT EYELID,SECOND STAGE"," $2,288.00 "
RECONSTRUCTION OF NAIL BED, $571.00 
"RECORD FLUID PRESSURE,MUSCLE", $796.00 
RECOV PHASE 1 1ST 30 MIN, $617.10 
RECOV PHASE 1 EA ADDTL MIN, $9.68 
RECOV PHASE 2 1ST 30 MIN, $541.20 
RECOV PHASE 2 EA ADDTL MIN, $8.47 
RECREATIONAL THERAPY 15MIN, $101.00 
RED BLOOD CELL LR ALQT 50ML, $468.00 
RED BLOOD CELLS LR EA UNIT, $840.00 
RED BLOOD CELLS LR IRR EACH UNIT, $845.00 
RED BLOOD CELLS LR IRR SPLIT, $760.00 
RED WHITE BLUE REPLCMNT-COO, $54.00 
REDUCE TEMPOROMANDIBULAR DISLOCATION, $269.00 
REDUCTION OF EYE PROSTHESIS, $439.00 
REFILL & MAINT IMPLT PUMP/R, $505.00 
REFILL/MAINTAIN IMPL PUMP M, $416.00 
REFILL/MAINTAIN IMPLANT PUM, $489.00 
REFL/MAINT IMPLT PUMP W/ANA, $587.00 
REFL/MAINTN IMPL PUMP W/ANA, $354.00 
REFURBISHED DONJOY DEFIANCE, $411.00 
REHAB SHOWER COMMODE DAILY, $63.00 
REHAB SHOWER COMMODE W/T DA, $81.00 
REMOVABLE SOFT INTERFACE  R, $173.00 
REMOVAL AURAL POLYP," $1,665.00 "
REMOVAL BILIARY DRAINAGE CATH," $1,140.00 "
REMOVAL DEEP IMPLANT," $3,003.00 "
REMOVAL DRUG IMPLANT DEVICE, $331.00 
REMOVAL DUCT GALLBLADDER CALCULI," $1,263.00 "
REMOVAL FOREIGN BODY MSCL TENDON SHEATH SIMPLE," $1,694.00 "
"REMOVAL FOREIGN BODY, EYE, CORNEA, NO SLIT", $386.00 
"REMOVAL FOREIGN BODY, EYE, CORNEA, SLIT LAMP", $360.00 
"REMOVAL FOREIGN BODY, EYE, EMBED CONJUNCTIVAL", $413.00 
"REMOVAL FOREIGN BODY, EYE, SUPERF CONJUNCTIVAL", $277.00 
"REMOVAL FOREIGN BODY,MOUTH,SIMPLE", $744.00 
REMOVAL FOREIGN BODY-EXTERNAL AUDITORY CANAL, $150.00 
REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT, $202.00 
REMOVAL IMPACTED EAR WAX, $108.00 
REMOVAL OF ASD CLOSURE DEVICE," $3,226.00 "
REMOVAL OF CONTRACEPTIVE CAPSULE, $748.00 
REMOVAL OF FOREIGN BODY DEEP/COMPLICATED," $2,782.00 "
REMOVAL OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF," $1,686.00 "
REMOVAL OF LEADLESS PACEMAKER-VENTRICULAR," $7,675.00 "
REMOVAL OF NAIL BED, $704.00 
REMOVAL OF NAIL PLATE, $191.00 
REMOVAL OF RECTAL MARKER," $1,168.00 "
REMOVAL OF SALIVARY STONE," $2,187.00 "
"REMOVAL OF SKIN TAGS(NB EXTRA DIGIT), UP TO 15", $232.00 
"REMOVAL OF SKIN TAGS, EACH ADD 10", $233.00 
REMOVAL OF SPERM DUCT(S)," $3,743.00 "
REMOVAL PERCUTANEOUS VAD DIFFERENT SESSION, $715.00 
"REMOVAL SUBMANDIBULAR STONE,COMPLICATED"," $2,200.00 "
REMOVAL SUBQ DEFIBRILLATOR ELECTRODE," $4,092.00 "
REMOVAL SUPERFICIAL IMPLANT," $2,471.00 "
"REMOVAL TUNNELED CV CATH, W/O PORT/PUMP"," $1,316.00 "
"REMOVAL TUNNELED CVAD, W/ PORT/PUMP"," $1,497.00 "
REMOVAL W/ REINSERT DRUG IMPLANT DEVICE, $515.00 
REMOVE ADDITIONAL NAIL PLATE, $105.00 
REMOVE AORTIC BALLOON DEVICE, $511.00 
"REMOVE BLADDER STONE,<2.5CM"," $3,506.00 "
"REMOVE CARD EVENT RECORDER,PATIENT-ACTIVATED"," $2,425.00 "
REMOVE CERCLAGE SUTURE," $2,273.00 "
"REMOVE EYELID FOREIGN BODY,EMBEDDED", $268.00 
REMOVE EYELID LESION (NOT CHALAZION)," $1,477.00 "
"REMOVE FOOT FOREIGN BODY,DEEP"," $2,027.00 "
"REMOVE FOOT FOREIGN BODY,SUBCUTANEOUS"," $1,145.00 "
REMOVE FOREIGN BODY COMPLICATED," $2,443.00 "
REMOVE FOREIGN BODY; INTRANASAL, $263.00 
REMOVE INTRAUTERINE DEVICE, $290.00 
"REMOVE PACER/ELECTRODE,TRANSVENOUS EXTRACTION"," $5,030.00 "
REMOVE PACING CVDFB PULSE GEN &REPLACE PLSE GEN DUAL LEAD," $39,237.00 "
REMOVE PACING CVDFB PULSE GEN &REPLACE PLSE GEN MULTI LEAD," $39,691.00 "
REMOVE PACING CVDFB PULSE GEN &REPLACE PLSE GEN SNGL LEAD," $41,256.00 "
REMOVE PERM PM PULSE GEN W/REPL PULSE GEN 2 LEAD SYS," $14,743.00 "
REMOVE PERM PM PULSE GEN W/REPL PULSE GEN MULT LEAD," $18,779.00 "
REMOVE PERM PM PULSE GEN W/REPL PULSE GEN SINGLE LEAD," $16,336.00 "
REMOVE PERMANENT CANNULA/CATHETER," $3,853.00 "
REMOVE PERMANENT PACER GENERATOR," $6,977.00 "
REMOVE PHARYNX FOREIGN BODY, $425.00 
"REMOVE PULSE GENERATOR,SINGLE/DUAL"," $3,944.00 "
REMOVE RENAL TUBE W/ FLUORO GUIDE, $932.00 
REMOVE SUTURES W ANESTHESIA OTHER SURGEON," $1,569.00 "
"REMOVE TRANSVENOUS PACER ELECTRODE,1 LEAD"," $4,290.00 "
"REMOVE TRANSVENOUS PACER ELECTRODE,2 LEAD"," $4,160.00 "
"REMOVE URETER STENT, PERCUTANEOUS"," $1,993.00 "
REMOVE URETERAL STENT VIA TRANSURETHRAL," $3,380.00 "
"REMOVE,OBSTRUCTIVE MATERIAL,CVA DEVICE VIA SEPARATE VENOUS", $955.00 
REMOVE/REVISION BOOT/BODY CAST, $204.00 
REMOVE/REVISION FULL ARM/LEG CAST, $417.00 
"RENAL IMAGING, MORPH W/ FLOW/FUNC"," $1,275.00 "
"RENAL IMAGING, MORPH W/ FLOW/FUNC, PHARM, MULTI"," $1,646.00 "
"RENAL IMAGING, MORPH W/ FLOW/FUNC, PHARM, SINGLE"," $1,630.00 "
"RENAL IMAGING, MORPHOLOGY, TOMOGRAPHIC"," $1,475.00 "
"REP,FACE,GENITAL(NON OB),HAND,FT EA ADDTL 5CM OR LESS"," $1,000.00 "
REPAIR BROW PTOSIS," $3,096.00 "
"REPAIR CMPLEX WND FOREHD,CHK,CHIN,MTH,NCK, AXILLAE,GENIT(NON OB),HAND,FT, 2.6 CM-7.5 CM", $728.00 
"REPAIR COMPLEX WOUND EYELID,NOSE,EAR,LIPS 1.1-2.5 CM", $652.00 
"REPAIR COMPLEX WOUND EYELID,NOSE,EAR,LIPS 2.5-7.5 CM", $750.00 
"REPAIR COMPLEX WOUND EYELID,NOSE,EAR,LIPS,EACH ADDTL 5 CM", $560.00 
"REPAIR COMPLEX WOUND SCALP,ARMS,LEGS,1.1-2.5 CM", $710.00 
"REPAIR COMPLEX WOUND SCALP,ARMS,LEGS,2.6-7.5 CM", $538.00 
"REPAIR COMPLEX WOUND SCALP,ARMS,LEGS,EACH ADDTL 5 CM", $497.00 
REPAIR COMPLEX WOUND TRUNK 1.1-2.5 CM, $651.00 
REPAIR COMPLEX WOUND TRUNK 2.6-7.5 CM, $883.00 
REPAIR COMPLEX WOUND TRUNK EACH ADDTL 5 CM, $638.00 
"REPAIR CORNEA LACERATION,APPLY GLUE"," $2,363.00 "
"REPAIR CVA CATH WITH PORT/PUMP, CENTRAL/PERI INSERT"," $1,415.00 "
"REPAIR DETACHED RETINA,INJECT AIR/GAS"," $2,525.00 "
"REPAIR ELECTRODE,PACING,DUAL"," $6,017.00 "
"REPAIR ELETRODE,PACING,SINGLE"," $6,353.00 "
"REPAIR EXTENSOR TENDON, FINGER,W/OUT GRAFT, EACH"," $3,280.00 "
"REPAIR INTERMED WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 2.5-5.0CM", $493.00 
"REPAIR INTERMED WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 5.1-7.5CM", $511.00 
"REPAIR INTERMED WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 7.6-12.5CM", $493.00 
"REPAIR INTERMEDIATE WOUND FACE,EARS,EYELID,NOSE,LIPS,MUC MEM <2.5CM", $438.00 
"REPAIR INTERMEDIATE WOUND SCALP,AXILLAE,TRUNK,EXTREMITY <2.5 CM", $510.00 
"REPAIR INTERMEDIATE WOUND SCALP,AXILLAE,TRUNK,EXTREMITY 12.6-20 CM", $501.00 
"REPAIR INTERMEDIATE WOUND SCALP,AXILLAE,TRUNK,EXTREMITY 2.6-7.5CM", $581.00 
"REPAIR INTERMEDIATE WOUND SCALP,AXILLAE,TRUNK,EXTREMITY 20.1-30.0CM", $540.00 
"REPAIR INTERMEDIATE WOUND SCALP,AXILLAE,TRUNK,EXTREMITY 7.6-12.5CM", $566.00 
"REPAIR INTRMEDIATE WND NECK,HND,FT,EXTERNAL GENITALIA(NON OB) 2.6-7.5 CM", $509.00 
"REPAIR INTRMEDIATE WND NECK,HND,FT,EXTERNAL GENITALIA(NON OB)<2.5 CM", $535.00 
"REPAIR INTRMEDIATE WND NECK,HND,FT,EXTERNAL GENITALIA(NON OB)7.6-12.5 CM", $485.00 
"REPAIR LIP, FULL THICKNESS; UP TO HALF VERTICAL HEIGHT"," $1,457.00 "
"REPAIR LIP,FULL THICK,VERMILION"," $1,484.00 "
REPAIR NASAL CAVITY STENOSIS," $5,638.00 "
REPAIR ORTHO DEVICE LABOR 1, $71.00 
REPAIR PULMONARY ARTERY STENOSIS," $1,317.00 "
"REPAIR SIMPLE WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM <2.5 CM", $376.00 
"REPAIR SIMPLE WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 2.6-5 CM", $501.00 
"REPAIR SIMPLE WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 20.1-30 CM", $467.00 
"REPAIR SIMPLE WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 5.1-7.5 CM", $501.00 
"REPAIR SIMPLE WOUND FACE,EAR,EYELID,NOSE,LIP,MUC MEM 7.6-12.5 CM", $672.00 
"REPAIR SMPL WND SCALP,NECK,AXIL,EXT GENIT,TRNK,EXTREMITY 7.6-12.5CM", $501.00 
"REPAIR SMPL WND SCALP,NECK,AXIL,EXT GENIT,TRUNK,EXTREMITY 2.6-7.5CM", $390.00 
"REPAIR SMPL WOUND SCALP,NECK,AXIL,EXT GENIT,TRUNK,EXTREMITY <2.5CM", $349.00 
"REPAIR SMPL WOUND SCALP,NECK,AXIL,EXT GENIT,TRUNK,EXTREMITY 12.6-20", $727.00 
REPAIR SPICA/BODY/JACKET CAST, $211.00 
"REPAIR TONGUE LACERATION,<2.6CM", $343.00 
"REPAIR TONGUE LACERATION,2.6CM+/COMPLX", $684.00 
"REPAIR TUNNELED/NON-TUN CVA CATH W/O PORT/PUMP, CENTRAL/PERI INSERT", $879.00 
REPAIR TYMPANIC MEMBRANE," $2,785.00 "
"REPAIR,DETACHED RETINA,PHOTOCOAGULATION"," $1,196.00 "
REPEAT DRAINAGE OF HEART SAC," $1,572.00 "
REPETITIVE STIMULATION  EA, $344.00 
REPL SOCKET BELOW ELB/WRIST," $2,511.00 "
REPLACE AORTIC VALVE OPEN AXILLRY ARTERY APPROACH; CATH LAB," $20,323.00 "
REPLACE AORTIC VALVE OPEN TRANSAORTIC APPROACH; CATH LAB," $20,584.00 "
REPLACE AORTIC VALVE OPENFEMORAL ARTERY APPROACH; CATH LAB," $20,037.00 "
REPLACE AORTIC VALVE PERQ FEMORAL ARTERY APPROACH; CATH LAB," $19,358.00 "
"REPLACE CATH ONLY, CVAD, W/ PORT/PUMP"," $2,464.00 "
"REPLACE COMPLETE NON-TUNNELED CV CATH, W/O PORT/PUMP"," $1,335.00 "
"REPLACE COMPLETE PERIPHERALLY CVAD, W/ PORT"," $2,787.00 "
"REPLACE COMPLETE PICC, W/O PORT/PUMP"," $2,028.00 "
"REPLACE COMPLETE TUNNELED CV CATH, W/ PORT/PUMP"," $3,069.00 "
"REPLACE COMPLETE TUNNELED CVAD, W/ PORT"," $4,473.00 "
"REPLACE COMPLETE TUNNELED CVAD, W/ PUMP"," $5,544.00 "
REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERCUTANEOUS, $882.00 
REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS, $906.00 
REPLACE PROXIMAL AND DISTAL UPRIGHT FOR KAFO, $423.00 
REPLACE SOCKET BK MTP," $4,857.00 "
REPLACEMENT ELECTRODES FOR SECOND SOCKET," $4,195.00 "
REPLACEMENT GASTRO-JEJUNOSTOMY TUBE PERCUTANEOUS, $958.00 
REPLC SOCKET AK ATT.PLATE M," $6,024.00 "
REPLC SOCKET INCLD.HIP JNT," $7,358.00 "
REPOSITION GASTRIC FEEDING TUBE THRU DUODENUM," $1,279.00 "
REPOSITION TRANSVENOUS ELECTRODE," $3,223.00 "
REPOSITION VENOUS CATHETER," $1,140.00 "
"REPR CMPLX FOREHD,CHK,CHIN,MTH,NECK,AXIL,GENIT,HAND/FEET,1.1-2.5CM", $519.00 
"REPROGRAMMING,PROGRAMMABLE CSF SHUNT (HAKIM)", $440.00 
RESPIRATORY FLOW/VOLUME LOO, $295.00 
RESPIRATORY MOTION MANAGEMENT SIMULATION," $3,536.00 "
"RET DEV, INSERTABLE M"," $2,478.00 "
RETRIEVAL BILIARY DUCT STENT," $5,679.00 "
RETRIEVAL INTRVASCULAR VC FILTER W/WO ACCESS VSL SELECTION RS&I," $3,241.00 "
RETRIEVAL MATERIALS SUPPLY L, $725.00 
RETRIEVAL MIGRATED PANCREATIC STENT," $2,598.00 "
"RETROBULBAR INJECT,MEDICATION", $348.00 
RETROGRADE URETERAL STENT," $1,308.00 "
RETRV DEV 10MM 120CM GSNCK-," $1,083.00 "
REV OPEN AV FIST;W/THROMB AUTOGEN/NONAUTOGEN DI," $5,520.00 "
"REVASCULARIZE FEM/POP ARTERY,ANGIOPLASTY"," $11,854.00 "
"REVASCULARIZE FEM/POP ARTERY,ANGIOPLASTY/ATHERECTOMY"," $13,415.00 "
"REVASCULARIZE FEM/POP ARTERY,ANGIOPLASTY/STENT"," $15,260.00 "
"REVASCULARIZE ILIAC ARTERY,ANGIOPLASTY, EA ADD VESSEL"," $6,417.00 "
"REVASCULARIZE ILIAC ARTERY,ANGIOPLASTY, INITIAL VESSEL"," $7,841.00 "
"REVASCULARIZE ILIAC ARTERY,ANGIOPLASTY/STENT, EA ADD VESSEL"," $8,021.00 "
"REVASCULARIZE ILIAC ARTERY,ANGIOPLASTY/STENT, INITIAL VESSEL"," $13,664.00 "
"REVASCULARIZE TIBIAL/PERON ARTERY,ANGIOPLASTY INITIAL"," $10,511.00 "
"REVISE ELECTRODE,PACING,DUAL"," $7,371.00 "
REVISE EYELASHES, $581.00 
"REVISE EYELASHES,FORCEPS", $349.00 
"REVISE SKIN POCKET,PACING-DEFIBRILLATOR"," $4,235.00 "
REVISE TRACHEOSTOMY SCAR," $3,468.00 "
REVISE TRANSVENOUS INTRAHEPATIC PORTOSYSTEMIC SHUNT," $12,579.00 "
REVISE/REPAIR OPERATIVE WOUND ANTERIOR SEGMENT," $2,430.00 "
"REVISION EYELID,TRANSPOSITION TARSAL PLATE"," $2,173.00 "
REVISION OF EYELID," $2,213.00 "
REVISION UPPER EYELID W EXCESS SKIN," $2,072.00 "
REVO ADJUSTABLE SOCKET SYSTEM," $1,439.00 "
REZUM (PROSTATIC RADIOFREQ THERMOTX)," $4,626.00 "
RF ABL CATH 7F 4MM TIP RF M," $1,613.00 "
RHINECTOMY; PARTIAL_RVW," $7,561.00 "
RHYTHM ECG  1-3LEADS; TRACI, $130.00 
RIGHT HEART CATH," $6,903.00 "
RIGHT VENTRICULAR RECORDING," $4,532.00 "
RMTE ANALYSIS IMPLNT CARD MONIT, $315.00 
RMTE ANALYSIS LOOP RECORDER, $320.00 
ROBOTIC ANKLE POWER FLEXION," $109,981.00 "
ROTH NET, $376.00 
ROUTINE FOOT CARE-DIABETIC, $199.00 
RT HEART CATH CONGENITAL AN," $5,317.00 "
RT HRT ARTERY/GRAFT ANGIO," $13,645.00 "
RT HRT CORONARY ARTERY ANGI," $13,869.00 "
RT&LT HRT ART/VENTRICLE ANG," $16,903.00 "
RW BASE RATE," $11,799.00 "
"RW BASE RATE, EMERGENT"," $18,548.00 "
"RW BASE RATE, NON EMERGENT"," $11,325.00 "
RW MILEAGE PER MILE, $163.00 
RW WAIT TIME PER 1/2 HR, $352.00 
RX PTCA BALLOON CATHETER," $1,335.00 "
"RXD DISP FEE INHALATION RX, PER 30 DAYS", $42.00 
"RXD DISP FEE ORAL IMMUNO-SUPPRESSIVE RX, 1ST 30 DAYS", $31.00 
"RXD DISP FEE ORAL IMMUNO-SUPPRESSIVE RX, SUBSEQUENT 30 DAYS", $21.00 
S1040 CRAN RE-MOLD ORTHO PED CUST," $2,542.00 "
SACROILIAC JOINT INJ," $1,535.00 "
SAPIEN TRANSCATHETER HEART VALVE 23MM," $75,511.00 "
SAPIEN TRANSCATHETER HEART VALVE KIT 29MM," $82,212.00 "
SAVISCOUT REFLECTOR DEVICE," $1,524.00 "
SB ENDO W/REMOVAL OF FOREIGN OBJECT," $3,010.00 "
SB ENDOSCOPY LESION REMOVAL BY SNARE," $2,592.00 "
SCD COMPRESSION DEVICE & SL, $123.00 
"SCLEROTHERAPY FLUID COLLECTION, PERC INCL CONTRST & SCLEROSANT INJ, IG"," $1,457.00 "
"SCREENING DIGITAL BREAST TOMOSYNTHESIS, BILATERAL", $236.00 
SCREENING FLEX SIGMOIDOSCPY, $832.00 
SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD, $563.00 
SEALING RING (SEAL-IN X), $793.00 
"SECONDARY PERC MECHANICAL THROMBECTOMY, ARTERIAL, W OTHER PROC"," $4,956.00 "
SECRETIN STIMULATION TEST, $536.00 
SELECTIVE CATH 1ST ORDER W/WO ART PUNCTURE/FLUOROSCOPY/S&I BILAT," $3,241.00 "
SELECTIVE CATH 1ST ORDER W/WO ART PUNCTURE/FLUOROSCOPY/S&I UNI," $3,241.00 "
"SEMEN ANALYSIS, STRICT MORPHOLOGIC CRITERIA", $312.00 
SEPTAL DEFECT IMP SYS H," $20,417.00 "
SEPTAL OCCLUDER-AMPLATZER," $15,862.00 "
SEPTAL OCCLUDER-CARDIOFORM 25MM GORE," $20,436.00 "
SEPTAL OCCLUDER-CARDIOFORM 30MM GORE," $20,436.00 "
SERIAL SALIVARY IMAGING, $945.00 
SERIAL TONOMETRY EXAM(S), $327.00 
SET  TRACH INTRODUCER 2818, $926.00 
SET RADIATION THERAPY FIELD COMPLEX," $2,323.00 "
SET RADIATION THERAPY FIELD INTERMEDIATE," $1,321.00 "
SET RADIATION THERAPY FIELD SIMPLE, $819.00 
SGL AXIS SWING/STANCE PHASE, $952.00 
"SHAVE SKIN LESION SCALP, NECK, HANDS, FEET, GENITALIA, OVER 2.0 CM", $380.00 
"SHAVE SKIN LESION,  FACE,EARS,EYELID,NOSE, LIP, MUC MEM, 1.1-2.0 CM", $379.00 
"SHAVE SKIN LESION, FACE,EAR,EYELID, NOSE, LIP, MUC MEM, 0.6-1.0 CM", $225.00 
"SHAVE SKIN LESION, FACE,EARS,EYELID,NOSE,LIP, MUC MEM, OVER 2.0 CM", $355.00 
"SHAVE SKIN LESION, SCALP, NECK, HANDS, FEET, GENIT, 0.5 CM OR LESS", $172.00 
"SHAVE SKIN LESION, SCALP, NECK, HANDS, FEET, GENITALIA, 0.6-1.0 CM", $247.00 
"SHAVE SKIN LESION, SCALP, NECK, HANDS, FEET, GENITALIA, 1.1-2.0 CM", $232.00 
"SHAVE SKIN LESION, TRUNK, ARM, LEG  0.6-1.0 CM", $231.00 
"SHAVE SKIN LESION, TRUNK, ARM, LEG, 0.5 CM OR LESS", $238.00 
"SHAVE SKIN LESION, TRUNK, ARM, LEG, 1.1-2.0 CM", $267.00 
"SHAVE SKIN LESION, TRUNK, ARM, LEG, OVER 2.0 CM", $321.00 
"SHAVE SKIN LESN, FACE,EAR,EYELID,NOSE LIP, MUC MEM, 0.5 CM OR LESS", $222.00 
SHEATH   PINNACLE 9FR, $103.00 
SHEATH  4F-BBRAUN, $61.00 
SHEATH  CORONARY, $212.00 
SHEATH  FIXED  PEEL-AWAY, $72.00 
SHEATH  INTRO LONG, $212.00 
SHEATH  INTRO LONG, $213.00 
SHEATH  LASER," $6,544.00 "
SHEATH  MICROPUNCTURE, $188.00 
SHEATH  PERIPHERAL, $277.00 
SHEATH  RADIAL, $191.00 
SHEATH  TRANSSEPTAL, $294.00 
SHEATH 12F BLUE MULL W/CHK, $221.00 
SHEATH 14F W/HEMOSTAT VALVE, $74.00 
SHEATH 4.5F PICC TEARAWAY-B, $166.00 
SHEATH 4FR PRELUDE EASE 11CM, $123.00 
SHEATH INTRO - TIER 2, $221.00 
SHEATH INTRO - TIER 3, $698.00 
SHEATH INTRODUCER DX, $243.00 
SHEATH INTRODUCER PEELAWAY, $213.00 
SHEATH INTRO-TIER 1, $40.00 
SHEATH PEEL AWAY, $238.00 
SHEATH PINNACLE 10FR, $60.00 
SHEATH SHORT BIOPSY-MAXXIM, $467.00 
SHEATH SHUTTLE, $584.00 
SHEATH/SOCK W/GEL CUSHION, $125.00 
SHEATH-STEERABLE," $2,882.00 "
SHILEY CAP 15MM, $38.00 
SHOULDER ABDUCT SLING W/PIL, $266.00 
SHOULDER FLEXION-ABDUCT JOI, $595.00 
"SHOULDER SLING/VEST, ABDUCTION RESTRAINER, PREFAB WITH FIT/ADJ", $187.00 
SHUNT SUPPLY M," $7,875.00 "
SIGMOIDOSCOPY W/ABLATION TUMOR/POLYP/LESION," $1,854.00 "
SIGMOIDOSCOPY W/BAND LIGATION," $1,776.00 "
SIGMOIDOSCOPY W/ENDOSCOPIC MUCOSAL RESECTION (EMR)," $2,046.00 "
SIGMOIDOSCOPY W/ENDOSCOPIC US EXAM," $2,559.00 "
SIGMOIDOSCOPY W/STENT PLACEMENT," $4,294.00 "
"SIGMOIDOSCOPY, FLEX,W/TRANS DILATION"," $2,688.00 "
"SIGMOIDOSCOPY,BIOPSY"," $1,982.00 "
"SIGMOIDOSCOPY,DIAGNOSTIC"," $1,616.00 "
"SIGMOIDOSCOPY,FINE NEEDLE BIOPSY,US GUIDED"," $2,102.00 "
"SIGMOIDOSCOPY,FLEX,W/CONTROL,BLEEDING"," $2,301.00 "
"SIGMOIDOSCOPY,FLEX,W/DIRECTED SUBMUCOSAL INJECTION"," $2,128.00 "
"SIGMOIDOSCOPY,REMOVE LESION,SNARE"," $2,529.00 "
SILICONE CUSTOM PARTIAL HAN," $10,773.00 "
SILICONE GEL (FOOT INSERT), $289.00 
SILICONE MEPILEX BORDER 4X4IN, $49.00 
SILVER AQUACEL AG DRESSING, $49.00 
SILVERCEL NON-ADHER DRESSING; 2X2, $19.00 
SIMPLE CYSTOMETROGRAM," $1,046.00 "
SINGLE AVERAGE SAECG  W/WO, $310.00 
SINGLE LUNG ACQ - CADAVER," $114,000.00 "
SINUSOIDAL ROTATIONAL TEST, $523.00 
SIX VOLT BATTERY  EACH, $392.00 
SIZING BALLOON-AMPLATZER, $842.00 
SKA DESIGN ORTHOSIS-PLAST M," $1,918.00 "
SKIN SUB GRAFT EPICEL/63UNITS," $521,505.00 "
SLCTV CATH CAROTID/INNOM ART ANGIO INTRCRANL ART," $5,544.00 "
SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART," $3,241.00 "
SLCTV CATH INTRCRNL BRNCH ANGIO INTRL CAROT/VERT," $3,349.00 "
SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART," $5,544.00 "
