Procedure Number,Description,Standard Charge
112793,HC CT GUIDED PLACE RAD TX FIELDS,"$1,761.26 "
112795,HC CT BRAIN PERFUSION,"$3,727.69 "
112797,HC CT HEAD W/O CONTRAST,"$4,156.68 "
112799,HC CT HEAD W CONTRAST,"$4,601.30 "
112801,HC CT HEAD W & W/O CONTRAST,"$5,486.13 "
112803,HC CT IAC W/O CONTRAST,"$4,193.84 "
112805,HC CT ORBITS W/O CONTRAST,"$4,193.84 "
112807,HC CT IAC  W CONTRAST,"$4,436.85 "
112809,HC CT ORBITS W CONTRAST,"$4,436.85 "
112811,HC CT IAC W & W/O CONTRAST,"$5,253.40 "
112813,HC CT ORBITS W & W/O CONTRAST,"$5,253.40 "
112815,HC CT MAXILLOFACIAL W/O CONTRAST,"$3,631.73 "
112817,HC CT MAXILLOFACIAL W CONTRAST,"$4,748.11 "
112819,HC CT MAXILLOFACIAL WWO CONTRAST,"$5,697.72 "
112821,HC CT SOFT TISSUE NECK W/O CONTR,"$3,930.08 "
112823,HC CT SOFT TISSUE NECK W CONTRAST,"$5,262.08 "
112825,HC CT SFT TISSUE NECK W & W/O CON,"$5,904.38 "
112827,HC CTA HEAD W CONTRAST,"$5,800.85 "
112829,HC CTA NECK W CONTRAST,"$6,147.94 "
112831,HC CT THORAX W/O CONTRAST,"$3,708.48 "
112833,HC CT THORAX W CONTRAST,"$5,224.78 "
112835,HC CT THORAX W & W/O CONTRAST,"$5,322.52 "
112837,HC CTA CHEST W CON NON-COR,"$5,842.07 "
112839,HC CT CERV SPINE W/O CONTRAST,"$4,075.77 "
112841,HC CT CERV SPINE W CONTRAST,"$4,559.60 "
112843,HC CT CERV SPINE W & W/O CONTRAST,"$4,721.27 "
112845,HC CT THOR SPINE W/O CONTRAST,"$4,159.83 "
112847,HC CT THOR SPINE W CONTRAST,"$4,330.70 "
112849,HC CT THOR SPINE W & W/O CONTRAST,"$5,196.84 "
112851,HC CT LUMBAR SPINE W/O CONTRAST,"$4,067.55 "
112853,HC CT LUMBAR SPINE W CONTRAST,"$4,451.30 "
112855,HC CT LUMBAR SPINE W & W/O CONTR,"$4,498.97 "
112857,HC CTA PELVIS W CONTRAST,"$5,821.86 "
112859,HC CT PELVIS W/O CONTRAST,"$3,451.37 "
112861,HC CT PELVIS W CONTRAST,"$4,465.93 "
112863,HC CT PELVIS W & W/O CONTRAST,"$5,204.43 "
112865,HC CT EXTREMITY UPPER W/O CONTRAST,"$3,731.16 "
112867,HC CT EXTREMITY UPPER W CONTRAST,"$4,437.18 "
112869,HC CT EXTREMITY UPPER W & W/O CONTRAST,"$5,398.26 "
112871,HC CTA EXTREMITY UPPER W & W/O CONTRAST,"$3,812.70 "
112873,HC CT EXTREMITY LOWER W/O CONTRAST,"$3,453.73 "
112875,HC CT EXTREMITY LOWER W CONTRAST,"$5,387.82 "
112877,HC CT EXTREMITY LOWER W & W/O CONTRAST,"$6,465.37 "
112879,HC CTA EXTREMITY LOWER W CONTRAST,"$8,310.42 "
112881,HC CT ABDOMEN W/O CONTRAST,"$3,828.78 "
112883,HC CT ABDOMEN W CONTRAST,"$4,998.06 "
112885,HC CT ABDOMEN W & W/O CONTRAST,"$5,724.83 "
112887,HC CTA ABDOMEN PELVIS,"$11,406.48 "
112889,HC CTA ABDOMEN W CONTRAST,"$5,584.62 "
112891,HC CT ABD PELVIS WO CONTRAST,"$7,280.14 "
112893,HC CT ABD PELVIS W CONTRAST,"$9,464.00 "
112895,HC CT ABD PELVIS W & WO CONTRAST,"$10,929.26 "
112897,HC CTA AORTA ABD/ILIOFEM BI W CONTRAST,"$5,969.20 "
112911,HC ANGIOPLASTY AORTIC,"$4,079.24 "
112915,HC ARGON LASER PROCEDURE LIMITED,$363.90 
112917,HC ARGON LASER PROCEDURE ONE EYE,"$1,391.88 "
112929,HC BILIARY ERCP,"$3,219.75 "
112933,HC BRONCH W DILATE STENT PLACE,"$7,504.31 "
112935,HC BRONCHOSCOPY CRYO METHOD,"$9,523.91 "
112937,HC BRONCHOSCOPY W/O LABS,"$1,443.55 "
112939,HC BRONCHOSCOPY WITH LABS,"$1,627.46 "
113003,HC INSERT CENTRAL LN NONTUN >=5YR,"$1,889.42 "
113005,HC CERCLAGE SUTURE REMOVAL,$117.65 
113021,HC CHEST TUBE INSERTION,"$2,032.29 "
113023,HC CIRCUMCISION,$258.44 
113025,HC CLOSED MANIPULATION,"$1,522.51 "
113027,HC CLOSED REDUCT UPPER EXTREMITY,$324.93 
113031,HC COMBICATH MINIBAL,"$1,131.75 "
113033,HC COMPLEX PROCEDURE NOS,$807.23 
113035,HC CONTROL NOSEBLEED ANTERIOR,"$1,137.03 "
113037,HC CRYO PROCEDURE,$685.93 
113039,HC CYSTOURETHROSCOPY,$801.60 
113041,HC DECLOT CANNULA W/O BALLOON,"$1,144.93 "
113043,HC DECLOT W AGENT OF CATHETER,$834.20 
113065,HC EMBOLECT PULMONARY ARTERY,"$8,358.03 "
113067,HC EMBOLECT VEIN BY ARM,"$3,180.01 "
113069,HC EMBOLECT VENA CAVA BY LEG,"$3,180.01 "
113101,HC EXCHANGE INTRAVASCULAR CATH,"$2,345.80 "
113147,HC INJ BIER/REGIONAL,$666.10 
113149,HC INJ CHEMO W DISKOGRAPHY LUMBAR,"$1,066.50 "
113151,HC INJ CONT INFUS BRACH PLEX,"$1,626.77 "
113153,HC INJ CONT INFUS SCIATIC NERVE,$949.55 
113163,HC INJ DISKOGRAPHY EA LVL,"$1,036.29 "
113165,HC INJ EPIDURAL ADHESION LYSIS,"$1,556.07 "
113167,HC INJ EPIDURAL W CATH PLACE,"$1,730.83 "
113169,HC INJ EPIDURAL LUMBAR OR CAUDAL,"$2,383.80 "
113171,HC INJ MEDIAN BRANCH BLOCK ADDL,$423.44 
113173,HC INJ MEDIAN BRANCH BLOCK INITIAL,$614.90 
113175,HC INJ NERV BLK CRANIAL NERVE,$729.72 
113177,HC INJ NERV BLK PERIPH,$666.10 
113179,HC INJ NERV ILIOINGUINAL,"$1,042.85 "
113183,HC INJ SACROILLIAC JOINT,$320.80 
113185,HC INJ SI JOINT WO IMAGING,$850.83 
113189,HC INJ TENDON SHEATH/LIGAMENT,$564.76 
113237,HC INJECTION PSEUDOANEURYSM,$455.89 
113255,HC INTERMEDIATE PROCEDURE NOS,$705.99 
113275,HC LARYNGOSCOPY,$247.68 
113279,HC LITHO ESWL CYSTO W/INSRT STENT,"$3,964.79 "
113281,HC LITHO ESWL CYSTO W/STENT REMOV,"$4,757.75 "
113283,HC LITHO ESWL LASER LITHO,"$3,059.52 "
113285,HC LITHO ESWL PANCREATIC STONE,"$15,349.40 "
113287,HC LITHO ESWL STONE MANIPULATION,"$3,059.52 "
113289,HC LITHO ESWL URETEROSCOPY,"$3,059.52 "
113291,HC LVL 1 OR RM TIME 1ST 15 MIN,"$1,658.41 "
113293,HC LVL 1 OR RM TIME EA ADDL MIN,$84.17 
113295,HC LVL 2 OR RM TIME 1ST 15 MIN,"$1,846.02 "
113297,HC LVL 2 OR RM TIME EA ADDL MIN,$93.46 
113299,HC LVL 3 OR RM TIME 1ST 15 MIN,"$2,002.37 "
113301,HC LVL 3 OR RM TIME EA ADDL MIN,$113.51 
113303,HC LVL 4 OR RM TIME 1ST 15 MIN,"$3,568.85 "
113305,HC LVL 4 OR RM TIME EA ADDL MIN,$132.56 
113307,HC LVL 5 OR RM TIME 1ST 15 MIN,"$3,670.81 "
113309,HC LVL 5 OR RM TIME EA ADDL MIN,$167.22 
113311,HC LVL 6 OR RM TIME 1ST 15 MIN,"$6,829.80 "
113313,HC LVL 6 OR RM TIME EA ADDL MIN,$146.01 
113317,HC MINOR PROC TIME 1ST 15 MIN,"$1,522.51 "
113319,HC MINOR PROC TIME EA ADDL MIN,$79.37 
113325,HC NASAL ENDOSCOPY,$171.83 
113327,HC NASOPHARYNGOSCOPY,$105.35 
113333,HC NEUROSTIM ELECTRODE EPIDURAL,"$11,997.93 "
113341,HC PARACENTESIS ABD WO IMAGING,"$1,708.74 "
113347,HC PERCUTANEOUS TRACH,"$3,502.56 "
113415,HC SI FUSION W GDE,"$12,480.36 "
113417,HC SIMPLE PROCEDURE NOS,$315.82 
113429,HC THORACENTESIS WO IMAGING,"$1,870.73 "
113437,HC THROMBECTOMY AV GRAFT,"$2,965.25 "
113463,HC YAG LASER PROCEDURE ONE EYE,"$1,382.19 "
113465,HC INJECT SI JOINT W IMAGING,"$1,540.99 "
113473,HC ABLATION NERVE ADDL,"$1,178.77 "
113475,HC ABLATION NERVE INITIAL,"$2,357.56 "
113483,HC INJ EPIDURAL,"$2,383.80 "
113485,HC INJ EPIDURAL TF ADDITIONAL,$161.20 
113487,HC INJ EPIDURAL TF INITIAL,"$1,562.93 "
113489,HC INJ JOINT/BURSA,$938.63 
113491,HC INJ NERV DESTRUCTION COMPLEX,"$3,180.68 "
113493,HC INJ NERV DESTRUCTION SIMPLE,$574.19 
113495,HC INJ SELECT NERV ROOT BLK ADDL,"$2,126.15 "
113497,HC INJ SELECT NERV ROOT BLK INIT,"$2,551.37 "
113503,HC INJECTION TRIGGER POINT,$607.13 
113513,HC INJ FACET JNT 1 LVL W/IMAGING,"$2,598.33 "
113515,HC INJ FACET JNT EA ADDL W/IMAGING,"$1,455.56 "
113523,HC SACROPLASTY W GD BI,"$6,510.18 "
113525,HC ATHERECTOMY ILIAC W IMAG S/I,"$16,745.34 "
113531,HC FNA WITH IMAGING GUIDANCE,$991.18 
113533,HC I&D ABSCESS SIMPLE/SINGLE,$681.28 
113535,HC I&D ABSCESS COMPLEX/MULTIPLE,$763.04 
113537,HC I&D HEMATOMA/SEROMA,"$3,343.88 "
113539,HC PUNCTURE ASP ABSCESS/CYST,"$1,079.96 "
113541,HC DEBRIDE SKIN TO SUBQ <=20SQCM,"$1,413.54 "
113543,HC DEBRIDE SKIN TO MUSC <=20SQCM,"$1,696.24 "
113545,HC DEBRIDE SKIN TO BONE <=20SQCM,"$3,392.49 "
113547,HC DEBRD SKIN TO SUBQ E/A 20SQCM,"$1,272.18 "
113549,HC DEBRD SKIN TO MUSC E/A 20SQCM,"$1,526.62 "
113551,HC DEBRD SKIN TO BONE E/A 20SQCM,"$3,053.24 "
113553,HC TRIM HYPERKERAT LESION SINGLE,$319.90 
113555,HC TRIM HYPERKERAT LESIONS 2-4,$392.18 
113557,HC TRIM HYPERKERAT LESIONS >4,$460.66 
113559,HC BIOPSY SKIN SINGLE LESION,$382.47 
113561,HC BIOPSY SKIN EA ADDL LESION,$356.54 
113565,HC DEBRIDEMENT NAILS 1-5,$207.75 
113567,HC DEBRIDEMENT NAILS 6 OR MORE,$249.30 
113569,HC AVULSION NAIL PLATE SINGLE,$701.49 
113571,HC REMOVAL NAIL INCL MATRIX /PLATE,"$1,912.39 "
113573,HC REPAIR SMP SC/NK/TK/EXT<=2.5CM,$374.05 
113575,HC REPAIR SMP SC/NK/TK/EXT 2.6-7.5CM,$448.86 
113581,HC WOUND PREP H/N/HF/G <=100SQCM,"$1,324.02 "
113585,HC EPI A-GF T/A/L E/A 100SQCM,$662.40 
113589,HC EPI A-GF F/N/G E/A 100SQCM,$447.24 
113591,HC HC SGF T/A/L <=100SQCM 1ST25,"$1,848.37 "
113593,HC HC SGF T/A/L <=100SQCM E/A25,$425.84 
113595,HC HC SGF T/A/L >=100SQCM 1ST100,"$2,910.22 "
113597,HC HC SGF F/N/G <=100SQCM 1ST25,"$1,848.37 "
113599,HC HC SGF F/N/G <=100SQCM E/A25,$425.84 
113601,HC HC SGF F/N/G >=100SQCM 1ST100,"$1,680.94 "
113603,HC TX SMALL BURN PARTIAL THICK,$528.31 
113605,HC CHEMICAL CAUT GRANULATION TISS,$562.76 
113607,HC PLACE BREAST BALLOON CATH,"$11,993.35 "
113609,HC PLACE BREAST MULTI CATH,"$10,655.62 "
113611,HC INJ SINGLE TENDON OR LIGAMENT,$743.39 
113613,HC INJ TENDON ORIGIN/INSERTION,"$1,115.33 "
113615,HC INJ TRIGGER PTS 1-2 MUSCLES,"$1,130.17 "
113617,HC INJ TRIGGER PTS >= 3 MUSCLES,"$1,356.20 "
113619,HC INJ ASP JOINT SMALL,$442.97 
113621,HC INJ ASP JOINT SMALL US GD,"$1,176.52 "
113623,HC INJ ASP JOINT INTERM,"$1,148.50 "
113625,HC INJ ASP JOINT INTERM US GD,"$2,246.93 "
113627,HC INJ ASP JOINT MAJOR,"$1,450.74 "
113629,HC INJ ASP JOINT MAJOR US GD,"$2,808.65 "
113631,HC KYPHOPLASTY THOR W GD,"$10,154.11 "
113633,HC KYPHOPLASTY LUMB W GD,"$10,154.11 "
113635,HC KYPHOPLASTY ADDL LVL W GD,"$10,154.11 "
113637,HC PERC TENOTOMY TOE MULT TENDONS,"$2,758.67 "
113641,HC INTUBATION ENDOTRACH EMERGENT,"$1,297.98 "
113643,HC LARYNGOSCOPY INDIRECT RIGID,$271.81 
113645,HC LARYNGOSCOPY FLEX FIBEROPTIC,"$1,162.81 "
113649,HC BRONCHOSCOPY W/MARKERS,"$9,753.20 "
113651,HC NAVIGATIONAL BRONCHOSCOPY,"$1,535.68 "
113653,HC BRONCHOSCOPY DILATE/FX REPR,"$6,335.47 "
113655,HC BRONCH THERMOPLSTY 1 LOBE,"$9,753.20 "
113657,HC BRONCH THERMOPLSTY 2>LOBES,"$11,703.84 "
113659,HC TRANSTRACH PROCEDURE,"$1,737.07 "
113665,HC PERICARDIOCENTESIS INITIAL,"$1,633.98 "
113667,HC INS RPL PACE LEAD ATRIAL,"$13,817.86 "
113669,HC INS RPL PACE LEAD VENT,"$13,817.86 "
113671,HC INS RPL PACE LEAD DUAL,"$16,581.43 "
113673,HC INS RPL TEMP PACE LEAD SNGL,"$7,903.13 "
113675,HC INS RPL TEMP PACE LEAD DUAL,"$13,252.24 "
113677,HC UPGRADE PACE SYS SNGL TO DUAL,"$18,498.20 "
113679,HC REPO ICD PACE LEAD SNGL,"$8,916.72 "
113681,HC INS ICD PACE LEAD SNGL TRNSVEN,"$13,400.96 "
113683,HC INS ICD PACE LEAD DUAL TRNSVEN,"$35,143.21 "
113685,HC REPAIR ICD PACE LEAD SNGL,"$9,150.46 "
113687,HC RELOC SKIN POCKET PACER,"$9,960.32 "
113689,HC RELOC SKIN POCKET AICD,"$12,049.90 "
113691,HC UPGRADE TO BIVENT SYSTEM,"$24,293.08 "
113693,HC INS LV LEAD W DEVICE INSERT,"$15,812.95 "
113695,HC REPO LV LEAD,"$15,063.74 "
113697,HC REM PACE GEN,"$9,799.38 "
113699,HC REM PACE LEAD SNGL,"$5,514.18 "
113701,HC REM PACE LEAD DUAL,"$6,617.02 "
113703,HC REM ICD OR SICD GEN,"$17,531.31 "
113705,HC REM ICD LEAD SNGL DUAL,"$4,517.68 "
113707,HC IMPLANT CARDIAC EVENT RECORDER,"$8,031.40 "
113709,HC REMOVAL CARDIAC EVENT RECORDER,"$2,068.16 "
113711,HC INSERT INTRA-AORTIC BALLOON,"$9,106.89 "
113713,HC INSERT VENT ASST DEVIC ART,"$15,972.03 "
113715,HC REMOVE VENT ASSIST DEVICE,"$7,661.94 "
113717,HC REPOSITION VENT ASST DEVICE,"$8,022.32 "
113719,HC TIGHTEN GENERATOR SCREW/S,$644.13 
113727,HC INTRODUCTION NEEDLE VEIN,$628.11 
113729,HC INJECT VENOGRAPHY EXTREMITY,"$1,080.41 "
113731,HC CATH PLACE 1ST ORDER VENOUS,"$2,901.86 "
113733,HC CATH PLACE 2ND ORDER VENOUS,"$3,315.97 "
113735,HC INTRO NEEDLE EXTREMITY ARTERY,"$2,728.83 "
113741,HC INTRODUCTION CATHETER AORTA,"$4,051.84 "
113743,HC CATH PLACE 1ST ORDER THOR/BC,"$2,359.67 "
113745,HC CATH PLACE 2ND ORDER THOR/BC,"$3,424.38 "
113747,HC CATH PLACE 3RD ORDER THOR/BC,"$4,379.47 "
113749,HC CATH PLACE 1ST ORDER ABD/PELV,"$3,531.54 "
113751,HC CATH PLACE 2ND ORDER ABD/PELV,"$4,065.76 "
113753,HC CATH PLACE 3RD ORDER ABD/PELV,"$4,118.56 "
113755,HC CATH PLACE ADD 2ND/3RD ABD/PEL,"$1,069.69 "
113757,HC INSERT CENTRAL LN NONTUN >=5YR,"$2,026.84 "
113759,HC INSERT PICC LN WO PORT WITHOUT IMAGING <5YRS,"$1,976.02 "
113761,HC INSERT PICC LN WO PORT WITHOUT IMAGING >=5YRS,"$4,698.99 "
113763,HC REPAIR CVC WO PORT,"$1,186.45 "
113765,HC REPL CENTRAL LN NONTUN WO PORT,"$4,163.15 "
113767,HC REPLACE PICC LN WO PORT WITH IMAGING,"$5,816.47 "
113769,HC DECLOT VAD/CVC,"$1,135.19 "
113771,HC INJ CONTRAST CVC EVALUATION,$812.98 
113773,HC ART SAMPLE/MONITR/TRNSFUS PERC,"$2,178.21 "
113775,HC MTHROMB ART NONCOR NONCRAN INI,"$4,448.43 "
113777,HC MTHROMB ART NONCOR NONCRAN ADD,"$4,448.43 "
113779,HC MTHROMB ART NONCOR NONCRAN SEC,"$4,448.43 "
113781,HC THROMB VENOUS W FLUORO,"$4,448.43 "
113783,HC REVASC ILIAC W ANGIOPL INITIAL,"$15,843.04 "
113785,HC REVASC ILIAC W STENT INITIAL,"$16,719.62 "
113787,HC REVASC ILIAC W ANGIOPL EA ADDL,"$10,660.46 "
113789,HC REVASC ILIAC W STENT EA ADDL,"$11,090.14 "
113791,HC REVASC FEM/POP W ANGIOPL,"$11,618.15 "
113793,HC REVASC FEM/POP W ATHERECTOMY,"$15,955.60 "
113795,HC REVASC FEM/POP W STENT,"$18,221.72 "
113797,HC REVASC FEM/POP W ATHRCTMY/STNT,"$27,743.59 "
113799,HC REVASC TIB/PER W ANGIOPL INIT,"$11,629.34 "
113801,HC REVASC TIB/PER W ATHERECT INIT,"$17,430.39 "
113803,HC REVASC TIB/PER W STENT INIT,"$17,643.11 "
113805,HC REVASC TIB/PER W ATH/STNT INIT,"$40,385.27 "
113807,HC REVASC TIB/PER W ANGIOPL EA AD,"$8,140.53 "
113809,HC REVASC TIB/PER W ATHRECT EA AD,"$11,741.12 "
113811,HC REVASC TIB/PER W STENT EA ADDL,"$13,668.03 "
113819,HC BONE MARROW ASPIRATION DIAGNOSTIC,"$3,294.52 "
113821,HC BONE MARROW BIOPSY DIAGNOSTIC,"$2,793.39 "
113823,HC PLACE INT DVC ABD/PEL SGL/MLT,"$1,784.71 "
113825,HC INSERT SUPRAPUBIC CATHETER,"$5,811.33 "
113827,HC BLADDER IRRIGATION,$262.69 
113829,HC INSERT STRAIGHT CATHETER,$694.14 
113831,HC INSERT INDWELLING CATH SIMPLE,$768.80 
113833,HC US BLADDER POST-VOID RESIDUAL,$196.02 
113835,HC PLACE TRANSPER NEED/CATH PROST,"$14,428.07 "
113837,HC PLACE INTRST DVC PROST SGL/MLT,"$2,434.64 "
113839,HC PLACE NEEDLES PELVIC FOR RT,"$9,092.64 "
113841,HC INSERTION TANDEM/OVOIDS,"$2,362.43 "
113843,HC INSERT VAG BRACHYTX DEVICE,"$1,237.64 "
113845,HC AMNIOCENTESIS DIAGNOSTIC,"$1,356.66 "
113847,HC THERAPEUTIC AMNIO FLUID REDUCT,"$2,221.55 "
113851,HC EXTERNAL VERSION,"$2,457.41 "
113855,HC LUMBAR PUNCTURE,"$1,273.61 "
113857,HC INJ BLOOD PATCH,"$1,119.64 "
113859,HC MYELOGRAM CERV W GD INJ LUMB,"$3,878.95 "
113861,HC MYELOGRAM THOR W GD INJ LUMB,"$2,598.94 "
113863,HC MYELOGRAM LUMB W GD INJ LUMB,"$3,541.62 "
113865,HC MYELOGRAM >2 W GD INJ LUMB,"$4,186.85 "
113875,HC IMPLANT NEUROELECTRODES,"$15,401.03 "
113877,HC INJ NERV BLK TRIGEMINAL NERVE,"$1,769.26 "
113879,HC INJ NERV BLK FACIAL NERVE,"$1,769.26 "
113881,HC INJ NERV OCCIPITAL,$718.36 
113883,HC INJ NERV BLK CERVICAL PLEXUS,"$1,769.26 "
113885,HC INJ NERV BLK BRACHIAL PLEXUS,$945.44 
113887,HC INJ NERV BLK AXILLARY NERVE,"$1,769.26 "
113889,HC INJ NERV BLK SUPRASCAPULAR NRV,"$1,769.26 "
113891,HC INJ NERV INTCOSTL SNGL,$574.69 
113893,HC INJ NERV INTCOSTL MLTI,"$2,123.12 "
113895,HC INJ NRV ILIOINGUIN/ILIOHYPOGST,$718.36 
113897,HC INJ NERV BLK PUDENDAL NERVE BI,"$1,258.91 "
113899,HC INJ NERV SCIATIC NERVE SNGL,$832.53 
113901,HC INJ NERV FEMORAL NERVE SNGL,"$1,769.26 "
113903,HC INJ NERV BLK OTHER PERIPH,"$1,769.26 "
113905,HC INJ ANES STER TF EP C/T SGL,"$1,841.04 "
113907,HC INJ TF EPD CERV/THOR EA ADD,"$1,539.91 "
113909,HC INJ ANES STER TF EP L/S SGL,"$1,761.07 "
113911,HC INJ TF EPD LUMB/SACR EA ADD,"$1,408.86 "
113913,HC INJ ANES RECTUS SH W GD UNI,"$1,884.99 "
113915,HC INJ ANES TRAN ABD PL W GD UNI,"$1,884.99 "
113917,HC INJ CONT INFUS RECTUS W GD UNI,"$2,309.71 "
113919,HC INJ CONT INFUS TR ABD W GD UNI,"$2,309.71 "
113921,HC INJ ANES RECTUS SH W GD BIL,"$2,450.49 "
113923,HC INJ ANES TRAN ABD PL W GD BIL,"$2,450.49 "
113925,HC INJ CONT INFUS RECTUS W GD BIL,"$3,002.62 "
113927,HC INJ CONT INFUS TR ABD W GD BIL,"$3,002.62 "
113929,HC INJ FACET JNT CERV/TH SINGLE LVL,"$2,999.04 "
113931,HC INJ FACET JNT CERV/TH 2ND LVL,"$2,399.23 "
113933,HC INJ FACET JNT CERV/TH 3RD LVL,"$2,399.23 "
113935,HC INJ FACET JNT LUMB/SACR SINGLE LVL,"$2,795.47 "
113937,HC INJ FACET LUMB/SACR 2ND LVL,"$2,236.37 "
113939,HC INJ FACET LUMB/SACR 3RD LVL,"$2,236.37 "
113941,HC INJ ANES SPHENOPALATINE GANGL,"$1,884.99 "
113943,HC INJ NERV BLK STELLATE GANGLION,"$1,256.63 "
113945,HC HYPOGASTRIC NERVE BLOCK,"$1,723.76 "
113947,HC INJ NERV BLK SYMP LUMBAR/THOR,"$1,256.63 "
113949,HC INJ NERV BLK CELIAC PLEXUS,"$1,103.31 "
113951,HC DESTR NEUR AGENT INTRCOSTAL,"$1,115.33 "
113955,HC NRV DEST FAC C/T SGL W/IMG,"$3,064.07 "
113957,HC NRV DEST FAC C/T ADD W/IMG,"$1,532.02 "
113959,HC NRV DEST FAC LUM SGL W/IMG,"$3,064.07 "
113961,HC NRV DEST FAC LUM ADD W/IMG,"$1,532.02 "
113965,HC GANGLION IMPAR BLOCK,$720.32 
113967,HC INJ HARDWARE BLOCK PER SITE,"$1,955.49 "
113969,HC INTRAVITREAL INJ PHARM,"$1,378.30 "
113971,HC OCULAR PHOTODYNAMIC TX 1ST EYE,"$3,108.89 "
113973,HC OCULAR PHOTODYNAMIC TX 2ND EYE,$967.31 
113975,HC LC SGF T/A/L <=100SQCM 1ST25,"$1,531.58 "
113977,HC LC SGF F/N/G <=100SQCM 1ST25,"$1,755.99 "
113979,HC LC SGF F/N/G <=100SQCM E/A25,$419.28 
113983,HC INJ SACROILIAC JOINT TX,"$1,343.76 "
113985,HC PLACEMENT OCCLUSIVE DEVICE,"$1,462.48 "
113987,HC BONE MARROW ASP W/BIOP SAME DY,$467.63 
113989,HC FINE NEEDLE ASPIRATION WITHOUT IMAGING INITIAL LESION,$825.98 
113991,HC ANES GEN 1ST 15 MIN,$718.07 
113993,HC ANES GEN EA ADDL MIN,$43.22 
113995,HC ANES LOCAL 1ST 15 MIN,$159.96 
113997,HC ANES LOCAL EA ADDL MIN,$1.19 
113999,HC ANES MAC 1ST 15 MIN,$261.01 
114001,HC ANES MAC EA ADDL MIN,$23.51 
114003,HC ANES REG BLOCK 1ST 15 MIN,$560.43 
114005,HC ANES REG BLOCK EA ADDL MIN,$31.29 
114007,HC LABOR EPIDURAL,$647.18 
114009,HC LABOR SPINAL,$647.18 
114013,HC CONSCIOUS SED >5YRS 1ST 30 MIN,$91.86 
114015,HC CONSCIOUS SED EACH ADDL 15 MIN,$17.92 
114017,HC ACUPUNCTURE EVAL/REEVAL,$128.14 
114019,HC ACUPUNCTURE W/ STIM INITIAL 15 MIN,$332.91 
114021,HC ACUPUNCTURE W/O STIM INITIAL 15 MIN,$117.55 
114023,HC BLOOD SPLIT UNIT PROCESSING,"$1,385.88 "
114025,HC CRYOPRECIPITATE PROC EACH UNIT,$494.06 
114027,HC BLOOD RBC LR PROCESS EACH UNIT,"$1,321.67 "
114029,HC PLASMA FRESH FROZ PROC EA UNIT,$540.86 
114031,HC PLT PHERESIS LR PROC EA UNIT,"$3,720.68 "
114033,HC PLT PHER LR IRRAD PROC EA UNIT,"$4,705.16 "
114035,HC BLOOD RBC DEGLYC PROC EA UNIT,"$3,231.45 "
114037,HC BLOOD RBC LR IRR PROC EA UNIT,"$1,921.81 "
114039,HC PLT HLA-MATCH LR PROC EA UNIT,"$6,621.20 "
114041,"HC FFP 8-24 HRS OF COLLECT, EA",$540.86 
114043,HC BLOOD PRODUCT TRANSFUSION,"$2,117.36 "
114047,HC DIAGNOSTIC DIGITAL MAMMOGRM BI,$807.58 
114049,HC DIAGNOSTIC DIGITAL MAMMOGRM,$296.44 
114053,HC BREAST TOMOSYNTHESIS DIAGNOSTIC BILATERAL,$127.68 
114055,HC US BLADDER POST-VOID RESIDUAL,$196.02 
114059,HC TUNNEL PLEURAL DRAIN GUIDANCE,"$2,227.45 "
114061,HC 3D RENDER W/O POST PROCESS,$761.12 
114063,HC US ENCEPHALOGRAM,"$1,019.67 "
114065,HC US OPHTH DX B SCAN W/QT A,$795.98 
114067,HC US OPHTH B SCAN W-W/O A,"$1,172.62 "
114069,HC US OPHTH IMMERSION B SCAN,"$1,172.62 "
114071,HC US OPHTH BIO AXL W/O CALC,$611.80 
114073,HC US OPHTH BIO AXL W/CALC,$734.16 
114075,HC US SOFT TISSUE HEAD/NECK,"$1,019.67 "
114077,HC US CHEST,"$1,172.62 "
114079,HC US BREAST COMPLETE,"$1,019.67 "
114081,HC US BREAST LTD,$611.80 
114083,HC US ABDOMINAL COMPLETE,"$1,223.60 "
114085,HC US ABDOMINAL LIMITED,"$1,091.05 "
114087,HC US RETROPERITONEAL COMPLETE,"$1,508.37 "
114089,HC US RETROPERITONEAL LIMITED,"$1,206.70 "
114091,HC US KIDNEY TRANSPLANTED,"$1,172.62 "
114093,HC US SPINAL CANAL,$611.80 
114095,HC US PREG UTERUS <14WK TRANSAB,"$1,019.67 "
114097,HC US PREG UTERUS <14WK ADDL GEST,$697.07 
114099,HC US PREG UTERUS >14WK TRANSAB,"$1,223.60 "
114101,HC US PREG UTERUS >14WK ADDL GEST,$978.88 
114103,HC US OB COMPLETE 1 FETUS,"$1,019.67 "
114105,HC US OB COMPLETE ADDL FETUS,$992.62 
114107,HC US OB NUCHAL TRANSLUC 1 FETUS,"$1,172.62 "
114109,HC US OB NUCHAL TRANSLUC EA ADDL,$306.65 
114111,HC US OB LIMITED 1 OR > FETUSES,"$1,019.67 "
114113,HC US OB FOLLOW UP EACH FETUS,"$1,019.67 "
114115,HC US OB TRANSVAGINAL,"$1,019.67 "
114117,HC US FETAL BIO PROFILE W/ NST,"$1,445.24 "
114119,HC US FETAL BIO W/O NST,"$1,204.36 "
114121,HC US DOPPLER VELOC FETAL UMB ART,$991.04 
114123,HC US DOPPLER VELOC FETAL MC ART,$795.08 
114125,HC US FETAL ECHO CARDIAC,"$3,466.88 "
