No.,General Description,Charge
81901471,"HC CORD HR-A,B,C,DRB1 STD - TW",3720.00
81901472,"HC CORD HR-A,B,C,DRB1 URG - 92 SG",5868.00
81901473,"HC CORD HR-A,B,C,DRB1 URG - 93 ISRAEL",3792.00
81901474,"HC CORD HR-A,B,C,DRB1 URG - 99 TW",3216.00
81901475,"HC CORD HR-A,B,C,DRB1 URG - ES",4836.00
81901476,"HC CORD HR-A,B,C,DRB1 URG - GZ",5364.00
81901477,"HC CORD HR-A,B,C,DRB1 URG - TW",4416.00
81901478,"HC CORD HR-A,B,C,DRB1,DQB1 STD - 91 TW",3192.00
81901479,"HC CORD HR-A,B,C,DRB1,DQB1 STD - 92 SG",5484.00
81901480,"HC CORD HR-A,B,C,DRB1,DQB1 STD - 99 TW",2772.00
81901481,"HC CORD HR-A,B,C,DRB1,DQB1 URG - 91 TW",4020.00
81901482,"HC CORD HR-A,B,C,DRB1,DQB1 URG - 92 SG",6048.00
81901483,"HC CORD HR-A,B,C,DRB1,DQB1 URG - 99 TW",3552.00
81901484,"HC CORD HR-A,B,C,DR,DQ,DP STD - 91 TW",3516.00
81901485,"HC CORD HR-A,B,C,DR,DQ,DP STD - 92 SG",5640.00
81901486,"HC CORD HR-A,B,C,DR,DQ,DP STD - 93 ISRAEL",3612.00
81901487,"HC CORD HR-A,B,C,DR,DQ,DP STD - 99 TW",2928.00
81901488,"HC CORD HR-A,B,C,DR,DQ,DP STD - ES",4668.00
81901489,"HC CORD HR-A,B,C,DR,DQ,DP STD - GZ",5196.00
81901490,"HC CORD HR-A,B,C,DR,DQ,DP STD - TW",4020.00
81901491,"HC CORD HR-A,B,C,DR,DQ,DP URG - 91 TW",4392.00
81901492,"HC CORD HR-A,B,C,DR,DQ,DP URG - 92 SG",6348.00
81901493,"HC CORD HR-A,B,C,DR,DQ,DP URG - 93 ISRAEL",4536.00
81901494,"HC CORD HR-A,B,C,DR,DQ,DP URG - 99 TW",3924.00
81901495,"HC CORD HR-A,B,C,DR,DQ,DP URG - ES",5544.00
81901496,"HC CORD HR-A,B,C,DR,DQ,DP URG - GZ",6072.00
81901497,"HC CORD HR-A,B,C,DR,DQ,DP URG - TW",4896.00
81901498,HC CORD HR-A STD - 91 TW,1164.00
81901499,HC CORD HR-A STD - 92 SG,1164.00
81901500,HC CORD HR-A STD - 93 ISRAEL,1164.00
81901501,HC CORD HR-A STD - 99 TW,1164.00
81901502,HC CORD HR-A STD - GZ,1164.00
81901503,HC CORD HR-A STD - TW,1164.00
81901504,HC CORD HR-A URG - 91 TW,1356.00
81901505,HC CORD HR-A URG - 92 SG,1356.00
81901506,HC CORD HR-A URG - 93 ISRAEL,1356.00
81901507,HC CORD HR-A URG - 99 TW,1356.00
81901508,HC CORD HR-A URG - GZ,1356.00
81901509,HC CORD HR-A URG - TW,1356.00
81901510,HC CORD HR-B STD - 91 TW,1188.00
81901511,HC CORD HR-B STD - 92 SG,1188.00
81901512,HC CORD HR-B STD - 93 ISRAEL,1188.00
81901513,HC CORD HR-B STD - 99 TW,1188.00
81901514,HC CORD HR-B STD - GZ,1188.00
81901515,HC CORD HR-B STD - TW,1188.00
81901516,HC CORD HR-B URG - 91 TW,1464.00
81901517,HC CORD HR-B URG - 92 SG,1464.00
81901518,HC CORD HR-B URG - 93 ISRAEL,1464.00
81901519,HC CORD HR-B URG - 99 TW,1464.00
81901520,HC CORD HR-B URG - GZ,1464.00
81901521,HC CORD HR-B URG - TW,1464.00
81901522,HC CORD HR-C STD - 91 TW,1128.00
81901523,HC CORD HR-C STD - 92 SG,1128.00
81901524,HC CORD HR-C STD - 93 ISRAEL,1128.00
81901525,HC CORD HR-C STD - 99 TW,1128.00
81901526,HC CORD HR-C STD - ES,1128.00
81901527,HC CORD HR-C STD - GZ,1128.00
81901528,HC CORD HR-C STD - TW,1128.00
81901529,HC CORD HR-C URG - 91 TW,1272.00
81901530,HC CORD HR-C URG - 92 SG,1272.00
81901531,HC CORD HR-C URG - 93 ISRAEL,1272.00
81901532,HC CORD HR-C URG - 99 TW,1272.00
81901533,HC CORD HR-C URG - ES,1272.00
81901534,HC CORD HR-C URG - GZ,1272.00
81901535,HC CORD HR-C URG - TW,1272.00
81901536,HC CORD HR-ABC STD - 91 TW,2016.00
81901537,HC CORD HR-ABC STD - 92 SG,2016.00
81901538,HC CORD HR-ABC STD - 93 ISRAEL,2016.00
81901539,HC CORD HR-ABC STD - 99 TW,2016.00
81901540,HC CORD HR-ABC STD - ES,2016.00
81901541,HC CORD HR-ABC STD - GZ,2016.00
81901542,HC CORD HR-ABC STD - TW,2016.00
81901543,HC CORD HR-ABC URG - 91 TW,2916.00
81901544,HC CORD HR-ABC URG - 92 SG,2916.00
81901545,HC CORD HR-ABC URG - 93 ISRAEL,2916.00
81901546,HC CORD HR-ABC URG - 99 TW,2916.00
81901547,HC CORD HR-ABC URG - ES,2916.00
81901548,HC CORD HR-ABC URG - GZ,2916.00
81901549,HC CORD HR-ABC URG - TW,2916.00
81901550,"HC CORD IR-DRB3,4,5 STD - 91 TW",0.00
81901551,HC CORD IR-DRB3.4.5 STD - 92 SG,0.00
81901552,"HC CORD IR-DRB3,4,5 STD - 93 ISRAEL",0.00
81901553,"HC CORD IR-DRB3,4,5 STD - 99 TW",0.00
81901554,"HC CORD IR-DRB3,4,5 STD - ES",0.00
81901555,"HC CORD IR-DRB3,4,5 STD - GZ",0.00
81901556,"HC CORD IR-DRB3,4,5 STD - TW",0.00
81901557,"HC CORD IR-DRB3,4,5 URG - 91 TW",0.00
81901558,HC CORD IR-DRB3.4.5 URG - 92 SG,0.00
81901559,"HC CORD IR-DRB3,4,5 URG - 93 ISRAEL",0.00
81901560,"HC CORD IR-DRB3,4,5 URG - 99 TW",0.00
81901561,"HC CORD IR-DRB3,4,5 URG - ES",0.00
81901562,"HC CORD IR-DRB3,4,5 URG - GZ",0.00
81901563,"HC CORD IR-DRB3,4,5 URG - TW",0.00
81901564,"HC CORD HR-DRB3,4,5 STD - 91 TW",1140.00
81901565,HC CORD HR-DRB3.4.5 STD - 92 SG,1140.00
81901566,"HC CORD HR-DRB3,4,5 STD - 93 ISRAEL",1140.00
81901567,"HC CORD HR-DRB3,4,5 STD - 99 TW",1140.00
81901568,"HC CORD HR-DRB3,4,5 STD - ES",1140.00
81901569,"HC CORD HR-DRB3,4,5 STD - GZ",1140.00
81901570,"HC CORD HR-DRB3,4,5 STD - TW",1140.00
81901571,"HC CORD HR-DRB3,4,5 URG - 91 TW",1272.00
81901572,HC CORD HR-DRB3.4.5 URG - 92 SG,1272.00
81901573,"HC CORD HR-DRB3,4,5 URG - 93 ISRAEL",1272.00
81901574,"HC CORD HR-DRB3,4,5 URG - 99 TW",1272.00
81901575,"HC CORD HR-DRB3,4,5 URG - ES",1272.00
81901576,"HC CORD HR-DRB3,4,5 URG - GZ",1272.00
81901577,"HC CORD HR-DRB3,4,5 URG - TW",1272.00
81901578,HC CORD HR-DQB1 STD - 91 TW,960.00
81901579,HC CORD HR-DQB1 STD - 92 SG,960.00
81901580,HC CORD HR-DQB1 STD - 93 ISRAEL,960.00
81901581,HC CORD HR-DQB1 STD - 99 TW,960.00
81901582,HC CORD HR-DQB1 STD - GZ,960.00
81901583,HC CORD HR-DQB1 STD - TW,960.00
81901584,HC CORD HR-DQB1 URG - 91 TW,1140.00
81901585,HC CORD HR-DQB1 URG - 92 SG,1140.00
81901586,HC CORD HR-DQB1 URG - 93 ISRAEL,1140.00
81901587,HC CORD HR-DQB1 URG - 99 TW,1140.00
81901588,HC CORD HR-DQB1 URG - ES,1140.00
81901589,HC CORD HR-DQB1 URG - GZ,1140.00
81901590,HC CORD HR-DQB1 URG - TW,1140.00
81901591,HC CORD HR-DPB1 STD - 91 TW,1092.00
81901592,HC CORD HR-DPB1 STD - 92 SG,1092.00
81901593,HC CORD HR-DPB1 STD - 93 ISRAEL,1092.00
81901594,HC CORD HR-DPB1 STD - 99 TW,1092.00
81901595,HC CORD HR-DPB1 STD - ES,1092.00
81901596,HC CORD HR-DPB1 STD - GZ,1092.00
81901597,HC CORD HR-DPB1 STD - TW,1092.00
81901598,HC CORD HR-DPB1 URG - 91 TW,1272.00
81901599,HC CORD HR-DPB1 URG - 92 SG,1272.00
81901600,HC CORD HR-DPB1 URG - 93 ISRAEL,1272.00
81901601,HC CORD HR-DPB1 URG - 99 TW,1272.00
81901602,HC CORD HR-DPB1 URG - ES,1272.00
81901603,HC CORD HR-DPB1 URG - GZ,1272.00
81901604,HC CORD HR-DPB1 URG - TW,1272.00
81901605,HC CORD KIR URG - 91 TW,540.00
81901606,HC CORD KIR URG - 92 SG,612.00
81901607,HC CORD KIR URG - 93 ISRAEL,540.00
81901608,HC CORD KIR URG - 99 TW,540.00
81901609,HC CORD KIR URG - ES,540.00
81901610,HC CORD KIR URG - GZ,540.00
81901611,HC CORD KIR URG - TW,540.00
81901612,HC CORD MATERNAL STD - 91 TW,1044.00
81901613,HC CORD MATERNAL STD - 92 SG,960.00
81901614,HC CORD MATERNAL STD - 93 ISRAEL,840.00
81901615,HC CORD MATERNAL STD - 99 TW,576.00
81901616,HC CORD MATERNAL STD - ES,2184.00
81901617,HC CORD MATERNAL STD - GZ,2448.00
81901618,HC CORD MATERNAL STD - TW,1524.00
81901619,HC CORD MATERNAL URG - 91 TW,1092.00
81901620,HC CORD MATERNAL URG - 92 SG,1020.00
81901621,HC CORD MATERNAL URG - 93 ISRAEL,900.00
81901622,HC CORD MATERNAL URG - 99 TW,624.00
81901623,HC CORD MATERNAL URG - ES,2244.00
81901624,HC CORD MATERNAL URG - GZ,2496.00
81901625,HC CORD MATERNAL URG - TW,1692.00
81901626,HC CORD HR-A  - AR,1176.00
81901627,HC CORD HR-A  - AT LINX RED CROSS,888.00
81901628,HC CORD HR-A  - C1,1608.00
81901629,HC CORD HR-A  - CH,1920.00
81901630,HC CORD HR-A  - CQ,1320.00
81901631,HC CORD HR-A  - GB,1236.00
81901632,HC CORD HR-A  - IL,1008.00
81901633,HC CORD HR-A  - SV,1104.00
81901634,HC CORD HR-A  - SE,2112.00
81901635,HC CORD IR-A  - AR,756.00
81901636,HC CORD IR-A  - D2/96,840.00
81901637,HC CORD IR-A  - FR,1164.00
81901638,HC CORD IR-A  - GB,1236.00
81901639,HC CORD IR-A  - SE,1656.00
81901640,HC CORD LR-A  - C1,1608.00
81901641,HC CORD LR-A  - CQ,0.00
81901642,HC CORD LR-A  - FR,624.00
81901643,HC CORD LR-A  - NI,888.00
81901644,HC CORD LR-A  - SE,1632.00
81901645,HC CORD IR-B - D2/96,816.00
81901646,HC CORD IR-B - FR,1164.00
81901647,HC CORD IR-B - GB,1236.00
81901648,HC CORD IR-B - SE,1656.00
81901649,HC CORD IR-B - AR,900.00
81901650,HC CORD HR-B -  AR,1452.00
81901651,HC CORD HR-B -  AT LINX RED CROSS,792.00
81901652,HC CORD HR-B -  C1,1656.00
81901653,HC CORD HR-B -  CH,1920.00
81901654,HC CORD HR-B -  CQ,1320.00
81901655,HC CORD HR-B -  GB,1236.00
81901656,HC CORD HR-B -  IL,1008.00
81901657,HC CORD HR-B -  SV,1104.00
81901658,HC CORD HR-B -  SE,2112.00
81901659,HC CORD HR-B -  U1,1596.00
81901660,HC CORD LR-B - C1,1608.00
81901661,HC CORD LR-B - CQ,0.00
81901662,HC CORD LR-B - FR,624.00
81901663,HC CORD LR-B - N1,900.00
81901664,HC CORD LR-B - SE,1632.00
81901665,HC CORD LR-B - U1,1116.00
81901666,HC CORD HR-C - AR,1452.00
81901667,HC CORD HR-C - AT LINX RED CROSS,648.00
81901668,HC CORD HR-C - C1,1668.00
81901669,HC CORD HR-C - CH,1572.00
81901670,HC CORD HR-C - CQ,1320.00
81901671,HC CORD HR-C - FI,1968.00
81901672,HC CORD HR-C - GB,1236.00
81901673,HC CORD HR-C - IL,1008.00
81901674,HC CORD HR-C - N1,1164.00
81901675,HC CORD HR-C - SV,984.00
81901676,HC CORD HR-C - SE,2112.00
81901677,HC CORD IR-C - AR,900.00
81901678,HC CORD IR-C - D2/96,816.00
81901679,HC CORD IR-C - FR,1248.00
81901680,HC CORD IR-C - GB,1236.00
81901681,HC CORD IR-C - SE,1656.00
81901682,HC CORD LR-C - AU,912.00
81901683,HC CORD LR-C - C1,1608.00
81901684,HC CORD LR-C - CH,1188.00
81901685,HC CORD LR-C - CQ,0.00
81901686,HC CORD LR-C - FR,600.00
81901687,HC CORD LR-C - N1,900.00
81901688,HC CORD LR-C - SE,1632.00
81901689,HC CORD LR-C - U1,1116.00
81901690,HC CORD HR-DRB1 - AR,1452.00
81901691,HC CORD HR-DRB1 - AT LINX RED CROSS,816.00
81901692,HC CORD HR-DRB1 - C1,1788.00
81901693,HC CORD HR-DRB1 - CH,1572.00
81901694,HC CORD HR-DRB1 - CQ,1320.00
81901695,HC CORD HR-DRB1 - GB,1236.00
81901696,HC CORD HR-DRB1 - IL,1008.00
81901697,HC CORD HR-DRB1 - SV,1284.00
81901698,HC CORD HR-DRB1 - SE,2112.00
81901699,HC CORD LR-DRB1 - AR,756.00
81901700,HC CORD LR-DRB1 - CQ,0.00
81901701,HC CORD LR-DRB1 - FR,624.00
81901702,HC CORD LR-DRB1 - IL,936.00
81901703,HC CORD LR-DRB1 - SE,1632.00
81901704,HC CORD IR-DRB1 - AR,1032.00
81901705,HC CORD IR-DRB1 - D2/96,792.00
81901706,HC CORD IR-DRB1 - FR,1164.00
81901707,HC CORD IR-DRB1 - GB,2016.00
81901708,HC CORD HR-DQB1 - AR,1176.00
81901709,HC CORD HR-DQB1 - AT LINX RED CROSS,900.00
81901710,HC CORD HR-DQB1 - BE,1632.00
81901711,HC CORD HR-DQB1 - C1,1584.00
81901712,HC CORD HR-DQB1 - CH,1572.00
81901713,HC CORD HR-DQB1 - CQ,1320.00
81901714,HC CORD HR-DQB1 - FR,2160.00
81901715,HC CORD HR-DQB1 - GB,1236.00
81901716,HC CORD HR-DQB1 - IL,1008.00
81901717,HC CORD HR-DQB1 - N1,1032.00
81901718,HC CORD HR-DQB1 - SV,912.00
81901719,HC CORD HR-DQB1 - SE,2112.00
81901720,HC CORD HR-DQB1 - U1,1200.00
81901721,HC CORD LR-DQB1 - C1,1848.00
81901722,HC CORD LR-DQB1 - CH,1188.00
81901723,HC CORD LR-DQB1 - CQ,0.00
81901724,HC CORD LR-DQB1 - FR,624.00
81901725,HC CORD LR-DQB1 - IL,936.00
81901726,HC CORD LR-DQB1 - N1,1176.00
81901727,HC CORD LR-DPB1 - AT LINX RED CROSS,900.00
81901728,HC CORD LR-DPB1 - AU,1044.00
81901729,HC CORD LR-DPB1 - BE,1632.00
81901730,HC CORD LR-DPB1 - CH,1560.00
81901731,HC CORD LR-DPB1 - D2/96,936.00
81901732,HC CORD LR-DPB1 - FI,1728.00
81901733,HC CORD LR-DPB1 - FR,2160.00
81901734,HC CORD LR-DPB1 - GB,1236.00
81901735,HC CORD LR-DPB1 - IT,1560.00
81901736,HC CORD LR-DPB1 - N1,1032.00
81901737,HC CORD LR-DPB1 - SE,2112.00
81901738,"HC CORD HR-A,B,C,DRB1 - C1",3168.00
81901739,"HC CORD HR-A,B,C,DRB1 - D2/96",1992.00
81901740,"HC CORD HR-A,B,C,DRB1 - GB",3048.00
81901741,"HC CORD HR-A,B,C,DRB1,DQB1 - D2/96",2172.00
81901742,"HC CORD HR-A,B,C,DRB1,DQB1 - GB",3048.00
81901743,"HC CORD HR-A,B,C,DRB1,DQB1 - U1",3048.00
81901744,"HC CORD HR-A,B,C,DRB1,DQB1 -",2088.00
81901745,"HC CORD HR-A,B,C,DRB1,DQB1 - U1",30132.00
81901746,HC CORD CANCELLATION - BE,16716.00
81901747,HC CORD CANCELLATION - CH,11484.00
81901748,HC CORD CANCELLATION - D2/96,3396.00
81901749,HC CORD CANCELLATION - FR,5328.00
81901750,HC CORD CANCELLATION - GB,2448.00
81901751,HC CORD CANCELLATION - IL,5592.00
81901752,HC CORD CANCELLATION - IT,5304.00
81901753,HC CORD CANCELLATION - N1,10536.00
81901754,HC CORD CANCELLATION - SE,4536.00
81901755,HC IDM SAMPLE & LAB RESULTS-SG,3000.00
81901756,HC PRIMARY PBSC COLLECT-SG,108816.00
81901757,HC PRECOLLECT SAMPLE - DB,1212.00
81901758,HC FORMAL SEARCH - D1,3552.00
81901759,HC FORMAL SEARCH - D3,3552.00
81901760,HC SUPPLIER ACTIVAT - GR,504.00
81901761,HC BLOOD SAMPLE - DB,1212.00
81901762,HC INFECT DISEASE - DB,972.00
81901764,HC HR DRB1 STND - CY,1452.00
81901765,HC HR DRB1 STND - GO,2256.00
81901766,HC HR DPB1 STND - GO,2112.00
81901767,HC BLOOD SAMPLE - IN,4644.00
81901768,HC INFEC DISEASE - IN,2772.00
81901769,HC ADD BLOOD SAMPLE - IN,4836.00
81901770,HC IDM SAMP & LAB RESULT-IN,4080.00
81901771,HC IR-ABC STND - NL,2376.00
81901772,HC HR-ABC STND - CQ,3312.00
81901773,"HC IR-ABC,DRB1,DQB1 STND-CY",3264.00
81901774,HC IR-C TYPE STND - GO,1068.00
81901775,"HC HR-ABC,DRB1,DQB1 STND - SG",2712.00
81901776,"HC HR-DRB1, DQB1 STND - TW",2808.00
81901777,HC MARROW PROCUREMENT - C3,145992.00
81901778,HC MARROW INFO SESSION - C3,3852.00
81901779,HC MARROW PHYSICAL EXAM - C3,8952.00
81901780,HC MARROW AUTO BLD UNIT - C3,4032.00
81901781,HC MARROW AUTO BLD UNIT - CQ,2220.00
81901782,HC PBSC INFO SESSION - CQ,2220.00
81901783,HC PRIMARY PBSC COLLECT - IN,102060.00
81901784,HC SECONDARY COLLECT PBSC - IN,93456.00
81901785,HC MARROW PROCUREMENT - NL,106116.00
81901786,HC INFO SES MARROW CAN - NL,1884.00
81901787,HC PHY EXAM MARROW CAN - NL,3960.00
81901788,HC AUTO BLD MARROW CAN - NL,2004.00
81901789,HC INFO SESSION PBSC CAN - NL,1884.00
81901790,HC INFO SESSION PBSC CAN - ME,2256.00
81901791,HC PHYSICAL EXAM PBSC CAN - ME,7320.00
81901792,HC HR A CORD - N1,1188.00
81901793,"HC HR DRB1,3,4,5 CORD - N1",1512.00
81901794,HC HR DPB1 CORD - N1,1044.00
81901795,"HC HR A,B,C CORD - CQ",3036.00
81901796,"HC HR A,B,C,DRB1,DQB1 CORD-CQ",4692.00
81901797,HC FORMAL SEARCH - IL,3552.00
81901798,HC PBSC PRIMARY COLLECT - DB,88020.00
81901799,HC FORMAL SEARCH - HK,3552.00
81901800,HC INFECT DISEASE - DE,744.00
81901801,HC INFECT DISEASE - LV,1032.00
81901802,HC BLOOD SAMPLE - LV,2028.00
81901803,HC INFECTI. DISEASE TESTS - AR,1020.00
81901804,HC PRIMARY CORD COLLECT - N1,85924.00
81901805,HC INFECT. DISEASE TEST - AR,1020.00
81901806,HC FORMAL SEARCH - DB,3552.00
81901807,HC ADD BLOOD SAMPLE - DB,1272.00
81901808,HC PRIMARY PBSC COLLECT – DB,89688.00
81901809,HC FORMAL SEARCH – JP,3000.00
81901810,HC INFEC DISEASE TEST - KR,1704.00
81901811,HC CORD HR-A TYPING,1248.00
81901812,HC CORD HR-B TYPING,1356.00
81901813,HC CORD HR-C TYPING,1152.00
81901814,HC CORD HR-DQB1 TYPING,1020.00
81901815,HC CORD HR-DPB1 TYPING,1152.00
81901816,HC CORD HR-CONFIRM TYPE - 94,3528.00
81901817,HC SUPPLIER ACTIVATION - C6,6492.00
81901818,HC SUPPLIER ACTIVATION - GO,1620.00
81901819,HC SUPPLIER ACTIVATION - HU,1116.00
81901820,HC UNSTIMULAT LEUKAPHERESIS-US,44724.00
81901821,HC CORD HR-ABCDRDQDP STD-78,2904.00
81901822,HC CORD HR-ABCDRDQDP STD-58,2904.00
81901823,HC CORD HR-DPB1 STD - 73,888.00
81901824,HC CORD HR-DPB1 STD - 70,888.00
81901825,HC INFEC DISEASE TEST - PT,1920.00
81901826,HC CORD HR-ABCDRDQDP STD-56,2904.00
81901827,HC CORD HR-ABCDRDQDP STD-62,2904.00
81901828,HC CORD HR-ABCDRDQDP STD-63,2904.00
81901829,HC FORMAL SEARCH - DE,3552.00
81901830,HC FORMAL SEARCH - CY,3552.00
81901831,HC BLOOD SAMPLE-NMDP-D4,1308.00
81901832,HC INFECTIOUS DISEASE TESTS-D4,1044.00
81901833,HC ADDITIONAL BLOOD-D4,1308.00
81901834,HC IDM SAMPLE & LAB RESULT-D4,2340.00
81901835,HC WORKUP CANCEL PBSC-D4,6636.00
81901836,HC PHYSIC EXAM PBSC-D4,6324.00
81901837,HC INFO SESSION PBSC-D4,1836.00
81901838,HC BLOOD SAMPLE-USR,1152.00
81901839,HC BUCCAL SWAB SAMPLE-USR,324.00
81901840,HC BUCCAL SWAB SAMPLE-INTL,480.00
81901841,HC PBSC INFO SESSION - DB,1836.00
81901842,HC PBSC PHYS EXAM - DB,6324.00
81901843,HC PBSC WORKUP CANCELLATION-DB,6636.00
81901844,HC FORMAL SEARCH - CA,3552.00
81901845,HC MARROW INFO SESS - DB,1908.00
81901846,HC MARROW PHYSICAL EX - DB,6300.00
81901847,HC MARROW WORKUP CANCEL - DB,6432.00
81901848,HC CTL STUDY,1896.00
81901849,HC BLOOD SAMPLE - RO,3516.00
81901850,HC FORMAL SEARCH - GB,3552.00
81901851,HC CORD HR-ABCDRDQDP STD-73,2904.00
81901852,HC PRIM COLLECT PBSC ALLO-US,64116.00
81901853,HC PRIM COLLECT MAR ALLO-US,64116.00
81901854,HC  ALLOGEN MARROW PROC-CONC,3169.00
81901855,HC  ALLOGEN SC PROC-CONG,3169.00
81901856,HC DLI COLLECTION & PROCESSING,2968.00
81901857,HC CORD HR-ABCDRDQDP-51,2964.00
81901858,HC FORMAL SEARCH - 66,3552.00
81901859,HC CORD HR-DP STD - D2,924.00
81901860,HC CORD HR-ABCDRDQDP STD - 66,2964.00
81901861,HC CORD HR-ABCDRDQDP STD - 69,2964.00
81901862,HC FORMAL SEARCH- 59,3552.00
81901863,HC CORD HR-ABCDRDQDP STD - 59,2964.00
81901864,HC CORD HR-ABCDRDQDP STD - 74,2964.00
81901865,HC FORMAL SEARCH- NL,3552
81901866,HC ADDITIONAL BLOOD-BR,5424.00
81901867,HC IDM SAMPLE & LAB RESULT-BR,7140.00
81901868,HC MARROW PROCUREMENT - BR,124512.00
81901869,HC PRIMARY PBSC COLLECT-BR,121980.00
81901870,HC SECONDARY PBSC - BR,121980.00
81901871,HC UNSTIMULAT LEUKAHERESIS-BR,51396.00
81901872,HC WORKUP CANCEL FEE-BR,8208.00
82100001,HC OUTPATIENT HEMODIALYSIS COMPOSITE RATE,2579.00
82900001,HC UNSCHED/EMERG OP DIALYSIS ESRD,7541.00
84100001,"HC CAPD, COMPST RATE, W/ TRAIN",1541.00
84100002,"HC CAPD, COMPST RATE, W/O TRAIN",1541.00
85100001,"HC CCPD, COMPOST RATE, W/ TRAIN",1541.00
85100002,"HC CCPD, COMPST RATE, W/O TRAIN",1541.00
90000006,"HC FAMILY PSYCHOTHERAPY, W/PT 26-50 MINUTES",423.00
90000006,"HC FAMILY PSYCHOTHERAPY, W/PT 26-50 MINUTES",423.00
90000008,HC PSYCHO TESTING BY PSYCH/PHYS,510.00
90000008,HC PSYCHO TESTING BY PSYCH/PHYS,509.00
90000009,"HC ASSESS HLTH/BEHAV, INIT, EA 15 MIN",93.00
90000009,"HC ASSESS HLTH/BEHAV, INIT, EA 15 MIN",92.00
90000010,"HC ASSESS HLTH/BEHAV, SUBSEQ, EA 15 MIN",93.00
90000010,"HC ASSESS HLTH/BEHAV, SUBSEQ, EA 15 MIN",92.00
90000011,"HC INTERV HLTH/BEHAV, INDIV, EA 15 MIN",93.00
90000011,"HC INTERV HLTH/BEHAV, INDIV, EA 15 MIN",92.00
90000012,"HC INTERV HLTH/BEHAV, GRP, EA 15 MIN",92.00
90000013,"HC INTERV HLTH/BEHAV, FAM W/PT, EA 15 MIN",93.00
90000013,"HC INTERV HLTH/BEHAV, FAM W/PT, EA 15 MIN",92.00
90000014,"HC INTERV HLTH/BEHA FAM NO/PT, EA 15 MIN",93.00
90000014,"HC INTERV HLTH/BEHA FAM NO/PT, EA 15 MIN",92.00
90000015,HC SPECIAL GROUP THERAPY,171.00
90000015,HC SPECIAL GROUP THERAPY,170.00
90000017,HC PSYTX CRISIS INITIAL 60 MIN,293.00
90000018,HC PSYTX CRISIS EA ADDL 30 MIN,145.00
90000019,"HC FAMILY PSYCHOTHERAPY, NO PT 26-50 MINUTES",293.00
90000020,HC MULTI-FAMILY GROUP THERAPY,161.00
90100001,HC ECT AS AIP PATIENT - PER OCCURRENCE,2704.00
90500001,HC INTENSIVE OP SERVICE – PEDS,973.00
90500002,"HC BEHAV HEALTH DAY TREAT, PER HR",545.00
90500003,HC INTENSIVE OP SERVICE - ADULT,676.00
91200001,HC PARTIAL HOSPITALIZATION,1305.00
91200002,"HC PARTIAL HOSPITALIZATION, 3 HRS OR LESS",757.00
91300001,HC EATING DISORDER IFT PHP 10-HR,2080.00
91400001,HC PSYTX PT&/FAM W/E&M 30 MIN,317.00
91400002,HC PSYTX PT&/FAM W/E&M 45 MIN,401.00
91400003,HC PSYTX PT&/FAM W/E&M 60 MIN,650.00
91400004,HC ADAPTIVE BEHAV TX BY PROTOCOL FIRST 30 MIN,272.00
91400005,HC ADAPTIVE BEHAV TX BY PROTOCOL ADDL 30 MIN,272.00
91400006,HC BEHAV TX WITH MODIFICATION FIRST 30 MIN,272.00
91400007,HC BEHAV TX WITH MODIFICATION ADDL 30 MIN,272.00
91400008,HC ADAPTIVE BEHAV TX BY PROTOCOL FIRST 15 MIN,136.00
91400009,HC ADAPTIVE BEHAV TX BY PROTOCOL ADDL 15 MIN,136.00
91400010,HC BEHAV TX WITH MODIFICATION FIRST 15 MIN,136.00
91400011,HC BEHAV TX WITH MODIFICATION ADDL 15 MIN,136.00
91400012,HC PSYTX PT 16-37 MINUTES,220.00
91400012,HC PSYTX PT 16-37 MINUTES,220.00
91400013,HC PSYTX PT W/E&M 16-37 MINUTES,317.00
91400014,HC PSYTX PT 38-52 MINUTES,293.00
91400014,HC PSYTX PT 38-52 MINUTES,293.00
91400015,HC PSYTX PT W/E&M 45 MIN,401.00
91400016,HC PSYTX PT 60 MINUTES,293.00
91400016,HC PSYTX PT 60 MINUTES,293.00
91400017,HC PSYTX PT W/E&M 60 MIN,650.00
91500001,HC GRP PSYCH PARTIAL HOSP 45-50,171.00
91500002,HC INTER ACTIVE GRP PSYCH PARTI,171.00
91500003,HC GROUP BEHAVIOR TREATMENT 1ST 30 MIN,201.00
91500004,HC GROUP BEHAV TREATMENT ADDL 30MIN,201.00
91500005,HC SOCIAL SKILLS TRAINING GROUP,201.00
91500006,HC GROUP BEHAV TX 1ST 15 MIN,101.00
91500007,HC GROUP BEHAV TX ADDL 15 MIN,101.00
91500008,HC SOCIAL SKILLS TRAINING GROUP 15 MIN,51.00
91600001,HC FAMILY BEHAVIOR TREATMENT GUIDANCE,378.00
91600002,HC MULT FAM BEHAV TREAT GUIDE,378.00
91600003,HC FAMILY BEHAVIOR TX GUIDANCE W/O PT 15 MIN,94.00
91600004,HC MULT FAM BEHAV TX GUIDE W/O PT +15 MIN,94.00
91700001,"HC BF, PERINEAL MUSCLES OR SPINCTER",1425.00
91700002,HC BIOFDBCK TRAIN BY ANY MOD,474.00
91800000,HC HLTH/BEHAV ASSESS INIT EA 15MN,216.00
91800001,HC HLTH/BEHAV RE-ASSESS EA 15MN,216.00
91800002,HC BEHAVIORAL IDENTIFICATION ASSESSMENT,432.00
91800003,HC OBSERVATIONAL BEHAV ASSESSMENT FIRST 30 MIN,323.00
