Procedure Description, Charge Amount 
ATIVAN : 2MG/ML INJ. (LORazepam)********,$6.50 
TYLENOL 500MG CAPLETS (ACETAMINOPHEN),$0.11 
TYLENOL CHEWABLE 80MG (ACETAMINOPHEN),$0.15 
AMOXICILLIN 500MG CAPSULE,$2.00 
FLAGYL(metroNIDAZOLE) :500MG/100ML PREMX,$18.00 
LIDOCAINE 2% VISCOUS,$23.80 
RESTORIL 15MG CAPS (TEMAZEPAM) ********,$2.45 
RESTORIL 30 MG CAP (TEMAZEPAM) *********,$3.20 
ASPIRIN 325MG BUFFERED,$0.05 
MILK OF MAGNESIA LIQ,$2.56 
ALBUTEROL HFA MDI (VENTOLIN/PROAIR)18GM,$66.50 
SINEMET 25/100 TABLETS(CARBIDOPA/LEVODAP,$2.50 
ATIVAN 0.5MG TABLET (LORazepam) *******,$2.70 
KETALAR 50MG/ML (KETAMINE),$22.15 
MARCAINE-MPF 0.5% STERI PAK (SENSORCAIN),$25.10 
NEOSTIGMINE 1MG/ML(BLOXIVERZ),$61.14 
SUCCINYLCHOLINE 20 MG/ML (QUELICIN),$48.34 
TENORMIN (ATENOLOL) 50MG TABLET,$3.30 
CORTROSYN 0.25MG INJ (COSYNTROPIN),$155.28 
"""VERAPAMIL INJ 10MG/4ML (ISOPTIN,CALAN)""",$61.57 
KlonoPIN 0.5MG TABS. (clonazePAM)*******,$3.10 
PROLIXIN 5MG (fluPHENAZine),$4.15 
NAPROSYN 375MG (NAPROXYN),$3.75 
PROCARDIA 10MG CAPSULE (NIFEdipine),$2.14 
CARAFATE 1 GM TAB(SUCRALFATE),$1.00 
XANAX 0.25MG TAB (ALPRAZolam) **********,$2.30 
MULTIPLE VIT. & MINERALS,$1.00 
FLORINEF 0.1MG TABS (FLUDROCORTISONE),$2.35 
AMOXICILLIN SUSP 250MG/5ML,$12.18 
DESYREL 50MG TABLET (traZODone),$1.90 
DEPO-MEDROL:80MG/1ML (METHYLPRED/ACETAT),$35.79 
XANAX 0.5MG TABLET (ALPRAZolam)********,$3.10 
REGLAN 10MG TABLET (METOCLOPRAMIDE),$1.40 
REGLAN : 10MG/2ML INJ (METOCLOPRAMIDE),$7.80 
LOPRESSOR 100MG (metoPROLOL TARTRATE),$1.00 
MYLICON/GENASYME DROPS (SIMETHICONE),$11.88 
SYNTHROID (LEVOTHYROXINE) 25 MCG. TAB,$1.45 
MARCAINE(SENSORCAINE) 0.75% AMP 30ML,$23.00 
CARDIZEM 30MG TABLET(DILTIAZEM),$1.90 
CALCIUM : 500MG (OYSTER SHELL CALCIUM),$0.20 
LIORESAL 10MG TABLET (BACLOFEN),$2.68 
KEFLEX 250MG/5ML SUSP,$45.42 
CARDIZEM 60MG TABLET(DILTIAZEM),$2.40 
METHadone 5MG TABLET *****************,$5.80 
TRACRIUM 10MG/ML 10 ML (ATRACURIUM),$38.40 
MARCAINE-MPF 0.25% (STERI PAK) 30ML,$23.80 
COMPAZINE 10MG/2ML INJ.(PROCHLORPERAZINE,$31.54 
CLEOCIN / NS IVPB: 300MG/ 50ML,$19.80 
CLEOCIN / NS IVPB : 600MG / 100ML,$19.80 
GENTAMICIN / NS IVPB : 80 MG/ 50ML,$18.00 
VANCOMYCIN / NS IVPB : 500MG / 100ML,$25.00 
NAFCILLIN/ NS IVPB : 2GM/ 100ML,$54.70 
VIBRAMYCIN/ D5W IVPB : 100MG/ 250ML,$40.24 
"""HEPARIN:25,000 UNITS/500 ML D5W""",$73.00 
MYCELEX TROCHES 10MG (CLOTRIMAZOLE),$4.35 
NACL 1 GM TABLET (SODIUM CHLORIDE),$1.00 
HYGROTON 25MG TABS (CHLORTHALIDONE),$2.01 
GLUCOTROL 10MG (glipiZIDE),$2.45 
TYLENOL 120MG SUPP (ACETAMINOPHEN),$3.25 
CATAPRES 100MCG TABLET (cloNIDine),$1.25 
HYDROCORTISONE 20MG TAB,$2.61 
MEGACE 40MG TABLET (MEGESTROL ACETATE),$2.74 
PLAQUENIL 200MG (HYDROXYCHLOROQUINE),$5.95 
MYSOLINE 50MG (PRIMIDONE),$1.85 
HYDREA 500MG CAPSULE,$2.55 
ASPIRIN 81MG CHEWABLE,$0.14 
LABETALOL:100MG/20ML (NORMODYNE/TRANDATE,$16.54 
AUGMENTIN 500MG TAB(AMOXICILIN/CLAVULANA,$7.56 
MOTRIN 200MG TABLET (IBUPROFEN),$1.00 
MICRONASE/DIABETA 5 MG (glyBURIDE),$2.05 
MICRONASE/DIABETA 2.5 MG (glyBURIDE),$1.40 
METHOTREXATE 2.5MG TAB,$8.48 
PERCOCET(5MG oxyCOD/325MG APAP) ******,$5.65 
PAMELOR 25MG CAPSULES (NORTRIPTYLINE),$1.76 
MAXZIDE TABLET (TRIAM75MG/HCTZ50MG),$3.35 
CLEOCIN / NS IVPB : 900MG / 100ML,$26.00 
TRENtal 400MG (PENTOXIFYLLINE),$2.20 
INDERAL LA 80MG (PROPRANOLOL),$3.75 
BUMEX 1MG/4ML INJ(BUMETANIDE),$6.50 
NULYTELY GAST. LAVAGE SOLN. (GO-LYTELY),$61.32 
DILAUDID 2MG TABLET (HYDROmorphone)*****,$7.05 
TUMS TABLET (CALCIUM CARBONATE),$5.03 
PHOSPHA NEUTRAL 250MG,$2.10 
LIDOCAINE 5% OINTMENT (XYLOCAINE),$369.14 
MOTRIN 800MG TABLET (IBUPROFEN),$1.85 
GLUCOTROL 5MG(glipiZIDE),$1.00 
PAMELOR 10MG (NORTRIPTYLINE),$2.00 
NASALIDE NASAL INH (FLUNISOLIDE)0.025%,$137.50 
IMURAN 50MG (azaTHIOprine),$2.80 
NORCURON : 10 MG (VECURONIUM BROMIDE),$67.40 
OSMOLITE HN RTH,$7.30 
LOTRISONE CR 15GM (CLOTRIMAZOLE/BETAMET),$44.28 
"""BACITRACIN IRRIGATION : 50,000 UNITS/ 1L""",$46.10 
LIDOCAINE 2% MPF 10ML AMP (XYLOCAINE),$21.60 
MORPHINE 1MG/ML PCA INJ,$25.40 
PEPTO BISMOL LIQUID,$4.30 
SENOT,$0.70 
MANNITOL : 20% 500ML PRE-MIX,$90.00 
VASOTEC 5MG TABLET (ENALAPRIL),$3.65 
prednisoLONE 1% OPTH SUSP,$98.22 
CATAPRES TTS 2(cloNIDine),$111.80 
PRIMAXIN / NS IVPB : 250MG/100ML,$42.75 
PRIMAXIN /NS IVPB : 500 MG/ 100ML,$94.85 
THEOPHYLLINE 100 MG EXTENDED RELEASE,$1.25 
DHE 45 INJ 1MG/1ML (DIHYDROERGOTAMINE),$266.24 
DILAUDID 4MG TABLET (HYDROmorphone)*****,$7.55 
PEPCID 20MG (FAMOTIDINE) TABLET,$5.00 
BUSPAR 10 MG TABLET(busPIRone),$3.65 
ROCEPHIN / NS IVPB : 1GM / 50ML,$92.00 
VASOTEC 20MG TABLET (ENALAPRIL),$4.90 
"""VERAPAMIL SR 240MG (CALAN, ISOPTIN)""",$4.80 
AMIODARONE 200 MG TAB (CORDARONE),$3.56 
ATROVENT HFA MDI (IPRATROPRIUM),$719.57 
ceFAZolin / NS IVPB : 1 GRAM / 50ML,$48.00 
ceFAZolin : 1 GM INJ,$19.45 
MURO 128 (SODIUM CHLORIDE 5%),$25.55 
MEDROL DOSEPAK 4MG (methylPREDNISolone),$44.68 
VISTARIL 50MG (hydrOXYzine),$1.50 
DECADRON : 10MG/ML INJ (DEXAMETHASONE),$6.50 
NAPROSYN 500MG (NAPROXYN),$4.20 
FIORICET(BUTALBITAL APAP CAFFEINE),$2.30 
PEPCID 20MG/2ML (FAMOTIDINE) IV,$8.10 
EUCERIN CREAM (MOISTURIN/HYDROCERIN),$8.46 
cefTAZidime (FORTAZ/TAZICEF) : 1 GM,$35.95 
MORPHINE EXT RELEASE 30MG (MS CONTIN)***,$6.00 
"""KCL 10 MEQ TABLET (TEN-K,KAON-CL,K-DUR)""",$1.04 
CIPRO 500MG(CIPROFLOXACIN),$8.90 
ROCEPHIN 1 GM VIAL- FOR IM USE,$47.15 
MIDAMOR 5MG (aMILoride),$4.10 
LABETOLOL 100MG TAB (NORMODYNE/TRANDATE),$2.00 
UNASYN / NS IVPB : 1.5GM/ 50 ML,$25.50 
UNASYN / NS IVPB : 3GM/ 100ML,$42.40 
TEGRETOL (carBAMazepine) 100MG TAB,$1.35 
ZESTRIL/PRINIVIL 10MG (LISINOPRIL),$1.02 
DAPSONE 100MG TABLET,$1.26 
PROzac 20MG CAPSULE (FLUoxetine),$4.96 
BACTROBAN OINT. 2%(MUPIROCIN),$155.30 
ZOSTRIX CREAM 0.025% (CAPSAICIN),$19.14 
SODIUM BICARBONATE 650 MG TAB,$0.90 
FOLIC ACID : 5 MG/ML INJ. VIAL,$76.32 
TETRACAINE 0.5% OPH SOL 4ML UD,$21.84 
CYCLOGYL 1% 2ML(CYCLOPENTOLATE),$32.66 
JEVITY 8OZ,$2.00 
FIBERSOURCE (JEVITY) RTH BAG,$7.45 
KlonoPIN 1MG (clonazePAM) *************,$3.35 
SILVER NITRATE APPLICATOR,$4.60 
ROCEPHIN / NS IVPB : 2 GM/ 50ML,$100.06 
MAXZIDE-25 / DYAZIDE(TRIAM 37.5/HCTZ25MG,$1.45 
NITRO-DUR 0.2MG/HR PATCH (NITROGLYCERIN),$3.80 
NITRO-DUR 0.4MG/HR PATCH (NITROGLYCERIN),$5.20 
NITRO-DUR 0.6MG/HR PATCH (NITROGLYCERIN),$8.10 
LIDOCAINE 4% AMP. (XYLOCAINE),$14.40 
CALCIUM GLUCONATE : 1GM/10 ML INJ,$12.56 
SYNTHROID (LEVOTHYROXINE) 75 MCG TAB,$1.67 
SYNTHROID (LEVOTHYROXINE) 125 MCG.TAB,$3.05 
PHENERGAN:25MG/ML INJ (PROMETHAZINE),$6.50 
VOSPIRE /VOLMAX 4 MG (ALBUTEROL EXT REL),$3.90 
REGLAN 5 MG (METOCLOPRAMIDE),$1.80 
CIPRO 250 MG.(CIPROFLOXACIN),$10.75 
ROCEPHIN 250MG VIAL,$36.20 
NARCAN 2MG/2ML (NALOXONE),$68.28 
VERSED 5MG/5ML INJ. (VIAL) (MIDAZOLAM)**,$8.35 
MORPHINE 15MG TAB (IMMEDIATE RELEASE),$5.65 
KCL 20 MEQ TABLET (K-DUR),$3.46 
ROCEPHIN 500MG VIAL- FOR IM USE,$28.33 
VANCOMYCIN : 1 GM (ORAL SOLUTION),$30.00 
D5W 250 ML,$18.00 
LACTATED RINGERS : 1000 ML,$73.00 
NORMAL SALINE 0.45% : 1000ML,$73.00 
D5 0.225% NACL : 1000 ML,$73.00 
D5 0.45%NACL :1000ML,$73.00 
NORMAL SALINE: 1000ML,$73.00 
D5W 1000ML,$73.00 
PROCARDIA XL/NIFEDIAC CC30MG(NIFEdipine),$3.40 
KCL20 MEQ/0.45 NS :1000 ML,$73.00 
KCL20 MEQ/D5-0.45 NS:1000 ML,$73.00 
KCL40 MEQ/D5-0.45 NS :1000 ML,$73.00 
KCL20 MEQ/D5-NS:1000 ML,$73.00 
KCL40 MEQ/D5NS:1000 ML,$73.00 
KCL20 MEQ/NS:1000 ML,$73.00 
KCL40 MEQ/NS :1000 ML,$73.00 
BUMEX 2 MG TABLET(BUMETANIDE),$3.34 
D10W 1000 ML,$73.00 
MULTI VITAMIN/MINERAL LIQUID,$13.40 
HYTRIN 5 MG (TERAZOSIN),$1.74 
DESYREL TABLETS 100MG (traZODone),$3.10 
AEROCHAMBER W/FLOWSIGNAL,$30.00 
DILANTIN 30MG CAPSULE (PHENYTOIN),$1.20 
PRENATAL VITAMIN (VITAMIN + FOLIC ACID),$1.35 
KINEVAC 5MCG INJECTION (SINCALIDE),$216.01 
HYTRIN 1 MG (TERAZOSIN),$4.40 
DIFLUCAN 100MG TAB (FLUCONAZOLE),$17.50 
D5W 500 ML,$73.00 
ADENOCARD 6MG/2 ML (ADENOSINE),$14.66 
TORADOL 30MG INJ. (KETOROLAC),$8.27 
TORADOL 60MG INJ. (KETOROLAC)***********,$8.44 
AQUAPHILIC OINTMENT 85 GM,$6.52 
TORADOL 15 MG INJ. (KETOROLAC),$10.10 
COUMADIN 1 MG(WARFARIN),$3.60 
HURRICAINE SPRAY / APPLIC,$70.84 
LOPID 600MG (GEMFIBROZIL),$4.62 
RABIES IMMUNE GLOB : 2 ML (CHG/ML),$771.39 
ROCALTROL 0.25 MCG. (CALCITRIOL),$3.95 
PROLASTIN : 10MG,$6.50 
OCUVITE TABLET (PRO SIGHT),$0.75 
LITHIUM CARBONATE 150 MG,$1.15 
RYTHMOL 150MG (PROPAFENONE),$4.90 
ATROPINE : 1 MG/ML INJ,$18.76 
DOBUTamine/ D5W PREMIX : 500MG/250 ML,$73.00 
DOPamine/D5W PREMIX : 400MG/250ML,$73.00 
MAGNESIUM 20GM/500 ML PRE-MIX,$73.00 
SLOW-MAG (MAG-TAB SR 84MG),$1.25 
TENORMIN (ATENOLOL) 25MG TAB,$3.10 
CIPROFLOXACIN / D5W IVPB : 400MG/200ML,$18.00 
WELLBUTRIN 75MG (buPROPion),$2.50 
HUMIBID LA 600MG (guaiFENesin ER),$1.00 
ZESTRIL/PRINIVIL 5MG (LISINOPRIL),$3.25 
LOTENSIN 10MG (BENAZEPRIL),$3.40 
LIDOCAINE UROJET 2% 5 ML,$14.36 
DONNATAL/MYLANTA/LIDOCAIN - DOSE,$20.00 
COGENTIN 0.5MG TABLET(BENZTROPINE),$1.46 
ZESTRIL/PRINIVIL 20MG (LISINOPRIL),$3.55 
LOTENSIN 20 MG (BENAZEPRIL),$3.40 
HALDOL DEC 100MG/ML: CHG PER ML,$99.52 
NICOTINE PATCH 21MG (NICODERM/HABITROL),$4.26 
NICOTINE PATCH 14 MG(NICODERM/HABITROL),$4.27 
NICOTINE PATCH 7MG (NICODERM/HABITROL),$9.05 
WELLBUTRIN 100MG (buPROPion),$3.45 
CELLUVISC 1%:CARBOXYMETHYLCELLULOSE),$21.56 
NEUPOGEN : 300 MCG- CHARGED PER MCG,$2.20 
ROMAZICON INJ 0.1MG/ML - 5ML VIAL,$47.80 
ZOLOFT 50MG TABLET (SERTRALINE),$7.20 
RELAFEN 500 MG (NABUMETONE),$2.50 
ZITHROMAX 250MG.TABLET (AZITHROMYCIN),$9.30 
DEPAKOTE 250MG (DIVALPROEX DELAYED REL),$5.90 
ZOCOR 10MG (SIMVASTATIN),$7.10 
CARDIZEM CD 180MG(TIAZAC)(DILTIAZEM),$5.15 
CARDIZEM CD 240MG(TIAZAC)(DILTIAZEM),$6.60 
CARDIZEM CD 300MG(TIAZAC)(DILTIAZEM),$6.50 
ROBAXIN 500MG TABLETS (METHOCARBAMOL),$1.75 
TAMBOCOR (FLECAINIDE) 100MG TAB,$4.40 
PROSCAR 5MG (FINASTERIDE),$6.22 
VASOTEC 1.25MG/ML (ENALAPRILAT),$10.80 
MORPHINE EXT RELEASE 15MG (MS CONTIN)***,$7.30 
MACROBID 100MG CAPSULES (NITROFURANTOIN),$5.80 
"""VERAPAMIL SR 120MG (CALAN,ISOPTIN)""",$3.65 
MYDRIACYL 1% 15ML(TROPICAMIDE),$15.61 
ZOLOFT 100MG TABLET (SERTRALINE),$6.95 
HEPATITIS B VACCINE PEDIATRIC-RECOMBIVAX,$64.15 
CARDIZEM CD 120MG(TIAZAC)(DILTIAZEM),$3.90 
OCEAN NASAL SPRAY (SODIUM CHLORIDE),$2.80 
VANCOMYCIN / NS IVPB : 1500MG / 500ML,$75.00 
NORVASC 5MG (amLODIPine),$1.80 
LORTAB 7.5/325(HYDROcodone/APAP 7.5/325),$4.50 
NORVASC 10 MG (amLODIPine),$6.25 
SALINE FLUSH,$0.01 
CARDIZEM DRIP: 100MG/100ML,$33.02 
DILAUDID HP (HYDROmorphone) : 50MG******,$44.42 
PAXIL 20 MG (PARoxetine),$6.70 
IMITREX 6MG/0.5ML INJ (SUMAtriptan),$191.70 
PERIDEX ORAL RINSE (CHLORHEXIDINE),$22.80 
DELZICOL:400MG (MESALAMINE),$8.10 
EMLA CREAM 5GM (LIDOCAINE/PRILOCAINE),$25.00 
CLARITIN 10 MG(LORATADINE),$1.10 
TEMOVATE (CLOBETASOL) 0.05% CREAM 15GM,$174.22 
TOBRADEX (TOBRAMYCIN/DEXAMETH) OP SUSP,$102.12 
PLENDIL 5MG TABS (FELODIPINE),$4.55 
MARCAINE-MPF SPINAL 0.75% AMPULE 2ML,$16.35 
DEPAKOTE 500MG (DIVALPROEX DELAYED REL),$9.55 
RYTHMOL 225MG TABLET(PROPAFENONE),$7.40 
VITAMIN E 400 UNITS (TOCOPHEROL),$0.65 
PROzac 10MG TAB (FLUoxetine),$2.50 
BETAPACE 80MG TABLET(SOTALOL)(SORINE 80),$2.64 
ISORDIL 30 MG TAB. (ISOSORBIDE DINITRATE,$1.95 
risperDAL 1MG (risperiIDONE),$10.60 
risperDAL 2 MG (risperiDONE),$16.70 
IMDUR 60MG EXT./RELEASE (ISOSORB.MONONIT,$4.12 
ZOSYN / NS IVPB : 3.375 GM/ 50 ML,$45.80 
LOVENOX (ENOXAPARIN) : 30 MG SYRINGE,$10.04 
EFFEXOR 37.5MG VENLAFAXIN,$5.50 
MAGNESIUM OXIDE 400MG,$1.15 
GLUCOTROL XL 5MG(glipiZIDE EXTENDED RELE,$1.70 
GLUCOTROL XL 10MG(glipiZIDE EXTENDED REL,$2.50 
PAXIL 30 MG (PARoxetine),$6.75 
AMBIEN 10 MG (ZOLPIDEM) ****************,$10.80 
ACTIDOSE AQ (ACTIVATED CHARCOAL)CHERRY,$48.64 
NORMAL SALINE: 250ML ADVANTAGE,$18.00 
INSULIN (NOVOLIN/HUMULIN) REG PER UNIT,$0.58 
NORMAL SALINE FOR IRRIGATION : 1000 ML,$21.40 
DURAGESIC PATCH 25 MCG/HR (fentaNYL)****,$32.85 
NEURONTIN 300MG (GABAPENTIN),$3.85 
DURAGESIC PATCH 100 MCG/HR (fentaNYL)***,$110.75 
NORMAL SALINE: 500ML,$73.00 
DILAUDID : 4 MG/ML INJ (HYDROmorphone)**,$10.50 
DICLOXACILLIN 250MG CAPSULE,$1.68 
LEVSIN 0.125MG TABLETS (HYOMAX),$2.60 
ASPIRIN 81MG ENTERIC COATED,$1.00 
SYNTHROID (LEVOTHYROXINE) 88 MCG. TAB,$1.50 
MORPHINE:2 MG CARPUJECT,$10.35 
EFFEXOR 75 MG (VENLAFAXINE),$5.50 
ZOFRAN 4 MG/2ML INJ. (ONDANSETRON),$6.50 
ULTRAM 50 MG TABLET (traMADol)****,$1.60 
DILANTIN INJ : 250MG (PHENYTOIN),$11.00 
COZAAR 50 MG (LOSARTAN),$4.52 
GLUCOPHAGE 500MG (metFORMIN),$2.25 
GLUCOPHAGE 850MG (metFORMIN),$4.15 
METHadone10MG TABLET ***************,$5.90 
PRAVACHOL 20 MG (PRAVASTATIN),$5.90 
SODIUM BICARBONATE 8.4% 50ML VIAL,$17.81 
DURAGESIC PATCH 50 MCG/HR (fentaNYL)****,$56.75 
methylPREDNISolone : 1000 MG(Solu MEDROL,$103.58 
PITTSBURG PASTE (BOUDREAUX'S BUTT PASTE),$7.08 
ULTANE (SEVOFLURANE),$302.48 
MIACALCIN NASAL SPRAY (CALCITONIN-SALMON,$209.80 
ZITHROMAX 200MG/5ML (AZITHROMYCIN),$51.72 
CILOXAN 0.3% OPTH SOLN(CIPROFLOXACIN),$103.59 
IMDUR 30MG SUST/RELEASE (ISOSORB/MONONIT,$4.15 
ATROVENT NASAL SPRAY 0.03% 30ML,$138.70 
zyrTEC 10MG TAB (CETIRIZINE),$6.65 
TRUSOPT 2% OPH SOL (DORZOLAMIDE),$152.50 
CORDARONE : 150MG INJ (CHG PER 30MG),$2.75 
IMITREX 50 MG TABLET (SUMAtriptan),$26.85 
SINEMET CR 25/100 (CARBIDOPA/LEVODOPA),$3.40 
NORMAL SALINE : 25 ML,$18.00 
TOPROL XL 100 MG (metoPROLOL SUCC ER),$4.80 
MARCAINE(SENSORCAINE) 0.5% MDV 50ML,$29.85 
VASELINE JELLY PACKETS U/D,$0.55 
COUMADIN 4MG TABLET (WARFARIN SODIUM),$3.75 
TAPAZOLE 5 MG (METHIMAZOLE),$3.05 
DURAGESIC PATCH 75 MCG/HR (fentaNYL)***,$84.45 
PAXIL 10MG (PARoxetine),$3.58 
NEURONTIN 400 MG (GABAPENTIN),$4.75 
LITHOBID 300 MG (LITHIUM-SLOW RELEASE),$1.80 
HYZAAR 50-12.5 MG (LOSARTAN/HCTZ),$22.53 
AUGMENTIN 875MG TAB(AMOXICILIN/CLAVULANA,$11.60 
NITROL OINTMENT 2% (NITROGLYCERIN) UD,$5.60 
INSULIN (HumaLOG/NovoLOG)(ASPART) VIAL,$198.50 
ZyPREXA 5 MG (OLANZapine),$11.18 
NIFEREX-150 (POLYSACCHARIDE IRON COMPLEX,$1.30 
ELIMITE CREAM (PERMETHRIN 5%)(ACTICIN),$192.20 
ALBUTEROL UD BOX RESP. THERAPY,$10.00 
LIDOCAINE 0.5% MPF 50 ML (XYLOCAINE),$32.75 
oxyCONTIN 20MG (TIME RELEASE oxyCODONE)*,$13.00 
ARICEPT 5 MG DONEPEZIL,$18.60 
oxyCONTIN 10MG (TIME RELEASE oxyCODONE)*,$9.20 
COUMADIN 3MG TABLET (WARFARIN SODIUM),$3.75 
COUMADIN 6MG TABLET (WARFARIN SODIUM),$4.50 
VOLTAREN 50MG DELAY/RELEASE(DICLOFENAC),$3.35 
VOLTAREN 75MG DELAY/RELEASE(DICLOFENAC),$3.40 
NITROSTAT 0.4MG S/L (PER DOSE),$1.00 
ASPIRIN 600MG SUPP,$5.35 
AMARYL 2 MG (GLIMEPIRIDE),$1.43 
AMARYL 4 MG (GLIMEPIRIDE),$3.95 
ALPHAGAN P 0.15% (BRIMONIDINE),$258.57 
VALPROIC ACID/ NS IVPB : 500MG/ 100ML,$31.35 
CARDURA 2MG TABLET(DOXAZOSIN),$3.35 
LOVENOX (ENOXAPARIN) : 40 MG SYRINGE,$13.36 
MEGACE 40MG/ML SUSP(MEGESTROL ACETATE),$74.00 
DIPRIVAN 1% 20 ML (PROPOFOL),$8.26 
SENOT S TABS (SENNA + DOCUSATE SOD),$0.85 
VITAMIN K (MEPHYTON) 5 MG TAB,$127.16 
WELLBUTRIN SR 150MG (buPROPion)(ZYBAN),$5.26 
COREG 3.125 MG TABLET (CARVEDILOL),$2.24 
COREG 6.25 MG TABLET (CARVEDILOL),$5.40 
ZITHROMAX 500MG INJ,$84.40 
CALCIUM CARB 500MG WITH VITAMIN D,$1.00 
LaMICtal 100MG TABLET (lamoTRIgine),$1.20 
LAMICTAL 25 MG (lamoTRIgine),$4.26 
XALATAN 0.005% OPTH SOL (LATANOPROST),$176.25 
FLOMAX 0.4 MG (TAMSULOSIN HCL),$10.50 
IOPIDINE 0.5% OPH SOL (APRACLONIDINE),$142.26 
ZANAFLEX 4 MG TABLETS (tiZANidine HCL),$4.05 
DIFLUCAN 150MG TAB (FLUCONAZOLE),$27.86 
ZOCOR 20MG (SIMVASTATIN),$5.02 
STERILE WATER : 1000 ML,$21.60 
ADENOSCAN : 3MG/ML (CHG/1MG) ADENOSINE,$11.23 
SINGULAIR 10 MG TAB (MONTELUKAST),$5.92 
AVAPRO 150 MG TAB (IRBESARTAN),$6.25 
PLAVIX 75MG TABLET (CLOPIDOGREL),$13.92 
MARCAINE-MPF 0.5% W/EPI 30ML SDV,$27.20 
TOPROL XL 50 MG (metoPROLOL SUCC ER),$3.45 
MIRAPEX 0.25MG (PRAMIPEXOLE),$8.70 
ZOMIG 5MG TABLET (ZOLMitriptan),$80.44 
CEFOTAN (cefoTEtan) : 1 GRAM INJ,$41.59 
SANTYL OINTMENT (COLLAGENASE),$473.72 
ZEMURON 50 MG/5 ML (ROCURONIUM BR),$13.10 
CELEXA 20 MG TAB (CITALOPRAM),$4.86 
LABETOLOL INJ/DOSE (NORMODYNE/TRANDATE),$14.00 
EFFEXOR XR 75MG (VENLAFAXINE),$11.40 
oxyCODONE 5MG (PERCOLONE/ROXICODONE)****,$5.85 
COREG 12.5 MG TABLET (CARVEDILOL),$6.45 
AUGMENTIN 400MG-57MG/5ML (AMOX/CLAV),$54.86 
SEROquel 25 MG (QUEtiapine FUMARATE),$7.60 
SEROquel 100MG (QUEtiapine FUMARATE),$11.60 
REMERON 15 MG (MIRTAZAPINE),$6.95 
celeBREX 100MG CAP (CELECOXIB),$6.42 
DIOVAN 80 MG TAB (VALSARTAN),$8.10 
CEFTIN 250MG TAB (CEFUROXIME),$6.30 
CEFTIN 500MG TABLET (CEFUROXIME),$21.60 
AMIDATE 40MG/20 ML (ETOMIDATE),$31.14 
MAALOX EXTRA STRENGTH UD,$1.00 
SEREVENT DISCUS INHALER(SALMETEROL),$472.19 
NEPHROCAP (RENAL CAP - VITAMINS),$1.20 
LEVAQUIN 250 MG TAB. (LEVOFLOXACIN),$28.20 
LEVAQUIN 500 MG TAB. (LEVOFLOXACIN),$32.10 
LEVAQUIN / D5W PREMIX : 500 MG/ 100 ML,$82.30 
PHOSLO 667 MG (CALCIUM ACETATE),$1.40 
LOPRESSOR : 5 MG/5 ML (metoPROLOL),$6.50 
LOVENOX (ENOXAPARIN) : 100 MG SYRINGE,$52.64 
PRELONE 15MG/5 ML SOLN UD,$4.00 
PENICILLIN VK 125MG/5ML SUSP,$15.14 
THICKEN-UP POWDER 8 OZ. CAN,$8.00 
XOPENEX 0.63MG/3ML (UD) LEVALBUTEROL,$10.06 
LEVAQUIN / D5W PREMIX : 250 MG/ 50ML,$52.20 
WELLBUTRIN SR 100 MG (buPROPion),$4.50 
EPOGEN (EPOETIN ALFA):CHG. PER 1000 UNIT,$421.76 
NEO-SYNEPHRINE 1/2% SPRAY(PHENYLEPHRINE),$9.72 
REMERON 30 MG (MIRTAZAPINE),$7.10 
ACTOS 45MG (PIOGLITAZONE),$11.90 
LOVENOX (ENOXAPARIN) : 60 MG. SYRINGE,$62.62 
LOVENOX (ENOXAPARIN) : 80 MG. SYRINGE,$26.76 
ARICEPT 10 MG(DONEPEZIL HCL),$18.60 
ZYVOX 600 MG TABLETS (LINEZOLID),$280.08 
ZOSYN /NS IVPB : 2.25 GM/ 50 ML,$50.10 
DEMADEX 20MG TABLETS (TORSEMIDE),$1.00 
"""MARCAINE 0.25% EPI 1:200,000""",$16.64 
PROTONIX 40MG (PANTOPRAZOLE),$4.47 
PLETAL 100MG TABLET (CILOSTAZOL),$7.20 
RELAFEN 750 MG (NABUMETONE),$4.35 
TENORMIN (ATENOLOL) 100MG TABLET,$4.50 
NEURONTIN 100MG (GABAPENTIN),$3.30 
ALLEGRA 180 MG (FEXOFENIDINE),$1.36 
ALTACE 2.5MG CAPSULE (RAMIPRIL),$5.15 
NITROGLYCERIN / D5W PREMIX: 50MG/250 ML,$226.02 
GLUCOPHAGE XR 500 MG (metFORMIN EXT REL),$2.40 
CORDARONE (AMIODARONE) : DRIP 450MG/250,$73.00 
COCAINE 4% SOLUTION (4ML),$370.31 
riTUXimab : 100MG (RITUXAN),"$1,550.92 "
PULMICORT RESPULES 0.5MG/2 ML,$19.87 
COREG 25 MG TABLET (CARVEDILOL),$2.24 
RisperDAL 0.5 MG,$11.25 
LIDODERM 5% PATCH (LIDOCAINE),$16.14 
DITROPAN XL 5MG TABLET (OXYBUTYNIN ER),$7.70 
NEUPOGEN : 480 MCG- CHARGE PER MCG,$2.20 
GLUCOTROL XL 2.5MG TAB (glipiZIDE EXT),$1.98 
GEODON 20MG CAPSULE(ZIPRASIDONE),$16.65 
GEODON 40MG CAPSULE(ZIPRASIDONE),$17.05 
TOPAMAX 25MG TAB (TOPIRAMATE),$6.70 
TRILEPTAL 300MG (OXcarbazepine),$9.00 
TOPAMAX 100MG TAB (TOPIRAMATE),$6.40 
