Charge Description Master, Charge 
RELOCATION SKIN POCKET CARDIOVERTERDEFIBRILLATOR," 2,520.00 "
RELOCATION SKIN POCKET IMPLANTED CARDIAC MODULATION PULSE GENERATOR," 4,817.00 "
RELOCATION SKIN POCKET LOOP RECORDER," 5,510.00 "
RELOCATION SKIN POCKET PACEMAKER," 2,308.00 "
REMOVAL ANAL FISTULA SUBCUTANEOUS," 3,397.00 "
REMOVAL ANAL SETON," 1,377.00 "
REMOVAL AND REPLACEMENT PERM CARDIAC MODULATION SYSTEM PULSE GENERATOR ONLY," 42,631.00 "
REMOVAL BILIARY DRAINAGE CATHETER PERCUTANEOUS W/ FLUOROSCOPIC GUIDANCE," 1,691.00 "
REMOVAL BREAST LESION 1+," 3,989.00 "
REMOVAL CALCULI/DEBRIS FROM BILIARY DUCT/GALLBLADDER PERCUTANEOUS W/ IMAGING GUIDANCE," 4,459.00 "
REMOVAL CENTRAL SLEEP APNEA NEUROSTIMULATOR PULSE GENERATOR ONLY," 5,380.00 "
REMOVAL CENTRAL SLEEP APNEA NEUROSTIMULATOR SENSING LEAD ONLY," 5,380.00 "
REMOVAL CENTRAL SLEEP APNEA NEUROSTIMULATOR STIMULATION LEAD ONLY," 5,380.00 "
REMOVAL CERCLAGE UNDER ANESTHESIA," 3,316.00 "
REMOVAL CORN OR CALLUS >4 LESIONS, 467.00 
REMOVAL CORN OR CALLUS 1 LESION, 250.00 
REMOVAL CORN OR CALLUS 2-4 LESIONS, 353.00 
REMOVAL ENDOVASCULAR VENA CAVA FILTER," 9,665.00 "
REMOVAL FOREIGN BODY CONJUNCTIVA EMBEDDED, 474.00 
REMOVAL FOREIGN BODY CONJUNCTIVA EXTERNAL SUPERFICIAL, 163.00 
REMOVAL FOREIGN BODY CORNEA W/ SLIT LAMP, 247.00 
REMOVAL FOREIGN BODY CORNEA W/O SLIT LAMP, 474.00 
REMOVAL FOREIGN BODY EXTERNAL AUDITORY CANAL W/O ANESTHESIA, 159.00 
REMOVAL FOREIGN BODY EYELID EMBEDDED, 394.00 
REMOVAL FOREIGN BODY FOOT COMPLICATED," 2,393.00 "
REMOVAL FOREIGN BODY FOOT DEEP," 1,944.00 "
REMOVAL FOREIGN BODY FOOT SUBCUTANEOUS," 1,080.00 "
REMOVAL FOREIGN BODY INTRANASAL OFFICE, 258.00 
REMOVAL FOREIGN BODY MUSCLE TENDON SIMPLE," 1,944.00 "
REMOVAL FOREIGN BODY OF SCROTUM," 4,045.00 "
REMOVAL FOREIGN BODY PELVIS HIP SUBCUTANEOUS," 2,043.00 "
REMOVAL FOREIGN BODY SHOULDER SUBCUTANEOUS," 1,337.00 "
REMOVAL FOREIGN BODY SUBCUTANEOUS COMPLICATED," 2,043.00 "
REMOVAL FOREIGN BODY SUBCUTANEOUS SIMPLE, 459.00 
REMOVAL FOREIGN BODY UPPER ARM ELBOW SUBCUTANEOUS," 1,944.00 "
REMOVAL GENERATOR ONLY," 4,610.00 "
REMOVAL HDM TRANSSEPTAL LEAD LAPTOP COMBO," 3,974.00 "
REMOVAL HDMS LAPTOP STAND ALONE," 6,788.00 "
REMOVAL IABP PERCUTANEOUS," 4,065.00 "
REMOVAL IMPACTED CERUMEN BY PHYSICIAN ON SAME DAY AS AUDIOLOGY FUNCTION TEST, 172.00 
REMOVAL IMPACTED CERUMEN UNILATERAL, 241.00 
REMOVAL IMPACTED CERUMEN USING IRRIGATION/LAVAGE UNILATERAL, 232.00 
REMOVAL IMPLANT DEEP," 3,388.00 "
REMOVAL IMPLANT SUPERFICIAL," 1,944.00 "
REMOVAL INTERNAL URETERAL STENT," 3,427.00 "
REMOVAL INTRACATHETER OBSTRUCTION FROM CENTRAL VENOUS ACCESS DEVICE VIA DEVICE LUMEN," 1,234.00 "
REMOVAL INTRAUTERINE DEVICE, 365.00 
REMOVAL LEAD ONLY RESPICARDIA," 6,788.00 "
REMOVAL LEAD(S) ONLY," 4,973.00 "
REMOVAL MICRA TRANSCATHETER PACING STUDY," 12,296.00 "
REMOVAL MITRAL VALVE CLIP COAPT," 12,296.00 "
REMOVAL NEPHROSTOMY TUBE, 842.00 
REMOVAL NON-BIODEGRADABLE DRUG DELIVERY IMPLANT, 474.00 
REMOVAL OBSTRUCTIVE MATERIAL FROM GASTROINTESTINAL TUBE W/ FLUOROSCOPIC GUIDANCE," 1,075.00 "
REMOVAL OF CORNEAL EPITHELIUM WITH OR WITHOUT CHEMOCAUTERIZATION," 1,157.00 "
REMOVAL OF TONGS OR HALO APPLIED BY ANOTHER INDIVIDUAL, 474.00 
REMOVAL OR REVISION SLING FOR STRESS INCONTINENCE," 6,008.00 "
REMOVAL PERCUTANEOUS VENTRICULAR ASSIST DEVICE SEPARATE & DISTINCT FROM INSERTION," 6,897.00 "
REMOVAL PERICATHETER OBSTRUCTION FROM CENTRAL VENOUS ACCESS DEVICE VIA SEPARATE ACCESS," 2,910.00 "
REMOVAL PERMANENT CARDIAC MODULATION SYSTEM PULSE GENERATOR ONLY," 4,840.00 "
REMOVAL PERMANENT CARDIAC MODULATION SYSTEM TRANVENOUS ELECTRODE," 4,840.00 "
REMOVAL PERMANENT PACEMAKER PULSE GENERATOR ONLY," 2,996.00 "
REMOVAL PHRENIC NERVE GENERATOR ONLY RESPICARDIA," 6,788.00 "
REMOVAL PLEURAL CATH, 882.00 
REMOVAL SKIN TAG, 178.00 
REMOVAL SUBCUTANEOUS CARDIAC RHYTHM MONITOR," 1,363.00 "
REMOVAL SUBCUTANEOUS DEFIBILLATOR ELECTRODE," 3,985.00 "
REMOVAL TRANSVENOUS PACEMAKER ELECTRODE DUAL," 3,292.00 "
REMOVAL TRANSVENOUS PACEMAKER ELECTRODE SINGLE," 2,503.00 "
REMOVAL TUNNELED CENTRAL VENOUS ACCESS DEVICE W/ PUMP/PORT CENTRAL/PERIPHERAL INSERTION," 1,913.00 "
REMOVAL TUNNELED CENTRAL VENOUS CATHETER W/O PUMP/PORT," 1,199.00 "
REMOVAL TUNNELED INTRAPERITONEAL CATHETER," 4,398.00 "
REMOVAL URETERAL STENT VIA TRANSURETHRAL APPROACH," 2,336.00 "
REMOVAL VENTRICULAR ASSIST DEVICE EXTRACORPOREAL SINGLE VENTRICLE," 7,119.00 "
REMOVAL W/ REINSERTION NON-BIODEGRADABLE DRUG DELIVERY IMPLANT, 844.00 
REMOVE & REPLACE CENTRAL SLEEP APNEA NEUROSTIMULATOR PULSE GENERATOR  ONLY," 35,606.00 "
REMOVE IMPLANTABLE DEFIBRILLATOR (ICD) GENERATOR ONLY," 3,292.00 "
REMOVE IMPLANTABLE DEFIBRILLATOR (ICD) SINGLE OR DUAL ELECTRODE TRANSVENOUS EXTRACTION," 3,292.00 "
RENAL FUNCTION PANEL, 41.00 
RENIN, 224.00 
REPAIR BLOOD VESSEL DIRECT LOWER EXTREMITY," 2,145.00 "
REPAIR BROW PTOSIS," 2,748.00 "
REPAIR CARDIAC WOUND W/ BYPASS," 13,284.00 "
REPAIR CARDIAC WOUND W/O BYPASS," 9,963.00 "
REPAIR CENTRAL OR PERIPHERAL VENOUS ACCESS DEVICE W/ PUMP/PORT," 3,632.00 "
REPAIR COMPLEX WOUND TRUNK 1.1 CM TO 2.5 CM, 586.00 
REPAIR COMPLEX WOUND TRUNK 2.6 CM TO 7.5 CM, 720.00 
REPAIR COMPLEX WOUND TRUNK EACH ADDITIONAL 5 CM OR LESS, 265.00 
REPAIR CVC/PICC W/O PUMP/PORT, 882.00 
REPAIR ECTROPION EXTENSIVE," 2,895.00 "
REPAIR ECTROPION W/ EXCISION TARSAL WEDGE," 2,723.00 "
REPAIR ECTROPION W/ SUTURE," 2,623.00 "
REPAIR ECTROPION W/ THERMOCAUTERY," 2,623.00 "
REPAIR ENTROPION EXTENSIVE," 3,053.00 "
REPAIR ENTROPION W/ EXCISION TARSAL WEDGE," 2,869.00 "
REPAIR ENTROPION W/ SUTURE," 2,623.00 "
REPAIR ENTROPION W/ THERMOCAUTERY," 2,623.00 "
REPAIR EYELID DEFECT W/ AUTOLOGOUS FASCIAL SLING," 4,135.00 "
REPAIR EYELID DEFECT W/ CONJUNTIVO-TARSO-MULLER'S MUSCLE-LEVATOR RESECTION," 2,427.00 "
REPAIR EYELID DEFECT W/ LEVATOR RESECTION/ADVANCEMENT EXTERNAL APPROACH," 3,414.00 "
REPAIR EYELID DEFECT W/ LEVATOR RESECTION/ADVANCEMENT INTERNAL APPROACH," 2,765.00 "
REPAIR EYELID DEFECT W/ SUPERIOR RECTUS TECHNIQUE," 3,756.00 "
REPAIR EYELID DEFECT W/ SUTURE/OTHER MATERIAL," 3,298.00 "
REPAIR INFRARENAL AORTIC ANEURYSM & ARTERIAL TRAUMA W/ AORTO-FEMORAL PROSTHESIS," 10,988.00 "
REPAIR INFRARENAL AORTIC ANEURYSM & ARTERIAL TRAUMA W/ AORTO-ILIAC PROSTHESIS," 11,063.00 "
REPAIR INFRARENAL AORTIC ANEURYSM & ARTERIAL TRAUMA W/ TUBE PROSTHESIS," 10,268.00 "
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES <= 2.5 CM, 439.00 
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES > 30.0 CM," 2,308.00 "
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES 12.6 CM TO 20.0 CM, 688.00 
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES 2.6 CM TO 7.5 CM, 558.00 
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES 20.1 CM TO 30.0 CM, 804.00 
REPAIR INTERMEDIATE WOUND SCALP/AXILLAE/TRUNK/EXTREMITIES 7.6 CM TO 12.5 CM, 596.00 
REPAIR LACERATION CONJUNCTIVA BY DIRECT CLOSURE," 2,623.00 "
REPAIR LACERATION CONJUNCTIVA BY MOBILIZATION/REARRANGEMENT," 2,623.00 "
REPAIR LACERATION CORNEA NONPERFORATING," 4,059.00 "
REPAIR LACERATION CORNEA/SCLERA PERFORATING," 4,623.00 "
REPAIR LACERATION CORNEA/SCLERA W/ REPOSITION/RESECTION UVEA," 4,623.00 "
REPAIR LACERATION CORNEA/SCLERA W/ TISSUE GLUE," 2,455.00 "
REPAIR MITRAL VALVE TRANSCATHETER VIA CORONARY SINUS," 29,592.00 "
REPAIR MITRAL VALVE TRANSCATHETER W/ CLIP ADDITIONAL PROSTHESIS," 22,194.00 "
REPAIR MITRAL VALVE TRANSCATHETER W/ CLIP INITIAL PROSTHESIS," 29,592.00 "
REPAIR OPERATIVE WOUND ANTERIOR SEGMENT," 2,623.00 "
REPAIR ORTHOTIC PER 15 MIN, 94.00 
REPAIR RETINAL DETACHMENT INJECTION AIR/OTHER GAS," 2,455.00 "
REPAIR SIMPLE FACE & MUCOUS MEMBRANE < 2.5 CM, 258.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE >30.0 CM, 642.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE 12.6-20.0 CM, 459.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE 2.6-5.0 CM, 271.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE 20.1-30.0 CM, 566.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE 5.1-7.5 CM, 302.00 
REPAIR SIMPLE FACE & MUCOUS MEMBRANE 7.6-12.5 CM, 382.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES  20.1-30.0 CM, 657.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES < 2.5 CM, 250.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES >30.0 CM, 827.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES 12.6-20.0 CM, 535.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES 2.6-7.5 CM, 331.00 
REPAIR SIMPLE SCALP/NECK/AXILLAE/EXTERNAL GENITALIA/TRUNK/OTHER EXTREMITIES 7.6-12.5 CM, 411.00 
REPAIR SINGLE TRANSVENOUS ELECTRODE PERMANENT PACEMAKER OR IMPLANTABLE DEFIBRILLATOR," 4,586.00 "
REPAIR TWO TRANVENOUS ELECTRODES PERMANENT PACEMAKER OR IMPLANTABLE DEFIBRILLATOR," 5,405.00 "
REPAIR VISCERAL & INFRARENAL ABDOMINAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 1 ARTERY PROSTHESIS," 11,585.00 "
REPAIR VISCERAL & INFRARENAL ABDOMINAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 2 ARTERY PROSTHESES," 12,744.00 "
REPAIR VISCERAL & INFRARENAL ABDOMINAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 3 ARTERY PROSTHESES," 14,018.00 "
REPAIR VISCERAL & INFRARENAL ABDOMINAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 4+ ARTERY PROSTHESES," 15,420.00 "
REPAIR VISCERAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 1 ARTERY PROSTHESIS," 11,585.00 "
REPAIR VISCERAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 2 ARTERY PROSTHESES," 12,744.00 "
REPAIR VISCERAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 3 ARTERY PROSTHESES," 14,018.00 "
REPAIR VISCERAL AORTA BY FENESTRATED ENDOGRAFT W/ RADIOLOGICAL SUPERVISION & INTERPRETATION 4+ ARTERY PROSTHESES," 15,420.00 "
REPAIR WOUND EXTRAOCULAR MUSCLE/TENDON/TENON'S CAPSULE," 4,059.00 "
REPLACE AORTIC VALVE W/ BYPASS W/ PROSTHETIC VALVE," 42,066.00 "
REPLACE CATHETER CENTRAL VENOUS ACCESS DEVICE W/ PUMP/PORT CENTRAL/PERIPHERAL INSERTION SITE," 2,910.00 "
REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERCUTANEOUS W/ FLUOROSCOPIC GUIDANCE," 1,075.00 "
REPLACE EXTERNAL URETERAL STENT," 2,336.00 "
REPLACE GASTROJEJUNOSTOMY TUBE PERCUTANEOUS W/ FLUOROSCOPIC GUIDANCE," 1,075.00 "
REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS W/ FLUOROSCOPIC GUIDANCE," 1,149.00 "
REPLACE IMPLANTABLE DEFIBRILLATOR (ICD) DUAL LEAD GENERATOR ONLY," 23,363.00 "
REPLACE IMPLANTABLE DEFIBRILLATOR (ICD) MULTIPLE LEAD GENERATOR ONLY," 24,336.00 "
REPLACE IMPLANTABLE DEFIBRILLATOR (ICD) SINGLE LEAD GENERATOR ONLY," 22,389.00 "
REPLACE INTERNAL URETERAL STENT," 3,316.00 "
REPLACE NON-TUNNELED CENTRALLY INSERTED CENTRAL VENOUS CATHETER W/O PUMP/PORT," 1,164.00 "
REPLACE PERIPHERALLY INSERTED CENTRAL VENOUS ACCESS DEVICE W/ PORT," 2,910.00 "
REPLACE PERIPHERALLY INSERTED CENTRAL VENOUS CATHETER W/O PUMP/PORT," 2,793.00 "
REPLACE PERMANENT PACEMAKER DUAL LEAD GENERATOR ONLY," 5,444.00 "
REPLACE PERMANENT PACEMAKER MULTIPLE LEAD GENERATOR ONLY," 8,678.00 "
REPLACE PERMANENT PACEMAKER SINGLE LEAD GENERATOR ONLY," 5,219.00 "
REPLACE TRANSCATHETER AORTIC VALVE (TAVR) VIA OPEN AXILLARY ARTERY," 44,803.00 "
REPLACE TRANSCATHETER AORTIC VALVE (TAVR) VIA OPEN FEMORAL ARTERY," 43,127.00 "
REPLACE TRANSCATHETER AORTIC VALVE (TAVR) VIA OPEN ILIAC ARTERY," 46,967.00 "
REPLACE TRANSCATHETER AORTIC VALVE (TAVR) VIA PERCUTANEOUS FEMORAL ARTERY," 39,457.00 "
REPLACE TUNNELED CENTRALLY INSERTED CENTRAL VENOUS ACCESS DEVICE W/ PORT," 5,238.00 "
REPLACE TUNNELED CENTRALLY INSERTED CENTRAL VENOUS CATHETER W/O PUMP/PORT," 2,910.00 "
REPLACE URETERAL STENT VIA TRANSURETHRAL APPROACH," 3,644.00 "
REPLACEMENT GASTROSTOMY TUBE W/O IMAGING, 469.00 
REPLACEMENT GASTROSTOMY TUBE W/O IMAGING W/ REVISION, 516.00 
REPOSITION CANNULA EXTRACORPOREAL MEMBRANE OXYGENATION/EXTRACORPOREAL LIFE SUPPORT PERCUTANEOUS INCLUDES FLUOROSCOPIC GUIDANCE," 1,156.00 "
REPOSITION CENTRAL SLEEP APNEA NEUROSTIMULATOR SENSING LEAD ONLY," 5,380.00 "
REPOSITION CENTRAL SLEEP APNEA NEUROSTIMULATOR STIMULATION LEAD ONLY," 5,380.00 "
REPOSITION CENTRAL VENOUS CATHETER UNDER FLUOROSCOPIC GUIDANCE," 1,164.00 "
REPOSITION ENDOVASCULAR VENA CAVA FILTER," 10,305.00 "
REPOSITION GASTROSTOMY TUBE FOR ENTERIC NUTRITION, 921.00 
REPOSITION PERICARDIAL DRAIN," 2,238.00 "
REPOSITION PREVIOUSLY IMPLANTED CARDIAC MODULATION TRANSVENOUS ELECTRODE," 1,677.00 "
REPOSITION PREVIOUSLY IMPLANTED CARDIAC VENOUS SYSTEM ELECTRODE," 3,954.00 "
REPOSITION SUBCUTANEOUS IMPLANTABLE DEFIBRIlLATOR ELECTRODE," 4,536.00 "
REPOSITION TRANSVENOUS PACEMAKER OR IMPLANTABLE DEFIBRILLATOR (ICD) ELECTRODE," 2,910.00 "
REPOSITION VENTRICULAR ASSIST DEVICE PERCUTANEOUS W/ IMAGING GUIDANCE," 3,448.00 "
REPROGRAMMING OF PROGRAMMABLE CEREBROSPINAL SHUNT, 405.00 
RESPIRATORY FLOW VOLUME LOOP, 376.00 
RESPIRATORY MOTION MANAGEMENT SIMULATION, 990.00 
RETICULATED PLATELET ASSAY, 90.00 
RETICULOCYTES AUTOMATED, 30.00 
REUSABLE NIPPLE PROSTHESIS, 40.00 
REUSABLE NIPPLE PROSTHESIS CUSTOM, 200.00 
REVASCULARIZE ACUTE OCCLUSION DURING ACUTE MYOCARDIAL INFARCTION W/ OR W/O DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY ASPIRATION THROMBECTOMY SINGLE VESSEL," 15,082.00 "
REVASCULARIZE ACUTE OCCLUSION DURING ACUTE MYOCARDIAL INFARCTION W/ OR W/O NON-DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY ASPIRATION THROMBECTOMY SINGLE VESSEL," 13,743.00 "
REVASCULARIZE CHRONIC TOTAL OCCLUSION W/ OR W/O DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY EACH ADDITIONAL VESSEL," 15,240.00 "
REVASCULARIZE CHRONIC TOTAL OCCLUSION W/ OR W/O DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY SINGLE VESSEL," 15,240.00 "
REVASCULARIZE CHRONIC TOTAL OCCLUSION W/ OR W/O NON-DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY EACH ADDITIONAL VESSEL," 8,702.00 "
REVASCULARIZE CHRONIC TOTAL OCCLUSION W/ OR W/O NON-DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY SINGLE VESSEL," 14,633.00 "
REVASCULARIZE CORONARY ARTERY BYPASS GRAFT W/ OR W/O DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY DISTAL PROTECT EACH ADDITIONAL BRANCH CORONARY ARTERY BYPASS GRAFT," 10,254.00 "
REVASCULARIZE CORONARY ARTERY BYPASS GRAFT W/ OR W/O DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY DISTAL PROTECT SINGLE VESSEL," 14,388.00 "
REVASCULARIZE CORONARY ARTERY BYPASS GRAFT W/ OR W/O NON-DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY DISTAL PROTECT EACH ADDITIONAL BRANCH CORONARY ARTERY BYPASS GRAFT," 6,196.00 "
REVASCULARIZE CORONARY ARTERY BYPASS GRAFT W/ OR W/O NON-DRUG ELUTING STENT ATHERECTOMY ANGIOPLASTY DISTAL PROTECT SINGLE VESSEL," 11,077.00 "
REVISION AQUEOUS SHUNT TO EXTRAOCULAR EQUATORIAL PLATE RESERVOIR W/O GRAFT," 3,387.00 "
REVISION GRAFT W/ NONAUTOGENOUS GRAFT PATCH," 8,753.00 "
REVISION IRIS BY LASER," 1,900.00 "
REVISION OF RECONSTRUCTED BREAST," 6,882.00 "
REVISION TRANSVENOUS INTRAHEPATIC PORTOSYSTEMIC SHUNTS," 10,435.00 "
REVISION/REMOVAL PERIPHERAL NEUROSTIMULATOR ELECTRODES," 3,791.00 "
REVISION/REMOVAL PERIPHERAL/GASTRAIC NEUROSTIMULATOR PULSE GENERATOR/RECEIVER," 6,511.00 "
RHEUMATOID FACTOR QUANTITATIVE, 32.00 
RHYTHM EKG 1-3 LEAD, 275.00 
RIBAVIRIN THERAPY, 877.00 
RIGHT & LEFT HEART CATHETERIZATION FOR CONGENITAL ANOMALY," 11,888.00 "
RIGHT & LEFT HEART CATHETERIZATION INTACT SEPTUM FOR CONGENITAL ANOMALY," 3,700.00 "
RIGHT & LEFT HEART CATHETERIZATION OPEN SEPTUM FOR CONGENITAL ANOMALY," 9,579.00 "
RIGHT & LEFT HEART CATHETERIZATION W/ LEFT VENTRICULOGRAPHY," 17,251.00 "
RIGHT & LEFT HEART CATHETERIZATION W/ LEFT VENTRICULOGRAPHY & CORONARY & BYPASS ANGIOGRAPHY," 22,033.00 "
RIGHT & LEFT HEART CATHETERIZATION W/ LEFT VENTRICULOGRAPHY & CORONARY ANGIOGRAPHY," 18,934.00 "
RIGHT HEART CATHETERIZATION," 13,674.00 "
RIGHT HEART CATHETERIZATION FOR CONGENITAL ANOMALY," 3,700.00 "
RIGHT HEART CATHETERIZATION W/ CORONARY & BYPASS GRAFT ANGIOGRAPHY," 19,403.00 "
RIGHT HEART CATHETERIZATION W/ CORONARY ANGIOGRAPHY," 17,089.00 "
RIGHT HEART CATHETERIZATION W/ PULMONARY ANGIOGRAPHY W/ INSERTION OF IMPLANTABLE PULMONARY ARTERY PRESSURE SENSOR," 9,708.00 "
RIGHT VENTRICULAR RECORDING," 1,421.00 "
RINGERS LACTATE INFUSION TO 1000 CC, 4.54 
ROCEPHIN INJECTION PER 250 MG, 139.00 
ROOM & BED BURN," 5,864.00 "
ROOM & BED DETOXIFICATION," 1,926.00 "
ROOM & BED INTENSIVE CARE," 5,864.00 "
ROOM & BED INTERMEDIATE CARE," 4,085.00 "
ROOM & BED MEDICAL/SURGICAL," 2,050.00 "
ROOM & BED NURSERY," 3,066.00 "
ROOM & BED PSYCHIATRIC UNIT," 3,269.00 "
ROOM & BED REHABILITATION UNIT," 1,958.00 "
ROTOPRONE BED," 4,047.00 "
RUSSELL VIPER VENOM TIME DILUTED, 210.00 
SALICYLATE 1 OR 2, 237.00 
SALINE INFUSION SONOHYSTEROGRAPHY," 1,018.00 "
SAMARIUM SM153 LEXIDRONAM <= 150 MCI," 58,635.00 "
SANE COLLECTION," 1,231.00 "
SCLEROTHERAPY FLUID COLLECTION PERCUTANEOUS W/ IMAGING GUIDANCE," 1,556.00 "
SCRAPING CORNEA DIAGNOSTIC FOR SMEAR, 474.00 
SCREENING BREAST TOMOSYNTHESIS DIGITAL BILATERAL, 59.00 
SCREENING PAP SMEAR BY TECH, 41.00 
SECONDARY PERCUTANEOUS TRANSLUMINAL THROMBECTOMY W/ FLUOROSCOPIC GUIDANCE," 6,434.00 "
SEDATIVE HYPNOTICS (NON-BENZODIAZEPINES), 81.00 
SEDIMENTATION RATE ERYTHROCYTE AUTOMATED, 37.00 
SEDIMENTATION RATE ERYTHROCYTE NON-AUTOMATED, 20.00 
SELECT PICTURE AUDIOMETRY, 121.00 
SELECTIVE CATH LT HEART OR RT PULMONARY ARTERY, 666.00 
SELECTIVE CATH SEGMENTAL OR SUBSEGMENTAL PULMONARY ARTERY," 1,505.00 "
SELECTIVE CATHETER PLACEMENT COMMON CAROTID/INNOMINATE W/ ANGIOGRAPHY IPSILATERAL INTRACRANIAL CAROTID UNILATERAL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 5,372.00 "
SELECTIVE CATHETER PLACEMENT COMMON CAROTID/INNOMINATE W/ ANGIOGRPAHY IPSILATERAL EXTRACRANIAL CAROTID UNILATERAL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 4,813.00 "
SELECTIVE CATHETER PLACEMENT EACH INTRACRANIAL BRANCH OF INTERNAL CAROTID/VERTEBRAL ARTERY W/ ANGIOGRAPHY & RADIOLOGICAL SUPERVISION & INTERPRETATION ADD-ON," 1,618.00 "
SELECTIVE CATHETER PLACEMENT EXTERNAL CAROTID W/ ANGIOGRAPHY IPSILATERAL EXTERNAL CAROTID & RADIOLOGICAL SUPERVISION & INTERPRETATION ADD-ON, 634.00 
SELECTIVE CATHETER PLACEMENT INTERNAL CAROTID W/ ANGIOGRAPHY IPSILATERAL INTRACRANIAL CAROTID UNILATERAL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 6,583.00 "
SELECTIVE CATHETER PLACEMENT SUBCLAVIAN OR INNOMINATE W/ ANGIOGRAPHY IPSILATERAL VERTEBRAL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 3,433.00 "
SELECTIVE CATHETER PLACEMENT THORACIC AORTA W/ ANGIOGRAPHY EXTRACRANIAL CAROTID/VERTEBRAL/INTRACRANIAL VESSEL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 3,289.00 "
SELECTIVE CATHETER PLACEMENT VENOUS SYSTEM 1ST ORDER BRANCH, 499.00 
SELECTIVE CATHETER PLACEMENT VENOUS SYSTEM 2ND ORDER OR MORE BRANCH, 612.00 
SELECTIVE CATHETER PLACEMENT VERTEBRAL W/ ANGIOGRAPHY IPSILATERAL VERTEBRAL & RADIOLOGICAL SUPERVISION & INTERPRETATION," 6,620.00 "
SELF CARE/HOME MANAGEMENT TRAINING DIRECT EACH 15 MINS BY ATHLETIC TRAINER, 116.00 
SELF CARE/HOME MANAGEMENT TRAINING DIRECT EACH 15 MINS BY OCCUPATIONAL THERAPIST, 116.00 
SELF CARE/HOME MANAGEMENT TRAINING DIRECT EACH 15 MINS BY PHYSICAL THERAPIST, 116.00 
SELF CARE/HOME MANAGEMENT TRAINING DIRECT EACH 15 MINS BY RECREATIONAL THERAPIST, 116.00 
SELF CARE/HOME MANAGEMENT TRAINING DIRECT EACH 15 MINS BY SPEECH THERAPIST, 116.00 
SEMEN MOTILITY & COUNT, 118.00 
SENSITIVITY AGAR DILUTION METHOD PER AGENT, 40.00 
SENSITIVITY DISK METHOD PER PLATE, 40.00 
SENSITIVITY ENZYME DETECTION PER ENZYME, 21.00 
SENSITIVITY MACROBROTH EACH AGENT, 65.00 
SENSITIVITY MYCOBATERIA EACH AGENT, 79.00 
SENSORY INTEGRATIVE TECHNIQUES DIRECT EACH 15 MINS BY ATHLETIC TRAINER, 91.00 
SENSORY INTEGRATIVE TECHNIQUES DIRECT EACH 15 MINS BY OCCUPATIONAL THERAPIST, 91.00 
