USC VHH CDM Price Increase,,,,,,,,,,,,
Gross Revenue Change (old to new),,,,,,,,,,,,
"July 1, 2017 - June 30, 2018",,,,,,,,,,"Gross Revenue
(old price)","Gross Revenue
(new price)","New Gross Revenue based on Price increase on April 1, 2018"
4006631,"XR ART,CAROTID,CERV,BI,SEL, S&I",4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,891","19,398",0,0,0,Phase I
4006649,VEIN SAMPL VIA CATH,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"3,877","4,251",0,0,0,Phase I
4006656,FINE NEEDLE ASP W/ IMAGING GUIDANCE,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,007",836,0,0,0,Phase I
4006664,"XR ART,SELEC,EA ADD VES,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006680,"XR ART,CAROTID,CERE,BI,SEL,S&I",4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,166","15,820",0,0,0,Phase I
4006714,CEREBRAL ART ADDTL PROJ,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006730,FLUORO 1HR OR LESS W DICT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,439,"1,175",7,"3,073","8,225",Phase I
4006748,"XR AORTA ABD,wSERIAL,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,201","5,519",0,0,0,Phase I
4006755,GI TUBE INTRO W/FLUORO,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,392,"1,123",0,0,0,Phase I
4006763,"XR ART,SELEC,EA ADD VES,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006789,"XR ART,VISCERAL,SELEC,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,877","5,642",0,0,0,Phase I
4006797,XR TMJ UNI,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,565,0,0,0,Phase I
4006813,"XR ART,SELEC,EA ADD VES,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006839,ART NEED/CATH EXTREM,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,460,"1,932",0,0,0,Phase I
4006847,AORTA BI ILIOFEM RUN OFF,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,615","6,816",0,0,0,Phase I
4006912,"XR ART,XTREMITY,UNI,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,201","4,812",0,0,0,Phase I
4006920,"XR ART,SELEC,EA ADD VES,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006987,TRAN CATH RET FB,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,239","12,867",0,0,0,Phase I
4006995,PLACE CATH ABD/PEL/LE 3RD ORDER,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,944","2,905",0,0,0,Phase I
4007027,SUP VENACAVA SERIAL INIT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,852","3,604",0,0,0,Phase I
4007035,TRANSCATH TX ART INFU THROMBOLYSIS,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"3,877","7,664",0,0,0,Phase I
4007043,"INTRO CATH,SVC/IVC",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,581,"1,521",0,0,0,Phase I
4007092,PLACE CATH ABD/PEL/LE 1ST ORDER,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,530","2,285",0,0,0,Phase I
4007142,VEIN 2ND ORD SEL,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,492,"1,785",0,0,0,Phase I
4007159,VEIN SEL CATH PLACEMENT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,445,"1,615",0,0,0,Phase I
4007167,VENA CAVA INTRO CATH,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,581,"1,521",0,0,0,Phase I
4007175,VEIN INJ OF CONTRAST,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,446,"1,010",0,0,0,Phase I
4007209,PLACE CATH ABD/PEL/LE EA ADDL,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,307,468,0,0,0,Phase I
4007217,"PERQ PLACE,IVC FILTER",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"5,523","12,044",1,"5,523","12,044",Phase I
4007258,SEL THOR/BRACH ADD,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,354,565,0,0,0,Phase I
4007266,"TRANSCATH TX,EMBOLIZ,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,268","6,810",0,0,0,Phase I
4007274,ART SEL ABD/PEL/LOW EXT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,635","2,443",0,0,0,Phase I
4007282,"INTRO CATH,SVC/IVC",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,581,"1,521",0,0,0,Phase I
4007290,INTRO NEED/CATH AORTIC,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,638,"2,637",0,0,0,Phase I
4007308,AORTA INTRO CATH,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,167","1,152",0,0,0,Phase I
4007316,SEL THORC/BRACH 1ST ORD,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,596","2,314",0,0,0,Phase I
4007324,SEL THORIC/BRACH 2ND ORD,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,851","2,977",0,0,0,Phase I
4007332,SEL THORIC/BRACH 3RD ORD,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,203","3,553",0,0,0,Phase I
4007365,"XR VEIN,XTREM,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,080","1,789",9,"9,720","16,101",Phase I
4007373,CHEST MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,324,324,324,322,"1,017",0,0,0,Phase I
4007381,EXTREM VENOGRAM BILATERAL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,517","3,158",0,0,0,Phase I
4007449,HIP ONE VIEW,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,216,367,10,"2,160","3,670",Phase I
4007480,FLUORO GUIDANCE OF PICC LINE,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,276,"2,073",4,"1,104","8,292",Phase I
4007498,UGI SINGLE CONTRAST & SBS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,013","1,322",3,"3,039","3,966",Phase I
4007506,"EMBOLIZATION, THERAPUTIC",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,268","6,810",0,0,0,Phase I
4007514,INJ FOR WRIST ARTHROGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,269,707,0,0,0,Phase I
4007530,INJ FOR HIP ARTHROGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,579,777,1,579,777,Phase I
4007548,"ANGIOGRAM,FU STUDY",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,960,"1,898",0,0,0,Phase I
4007555,INJ FOR KNEE ARTHROGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,269,652,0,0,0,Phase I
4007571,CHEST 2V W/OBLIQUES,4630,RADIOLOGY-DIAGNOSTIC,324,324,324,"1,100","1,024",0,0,0,Phase I
4007589,ANG RENAL BILAT SELEC,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"6,430","12,862",0,0,0,Phase I
4007597,NASO OR ORO-GASTRIC TUBE PLACEMENT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,306,376,0,0,0,Phase I
4007605,"VASCULAR OCCLUSION, PERMANENT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,268","6,810",0,0,0,Phase I
4007613,SMALL INTESTINE SERIES VIA ENTEROC-,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,756,"5,873",0,0,0,Phase I
4007654,INJECTION FOR PORTOCATHOGRAM,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,210,673,0,0,0,Phase I
4007704,"XR,GUIDE PERQ DRAIN,S&I",4680,CAT SCAN,320,320,320,"1,640","3,896",0,0,0,Phase I
4007803,"XR, NEEDLE BX NON-CHEST",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,442,"1,149",0,0,0,Phase I
4007845,INJECTION OF MAJOR JOINT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,865,997,10,"8,650","9,970",Phase I
4007860,BOTH KNEES STANDING ANTEROPOSTERIOR,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,138",752,1,"1,138",752,Phase I
4007894,T SPINE 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,404,772,23,"9,292","17,756",Phase I
4007977,RIBS UNI 2V INCLUDING PA CHEST,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,665,879,37,"24,605","32,523",Phase I
4008009,"XR,BONE LENGTH EVAL",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,634,748,2,"1,268","1,496",Phase I
4008017,"XR,DEXA BONE DENS;AXIAL SKEL",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,632,469,0,0,0,Phase I
4008033,FLURO MORE THAN 1HR,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,364,"1,925",44,"16,016","84,700",Phase I
4008041,FLUORO 1HR OR LESS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,439,"1,175",26,"11,414","30,550",Phase I
4008058,"XR,OSSEOUS SURVEY,COMP",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,724,"1,680",2,"1,448","3,360",Phase I
4008090,PELVIS COMP 3V OR MORE,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,273,984,0,0,0,Phase I
4008108,"XR,ABSCES,FISTULA,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,724,882,0,0,0,Phase I
4008116,UNI DX MAMMO DIGITAL IMAGE,4633,RADIOLOGY-MOB,401,401,401,409,454,0,0,0,Phase I
4008124,BIL SCREEN MAMMO DIGITAL IMAGE,4633,RADIOLOGY-MOB,403,403,403,520,431,0,0,0,Phase I
4008140,MAMMO SCREENING DIGITAL IMAGE LT,4633,RADIOLOGY-MOB,403,403,403,520,431,0,0,0,Phase I
4008165,XR EXAM SURGICAL SPECIMEN,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,867,"1,189",1,867,"1,189",Phase I
4008173,MAMMO SCREENING DIGITAL IMAGE,4633,RADIOLOGY-MOB,403,403,403,520,431,0,0,0,Phase I
4008181,ALL ABD GASTRO TUBE INJ,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,448,479,0,0,0,Phase I
4008199,INJECTION FOR SENTINEL NODE,4650,NUCLEAR MEDICINE,360,360,360,389,"1,169",0,0,0,Phase I
4008280,MAMMARY DUCTOGRAM SINGLE DUCT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,264,272,0,0,0,Phase I
4008298,MAMMARY DUCTOGRAM MULTIPLE DUCTS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,264,360,0,0,0,Phase I
4008316,SCR MAMMO BI INCL CAD,4633,RADIOLOGY-MOB,403,403,403,547,578,"1,024","560,128","591,872",Phase I
4008317,DX MAMMO INCL CAD BIL,4633,RADIOLOGY-MOB,401,401,401,547,"1,094",76,"41,572","83,144",Phase I
4008363,STEREO BRST BX FRST LSN,4633,RADIOLOGY-MOB,360,360,360,"5,890","6,132",0,0,0,Phase I
4008389,MAMMO GUIDE BREAST LOC FRST LSN,4633,RADIOLOGY-MOB,360,360,360,854,"1,456",1,854,"1,456",Phase I
4008413,STEREO GUIDE BRST LOC FRST LSN,4633,RADIOLOGY-MOB,360,360,360,624,663,0,0,0,Phase I
4008769,"XR CHEST;1V,FRONTAL EMPLOYEE",4630,RADIOLOGY-DIAGNOSTIC,324,324,324,380,725,0,0,0,Phase I
4008777,"XR CHEST;1V,FRONTAL PORTABLE",4630,RADIOLOGY-DIAGNOSTIC,324,324,324,380,725,0,0,0,Phase I
4008868,INSRT PRPH VEN ACCESS W/SUB PORT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,158","2,303",0,0,0,Phase I
4009171,"XR ART,CAROTID,CERV,BI,SEL, S&I",4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,891","19,398",0,0,0,Phase I
4009197,THORACIC AORTOGRAM INITIAL,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,877","4,251",0,0,0,Phase I
4009205,THORACIC AORTOGRAM ADDIT VIEW,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4009270,BILATERAL RIB X RAY 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,348,918,1,348,918,Phase I
4009288,"XR ABDOMEN;COMPwDCUB,EREC",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,395,"1,001",0,0,0,Phase I
4009304,"XR SPI,CERVICAL;AP&LAT  PORTABLE",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,362,467,0,0,0,Phase I
4009361,"XR SPI;LUMBOSACRAL,AP&LAT PORTABL",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,962,0,0,0,Phase I
4009403,"XR ENDO CATH;BILI/PANC DUCTS,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,205","2,662",11,"13,255","29,282",Phase I
4009452,PRP VEN CATH WO SUB PORT/PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,744","1,091",0,0,0,Phase I
4009502,"XR SPI,1V,SPECIFY LEVEL PORTABLE",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,422,651,0,0,0,Phase I
4009528,CT ABD PELV W/WO CON,4680,CAT SCAN,352,352,352,"7,492","7,293",36,"269,712","262,548",Phase I
4009569,UP GSTR TR W/WO DL IMG WO KUB X RAY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,657,824,0,0,0,Phase I
4009585,PHARYNX AND/OR CERV ESOPH X RAY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,657,959,0,0,0,Phase I
4009593,CT ABD PELV W/CON,4680,CAT SCAN,352,352,352,"6,720","8,001",430,"2,889,600","3,440,430",Phase I
4009643,CT ABD PELV W/O CON,4680,CAT SCAN,352,352,352,"4,344","7,048",244,"1,059,936","1,719,712",Phase I
4009718,BLAD ASP INSERT SUP CATH,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,810","1,968",0,0,0,Phase I
4009726,INSERT PRPH VENOUS W/PORT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,193","4,884",2,"4,386","9,768",Phase I
4009999,PRP CATH W/SUBQ PORT PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"3,883","5,013",0,0,0,Phase I
4010088,CERVICAL MYELOGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"2,700","4,386",0,0,0,Phase I
4010138,LUMBOSACRAL MYELOGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,958,"2,064",0,0,0,Phase I
4010849,RIBS 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,634,790,33,"20,922","26,070",Phase I
4011078,RPLCMNT VN CATH WO SUB PORT/PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,540","2,806",0,0,0,Phase I
4013553,RPLCMNT TNNLD CATH WO SUB PORT/PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,332","3,697",0,0,0,Phase I
4014007,RETOGRADE PYELOGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,724,"1,713",0,0,0,Phase I
4014171,CTA HEART  W 3D IMAGE,4680,CAT SCAN,352,352,352,"2,027","5,172",0,0,0,Phase I
4018420,RPLCMNT TNNLD VN ACCESS W/SUB PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"8,479","9,367",0,0,0,Phase I
4019956,RPR PICC WO SUBQ PORT PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,196","2,426",0,0,0,Phase I
4020046,INJ PROC MAMMARY DUCTO/GALACTOGRAM,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,341,435,0,0,0,Phase I
4020103,INJ SINUS TRAC DX,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,240,594,0,0,0,Phase I
4020111,INJ SINUS TRAC TX,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,189","1,307",0,0,0,Phase I
4020137,PUNCT ASPIRATE INJ INTERMED JOINT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,309,145,0,0,0,Phase I
4020434,INJ PROC RETROGRADE URETHROCYSTOGRA,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,269,"1,735",0,0,0,Phase I
4020715,ANG ONE OR MORE RENAL BIL SELEC,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"9,397","18,794",0,0,0,Phase I
4020723,CHEST XRAY MIN 4V WITH FLUORO,4630,RADIOLOGY-DIAGNOSTIC,324,324,324,720,"2,274",0,0,0,Phase I
4021002,PLMNT BILIARY DRAIN INT EXT,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,140","7,164",0,0,0,Phase I
4021028,EXCHANGE BILIARY DRAIN CATH,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,140","3,379",0,0,0,Phase I
4021051,PLMT STENT BILE DUCT PERC W/O CATH,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"9,724","17,625",0,0,0,Phase I
4021069,PLMT STENT BILE DUCT PERC W/ CATH,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"9,724","18,190",0,0,0,Phase I
4021085,INJ ANTEGRADE NEP/URET NEW ACCESS,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"1,238","10,410",0,0,0,Phase I
4021093,INJ ANTEGRADE NEP/URET EXIST ACCESS,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"1,238","4,448",0,0,0,Phase I
4021101,PLACE NEPHROURETERAL CATH PERC,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,356","8,132",0,0,0,Phase I
4021119,CONVERT NEPHROSTOMY CATH,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,356","6,121",0,0,0,Phase I
4021127,CHANGE TUBE NEPHROSTOMY/PYELOSTOMY,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"1,240","3,164",2,"2,480","6,328",Phase I
4021168,THPY INFS THROM VENOUS INITAL DAY,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,036","6,714",0,0,0,Phase I
4021937,RPLCMNT PRPH VEN W/SUB PORT /PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"7,073","7,814",0,0,0,Phase I
4022042,REMOVAL TNNLD VN WO SUB PORT/PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,952,"1,825",0,0,0,Phase I
4022919,REMOVAL TNNLD VN W/SUB PORT/PUMP,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,165","2,546",0,0,0,Phase I
4023958,FLURO GUIDED GAS TUBE INSER PERCUT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"1,423","4,707",0,0,0,Phase I
4023966,VSCLR EMB OR OCCL VN OTH HEMRHG,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"13,421","21,652",0,0,0,Phase I
4023974,VSCLR EMB OR OCCL ART OTH HEMRHG,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"14,584","23,396",0,0,0,Phase I
4023982,"VSCLR EMB OR OCCL TMR, ISCH, INFRCT",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"17,210","27,472",0,0,0,Phase I
4023990,VSCLR EMB OR OCCL ART VN HEM LYMPH,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"20,261","32,486",0,0,0,Phase I
4024006,TRNSCTH PLC ECXPT LWR EXT INTL ART,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"11,379","30,569",0,0,0,Phase I
4024022,TRSCTH PLCMNT INTVSCLR STNT INTL VN,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"11,379","22,852",0,0,0,Phase I
4024030,TRNSCTH PLC INVSCLR STNT ADTNL VN,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"5,741","11,596",0,0,0,Phase I
4024055,IMG GUIDE DRAIN BY CATH VSCRL,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,239","2,578",0,0,0,Phase I
4024063,IMG GUIDE DRAIN BY CATH PRCUT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,469","2,843",4,"9,876","11,372",Phase I
4024071,IMG GD DRAIN CATH TRVSVG TRNSRCTL,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"3,782","4,355",0,0,0,Phase I
4028452,XR SPINE THORACIC MIN 4 VIEWS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,499,842,0,0,0,Phase I
4029070,XR ABDOMINAL AP OBLIQUES CONE VIEWS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,390,988,0,0,0,Phase I
4030573,X RAY BIL HIPS WITH PELVIS 3-4 V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,573,831,0,0,0,Phase I
4030581,X RAY BIL HIPS WITH PELVIS MIN 5V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,092",997,0,0,0,Phase I
4030599,X RAY HIP WITH PELV MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,573,926,0,0,0,Phase I
4031670,CHEST X RAY MIN 4V WITH FLUORO,4630,RADIOLOGY-DIAGNOSTIC,324,324,324,479,"1,512",0,0,0,Phase I
4036123,TRLUML BALO ANGIOP 1ST ART,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"4,096","4,424",0,0,0,Phase I
4300059,"US ECHO, INTRAOPERATIVE",4670,ULTRASOUND,402,402,402,935,"2,431",1,935,"2,431",Phase I
4300091,"US, RETROPERITONEAL LTD",4670,ULTRASOUND,402,402,402,239,"1,268",2,478,"2,536",Phase I
4300109,"US, RETROPERITONAL COMP",4670,ULTRASOUND,402,402,402,617,"1,498",186,"114,762","278,628",Phase I
4300117,"US, ECHO SCROTUM+CONTENTS",4670,ULTRASOUND,402,402,402,"1,080","1,606",40,"43,200","64,240",Phase I
4300125,"US, ECHO, PREG UTERUS LTD",4670,ULTRASOUND,402,402,402,707,"1,064",11,"7,777","11,704",Phase I
4300158,"US, SONOGRAM CHEST/LUNG",4670,ULTRASOUND,402,402,402,829,"1,100",8,"6,632","8,800",Phase I
4300166,"US, ECHOEXTREMITY, NONVAS",4670,ULTRASOUND,402,402,402,617,"1,127",14,"8,638","15,778",Phase I
4300182,"US, ECHO, KIDNEY BILAT",4670,ULTRASOUND,402,402,402,617,"1,498",0,0,0,Phase I
4300208,"US, ECHO KIDNEY UNILAT",4670,ULTRASOUND,402,402,402,239,"1,268",0,0,0,Phase I
4300224,SURG CYST ASPER/INJ,4670,ULTRASOUND,360,360,360,864,"1,050",0,0,0,Phase I
4300240,SURG THYROID BIOPSY,4670,ULTRASOUND,360,360,360,"1,007",836,2,"2,014","1,672",Phase I
4300257,SURG THORACENTESIS,4670,ULTRASOUND,361,361,361,953,"3,346",7,"6,671","23,422",Phase I
4300265,US SURG PARACENTESIS,4670,ULTRASOUND,360,360,360,"2,308","2,644",7,"16,156","18,508",Phase I
4300273,SURG CYST ASPIRATION,4670,ULTRASOUND,360,360,360,788,663,0,0,0,Phase I
4300323,US ECHO TRANSVAGINAL,4670,ULTRASOUND,402,402,402,"1,080","1,464",160,"172,800","234,240",Phase I
4300331,US PELVIC LTD/FOLLOW-UP,4670,ULTRASOUND,402,402,402,404,839,40,"16,160","33,560",Phase I
4300414,US URINARY BLADDER,4670,ULTRASOUND,402,402,402,404,839,0,0,0,Phase I
4300448,POST ABLATION VENOUS DOP L EXT BIL,4670,ULTRASOUND,921,921,921,"1,753","2,291",0,0,0,Phase I
4300455,POST ABLATION VENOUS DOP L EXT UNI,4670,ULTRASOUND,921,921,921,"1,688","1,727",0,0,0,Phase I
4330106,"US ECHO,ABD,LTD",4670,ULTRASOUND,402,402,402,"1,267","1,471",230,"291,410","338,330",Phase I
4330254,"US ECHO, AORTA",4670,ULTRASOUND,402,402,402,617,"1,498",13,"8,021","19,474",Phase I
4330353,"US ECHO,URINARY BLADDER",4670,ULTRASOUND,402,402,402,239,"1,268",0,0,0,Phase I
4330551,"US,ECHO PELV(NONOB);COMP",4670,ULTRASOUND,402,402,402,"1,267","1,868",181,"229,327","338,108",Phase I
4330601,"US ECHO,ABD,COMP",4670,ULTRASOUND,402,402,402,"1,677","1,832",199,"333,723","364,568",Phase I
4330650,US ECHO ONE GEST;>1ST TRI,4670,ULTRASOUND,402,402,402,"2,066","1,879",6,"12,396","11,274",Phase I
4331104,"US ECHO,SOFT TISS H&N",4670,ULTRASOUND,402,402,402,724,"1,205",99,"71,676","119,295",Phase I
4332573,"US GUIDE NEEDLE BX,S&I",4670,ULTRASOUND,402,402,402,"1,371","1,632",22,"30,162","35,904",Phase I
4332847,US ECHO ADD GEST;>1ST TRI,4670,ULTRASOUND,402,402,402,"2,169",882,1,"2,169",882,Phase I
4332854,US BREAST UNI CMPLT,4670,ULTRASOUND,402,402,402,"1,066",582,118,"125,788","68,676",Phase I
4332862,US BREAST UNI LTD,4670,ULTRASOUND,402,402,402,817,444,2,"1,634",888,Phase I
4332888,US EXT NONVASCULAR LIMITED,4670,ULTRASOUND,402,402,402,370,853,0,0,0,Phase I
4337002,FINE NEEDLE ASP. W/IMAGING GUIDANCE,4670,ULTRASOUND,360,360,360,"1,007",836,18,"18,126","15,048",Phase I
4337010,TRANSPLANTED KIDNEY US,4670,ULTRASOUND,402,402,402,531,"2,040",1,531,"2,040",Phase I
4337028,US PREGNANT UTERUS FIRST TRIMESTER,4670,ULTRASOUND,402,402,402,878,"1,315",39,"34,242","51,285",Phase I
4337036,US PREGNANT UTERUS TRANSVAGINAL,4670,ULTRASOUND,402,402,402,557,"1,076",27,"15,039","29,052",Phase I
4337044,NEEDLE BIOPSY OR EXCISION LYMPHNO,4670,ULTRASOUND,360,360,360,"2,247","1,759",3,"6,741","5,277",Phase I
4337051,US GUIDE FOR VASCULAR ACCESS S&I,4670,ULTRASOUND,402,402,402,241,"1,305",8,"1,928","10,440",Phase I
4337069,US PROSTATE,4670,ULTRASOUND,402,402,402,450,"1,179",8,"3,600","9,432",Phase I
4337101,US BX MUSCLE PERCUTANEOUS,4670,ULTRASOUND,360,360,360,"1,410","1,699",0,0,0,Phase I
4337119,US BRST BX LOC FRST LSN,4670,ULTRASOUND,360,360,360,"5,560","5,681",8,"44,480","45,448",Phase I
4337127,US BRST BX LOC ADTNL LSN,4670,ULTRASOUND,360,360,360,"3,115","4,022",0,0,0,Phase I
4337135,US GUID BRST LOC FRST LSN,4670,ULTRASOUND,360,360,360,624,934,0,0,0,Phase I
4337143,US GUID BRST LOC ADTN LSN,4670,ULTRASOUND,360,360,360,313,467,0,0,0,Phase I
4337150,US SURG LIVER BIOPSY,4670,ULTRASOUND,360,360,360,"1,410","1,539",0,0,0,Phase I
4337168,DUPLEX ABD/PEL/RETRO CMPL,4670,ULTRASOUND,402,402,402,880,"2,573",3,"2,640","7,719",Phase I
4337176,DUPLEX ABD/PEL/RETRO LTD,4670,ULTRASOUND,402,402,402,485,"1,412",0,0,0,Phase I
4550018,CT BRAIN W\O CONTRAST,4680,CAT SCAN,351,351,351,"3,159","4,059",692,"2,186,028","2,808,828",Phase I
4550059,SURG THORACENTESIS,4680,CAT SCAN,361,361,361,953,"3,346",9,"8,577","30,114",Phase I
