Procedure ID,Procedure,Charge
S65091,CATHETER EP BLAZER II 7FRX2.5X4MM,2642.5
S6510,45MM TI MULTILOC SCREW LENGTH 32MM-STER,1185.079956
S65101,CATHETER EP POLARISXDECAPOLAR 6FRX5MM,1977.5
S65102,CATHETER EP 6FRX2X8X2MM,1977.5
S65104,CATHETER EP BLAZER PRIME XP LG 8FRX10MM,5547.5
S65105,CATHETER EP BLAZER PRIME HTD 7FRX4MM,3150
S6511,45MM TI MULTILOC SCREW LENGTH 34MM-STER,1185.079956
S65110,DILATOR ESCP CRE 75CM 5.5CM 12-15MM PULM,1106.140015
S65111,DILATOR ESCP CRE 75CM 5.5CM 15-18MM PULM,1106.140015
S65112,DILATOR ESCP CRE 75CM 5.5CM 18-20MM PULM,1106.140015
S65118,CATHETER GOLD PROBE 10FRX25GAX210CM,850.8800049
S6512,45MM TI MULTILOC SCREW LENGTH 38MM-STER,1185.079956
S65129,STENT UP/18 6/16/95 UNCOVERED DIST STER,6692.700195
S65130,STENT UNCOVERED PROXIMAL RELEASE 10X20MM,6692.700195
S65131,STENT UNCOVERED PROXIMAL RELEASE 12X20MM,6692.700195
S65132,STENT RELEASE COVERED DISTAL 4 X 18,9750
S65133,STENT RELEASE COVERED DISTAL 6 X 18,9750
S65151,TISSUE GRAFT REPLIFORM ALLGRFT 5X10CM,5752.25
S65152,TISSUE GRAFT XENFORM FETAL DERML 8X12CM,5951.75
S65153,DEVICE SUTURE CAPTURE CAPIO CL,4322.5
S65158,SLING MIDURETHRAL OBTRYX TRANSOBTURATOR,3793.129883
S65183,ABSORBENT CARBON DIOXIDE MEDISORB 0.8KG,49.68999863
S65211,SELF DRILLING WIRE THREADED,567.9400024
S65244,SELF  DRILLNG  100/15,538.6900024
S65261,SCREW BONE EXT FIX CORT 3X50X18MM,502.1300049
S65262,SCREW BONE EXT FIX CORT 2.5X70X20MM,502.1300049
S65297,INSERT KNEE I TOT TIB LT,14625
S65298,INSERT KNEE I TOT TIB RT,14625
S65358,VALVE MITRAL VALVE 23-33MM,10887.5
S65458,LENS IOL BICONVEX FOLDABLE MULTIPCE 6.5,506.25
S65459,LENS IOL ACRYSOF BICONVEX FOLDABLE 60,558.75
S65460,LENS IOL ACRYSOF BICONVEX FOLDABLE 75,558.75
S65461,LENS IOL ACRYSOF BICONVEX FOLDABLE 80,558.75
S65462,LENS IOL ACRYSOF BICONVEX FOLDABLE 8.5,480
S65463,LENS IOL ACRYSOF BICONVEX FOLDABLE 9.0,483.75
S65464,LENS IOL ACRYSOF BICONVEX FOLDABLE 9.5,487.5
S65465,LENS IOL ACRYSOF BICONVEX FOLDABLE 10.0,491.25
S65466,LENS IOL ACRYSOF BICONVEX FOLDABLE 10.5,495
S65467,LENS IOL ACRYSOF BICONVEX FOLDABLE 11.0,465
S65468,LENS IOL ACRYSOF BICONVEX FOLDABLE 115,558.75
S65469,LENS IOL ACRYSOF BICONVEX FOLDABLE 12.0,506.25
S65470,LENS IOL ACRYSOF BICONVEX FOLDABLE 12.5,510
S65471,LENS IOL ACRYSOF BICONVEX FOLDABLE 13.0,513.75
S65472,LENS IOL ACRYSOF BICONVEX FOLDABLE 13.5,558.75
S65473,LENS IOL ACRYSOF BICONVEX FOLDABLE 140,558.75
S65474,LENS IOL ACRYSOF BICONVEX FOLDABLE 145,558.75
S65475,LENS IOL ACRYSOF BICONVEX FOLDABLE 150,558.75
S65476,LENS IOL ACRYSOF BICONVEX FOLDABLE 155,558.75
S65477,LENS IOL ACRYSOF BICONVEX FOLDABLE 16.0,536.25
S65478,LENS IOL ACRYSOF BICONVEX FOLDABLE 165,558.75
S65479,LENS IOL ACRYSOF BICONVEX FOLDABLE 17.0,543.75
S65480,LENS IOL ACRYSOF BICONVEX FOLDABLE 17.5,547.5
S65481,LENS IOL ACRYSOF BICONVEX FOLDABLE 18.0,551.25
S65482,LENS IOL ACRYSOF BICONVEX FOLDABLE 18.5,555
S65483,LENS IOL ACRYSOF BICONVEX FOLDABLE 19.0,558.75
S65484,LENS IOL ACRYSOF BICONVEX FOLDABLE 19.5,562.5
S65485,LENS IOL ACRYSOF BICONVEX FOLDABLE 20.0,566.25
S65486,LENS IOL ACRYSOF BICONVEX FOLDABLE 20.5,570
S65487,LENS IOL ACRYSOF BICONVEX FOLDABLE 21.0,573.75
S65488,LENS IOL ACRYSOF BICONVEX FOLDABLE 21.5,577.5
S65489,LENS IOL ACRYSOF ANT BICONVEX 22.0,581.25
S65490,LENS IOL ACRYSOF BICONVEX FOLDABLE 225,558.75
S65491,LENS IOL ACRYSOF BICONVEX FOLDABLE 23.0,588.75
S65492,LENS IOL ACRYSOF BICONVEX FOLDABLE 23.5,592.5
S65493,LENS IOL ACRYSOF BICONVEX FOLDABLE 24.0,558.75
S65494,LENS IOL 10 D +24.5 DIOP MOD C BCNVX 13,600
S65495,LENS IOL ACRYSOF BICONVEX FOLDABLE 25.0,603.75
S65496,LENS IOL ACRYSOF BICONVEX FOLDABLE 25.5,607.5
S65497,LENS IOL ACRYSOF BICONVEX FOLDABLE 26.0,611.25
S65498,LENS IOL ACRYSOF BICONVEX FOLDABLE 27.0,618.75
S65499,LENS IOL ACRYSOF BICONVEX FOLDABLE 27.5,622.5
S65500,LENS IOL ACRYSOF BICONVEX FOLDABLE 28.0,465
S65501,LENS IOL ACRYSOF BICONVEX FOLDABLE 28.5,465
S65502,LENS IOL ACRYSOF BICONVEX FOLDABLE 29.0,465
S65503,LENS IOL ACRYSOF BICONVEX FOLDABLE 29.5,637.5
S65504,LENS IOL ACRYSOF BICONVEX FOLDABLE 30.0,465
S65557,LENS IOL ACRYSOF EXPAND ACRYLIC 1.0,558.75
S65558,LENS IOL ACRYSOF EXPAND ACRYLIC 2.0,558.75
S65559,LENS IOL ACRYSOF EXPAND ACRYLIC 3.0,558.75
S65560,LENS IOL ACRYSOF EXPAND ACRYLIC 4.0,558.75
S65561,LENS IOL ACRYSOF EXPAND ACRYLIC 5.0,558.75
S65562,LENS IOL POST ACRYSOF MENISCUS 2MM,558.75
S65563,LENS IOL POST ACRYSOF MENISCUS 3MM,558.75
S65564,LENS IOL POSTERIOR ACRYSOF MENISCUS 4MM,558.75
S65578,DILATOR PUPIL EXPNDR MALYUGIN RNG 6.25MM,468.75
S65579,RETRACTOR OPHTHALMOLOGY MALYUGIN RNG 7MM,468.75
S65600,STENT ESOPHAGEAL 90CM 100CM 23MM 24FR,8400
S65604,CAP ENDOSCOPE SMALL STERILE STERRAD ETO,452.1000061
S65642,CATHETER MICRO PROGREAT MARKER 2.4FRX130,1275
S65643,PROGREAT MICR TUNGSTEN PTFE 3F 130CM,1275
S65644,CAGE SPINE VERTEBRIDGE STD 5 TO 7MM,10448.75
S65645,PLATE SPINE ROI-C 8 TO 10X5.9 TO 4.9MM,10448.75
S65647,CAGE SPINE ROI-C PEEK-OPTIMA 14X17X8 MM,10448.75
S65649,SPINE CAGE 0.45CC 14X15.5 7X4.2MM,10448.75
S65650,SPINE CAGE ROI-C PEEK-OPTIMA 14X15.5X5MM,10448.75
S65651,SPINE CAGE 0.32CC 12X14 6X3.1MM,10448.75
S65652,SPINE CAGE 0.38CC 12X14 7X4.1MM,10448.75
S65653,SPINE CAGE 0.44CC 12X14 8X5.1MM,10448.75
S65658,LENS IOL PMMA BICONVEX 1 PC 6.5X23MM,318.75
S65659,LENS IOL PMMA BICONVEX 1 PC 6.5X19.5MM,318.75
S65660,LENS IOL PMMA BICONVEX 1 PC 6.5X20.0MM,318.75
S65661,LENS IOL PMMA BICONVEX 1 PC 6.5X20.5MM,318.75
S65662,LENS IOL PMMA BICONVEX 1 PC 6.5X22.5,318.75
S65663,LENS IOL PMMA BICONVEX 1 PC 6.5X23.5MM,318.75
S65664,LENS IOL PMMA BICONVEX 1 PC 6.5X24MM,318.75
S65665,LENS IOL PMMA BICONVEX 1 PC 6.5X25MM,318.75
S65666,LENS IOL PMMA BICONVEX 1 PC 6.5X18.5MM,318.75
S65667,LENS IOL PMMA BICONVEX 1 PC 6.5X21.0MM,318.75
S65668,LENS IOL PMMA BICONVEX 1 PC 6.5X21.5MM,318.75
S65669,LENS IOL PMMA BICONVEX 1 PC 6.5X22.0MM,318.75
S65670,LENS IOL PMMA BICONVEX 1 PC 6.5X25.5MM,318.75
S65672,CATHETER SNARE REPLACEMEN 6FRX102CM,131.25
S65688,NEEDLE BIOPSY CHIBA LF FINE 22GAX20CM,42.08000183
S65692,CATHETER GD PROGREAT COAX 2.8FRX130CM,1872.5
S65694,VALVE CORE TAVR AORTIC 26MM,75000
S65695,VALVE CORE TAVR AORTIC 29MM,75000
S65696,VALVE CORE TAVR AORTIC 31MM,75000
S65697,VALVE CORE TAVR AORTIC 23MM,75000
S65705,PROSTHESIS JOINT 4 16.6X21.4MM,16051.75
S65786,PROSTHESIS BREAST NATRELLE 410MF 375GR,3937.5
S65787,PROSTHESIS BREAST NATRELLE 410MF 165GR,3937.5
S65788,PROSTHESIS BREAST NATRELLE 410MF 195GR,3937.5
S65789,PROSTHESIS BREAST NATRELLE 410MF 225GR,3937.5
S65790,PROSTHESIS BREAST NATRELLE 410MF 255GR,3937.5
S65791,PROSTHESIS BREAST NATRELLE 410MF 295GR,3937.5
S65792,PROSTHESIS BREAST NATRELLE 410MF 335GR,3937.5
S65794,PROSTHESIS BREAST NATRELLE 410MF 420GR,3937.5
S65795,BREAST IMPL STY410 MOD HT FULL PJT 440CC,3937.5
S65796,PROSTHESIS BREAST NATRELLE 410MF 470CC,3937.5
S65797,PROSTHESIS BREAST NATRELLE 410MF 525GR,3937.5
S65798,PROSTHESIS BREAST NATRELLE 410MF 580GR,3937.5
S65801,PROSTHESIS BREAST NATRELLE 410MF 640GR,3937.5
S65834,SUPPORT SYSTEM CATARACT MACKOOL FLX ST,101.25
S65839,BRUSH CLN CHANL PORT LF NYL SING 2850MM,41.65999985
S65840,CAP SOAKING ENDOSCP ACCY H2O RESIST VNT,1278.75
S65841,ATTACHMENT ENDOSCOPE DISTAL TUBE,350.25
S65873,KIT INTRO VASC 7FRX.018INX7CM 21GX2.75IN,107.9599991
S65914,ELECTRODE CUT LP ENDO 24FRX0.015IN,239.4799957
S65915,PROSTHESIS 410MM 160GRX10X9.1X3.6CM,3937.5
S65916,PROSTHESIS 410MM 185GRX10.5X9.6X3.8CM,3937.5
S65917,PROSTHESIS 410MM 215MLX11X10.1X4CM,3937.5
S65918,PROSTHESIS BREAST NATRELLE 410MM 245GR,3937.5
S65919,PROSTHESIS BREAST NATRELLE 410MM 280CC,3937.5
S65920,PROSTHESIS 410MM 320GRX12.5X11.6X4.6CM,3937.5
S65922,PROSTHESIS BREAST NATRELLE 410MM 360CC,3937.5
S65924,PROSTHESIS 410MM 400GRX13.5X12.5X5CM,3937.5
S65925,PROSTHESIS 410MM 450GRX14X12.9X5.2CM,3937.5
S65927,MATRIX TISS MICROMATRIX MIRCO PRTCL 1000,8645.349609
S65946,SLED MALLEOLAR MEDIAL 60MM,2432.5
S65947,WASHER BONE ANKLE MEDIAL MALLEOLAR SLED,562.5
S65950,LENS IOL ACRYSOF MULTIPIECE + 6X15.5MM,558.75
S65951,LENS IOL ACRYSOF MULTIPIECE + 6X10MM,558.75
S65952,LENS IOL ACRYSOF MULTIPCE NATURAL +10.5,495
S65953,LENS IOL ACRYSOF MULTIPIECE + 6X11MM,558.75
S65954,LENS IOL ACRYSOF MULTIPCE NATURAL  11.5,558.75
S65955,LENS IOL ACRYSOF MULTIPIECE NAT 12.0,558.75
S65956,LENS IOL ACRYSOF MULTIPCE NATURAL +12.5,510
S65957,LENS IOL ACRYSOF MULTIPCE NATURAL +14.0,558.75
S65958,LENS IOL MULTIPCE NATURAL DIOPTER 14.5,558.75
S65959,LENS IOL ACRYSOF MULTIPIECE + 6X15.0MM,558.75
S65960,LENS IOL ACRYSOF MULTIPIECE + 6X16.5MM,558.75
S65961,LENS IOL ACRYSOF MULTIPIECE + 6X17.0MM,558.75
S65962,LENS IOL ACRYSOF MULTIPIECE + 6X17.5MM,558.75
S65963,LENS IOL ACRYSOF MULTIPIECE + 6X18.0MM,558.75
S65964,LENS IOL ACRYSOF MULTIPIECE + 6X18.5MM,558.75
S65965,LENS IOL ACRYSOF MULTIPIECE + 6X19.0MM,558.75
S65966,LENS IOL ACRYSOF MULTIPIECE + 6X19.5MM,558.75
S65967,LENS IOL ACRYSOF MULTIPIECE + 6X20.0MM,558.75
S65968,LENS IOL ACRYSOF MULTIPIECE + 6X20.5MM,558.75
S65969,LENS IOL ACRYSOF MULTIPIECE + 6X21.0MM,558.75
S65970,LENS IOL ACRYSOF MULTIPIECE + 6X21.5MM,558.75
S65971,LENS IOL ACRYSOF MULTIPIECE + 6X22.0MM,558.75
S65972,LENS IOL ACRYSOF MULTIPIECE + 6X22.5MM,558.75
S65973,LENS IOL ACRYSOF MULTIPIECE + 6X23MM,558.75
S65974,LENS IOL ACRYSOF MULTIPIECE + 6X23.5MM,558.75
S65975,LENS IOL ACRYSOF MULTIPIECE + 6X24.0MM,558.75
S65976,LENS IOL ACRYSOF MULTIPIECE + 6X24.5MM,558.75
S65977,LENS IOL ACRYSOF MULTIPIECE + 6X25MM,558.75
S65978,LENS IOL ACRYSOF MULTIPIECE + 6X25.5MM,558.75
S65979,LENS IOL ACRYSOF MULTIPIECE + 6X26.5MM,558.75
S65980,LENS IOL ACRYSOF MULTIPIECE + 6X27.5MM,558.75
S65981,LENS IOL ACRYSOF MULTIPCE NATURAL +28.0,558.75
S65982,LENS IOL ACRYSOF MULTIPIECE + 6X28.5MM,558.75
S65983,LENS IOL ACRYSOF MULTIPCE NATURAL +29.0,558.75
S65984,LENS IOL ACRYSOF MULTIPIECE + 6X30MM,558.75
S65985,LENS IOL ACRYSOF MULTIPIECE + 6X6MM,558.75
S65986,LENS IOL ACRYSOF MULTI PCE NATURAL 6.5,618.75
S65987,LENS IOL ACRYSOF MULTI PCE NATURAL 7.0,618.75
S65988,LENS IOL ACRYSOF MULTIPIECE + 6X7.5MM,558.75
S65989,LENS IOL ACRYSOF MULTIPIECE + 6X8MM,558.75
S65990,LENS IOL ACRYSOF MULTIPIECE + 6X8.5MM,558.75
S65991,LENS IOL ACRYSOF MULTIPIECE + 6X9MM,558.75
S65992,LENS IOL ACRYSOF MULTIPIECE + 6X9.5MM,558.75
S65993,LENS IOL ACRYSOF MULTIPIECE + 6X13.0MM,558.75
S65994,LENS IOL ACRYSOF MULTIPIECE + 6X13.5MM,558.75
S65995,LENS IOL ACRYSOF MULTIPIECE + 6X16MM,558.75
S65996,LENS IOL ACRYSOF MULTIPIECE + 6X27MM,558.75
S65997,LENS IOL ACRYSOF MULTIPIECE + 6X26MM,558.75
S66,GRAFT BONE CHIP CANC 4 TO 10MM 60CC,2265.899902
S66015,LENS19.5 INTRA OCULAR NOTCH,195
S66039,LENS IOL ACRYSOF ACRYLIC MENISCUS 0.0,558.75
S66040,LENS IOL ACRYSOF ACRYLIC MENISCUS 1.0,558.75
S66041,LENS IOL ACRYSOF ACRYLIC MENISCUS 3.0,558.75
S66042,LENS IOL ACRYSOF ACRYLIC MENISCUS 4.0,558.75
S66043,LENS IOL ACRYSOF ACRYLIC MENISCUS 5.0,558.75
S66044,LENS IOL ACRYSOF ACRYLIC MENISCUS 2.0,558.75
S66046,LENS IOL ACRYSOF MLTIPCE MENISCUS 3.0,558.75
S66047,LENS IOL ANTERIOR CHAMBER 5.0 X 13MM,558.75
S66048,LENS IOL ACRYSOF IQ RESTOR DIOPTER 21.5,3132.5
S66049,LENS IOL ACRYSOF IQ RESTOR 6X10.5MM,3132.5
S66050,LENS IOL ACRYSOF IQ RESTOR 6X11MM,3132.5
S66051,LENS IOL ACRYSOF IQ RESTOR 6X12MM,3132.5
S66052,LENS IOL ACRYSOF IQ RESTOR 6X14MM,3132.5
S66053,LENS IOL ACRYSOF IQ RESTOR 6X15MM,3132.5
S66054,LENS IOL ACRYSOF IQ RESTOR ACRYLIC 6X16,3132.5
S66055,LENS IOL ACRYSOF IQ RESTOR 6X17MM,3132.5
S66056,LENS IOL ACRYSOF IQ RESTOR 6X19MM,3132.5
S66057,LENS IOL ACRYSOF IQ RESTOR 6X20MM,3132.5
S66058,LENS IOL ACRYSOF IQ RESTOR ACRYLIC 22,3132.5
S66059,LENS IOL ACRYSOF IQ RESTOR 6X26MM,3132.5
S66060,LENS IOL ACRYSOF IQ RESTOR 6X30MM,3132.5
S66084,RING CAPSULAR TENS HENDERSON EYEJET 10MM,708.75
S66085,RING OPTHLMC CAPSULAR TENS TYPE 14,671.25
S66086,RING OPTHLMC CAPSULAR TENS TYPE 14A,671.25
S66087,RING OPTHLMC CAPSULAR TENS TYPE 14C,671.25
S66096,HANDLE DRIVER CANNULATED QUICK RELEASE LARGE,2005.5
S66106,STAPLE BONE 15X15X15MM INTEGRA MEMOFIX,4466
S66107,APPLICATOR ENDO SURGIFLO STER DISP 34CM,173.1399994
S66133,SIZER BREAST NATRELLE 13.4X3.7CMX360CC,787.5
S66134,SIZER BREAST NATRELLE SIL MSZ10 390ML,787.5
S66135,SIZER BREAST NATRELLE SIL 14X3.8CMX420CC,787.5
S66136,SIZER BREAST NATRELLE SIL MSZ10 450ML,787.5
S66137,SIZER BREAST MSZ10 510MLX15.1X4CM,787.5
S66138,SIZER BREAST NATRELLE SIL 15.4X4CMX550CC,787.5
S66139,SIZER BREAST NATRELLE 15.8X4.3CMX600CC,787.5
S66141,SIZER BREAST NATRELLE 9.9X3.3CMX176CC,787.5
S66142,SIZER BREAST NATRELLE SIL MSZ15 194ML,787.5
S66143,SIZER BREAST NATRELLE 10.6X3.5CMX213CC,787.5
S66144,SIZER BREAST NATRELLE 10.9X3.6CMX234CC,787.5
S66145,SIZER BREAST NATRELLE SIL MSZ15 265ML,787.5
S66147,SIZER BREAST MSZ15 11.9X4CMX304CC,787.5
S66150,SIZER BREAST NATRELLE SIL MSZ15 397ML,787.5
S66151,SIZER BREAST NATRELLE SIL MSZ15 421ML,787.5
S66152,SIZER BREAST NATRELLE SIL MSZ15 457ML,787.5
S66153,SIZER BREAST NATRELLE SIL MSZ15 533ML,787.5
S66154,SIZER BREAST NATRELLE SIL MSZ15 575ML,787.5
S66155,SIZER BREAST NATRELLE 15.2X4.9CMX616ML,787.5
S66156,SIZER BREAST NATRELLE SIL MSZ15 659ML,787.5
S66157,SIZER BREAST NATRELLE 15.8X5.1CMX700ML,787.5
S66163,SIZER BREAST NATRELLE 11.7X4.9CM 375CC,787.5
S66164,SIZER BREAST NATRELLE 11.9X5.0CMX400CC,787.5
S66165,SIZER BREAST NATRELLE 12.4X5.2CMX450CC,787.5
S66166,SIZER BREAST NATRELLE SIL MSZ20 500ML,787.5
S66167,SIZER BREAST NATRELLE SIL MSZ20 550ML,787.5
S66168,SIZER BREAST NATRELLE SIL MSZ20 600ML,787.5
S66169,SIZER BREAST NATRELLE SIL X MSZ45 700ML,787.5
S66170,SIZER BREAST NATRELLE SIL X MSZ45 800ML,787.5
S66177,SIZER BREAST NATRELLE SIL FULL 475ML,787.5
S66178,SIZER BREAST NATRELLE SIL FULL 535ML,787.5
S66179,SIZER BREAST NATRELLE SIL FULL 595ML,787.5
S66181,SIZER IMPLANT P6.2CM FULL PROJECTION,787.5
S66191,SIZER IMPLANT P5.4CM MODERATE PROJECTION,787.5
S66195,SIZER BREAST NATRELLE SIL 140MF 140ML,787.5
S66196,SIZER BREAST NATRELLE SIL MOD 165ML,787.5
S66197,SIZER BREAST NATRELLE SIL MOD 195ML,787.5
S66199,SIZER BREAST NATRELLE SIL 140MF 255ML,787.5
S66200,SIZER BREAST NATRELLE SIL 140MF 295ML,787.5
S66201,SIZER BREAST NATRELLE SIL MOD 335ML,787.5
S66202,SIZER BREAST NATRELLE SIL MOD 375CC,787.5
S66203,SIZER BREAST NATRELLE SIL MOD 420ML,787.5
S66204,SIZER BREAST NATRELLE SIL MOD 470ML,787.5
S66205,SIZER BREAST NATRELLE SIL MOD 525ML,787.5
S66206,SIZER BREAST NATRELLE SIL MOD 580ML,787.5
S66210,SIZER BREAST NATRELLE SIL 140MM 160ML,787.5
S66211,SIZER BREAST NATRELLE SIL 140MM 185ML,787.5
S66212,SIZER BREAST NATRELLE SIL 140MM 215ML,787.5
S66213,SIZER BREAST NATRELLE SIL 140MM 245ML,787.5
S66214,SIZER BREAST NATRELLE SIL MOD 280ML,787.5
S66215,SIZER BREAST NATRELLE SIL 140MM 320ML,787.5
S66216,SIZER BREAST NATRELLE SIL 140MM 360ML,787.5
S66217,SIZER BREAST NATRELLE SIL 140MM 400ML,787.5
S66223,SIZER IMPLANT NATRELLE STYLE 410MX 325CC,787.5
S66239,LENS IOL ACRYSOF PMMA 1 PC 18.0,318.75
S66241,LENS IOL ACRYSOF PMMA 1 PC 23.0,318.75
S66243,LENS IOL ACRYSOF PMMA 1 PC 24.0,318.75
S66245,LENS IOL ACRYSOF KELMAN PMMA 1 PC 11.5,318.75
S66246,LENS IOL ACRYS KELMAN PMMA CONVEXOPL 5.5,318.75
S66247,LENS IOL ACRYSOF KELMAN PMMA 1 PCE 7.0,318.75
S66248,LENS IOL ACRYSOF KELMAN PMMA 1 PCE 7.5,318.75
S66249,LENS IOL ACRYSOF KELMAN PMMA 1 PCE 8.5,318.75
S66250,LENS IOL ACRYSOF KELMAN PMMA 1 PC 5.0,318.75
S66251,LENS IOL ACRYSOF KELMAN PMMA 1 PC 6.0,318.75
S66252,LENS IOL ACRYSOF KELMAN PMMA 1 PC 6.5,318.75
S66253,LENS IOL ACRYSOF KELMAN PMMA 1 PC 8.0,318.75
S66254,LENS IOL ACRYSOF KELMAN PMMA 1 PC 9.0,318.75
S66255,LENS IOL ACRYSOF KELMAN PMMA 1 PC 9.5,318.75
S66256,LENS IOL ACRYSOF KELMAN PMMA 1 PC 10.0,318.75
S66257,LENS IOL ACRYSOF KELMAN PMMA 1 PC 10.5,318.75
S66258,LENS IOL ACRYSOF KELMAN PMMA 1 PC 11.0,318.75
S66259,LENS IOL ACRYSOF KELMAN PMMA 1 PC 12.0,318.75
S66260,LENS IOL ACRYSOF KELMAN PMMA 1 PC 12.5,318.75
S66261,LENS IOL ACRYSOF KELMAN PMMA 1 PC 13.5,318.75
S66262,LENS IOL ACRYSOF KELMAN PMMA 1 PC 14.0,318.75
S66263,LENS IOL ACRYSOF KELMAN PMMA 1 PC 14.5,318.75
S66264,LENS IOL ACRYSOF KELMAN PMMA 1 PC 15.0,318.75
S66265,LENS IOL ACRYSOF KELMAN PMMA 1 PC 15.5,318.75
S66266,LENS IOL ACRYSOF KELMAN PMMA 1 PC 16.0,318.75
S66267,LENS IOL ACRYSOF KELMAN PMMA 1 PC 16.5,318.75
S66268,LENS IOL ACRYSOF KELMAN PMMA 1 PC 17.0,318.75
S66269,LENS IOL ACRYSOF KELMAN PMMA 1 PC 17.5,318.75
S66270,LENS IOL ACRYSOF KELMAN PMMA 1 PC 18.0,318.75
S66271,LENS IOL ACRYSOF KELMAN PMMA 1 PC 18.5,318.75
S66272,LENS IOL ACRYSOF KELMAN PMMA 1 PC 19.0,318.75
S66273,LENS IOL ACRYSOF KELMAN PMMA 1 PC 19.5,318.75
S66274,LENS IOL ACRYSOF KELMAN PMMA 1 PC 20.0,318.75
S66275,LENS IOL ACRYSOF KELMAN PMMA 1 PC 20.5,318.75
S66276,LENS IOL ACRYSOF KELMAN PMMA 1 PC 21.0,318.75
S66277,LENS IOL ACRYSOF KELMAN PMMA 1 PC 21.5,318.75
S66278,LENS IOL ACRYSOF KELMAN PMMA 1 PC 22.0,318.75
S66279,LENS IOL ACRYSOF KELMAN PMMA 1 PC 22.5,318.75
S66280,LENS IOL ACRYSOF KELMAN PMMA 1 PC 23.0,318.75
S66281,LENS IOL ACRYSOF KELMAN PMMA 1 PC 23.5,318.75
S66282,LENS IOL ACRYSOF KELMAN PMMA 1 PC 24.0,318.75
S66283,LENS IOL ACRYSOF KELMAN PMMA 1 PC 24.5,318.75
S66284,LENS IOL ACRYSOF KELMAN PMMA 1 PC 25.0,318.75
S66285,LENS IOL ACRYSOF KELMAN PMMA 1 PC 26.0,318.75
S66286,LENS IOL ACRYSOF KELMAN PMMA 1 PC 26.5,318.75
S66287,LENS IOL ACRYSOF KELMAN PMMA 1 PC 27.0,318.75
S66288,LENS IOL ACRYSOF KELMAN PMMA 1 PC 27.5,318.75
S66289,LENS IOL ACRYSOF KELMAN PMMA 1 PC 28.0,318.75
S66292,LENS IOL ACRYSOF KELMAN PMMA 1 PC 13.0,318.75
S66293,LENS IOL ACRYSOF KELMAN PMMA 1 PCE  30.0,195
S66308,LENS IOL KELMAN MULTIFLX 5.5X13.5MM 5.0,318.75
S66309,VOCAL CORD THYROPLASTY MONTGMRY SYS 6,1380
S66310,VOCAL CORD THYROPLASTY MONTGMRY SYS 10,1380
S66316,VOCAL CORD THYROPLASTY MONTGMRY SYS 11,1380
S66329,STUFFED ANIMAL KACI KOALA,0.039999999
S66333,SCREW COMPRESSION FIXOS CANN TI 4 X 28M,1412.699951
S66334,SCREW COMPRESSION FIXOS CANN TI 4 X 30MM,1412.699951
S66335,SCREW COMPRESSION FIXOS CANN TI 4 X 36MM,1412.699951
S66336,SCREW COMPRESSION FIXOS SLFTAP 4X1.35X38,1412.699951
S66337,SCREW COMPRESSION FIXOS CANN TI 4 X 40MM,1412.699951
S66338,SCREW COMPRESS CANN FIXOS SLFTAP 4XX44MM,1412.699951
S66339,SCREW COMPRESS CANN FIXOS SLF TAP 4X46MM,1412.699951
S66340,SCREW COMPRESS CANN FIXOS SLFTAP 4X48MM,1412.699951
S66341,SCREW COMPRESS CANN FIXOS SLFTAP 4X50MM,1412.699951
S66343,GRAFT CONDUIT MITROFLOW 100X30MM,7350
S66348,NEEDLE 22GA WANG 4/BX,193.1300049
S66352,DRESSING WOUND LF SIL MESHED 2X2IN,7922.25
S66353,DRESSING WOUND LF SIL MESHED 4X5IN,15119.5498
S66354,INTEGRA MESH MATRIX 4X10,12431.25
S66364,BREAST MOD HT XTR FULL PROJ 410MX 255CC,3937.5
S66365,BREAST MOD HT XTR FULL PROJ 410MX 290CC,3937.5
S66366,BREAST MOD HT XTR FULL PROJ 410MX 325CC,3937.5
S66367,BREAST MOD HT XTR FULL PROJ 410MX 370CC,3937.5
S66379,LENS IOL ENVISTA ACRYLIC 1 PC 11.0,615
S66380,LENS IOL ENVISTA ACRYLIC 1 PC 13.5,615
S66381,LENS IOL ENVISTA ACRYLIC 1 PC 14.0,615
S66382,LENS IOL ENVISTA ACRYLIC 1 PC 15.5,615
S66383,LENS IOL ENVISTA ACRYLIC 1 PC 16.5,615
S66384,LENS IOL ENVISTA ACRYLIC 1 PC 19.0,615
S66385,LENS IOL ENVISTA ACRYLIC 1 PC 19.5,615
S66386,LENS IOL ENVISTA ACRYLIC 1 PC 20.0,615
S66387,LENS IOL ENVISTA ACRYLIC 1 PC 20.5,615
S66388,LENS IOL ENVISTA ACRYLIC 1 PC 21.0,615
S66389,LENS IOL ENVISTA ACRYLIC 1 PC 21.5,615
S66390,LENS IOL ENVISTA ACRYLIC 1 PC 22.0,615
S66391,LENS IOL ENVISTA ACRYLIC 1 PC 22.5,615
S66392,LENS IOL ENVISTA ACRYLIC 1 PC 23.0,615
S66393,LENS IOL ENVISTA ACRYLIC 1 PC 23.5,615
S66394,LENS IOL ENVISTA ACRYLIC 1 PC 25.5,615
S66395,LENS IOL ENVISTA ACRYLIC 1 PC 31.0,615
S66425,NORIAN ROTARY MIXER,5972.819824
S66428,LENS IOL PMMA 1 PCE FOLD BICONVEX 34.0,652.5
S66429,LENS IOL PMMA EXPAND SING PC 6X12.5MM,318.75
S66430,IOL LENS MINUS 10,318.75
