Description, Base Price 
ampicillin 1 g Inj [MCHC],27.72
ampicillin 2 g SDV[MCHC],31.75
ampicillin 250 mg Cap [MCHC],15.56
ampicillin 250 mg/5 mL Oral Liq [MCHC],15.46
ampicillin 500 mg Pow [MCHC],24.28
ampicillin-sulbactam 1.5 g SDV [MCHC],53.26
ampicillin-sulbactam 2 g-1 g Pow,59.37
amyl nitrite 0.3 mL Inh Sol amp [MCHC],17.41
anagrelide 1 mg Oral Cap [MCHC],15.91
anastrozole 1 mg Tab [MCHC],15.15
antipyrine-benzocaine otic 54 mg-14 mg/mL Sol 15 mL [MCHC],17.29
apixaban 2.5 mg Tab [MCHC],39.13
apixaban 5 mg Tab [MCHC],39.13
arformoterol 15 mcg/2 mL Neb [MCHC],25.33
aripiprazole 10 mg Tab [MCHC],95.31
aripiprazole 15 mg Tab [MCHC],95.94
aripiprazole 5 mg Tab [MCHC],16.29
ASA/Al OH/Ca/Mg OH  325-50-50-50 mg Tab [MCHC],0.00
ASA/butalbital/caffeine Tab [MCHC],15.77
ASA/caffeine/orphenadrin 770-60-50mg Tab [MCHC],24.47
ascorbic acid 500 mg Tab [MCHC],15.13
aspirin 325 mg Oral EC Tab [MCHC],0.00
aspirin 325 mg Tab [MCHC],0.00
aspirin 600 mg Supp [MCHC],20.56
aspirin 81 mg Chew Tab [MCHC],0.00
aspirin 81 mg Oral EC Tab [MCHC],0.00
aspirin buffered 325 mg Tab [MCHC],0.00
aspirin-codeine 325 mg-30 mg Tab [MCHC],15.74
aspirin-dipyridamole 25 mg-200 mg ERCap [MCHC],34.45
atenolol 25 mg Tab [MCHC],15.76
atenolol 50 mg Tab [MCHC],15.25
atorvastatin 10 mg Tab [MCHC],15.88
atorvastatin 20 mg Tab [MCHC],15.96
atorvastatin 40 mg Tab [MCHC],16.15
atropine 0.4 mg/mL Inj Sol SDV [MCHC],37.44
atropine 1mg/10mL Inj Sol SYR [MCHC],23.79
atropine ophthalmic 1% Sol 2ml [MCHC],64.84
Atropine ophthalmic drops 1% 5ml [MCHC],47.12
atropine/hyoscy/PB/scopolamin Elix 10 mL [MCHC],20.06
azacitidine 100 mg SDV [MCHC],"1,192.88"
azathioprine 50 mg Tab [MCHC],16.84
azelastine Nasal 137 mcg/inh Spry [MCHC],16.88
azithromycin 100 mg/5 mL 15ml Oral Liq [MCHC],19.17
azithromycin 200mg/5 mL 15ml Oral Liq [MCHC],18.53
azithromycin 250 mg Tab [MCHC],20.39
azithromycin 500 mg SDV [MCHC],32.44
aztreonam 1gm SDV [MCHC],119.61
aztreonam 2 g Inj [MCHC],206.85
bacitracin 500 units/g Top Oint 15g [MCHC],0.00
bacitracin 500 units/g Top Oint UD [MCHC],0.00
bacitracin-polymyxin B ophthalmic 500 units-10000 units/g Oin,22.98
baclofen 10 mg Tab [MCHC],16.70
Balanced Salt Sol Opth irrigation 15mL  [MCHC],15.79
Balanced Salt Sol Opth irrigation 500mL  [MCHC],15.05
balsam Peru/castor oil/trypsin Top Oint [MCHC],17.57
balsam/castor oil/trypsin Top  Spr -app [MCHC],15.72
becaplermin 0.01% Top Gel [MCHC],178.64
beclomethasone 40 mcg/inh MDI [MCHC],80.78
beclomethasone 80 mcg/inh MDI [MCHC],83.97
belatacept 250 mg SDV [MCHC],"2,267.28"
belimumab 120 mg Pwd-Inj SDV [MCHC],"1,296.38"
belimumab 400 mg Pwd-Inj SDV [MCHC],"4,274.45"
belladonna-opium 16.2 mg-30 mg Supp [MCHC],52.69
belladonna-opium 16.2 mg-60 mg Supp [MCHC],109.14
benazepril 10 mg Tab [MCHC],15.33
benazepril 20 mg Tab [MCHC],17.63
benazepril 5 mg Tab [MCHC],17.35
benoxinate-fluorescein ophthalmic 0.4%-0.25% Sol,15.00
benzocaine Top 20% mucous membrane spray [MCHC],17.30
benzocaine/tetracaine Top spray [MCHC],27.67
benzocaine-menthol  15 mg-2.6 mg Lozenge [MCHC],15.83
benzocaine-menthol 6-10 mg Lozenge [MCHC],15.73
benzoin Top Tincture [MCHC],15.61
benzonatate 100 mg Cap [MCHC],16.64
benztropine 1 mg Tab [MCHC],16.81
betamethasone acetat-sod phos 6mg/ml 5mL MDV[MCHC],45.79
betamethasone dipropionate 0.05% Top Crm [MCHC],21.29
betamethasone valerate 0.1% Top Crm [MCHC],19.07
betamethasone valerate 0.1% Top Lotion [MCHC],17.41
betaxolol ophthalmic 0.5% Sol [MCHC],41.92
betaxolol Opth 0.25% Susp [MCHC],33.43
bethanechol 25 mg Tab [MCHC],15.20
bevacizumab 100mg/4ml SDV [MCHC],523.09
bevacizumab 400mg/16ml SDV [MCHC],523.09
bicalutamide 50 mg Tab [MCHC],25.02
bimatoprost 0.03% Opth Sol [MCHC],146.25
bimatoprost ophthalmic 0.01% Sol 5ml [MCHC],242.75
bisacodyl 10 mg Supp [MCHC],15.32
bisacodyl 5 mg Oral EC Tab [MCHC],15.11
bismuth subsalicylate 262 mg Chew Tab [MCHC],15.23
bismuth subsalicylate 262mg/15mL Liq [MCHC],15.04
bisoprolol 5 mg Tab [MCHC],16.26
bisoprolol-hydrochlorothiaz 5-6.25mg Tab [MCHC],15.99
bleomycin 30 units Pwdr SDV [MCHC],323.90
bortezomib 3.5 mg SDV [MCHC],"4,032.50"
brimonidine Opth 0.1% Sol [MCHC],101.04
brimonidine Opth 0.15% Sol [MCHC],97.01
bromocriptine 2.5 mg Tab [MCHC],22.79
budesonide 0.5 mg/2 mL Neb [MCHC],27.18
budesonide 180 mcg/inh Pow [MCHC],747.83
budesonide 90 mcg/inh MDI [MCHC],562.26
budesonide Nasal Spry [MCHC],20.44
budesonide-formoterol 160-4.5 mcg 10.2gm MDI [MCHC],123.47
budesonide-formoterol 80 mcg-4.5 mcg/inh Aer [MCHC],86.35
budesonide-formoterol 80-4.5mcg/inh 10.2gm MDI [MCHC],76.22
bumetanide 0.25 mg/mL Sol,20.82
bumetanide 1mg/4ml SDV [MCHC],21.88
bumetanide 2 mg Tab [MCHC],17.99
bupivacaine 0.25% 10ml PF SDV [MCHC],0.00
bupivacaine 0.25% preservative-free Sol [MCHC],0.00
bupivacaine 0.5% PF 10mL SDV [MCHC],0.00
bupivacaine 0.5% PF 30 mL SDV [MCHC],0.00
bupivacaine 0.5% w/EPI PF SDV [MCHC],0.00
bupivacaine 0.75% Intrathecal  2mL SDV[MCHC],0.00
bupivacaine 0.75% PF 10 mL SDV [MCHC],0.00
bupivacaine liposome 1.3% 20ml SDV [MCHC],75.12
"bupivacaine-epi  0.5%-1:200,000 50mLSDV[MCHC]",0.00
"bupivacaine-epi 0.25%-1:200,000 10mLSDV[MCHC]",0.00
buprenorphine 0.3 mg/mL AMP [MCHC],82.87
buPROPion 100 mg ER Tab [MCHC],21.51
buPROPion 150 mg ER Tab [MCHC],17.14
buPROPion 150 mg/24 hours ER Tab [MCHC],17.01
busPIRone 10 mg Tab [MCHC],15.33
busPIRone 15 mg Tab [MCHC],16.71
cadexomer iodine gel [MCHC],18.49
caffeine-ergotamine 100 mg-1 mg Tab [MCHC],21.13
calamine-zine oxide 8% topical susp 118 mL [MCHC],29.75
calcitonin 200units/inh Nasal Spry [MCHC],53.70
calcitonin 400units/2mL MDV  [MCHC],"3,131.63"
calcitriol 0.25 mcg Oral Cap [MCHC],16.60
calcitriol 0.5 mcg Oral Cap [MCHC],21.20
calcium acetate 667 mg tab [MCHC],16.57
calcium acetate-aluminum sulfate Top Pwd [MCHC],17.82
calcium carb-mag OH 550-110mg Tab-Rolaid [MCHC],0.00
calcium carbonate 500 mg Tab,0.00
calcium carbonate 500 mg Tab [MCHC],0.00
calcium carbonate 600 mg Tab [MCHC],0.00
calcium chloride 1g/10mL Inj Sol SYR [MCHC],23.49
calcium citrate-vit D 315mg-250units Tab [MCHC],0.00
calcium gluconate 100 mg/mL Sol,23.60
calcium with Vitamin D Chew Tab [MCHC],0.00
calcium-vitamin D 500mg-200units Tab [MCHC],0.00
calcium-vitamin D 600mg-400units tablet [MCHC],0.00
camphor-menthol topical 1 EA Oint-App[MCHC],34.50
camphor-menthol topical 9%-1.3% Oin [MCHC],15.35
candesartan 16 mg Tab [MCHC],30.77
capsaicin 0.025% Top Crm [MCHC],15.26
capsaicin 0.075% Top Crm [MCHC],15.35
captopril 12.5 mg Tab [MCHC],17.90
captopril 25 mg Tab [MCHC],18.27
carbachol 0.01% Opth Sol [MCHC],70.54
carbamazepine 100 mg Chew Tab [MCHC],16.61
carBAMazepine 200 mg ER Cap [MCHC],21.84
carbamazepine 200 mg ER Tab [MCHC],19.01
carbamazepine 200 mg/10mL Oral Susp [MCHC],16.75
carbamide peroxide 6.5% Otic Sol [MCHC],15.31
carbidopa/entac/l-dopa 12.5-200-50mg Tab [MCHC],27.66
carbidopa/entacapone/levodopa 37.5-200-150 mg Tab[MCHC],35.15
carbidopa-levodopa 10-100 mg Tab [MCHC],15.49
carbidopa-levodopa 25-100 mg ER Tab [MCHC],16.10
carbidopa-levodopa 25-100 mg Tab [MCHC],15.77
carbidopa-levodopa 25-250 mg Tab [MCHC],15.95
carbidopa-levodopa 50-200 mg ER Tab [MCHC],17.58
carboplatin 150 mg/15mL Sol MDV [MCHC],28.59
carboplatin 450 mg/45mL Sol MDV [MCHC],27.77
carboplatin 50 mg/5mL Sol MDV [MCHC],29.37
CARBOplatin 600mg/60mL MDV [MCHC],29.06
carboxymethylcellulose Opth Sol [MCHC],17.30
carboxymethylcellulose Opth Sol [MCHC],54.76
carfilzomib 60 mg Pwd Inj SDV [MCHC],"5,145.95"
carisoprodol 350 mg Tab [MCHC],15.18
"carvedilol 10 mg oral Cap, ER [MCHC]",32.39
carvedilol 12.5 mg Tab [MCHC],15.22
carvedilol 25 mg Tab [MCHC],15.34
carvedilol 6.25 mg Tab [MCHC],15.34
caspofungin 50 mg SDV [MCHC],"1,108.64"
cefaclor 125 mg/5 mL Oral Liq [MCHC],16.22
cefaclor 250 mg Cap [MCHC],21.77
cefaclor 250 mg/5 mL Oral Liq [MCHC],17.29
cefazolin 1 g Inj [MCHC],24.12
ceFAZolin 1 gm/50 mL IVPB [MCHC],39.35
ceFAZolin 2 g/50 mL IVPB [MCHC],51.32
cefdinir 125 mg/5 mL Oral Susp [MCHC],15.82
cefdinir 250 mg/5 mL Oral Susp [MCHC],15.75
cefepime 1 g Inj [MCHC],35.48
cefepime 2 g Inj [MCHC],46.22
cefotetan 1 g Inj [MCHC],58.88
cefpodoxime 100 mg Tab [MCHC],35.79
cefprozil 125 mg/5 mL Oral Liq [MCHC],18.53
cefprozil 250 mg Tab [MCHC],30.83
cefprozil 500 mg Tab [MCHC],46.06
ceftazidime 1 g Inj ADV [MCHC],34.93
ceftriaxone 1 g SDV  [MCHC],26.18
cefTRIAXone 1 g/50 mL IVPB [MCHC],56.10
cefTRIAXone 2 g/50 mL IVPB [MCHC],75.77
ceftriaxone 250 mg SDV  [MCHC],23.18
cefTRIAXone 2gm SDV [MCHC],31.98
ceftriaxone 500 mg SDV [MCHC],24.06
cefuroxime 125 mg/5 mL Pow [MCHC],21.65
cefuroxime 250 mg/5 mL Pow [MCHC],21.49
cefuroxime 500 mg Tab [MCHC],18.82
celecoxib 100 mg Cap [MCHC],19.45
cephalexin 125 mg/5mL Oral Liq 100mL [MCHC],15.48
cephalexin 250 mg Cap [MCHC],16.22
cephalexin 250 mg/5 mL Oral Liq 100mL [MCHC],15.54
cephalexin 500 mg Cap [MCHC],16.27
certolizumab 200 mg SDV - 2viall Kit[MCHC],"3,393.39"
cetirizine 10 mg Tab [MCHC],15.58
cetuximab 100mg/50mL IV Sol SDV [MCHC],49.11
cetuximab 200mg/100mL SDV [MCHC],49.96
charcoal 50 g Oral Susp 240 mL [MCHC],15.41
charcoal-sorbitol 50 g Oral Susp 240 mL [MCHC],15.31
chlordiazepoxide 10 mg Cap [MCHC],16.85
chlordiazepoxide 25 mg Cap [MCHC],17.01
chlordiazepoxide 5 mg Cap [MCHC],17.43
chlorpheniramine 4 mg Tab [MCHC],15.13
chlorproMAZINE 25 mg Tab [MCHC],30.74
chlorproMAZINE 50mg/2mL AMP  [MCHC],66.24
chlorproPAMIDE 100 mg Tab [MCHC],18.71
chlorthalidone 50 mg Tab [MCHC],18.67
cholecalciferol 1000 units Cap [MCHC],15.24
cholecalciferol 10000 units Cap [MCHC],18.41
cholestyramine 4 g Pow UD [MCHC],24.28
cilostazol 100 mg Tab [MCHC],15.41
cimetidine 300 mg Tab [MCHC],16.58
cimetidine 400 mg Tab [MCHC],15.22
cinacalcet 30 mg Tab [MCHC],64.58
ciprofloxacin 0.3% Opth Sol [MCHC],18.46
ciprofloxacin 250 mg Tab [MCHC],15.74
ciprofloxacin 500 mg Tab [MCHC],15.83
CISplatin 100mg/100mL MDV[MCHC],26.87
CISplatin 200mg/200ml MDV [MCHC],27.31
CISplatin 50mg/50mL MDV [MCHC],25.63
citalopram 20 mg Tab [MCHC],15.24
citric acid-sod cit 334-500 mg/5mL 30 mL [MCHC],15.30
cladribine 10mg/10mL SDV [MCHC],86.62
clarithromycin 500 mg Tab [MCHC],32.36
clindamycin 150 mg Cap [MCHC],15.82
clindamycin 300 mg/50 mL-D5W IVPB [MCHC],20.41
clindamycin 600 mg/50 mL-D5W IVPB [MCHC],20.48
clindamycin 600mg/4ml Inj Sol SDV [MCHC],23.34
clindamycin 900 mg-5%/50 mL Sol,20.62
clindamycin 900mg/6ml Inj Soln ADV[MCHC],23.41
clindamycin Top 1% Lotion [MCHC],19.36
clobetasol Top 0.05% Oint [MCHC],15.48
clonazepam 0.5 mg Dis Tab (ODT) [MCHC],17.61
clonazepam 0.5 mg Tab [MCHC],15.06
clonidine 0.1 mg Tab [MCHC],15.25
clonidine 0.1 mg/24 hr patch [MCHC],73.11
clonidine 0.2 mg Tab [MCHC],15.28
clonidine 0.2 mg/24 hr patch [MCHC],97.95
clonidine 0.3 mg/24 hr patch [MCHC],103.10
cloNIDine 1000 mcg/10mL SDV [MCHC],24.56
clopidogrel 75 mg Tab [MCHC],15.76
clorazepate 7.5 mg Tab [MCHC],15.40
clotrimazole 1% Vag Crm w/Appl [MCHC],15.48
clotrimazole 10 mg Loz [MCHC],16.77
clotrimazole Top 1% Crm [MCHC],15.29
clotrimazole Top 1% Sol [MCHC],32.71
clotrimazole-betamethasone Top Cream [MCHC],16.52
cocaine 4% Top Sol 4mL [MCHC],154.27
codeine 15 mg Tab [MCHC],16.33
colchicine 0.6 mg Tab [MCHC],44.68
colesevelam 625 mg Tab [MCHC],26.70
colestipol 1 g Tab [MCHC],19.37
"collagen, microfiber 1gm top pwd [MCHC]",103.54
collagenase Top 250 units/g Oint [MCHC],32.31
collagenase topical 250 units/g Oin 30g [MCHC],35.83
cosyntropin 0.25 mg SDV [MCHC],101.49
cough drops [MCHC],0.00
cromolyn Nasal 5.2 mg/inh Nasal Spry [MCHC],15.97
cyanocobalamin 100 mcg Tab [MCHC],15.82
cyanocobalamin 1000 mcg Tab [MCHC],15.96
cyanocobalamin 1000 mcg/mL MDV  [MCHC],36.80
cyclobenzaprine 10 mg Tab [MCHC],15.25
cyclopentolate 1% Opth Sol [MCHC],39.50
cyclophosphamide 1 g SDV  [MCHC],"1,362.60"
cyclophosphamide 2 g SDV [MCHC],"2,386.05"
cyclophosphamide 50 mg Tab [MCHC],23.77
cyclophosphamide 500 mg SDV [MCHC],802.70
cycloSPORINE microEmul 25 mg Cap [MCHC],17.09
cycloSPORINE ophthalmic 0.05% 0.4ml UD[MCHC],39.89
cyproheptadine 4 mg Tab [MCHC],16.59
dacarbazine 200 mg Pwdr SDV [MCHC],72.50
dantrolene 20 mg IV Inj SDV [MCHC],262.81
DAPTOmycin 500 mg Pow SDV [MCHC],"1,046.30"
darbepoetin alfa 100 mcg/0.5 mL SYR  [MCHC],"2,722.75"
darbepoetin alfa 150 mcg/0.3 mL SYR  [MCHC],"4,349.06"
darbepoetin alfa 200 mcg/0.4 mL SYR  [MCHC],"9,075.81"
darbepoetin alfa 25 mcg/0.42 mL SYR  [MCHC],719.54
darbepoetin alfa 300 mcg/0.6 mL SYR  [MCHC],"4,217.25"
darbepoetin alfa 40 mcg/0.4 mL SYR  [MCHC],"1,151.06"
darbepoetin alfa 60 mcg/0.3 mL SYR [MCHC],"2,444.16"
darifenacin 7.5 mg ER Tab [MCHC],33.48
deferoxamine 2 g Inj [MCHC],108.16
demeclocycline 150 mg Tab,31.67
denosumab 120 mg/1.7 mL Sol SDV[MCHC],"3,204.10"
denosumab 60 mg/mL SYR  [MCHC],"2,904.93"
desflurane 100% Liq 240 mL [MCHC],0.00
desipramine 25 mg Tab [MCHC],19.58
desmopressin 10 mcg/inh Nasal Spry [MCHC],153.90
dexamethasone 0.1% Opth Sol [MCHC],50.39
dexamethasone 0.5 mg Tab [MCHC],15.71
dexamethasone 0.5 mg/5 mL Oral Elix [MCHC],15.15
dexamethasone 10 mg/mL P.F. SDV [MCHC],27.65
dexamethasone 10 mg/mL SDV  [MCHC],23.86
dexamethasone 4 mg Tab [MCHC],19.60
dexamethasone 4 mg/mL  1ml SDV  [MCHC],23.46
dexamethasone 4 mg/mL Inj Sol 5mL [MCHC],20.67
Dextrose 10% IV Sol 1000 mL [MCHC],20.03
Dextrose 25%  10 mL PED SYR [MCHC],23.44
Dextrose 5% - 0.225% NaCl 1000 mL [MCHC],20.01
Dextrose 5% - Lactated Ringers 1000 mL [MCHC],20.02
Dextrose 5%- 0.45% NaCl 1000 mL [MCHC],20.02
Dextrose 5% IV Sol 1000 mL [MCHC],20.01
Dextrose 5% IV Sol 100mL [MCHC],20.06
Dextrose 5% IV Sol 250mL [MCHC],20.06
Dextrose 5% IV Sol 500mL [MCHC],20.02
Dextrose 5% IV Sol 50mL [MCHC],20.13
Dextrose 5% IV Sol 50mL ADV [MCHC],20.11
Dextrose 5% Premix Diluent 0 Soln,0.00
Dextrose 5%-0.45%NaCl+ KCl 10mEq 1000 mL [MCHC],20.01
Dextrose 5%-0.45%NaCl+ KCl 20mEq 1000 mL [MCHC],20.01
Dextrose 5%-0.45%NaCl+ KCl 30mEq 1000 mL [MCHC],20.03
Dextrose 5%-0.45%NaCl+ KCl 40mEq 1000 mL [MCHC],20.02
Dextrose 5%-NS + KCl 20 mEq 1000mL IV Sol[MCHC],20.01
Dextrose 5%-NS + KCl 40 mEq 1000mL IV Sol[MCHC],20.01
Dextrose 5%-NS IV Sol 1000 mL [MCHC],20.01
dextrose 50% IV Sol 50 mL SYR  [MCHC],20.66
Dextrose 50% IV Sol 500 mL [MCHC],20.04
Dextrose 70% IV Sol 500 mL [MCHC],20.05
diazepam 10mg/2mL CPJ  [MCHC],34.97
diazepam 2 mg Tab [MCHC],15.28
diazepam 5 mg Tab [MCHC],15.21
dibucaine Top 1% Oint [MCHC],15.97
diclofenac sodium 75 mg Oral EC Tab [MCHC],16.62
diclofenac Top 1% gel [MCHC],16.15
diclofenac topical 1.3% patch [MCHC],54.89
dicloxacillin 500 mg Cap [MCHC],17.89
dicyclomine 20 mg Tab [MCHC],15.57
dicyclomine 20mg/2ml AMP  [MCHC],83.83
digoxin 125 mcg (0.125 mg) Tab,19.50
digoxin 250 mcg (0.25 mg) Tab,17.39
digoxin 500mcg/2mL Amp [MCHC],26.38
dihydroergotamine 1 mg/mL Inj Sol [MCHC],365.76
diltiazem 120 mg ER Cap [MCHC],15.93
diltiazem 125mg/25mL IV Sol SDV [MCHC],21.02
diltiazem 180 mg ER Cap [MCHC],16.17
diltiazem 240 mg ER Cap [MCHC],16.73
diltiazem 300 mg ER Cap [MCHC],19.85
diltiazem 360 mg ER Cap [MCHC],17.36
diltiazem 5 mg/mL IV Sol 5mL SDV [MCHC],22.21
diltiazem 50mg/10mL SDV [MCHC],21.51
diltiazem 60 mg Tab [MCHC],15.59
dimenhyDRINATE 50 mg Tab [MCHC],0.00
dimethyl sulfoxide 50% Irr Sol 50 mL [MCHC],15.52
diphenhydrAMINE 12.5 mg/5 mL Liq 120ml btl[MCHC],0.00
diphenhydrAMINE 25 mg Cap [MCHC],0.00
diphenhydrAMINE 25mg/10mL Liq UD [MCHC],0.00
diphenhydrAMINE 50 mg/mL SDV  [MCHC],24.91
diphenoxylate-atropin2.5-0.025 mg/5 mL [MCHC],19.92
diphenoxylate-atropine 2.5-0.025 mg Tab [MCHC],16.58
diphtheria-tetanus pediatric (DT) 0.5mL [MCHC],282.58
dipivefrin 0.1% Opth Sol [MCHC],28.05
dipyridamole 25 mg Tab [MCHC],16.29
dipyridamole 50 mg Tab [MCHC],16.52
disopyramide 100 mg Cap [MCHC],21.23
disopyramide 100 mg ERCap [MCHC],27.88
disopyramide 150 mg Cap [MCHC],25.35
disopyramide 150 mg ERCap [MCHC],36.83
divalproex sodium 125 mg Oral EC Cap [MCHC],18.30
divalproex sodium 250 mg ER Tab [MCHC],21.03
divalproex sodium 250 mg Oral EC Tab [MCHC],15.67
DOBUTamine-D5W 1 mg/mL IV soln - 250ml [MCHC],20.26
DOCEtaxel 160 mg/8mL MDV [MCHC],156.96
DOCEtaxel 80mg/4mL soln MDV [MCHC],124.88
docusate calcium 240 mg Cap [MCHC],0.00
docusate sodium 100 mg Cap [MCHC],0.00
docusate sodium 50mg/5mL Oral Liq 5mL [MCHC],0.00
docusate-senna 50-8.6 mg Tab [MCHC],0.00
dolasetron 20 mg/mL IV Sol 5mL [MCHC],50.08
donepezil 10 mg Tab [MCHC],15.46
donepezil 23 mg Tab [MCHC],57.70
DOPamine-D5W 1.6 mg/mL IV soln - 250ml [MCHC],20.11
dorzolamide Opth 2% Sol [MCHC],27.53
dorzolamide-timolol 2%-0.5% Opth Sol [MCHC],22.29
doxazosin 2 mg Tab [MCHC],26.55
doxepin 10 mg Cap [MCHC],17.20
doxepin 25 mg Cap [MCHC],17.90
doxercalciferol 0.5 mcg Oral Cap [MCHC],38.91
DOXOrubicin 2 mg/mL Sol,27.78
doxycycline 100 mg IV Inj [MCHC],96.74
doxycycline 100 mg Tab [MCHC],23.02
dronabinol 2.5 mg Cap [MCHC],45.07
droperidol 5mg/2ml amp [MCHC],23.81
duloxetine 20 mg Cap [MCHC],32.18
duloxetine 30 mg Cap [MCHC],16.82
duloxetine 60 mg Cap [MCHC],35.79
durvalumab 120mg/2.4mL SDV [MCHC],896.23
durvalumab 500mg/10mL SDV [MCHC],896.23
dutasteride 0.5 mg Cap [MCHC],20.54
econazole Top 1% Crm [MCHC],20.09
edrophonium 10 mg/mL Inj Sol 15mL [MCHC],30.26
edrophonium-atropine 10-0.14mg/mL5mL AMP[MCHC],36.77
Electrolyte (Plasma-Lyte) IV Sol 1000 mL [MCHC],20.02
elotuzumab 400 mg SDV [MCHC],"6,210.40"
"emollients, Top Crm (Eucerin) [MCHC]",15.34
"emollients, Top Crm [MCHC]",15.21
"emollients, Top Crm [MCHC]",15.17
"emollients, Top Lotion [MCHC]",15.13
"emollients, Top Oint [MCHC]",15.08
enalapril 1.25 mg/mL SDV  [MCHC],24.80
enalapril 5 mg Tab [MCHC],16.12
enoxaparin 100 mg/mL SubQ  SYR  [MCHC],102.40
enoxaparin 30 mg/0.3 mL SC SYR  [MCHC],89.12
enoxaparin 40 mg/0.4 mL SC SYR  [MCHC],62.16
enoxaparin 60 mg/0.6 mL SC SYR  [MCHC],102.45
enoxaparin 80 mg/0.8 mL SC  SYR  [MCHC],69.37
entacapone 200 mg Tab [MCHC],32.05
enteral supplement 1.2cal/ml 1.5L [MCHC],15.01
enteral supplement 1.2cal/ml240mL [MCHC],15.00
enteral supplement 2cal/ml 1L  [MCHC],15.01
Enteral supplement 2cal/ml 240ml[MCHC],15.01
"Enteral supplement, lactose free 1000ml[MCHC]",20.19
ePHEDrine 50 mg/1 mL SDV [MCHC],69.76
epinephrine 0.15 mg  PED  Pen SYR [MCHC],479.60
epinephrine 0.3 mg  Pen SYR  [MCHC],479.60
epinephrine 1 mg/mL  AMP   [MCHC],62.02
epinephrine 1mg/10mL  SYR [MCHC],22.53
epinephrine 30mg/30mL MDV  [MCHC],32.87
eplerenone 25 mg Tab [MCHC],27.21
epoetin alfa 1 EA Soln [MCHC],736.80
"epoetin alfa 10,000 units/mL SDV [MCHC]",485.22
epoetin alfa 3000 units/1 mL SDV [MCHC],200.05
epoetin alfa 3000 units/mL SDV [MCHC],204.66
"epoetin alfa epbx 10,000 units/mL SDV [MCHC]",323.10
epoetin alfa epbx 3000 units/mL SDV [MCHC],123.92
epoetin alfa epbx 4000 units/mL SDV [MCHC],158.56
ertapenem 1 g Inj [MCHC],434.86
erythromycin 0.5% Opth Oint [MCHC],23.29
erythromycin 250 mg Oral EC Tab [MCHC],33.85
erythromycin 333 mg Oral EC Tab [MCHC],19.54
erythromycin 500 mg Tab [MCHC],80.70
erythromycin ethyl 200mg/5mL Liq 100mL [MCHC],18.07
erythromycin lactobionate 500 mg Inj [MCHC],64.60
escitalopram 10 mg Tab,15.62
esmolol 10 mg/mL 10mL SDV [MCHC],21.07
esomeprazole 40 mg IV Inj [MCHC],108.83
esomeprazole 40 mg Oral EC Cap [MCHC],30.41
estradiol 1 mg Tab [MCHC],15.56
"estrogens, conjugated  0.625 mg Tab [MCHC]",32.26
estropipate 0.75 mg Tab [MCHC],15.99
ethyl chloride Top 100% Spry [MCHC],16.41
etomidate 2 mg/mL 20mL SDV  [MCHC],21.03
etoposide 20 mg/mL  5mL MDV  [MCHC],33.21
ezetimibe 10 mg Tab [MCHC],58.01
famotidine 20 mg Tab [MCHC],15.36
famotidine 20mg/2mL IV Sol [MCHC],21.57
"Fat Emul, 20% IV 250 mL [MCHC]",20.40
felodipine 10 mg ER Tab [MCHC],24.40
felodipine 2.5 mg ER Tab [MCHC],16.55
fenofibrate 145 mg Tab [MCHC],24.22
fenofibrate 160 mg Tab [MCHC],23.77
fenofibrate 200 mg Cap [MCHC],23.74
fentanyl 100 mcg/hr patch [MCHC],47.10
Fentanyl 100mcg/2ml 2ml Vial [MCHC],23.47
fentanyl 12 mcg/hr patch [MCHC],54.70
fentanyl 25 mcg/hr patch [MCHC],24.27
fentanyl 250mcg/5mL Inj Sol  AMP  [MCHC],20.91
fentanyl 50 mcg/hr patch [MCHC],31.36
fentanyl 75 mcg/hr patch [MCHC],39.55
fentanyl PCA 1500mcg/30mL vial [MCHC],24.00
ferrous gluconate 324 mg Tab [MCHC],0.00
ferrous sulfate 220 mg/5 mL Oral Elix [MCHC],0.00
ferrous sulfate 324 mg Tab UD [MCHC],0.00
ferumoxytol 510mg/17mL Sol SDV [MCHC],80.15
fexofenadine 60 mg Tab,19.03
filgrastim 300 mcg/mL SDV  [MCHC],988.18
filgrastim 480 mcg/1.6 mL SDV  [MCHC],725.11
finasteride 5 mg Tab [MCHC],15.75
flavoxate 100 mg Tab [MCHC],17.38
fluconazole 100 mg Tab [MCHC],20.48
fluconazole 200 mg/100 mL-NS IVPB [MCHC],20.15
fludrocortisone 0.1 mg Tab [MCHC],17.29
flumazenil 0.1 mg/mL Sol,25.69
flunisolide 250 mcg/inh MDI [MCHC],48.84
fluocinonide 0.05% Top Crm [MCHC],17.99
fluorescein 10% IV Sol 5 mL [MCHC],38.19
fluorescein ophthalmic 1 mg Test [MCHC],15.52
fluorouracil 1000mg/20mL SDV [MCHC],25.85
fluorouracil 2500mg/50ml SDV [MCHC],25.62
fluorouracil 500mg/10ml SDV [MCHC],26.17
fluorouracil topical 5% Cream 40gm [MCHC],30.42
fluoxetine 10 mg Tab [MCHC],17.06
fluoxetine 20 mg Cap [MCHC],15.35
flurbiprofen 0.03% Opth Sol [MCHC],68.09
fluticasone  110 mcg/inh Inhaler [MCHC],77.09
fluticasone 220 mcg/inh Inhaler [MCHC],111.49
fluticasone 44 mcg/inh Inhaler [MCHC],67.54
