Charge Description,Charge Amount
MATRISTM MICMTRX 1MG 500,"19,237.00"
INTRO SFSHTH STD 9F 40CM,"19,266.00"
CATH 5FR 6MM 130CM 40MM ,"19,266.00"
CATH BLN 5FR 5X130X40MM ,"19,266.00"
CATH BLN 5FR 5X130X60MM ,"19,266.00"
CATH BLN 5FR 6X130X60MM ,"19,266.00"
CATH 5FR 6MM 130CM 100MM,"19,266.00"
CATH BLN 5FR 7X130X60MM ,"19,266.00"
CATH BLN 6FR 4X130X100MM,"19,266.00"
CATH BLN 5FR 6X130X40MM ,"19,266.00"
CATH BLN 5FR 5X130X100MM,"19,266.00"
CATHETER GUIDE SIL 10MM ,"19,287.00"
KIT STIMULATOR PROGRAMME,"19,400.00"
RING EXFX HLF CIRC 155MM,"19,443.00"
SET LD XTRT EVOL SHRT 9F,"19,481.00"
CATH COR STNRY M-1000   ,"19,481.00"
OXYGNTR QUAD-ID 3824    ,"19,481.00"
CATH STINGRAY LP US     ,"19,481.00"
OXYGNTR 215ML ADLT PRFSN,"19,481.00"
RING EXFX 2/3 230MM     ,"19,511.00"
RING EXFX 2/3X 205MM    ,"19,511.00"
CATH THRMB 136CM 3.9FR  ,"19,529.00"
CATH THRMB DAC 125CM .03,"19,529.00"
CEMENT SPR MOLD TIB.8X48,"19,547.00"
CATH MICRO STR 167CM 2.1,"19,563.00"
CATH ADMRL 5F 4X40X130  ,"19,563.00"
CATH INPCT ADMR 4X60X130,"19,563.00"
CATH ADMRL 7F 7X60X130  ,"19,563.00"
BALLOON 22MM X 3.5CM TF ,"19,563.00"
ARTICLIP CLSR EXCLSN35MM,"19,563.00"
ARTICLIP CLSR EXCLSN40MM,"19,563.00"
ARTICLIP LAA EXCLSN 45MM,"19,563.00"
ARTICLIP CLSR EXCLSN50MM,"19,563.00"
RTRVL SNR SET NEDL EY   ,"19,563.00"
CATH BLN 5FR 6X130X60MM ,"19,563.00"
CATH BLN 5FR 5X130X100MM,"19,563.00"
CATH BLN TRUE 20MM 11F  ,"19,563.00"
MCTH CRBRVASC 156CM 2.6-,"19,563.00"
CATH VERAN SPNE ACC     ,"19,563.00"
PLATE FOOT DBLE 160MM FT,"19,600.00"
MODULAR 5/8 RING 1440MM ,"19,607.00"
MOD TLHX RNG 5/8 100MM  ,"19,607.00"
CLAMP SPRG ADV MH       ,"19,669.00"
CTHLSR TRBO OW .9X150   ,"19,688.00"
KIT BLADE PFJ IBAL SZ 2 ,"19,713.00"
DEV DIL XPRS LOPRO 6MM  ,"19,845.00"
DEV DIL LOPRO CMPCT 6MM ,"19,845.00"
GUIDE BN FT/ANK PROPHCY ,"19,845.00"
PLATE EXFX FT/ANK 140MM ,"19,845.00"
DVC BLN XPRS LOPRO 7X18 ,"19,845.00"
SYS DEV CONCET BMC 60ML ,"19,845.00"
SYSTEM LIFESITE HEMODIAL,"19,845.00"
GUIDE INBONE FT/ANKLE PR,"19,845.00"
KIT ACCESSORY CONN      ,"19,873.00"
PLATE FOOT RAD ALUM     ,"19,905.00"
CATH ULTSND 10F 3D REPR ,"19,912.00"
CATH FRZR MAX F5        ,"19,950.00"
SUPPLY                  ,"20,000.00"
SET LD XTRT MECH DIL 9F ,"20,052.00"
SET LD XTRT MECH DIL 11F,"20,052.00"
SET LD XTRT MECH DIL 13F,"20,052.00"
CLAMP EX FX SGL PIN     ,"20,069.00"
KNEE TOTAL POST LGE CUT ,"20,129.00"
GUIDE CUSTOM KNEE SIGNAT,"20,129.00"
GUIDE KNEE SIGNTRE CUSTO,"20,129.00"
BLOCK CUSTM OXFORD XSM  ,"20,129.00"
GW FLTR EZ SYS 190      ,"20,162.00"
CATH FLWGT 8F 95CM GDBLN,"20,174.00"
CATH FLWGT 8F 85CM GDBLN,"20,174.00"
CATH 8X95CM FLOWGATE    ,"20,174.00"
CATH 8X85CM FLOWGATE    ,"20,174.00"
CATH BLN OTW 4X100X130  ,"20,213.00"
CATH OTW LTNX 5X100X130 ,"20,213.00"
CATH OTW LTNX 5X40X130  ,"20,213.00"
CATH OTW LTNX 6X100X130 ,"20,213.00"
CATH OTW LTNX 6X60X130  ,"20,213.00"
CTHEP LSSO 7F 20 6 20P  ,"20,296.00"
CTHEP LSSO 7F 25 8 20P  ,"20,296.00"
CATH EP 7FR 15MM DFLC 12,"20,296.00"
CATH EP 7FR 20MM DFLC   ,"20,296.00"
ARCH EXFX CMPS 90D 150  ,"20,341.00"
RING E FX 180MM TL-HAX 5,"20,345.00"
FXTR WRST EXFX 3/4 200MM,"20,361.00"
CATHETER BLNDIL 4.5X8MM ,"20,378.00"
CATH BLNDIL .014IN 3X8MM,"20,378.00"
CATH BLNDIL .014IN 3.5X8,"20,378.00"
CATH BLNDIL 4MM 135CM   ,"20,378.00"
CATH BLNDL .014IN 4X12MM,"20,378.00"
CATH BLNDL .014IN 4.5X12,"20,378.00"
CATH BLN.014IN 6F 5MM135,"20,378.00"
CATH BALLOON OSTIAL 6.0M,"20,378.00"
CATH BLN OSTIAL 6F 6X17 ,"20,378.00"
CATH BALLOON OSTIAL 7.0M,"20,378.00"
CATH BLN PTCA DL 17X5MM ,"20,378.00"
CATH BLN PTCA DL 17X7MM ,"20,378.00"
CATH ADMRL 6F 6X60X130  ,"20,378.00"
CATH ADMRL 7F 7X80X130  ,"20,378.00"
CATH FRZR X1 6 RED      ,"20,378.00"
CATHETER MICRO PHENOM 27,"20,378.00"
UNIT ESCPC POLY 110CM   ,"20,428.00"
PIN NVG PRCSN 150X3MM   ,"20,459.00"
SEXT EXFX CMPR LNG LG   ,"20,477.00"
DRILL SURG CANN FLX SHFT,"20,480.00"
BSKT RTEVL 16F BYRD WRKS,"20,492.00"
MOLD TIB SPCR CMNT 75MM ,"20,525.00"
CTHEP LSSO 7F 15 4.5 20P,"20,541.00"
CATHETER MICRO PHENOM 17,"20,622.00"
SET LD XTRT EVOL SHRT11F,"20,671.00"
CLAMP EXFX SGL PIN      ,"20,681.00"
DEV EXFX SPL DBL RNG    ,"20,681.00"
SET AB WALL CLOSURE STER,"20,753.00"
SHAFT ANGIO 5.0X100     ,"20,786.00"
CATH BLNDIL 6F 137CM    ,"20,786.00"
PLATE EX FIX 200MM      ,"20,786.00"
CATH BLN 5FR 5X130X40MM ,"20,800.00"
CATH BLN 5FR 5X130X60MM ,"20,800.00"
CATH BLN 6FR 4X130X100MM,"20,800.00"
CATH BLN 5FR 6X130X40MM ,"20,800.00"
CATH BLN 5FR 7X130X60MM ,"20,800.00"
HANDLE HEX CPLNG RCHT SC,"20,802.00"
SYS BX BN MRW STIM      ,"20,838.00"
EBBKDE PLNTR FASC RELSE ,"20,851.00"
BLADE ARTHSCP ENDO BLADE,"20,851.00"
REAMER SURG CNTOR 60MM  ,"20,854.00"
CATH ACUTHRM 8 PIN 8IN  ,"20,948.00"
ELECTRODE CATH ELTX 8PIN,"20,948.00"
PROBE SURG OD1.5MM DEKOM,"20,979.00"
PROBE SURG 9IN 17GA DKMP,"20,979.00"
PROBE SURG 3X19GA DEKOM ,"20,979.00"
CTHLSR TRBO OW 1.4X150  ,"21,000.00"
CTHLSR TRBO OW 1.7X150  ,"21,000.00"
CTHLSR TRBO OW 2X150    ,"21,000.00"
CTHLSR TRBO OW 2.3X135  ,"21,000.00"
CATH REPRFSN.032X3.4X154,"21,030.00"
CATH REPRFSN.041X4.1X141,"21,030.00"
SPLNT VSP ORTHG CA CSTM ,"21,112.00"
RINGE EXFX ASMBLY 160MM ,"21,146.00"
RING EX FIX CMPS 200MM  ,"21,157.00"
RING EXFX COMP 150X.5   ,"21,157.00"
RING EXFX COMP 150X5/8  ,"21,157.00"
PLATE FT EX FX 160MM    ,"21,168.00"
CATH OTW LTNX 5X60X130  ,"21,193.00"
CATH OTW LTNX 5X80X130  ,"21,193.00"
CATH BLN 5FR 5X130X100MM,"21,193.00"
TRAY INTRO KPHPK AD 15/2,"21,193.00"
CATH BLN TRU 20MM 11F   ,"21,193.00"
CATH PRFSN 110CM 18MM11F,"21,193.00"
CONN EXFX UNV ROD       ,"21,225.00"
KIT DIL SEAL INST 50MM  ,"21,244.00"
SMART COIL DETCHMNT HAND,"21,301.00"
COIL EMBL 47CM 14MM     ,"21,351.00"
BIT DRILL TRGN 125X6.4MM,"21,356.00"
VALVE SHNT 33.3 CSF 18.5,"21,409.00"
CATH FRZR-X3 7F 55MM    ,"21,438.00"
CATH BLN 5FR 6X130X80MM ,"21,489.00"
APPLICATOR THERBLTN 17CM,"21,518.00"
IRRIGATOR SUC 8MM       ,"21,519.00"
FORCEPS SURG 9.8IN LOPR ,"21,568.00"
STYLUS DJD CUSTOM INSERT,"21,568.00"
RING MODULAR 5/8 220MM  ,"21,568.00"
RING MODULAR 5/8 200MM  ,"21,568.00"
CATHETER BLNOCC 3IN 7IN ,"21,650.00"
BLN OCL HGLD 2.8X7X150  ,"21,650.00"
BLN OCL HGLD 4X7X150    ,"21,650.00"
MOLD SPCR FEM 67X44 KASM,"21,682.00"
PLATE FT/ANKL EXFX 180MM,"21,830.00"
CATH OTW LTNX 4X40X130  ,"21,830.00"
CATH OTW LTNX 4X60X130  ,"21,830.00"
CATH OTW LTNX 4X80X130  ,"21,830.00"
CATH OTW LTNX 6X40X130  ,"21,830.00"
CATH OTW LTNX 6X80X130  ,"21,830.00"
CATH RFLX 5F 115X8CM    ,"21,927.00"
CATH RFLX 5F 130X8CM    ,"21,927.00"
DEV MYOSURE TISS REM XL ,"21,927.00"
DEVICE TISS REMVL MYOS  ,"21,927.00"
SYSTEM PRB W/CTH 20MM   ,"21,927.00"
SYSTEM PRB W/CTH 17MM   ,"21,927.00"
SYSTEM PRB W/CTH 14MM   ,"21,927.00"
THRMB L120CM L30CM TRELL,"21,998.00"
CATH INF TRLS BVT808015 ,"21,998.00"
TRELLIS 6FR 30CMX120CM P,"21,998.00"
CATH THRMB INFS 80CM 8FR,"21,998.00"
RAIL 300MM EX FIX ADLT  ,"22,008.00"
RAIL LRS PED 250MM      ,"22,008.00"
ADULT RAIL 15CM TITANIUM,"22,024.00"
STRUT EXFX 99-122MM TL-H,"22,041.00"
PATIENT REMOTE SPONAL CO,"22,057.00"
FUBER KASWER GRNLGHT MOX,"22,057.00"
CLAMP EXFX T FX LG      ,"22,110.00"
TRANSLATION/ROTATION DEV,"22,194.00"
KIT BN 14MM SM SYNFLATE ,"22,253.00"
KIT TRJ GD NAVIGUS EXT  ,"22,302.00"
DILATOR SURG PRB 1      ,"22,319.00"
DILATOR SURG SPN 2      ,"22,319.00"
DILATOR SURG SPN 3      ,"22,319.00"
LASER FIBER XPEEDA DISP ,"22,320.00"
RING EXFX FL CIRC 180MM ,"22,380.00"
RING EXFX FL CIRC 205MM ,"22,380.00"
RING EXFX FL CIRC 230MM ,"22,380.00"
RING EXFX FL CIRC 155MM ,"22,380.00"
RING EXFX 2/3 130MM     ,"22,380.00"
SEPARATOR THRMB 175CM .0,"22,410.00"
RING EXFX CIRC 2/3 180MM,"22,452.00"
RING EXFX 2/3 205MM     ,"22,452.00"
STENT GFT ILIAC 22-14-45,"22,454.00"
RAIL EX FIX 400MM AL ADV,"22,456.00"
RAIL 400MM EXT FIX COMP ,"22,456.00"
BLOCK ALIGNMENT TIB TAL ,"22,465.00"
KIT PROCALLOOUS SHORT EX,"22,485.00"
KIT INST OSTEOLYSIS     ,"22,497.00"
CLAMP SURG PIN HLD LNG  ,"22,624.00"
DEVICE XCLOSE POLY BANDS,"22,624.00"
PROGRAMMER PT REMOTE    ,"22,660.00"
RAIL FX 300MM RAD TRNS A,"22,766.00"
CATH OCC TRNSFM 4X10MM  ,"22,823.00"
KIT ATSBWL BN MRW PRC   ,"22,823.00"
CATH NAV THRMCL D SHAP  ,"22,823.00"
CATH BLNOCC SEPTR 4X10MM,"22,823.00"
SCEPTER C OCLSN BLN 4X15,"22,823.00"
SCEPTER C OCLSN BLN 4X20,"22,823.00"
KIT ANGEL BMC US TRAY   ,"22,823.00"
CLAMP EXFX ILZ AD A SWVL,"22,926.00"
RING EXFX TAYL FRM 230MM,"22,954.00"
CATH BLN 5FR 4X130X40MM ,"22,971.00"
KIT REMOTE CNTRL PRCSN  ,"23,021.00"
STRUT EXFX FSTFX 91-121 ,"23,025.00"
PLATE EXFX 160MM FTPLT  ,"23,097.00"
HNDPC MIL1              ,"23,100.00"
CATH C THRMCL SF UNDIR  ,"23,117.00"
PLATE EX FIX 140MM RINGF,"23,143.00"
CATH REFLEX 5F 125CM STR,"23,149.00"
KIT SUT MNSCL ROOT REPR ,"23,182.00"
BAR EXFX AL 406MM MED   ,"23,198.00"
BAR EXFX COMP 508MM LNG ,"23,198.00"
CATH OCC HPRGLD 3X15MM  ,"23,337.00"
CATHETER BLNOCC 3MM 10MM,"23,337.00"
BLN OCL HGLD 2.8X4X150  ,"23,337.00"
CLAMP EXFX SGL SWVL     ,"23,470.00"
CLAMP EXFX SWVL DBL     ,"23,470.00"
CLAMP EXFX PIN DBL      ,"23,470.00"
CLAMP EXFX UNV SWVL     ,"23,470.00"
CATH REPRFSN.026X2.8X154,"23,475.00"
BIT DRL 489X6MM CANN TPR,"23,539.00"
CLAMP EXFX HXFX PDL     ,"23,606.00"
SET SPINAL MAXACCESS 4 D,"23,638.00"
BLN OCL HGLD 4X10X150   ,"23,638.00"
CATH BLN 5FR 5X130X80MM ,"23,638.00"
CATH BLN 5FR 4X130X80MM ,"23,638.00"
CATH BLN 5FR 7X130X40MM ,"23,638.00"
MODULAR 5/8 RING 160MM  ,"23,638.00"
BLADE MYOSR TIS REM LITE,"23,644.00"
FIXATOR EXFIX 500000    ,"23,695.00"
CATH BLN 5FR 5X130X150MM,"23,712.00"
CATH BLN 5FR 6X130X150MM,"23,712.00"
CATH INF TRLS BVT808030 ,"23,758.00"
KIT ACC WING SHIM SPIN  ,"23,793.00"
BALLOON HYPERGLIDE OCC. ,"23,827.00"
CLAMP PIN HOLDING F/3DX ,"23,871.00"
KIT SURG MXCESS 3214000 ,"23,899.00"
RING EXFX HLF CIRC 130MM,"23,958.00"
RING EXFX HLF CIRC 180MM,"23,958.00"
RING EXFX HLF CIRC 205MM,"23,958.00"
RING EXFX HLF CIRC 230MM,"23,958.00"
RING 180MM FULL CIRC EX ,"24,030.00"
RING EXFX 205MM FLL RNG ,"24,030.00"
DEVICE EMBOSHLD NAV6 LG ,"24,046.00"
SYSTEM EMBL PRTC SM EMBS,"24,046.00"
CONNECTOR TRANSLACE SPIN,"24,046.00"
RING EXFX 5/8 150MM     ,"24,151.00"
BAR EXFX HXFX CONN      ,"24,151.00"
CATH ADMRL 5F 4X80X130  ,"24,290.00"
CATH ADMRL 6F 5X40X130  ,"24,290.00"
CATH INPCT ADMR 5X60X130,"24,290.00"
CATH ADMRL 6F 5X80X130  ,"24,290.00"
CATH ADMRL 6F 6X40X130  ,"24,290.00"
CATH ADMRL 7F 7X40X130  ,"24,290.00"
CATH ADMRL 6F 6X80X130  ,"24,290.00"
SET LD XTRT EVOL RL 9F  ,"24,372.00"
CATH OCC TRNSFM 4X10    ,"24,372.00"
CATH OCC TRNSFM 3X5MM   ,"24,372.00"
CATH OCC TRNSFM 4X7MM   ,"24,372.00"
CATH OCCL 3X5MM TRAN    ,"24,372.00"
CATH OCCL 4X7MM TRAN    ,"24,372.00"
CATH OCCL 4X10MM TRAN   ,"24,372.00"
SHEATH DILATOR TIGHTRAIL,"24,372.00"
TOOL MECHANICAL SHRT 11F,"24,372.00"
CATHETER BLN 9FR CRTD PR,"24,372.00"
MOLD HEAD FEM STG1 48MM ,"24,437.00"
KIT NRSTM SRSCN RCHRGR  ,"24,453.00"
CATH AXNT SPHR APL 4-5CM,"24,453.00"
CATH AXNT SPHR APL 5-6CM,"24,453.00"
SYS EMBL RX AC 5.5X300  ,"24,453.00"
SYS EMBL RX AC 6.5X300  ,"24,453.00"
SYS EMBL RX AC 7.5X300  ,"24,453.00"
SET TUBING EXPAND IBD TL,"24,453.00"
CIRCUIT XCRPRL W/BBLTRP ,"24,453.00"
CIRCUIT W/PMP HD BBLTRP ,"24,453.00"
KIT IMPLNTULTRA DRIVE   ,"24,453.00"
FIBER LSR FLX NEURO     ,"24,453.00"
CATH EP N175TCFHI       ,"24,453.00"
FLTR EMB ACNET RX5.5 190,"24,453.00"
FLTR EMB ACNET RX6.5 190,"24,453.00"
CARDIODRIVE QUIKCAS NIOB,"24,453.00"
FLTR EMB ACNET RX7.5 190,"24,453.00"
CTHGD TRBSTR 8F 110     ,"24,453.00"
CTHGD TRBSTR 7F 110     ,"24,453.00"
KIT CASE FLEX OPTN 11   ,"24,453.00"
KIT FLEX CS OPTN 7      ,"24,453.00"
SPHERICAL APPLICATOR 4-5,"24,453.00"
SPHERICAL APPLICATOR 3-4,"24,453.00"
SCOPE URT 9.5FR2.7FR3.6F,"24,453.00"
FLEX TO-LX DRIVE        ,"24,453.00"
RECHARGER INTELLUS 97755,"24,453.00"
KIT INST FLEX #3 MDRBCTS,"24,453.00"
KIT FLX-LX #2 MDRBTCS   ,"24,453.00"
RNG X FIX 120MM HEX FULL,"24,513.00"
RING HEX FULL 100MM     ,"24,513.00"
BIT DRL RECON 489X6MM   ,"24,518.00"
SYSTEM SPRTR 8 IND 150CM,"24,542.00"
CATH NVSTR CRV D 7.5F   ,"24,675.00"
CATH NVSTR CRV F 7.5F   ,"24,675.00"
CATH GD INTRCRAN 125CM  ,"24,779.00"
CATH DIST 5F 115CM STRHT,"24,779.00"
RAIL 350MM EX FIX LMB RE,"24,779.00"
CATH BLN 5FR 4X130X40MM ,"24,800.00"
PLATE U EXFX 80MM       ,"24,890.00"
PLATE U EXFX 105MM      ,"24,890.00"
PLATE U EXFX 130MM      ,"24,890.00"
STRUT EX FX MEDIUM TLR  ,"24,894.00"
STRUT EX FX SHORT TLR   ,"24,894.00"
STRUT EXFX MED SHT TLT  ,"24,894.00"
STRUT ESFX MD 15 DEG    ,"24,894.00"
SUPPLY                  ,"25,000.00"
CATH THRMB REPRFSN 153CM,"25,046.00"
CATH REPERF .054 5F 136 ,"25,046.00"
PRB MAZE ABL PRB MX1    ,"25,137.00"
ENDOSCOPE CHANN DISP    ,"25,243.00"
BALLOON HYPERGLIDE OCC. ,"25,252.00"
CATH BLN 5FR 4X130X100MM,"25,269.00"
CATHETER 130CM OD 6.0F 4,"25,432.00"
STRUT EX FX 114-184MM TL,"25,432.00"
RING EX FIX 180MM       ,"25,432.00"
KIT VASC SPY ELITE 1 VL ,"25,520.00"
ROD EXFX TLSCP ILZ 200MM,"25,579.00"
RING EXFX HXFX UNV ADPT ,"25,579.00"
CATH HMDL BFLO DRMX 24CM,"25,676.00"
CATH HMDL BFLO DRMX 28CM,"25,676.00"
CATH BLN 4X150MMX130CM  ,"25,676.00"
CATH BLN 5X150MMX130CM  ,"25,676.00"
CATH BLN 6X150MMX130CM  ,"25,676.00"
CATH BLN 5FR 5X130X150MM,"25,676.00"
CATH BLN 5FR 6X130X150MM,"25,676.00"
CATH BLN 5FR 4X130X150MM,"25,676.00"
RING ANT HLF EXFX 160MM ,"25,676.00"
RING EX FX FULL 160MM   ,"25,676.00"
RNG FULL 180MM EX FIX   ,"25,676.00"
RNG HLF ANT 180MM EX FX ,"25,676.00"
RNG ANT HLF 140MM EX FX ,"25,676.00"
RING FULL 140MM EX FIX  ,"25,676.00"
RING HALF 160MM ANT     ,"25,676.00"
STRUT EXFIX 158-318MM TL,"25,758.00"
CATH VIA CX FLX 150CM   ,"26,002.00"
CATH VIA CX STD 150CM   ,"26,002.00"
CATH ABL THRMCL CRV D-F ,"26,051.00"
PRB MAZE ABL PRB LHP2   ,"26,082.00"
PRB MAZE ABL PRB MCR1   ,"26,082.00"
RCHRGR STM ANTNA BEL    ,"26,084.00"
CATH BLN 5FR 6X130X120MM,"26,084.00"
CATH BLN 5FR 5X130X120MM,"26,084.00"
CATH BLN 5FR 4X130X120MM,"26,084.00"
GUIDE SRG CSTM PTSPC PLN,"26,142.00"
CATHETER IABP 8FR PRFL 4,"26,250.00"
CATH US OD8FR L110CM INT,"26,250.00"
CATH EP L160 HALO ABLT  ,"26,279.00"
KIT YLW NMTB TRIAX EXFX ,"26,301.00"
CTHABL HALO-360 28      ,"26,312.00"
STRUT SHRT TLT EXFX     ,"26,387.00"
CATH LASSO NAV GREEN MAP,"26,410.00"
CATH EP LSSO 7FR 22 PIN ,"26,410.00"
CATH EP OD7FR INQ 81683 ,"26,410.00"
RAIL BDY EXFX CMPLT LNG ,"26,460.00"
RING EXFX 2/3 105MM     ,"26,468.00"
SET LD XTRT EVOL RL 11F ,"26,654.00"
SET LD XTRT EVOL RL 13F ,"26,654.00"
SET SPNL MXCESS DISP    ,"26,703.00"
ASMBLY CLAMP RAIL 3HL   ,"26,736.00"
CATH ADMRL 5F 4X120X130 ,"26,736.00"
CATH ADMRL 6F 5X120X130 ,"26,736.00"
CATH ADMRL 7F 6X120X130 ,"26,736.00"
SET NEURO 59 MIC TI CMPL,"26,866.00"
TEMPLATE SZ CMPLT ST MIC,"26,866.00"
MODL ANTM CMF PRPLN MNDB,"26,884.00"
CATHETER CRYABL FRZR 1  ,"26,899.00"
CATHETER CRYABL FRZR 3  ,"26,899.00"
CATHETER CRYABL FRZR 5  ,"26,899.00"
PLATE EX FIX 180MM TRUEL,"26,899.00"
CATH OTW LTNX 5X40X75   ,"26,899.00"
CATH OTW LTNX 6X40X75   ,"26,899.00"
CATH OTW LTNX 5X6075    ,"26,899.00"
CATH OTW LTNX 6X60X75   ,"26,899.00"
CATH OTW LTNX 5X80X75   ,"26,899.00"
CATH OTW LTNX 5X100X75  ,"26,899.00"
CATH OTW LTNX 6X100X75  ,"26,899.00"
CATH OTW LTNX 4X10X75   ,"26,899.00"
CATH OTW LTNX 4X40X75   ,"26,899.00"
CATH OTW LTNX 4X60X75   ,"26,899.00"
CATH OTW LTNX 4X80X75   ,"26,899.00"
CATH OTW LTNX 6X80X75   ,"26,899.00"
PLATE RNG TRLCK 160 EXFX,"26,899.00"
CATH FRZR-X5 7F 60MM    ,"26,899.00"
CATHETER ABL 115CM 7FR P,"26,899.00"
CATHETER EP 4MM 7X115   ,"26,899.00"
CATHETER GD AXS 115CM   ,"26,899.00"
RNG X FIX 120MM HEX FULL,"26,964.00"
CTHABL HALO-360 25      ,"27,094.00"
CATH SILVERHAWK LSF     ,"27,103.00"
RING EX FIX 140MM TRUELO,"27,144.00"
CATH ANGJT SPRFLX SYS 4F,"27,225.00"
SYSTEM RAIL KN HNG TI   ,"27,306.00"
CATH BLN DIL ACCLRNT EUS,"27,328.00"
EVACUATOR DRN SBDRL PRT ,"27,357.00"
CATH GD RPRFSN MAX 139CM,"27,551.00"
STRUT EXFX XSH 75-96MM  ,"27,551.00"
LEAD PCNG 78CM 6FR BIP S,"27,632.00"
SHEATH TGHT RAIL 11 FR  ,"27,632.00"
SHEATH TGHT RAIL 13 FR  ,"27,632.00"
CATHETER THRMB 120CM 6FR,"27,680.00"
CATH SEPTR OCL XC 4X11MM,"27,714.00"
CTHEP RFLXSPRL DD 7F 141,"27,714.00"
ARCH FT CARBON FIBER 180,"27,714.00"
CATH OTW INTVN 1.6X1.1MM,"27,714.00"
CATH INTVN XER S6 106CM ,"27,714.00"
CATHETER CRSSR C6-154CM ,"27,714.00"
CATH INTVN .014X.063IN 5,"27,714.00"
CATH THRMB 120CM 6FR TRL,"27,717.00"
DEVICE LNTHNR MNIRL EXFX,"27,821.00"
RING FL CARBON FIBER 155,"27,877.00"
TRAY INST FT PLT TAB RNG,"27,942.00"
CTHEP LSSO 7F 25-15 262 ,"27,942.00"
FORCEPS SURG 400MM PLVC ,"27,978.00"
CATH SILVERHAWK MSF     ,"27,985.00"
CATH ABILATION RFA CHNL ,"28,040.00"
RING FULL TRLCK EXFX 160,"28,121.00"
RING EXFX 2/3 ID130MM   ,"28,203.00"
CLAMP ASBLY 3HL UPR RAIL,"28,284.00"
RING EXFX 2/3 80MM      ,"28,333.00"
DEV EXFX LOB XSHRT 75MM ,"28,333.00"
RING FT EXFX LNG 180MM  ,"28,333.00"
RING FT EXFX SHRT 155MM ,"28,333.00"
CTHABL HALO-360 18      ,"28,382.00"
CTHABL HALO-360 22      ,"28,382.00"
CTHABL HALO-360 31      ,"28,382.00"
RNG FL CARBON FIBER 180 ,"28,434.00"
CATH ANGJT XVG SYSTEM   ,"28,447.00"
RING EXFX TLT SP 155MM  ,"28,529.00"
RING EX FIX 160MM TL-HEX,"28,582.00"
CATH INTVN OTW CROSSER  ,"28,610.00"
CTHGD CROSSER 14S       ,"28,610.00"
CATH TVN OTW CROSSER    ,"28,610.00"
CATH CXR 14S RX 106CM   ,"28,610.00"
NEEDL ASP BN MAR        ,"28,720.00"
KIT INST MNDB RECON     ,"28,806.00"
STRUT EXFX ST TLSCPC 119,"28,829.00"
CLAMP EXFX BALL JNT LG  ,"28,913.00"
MOLD SPACER BN CMNT 75MM,"28,953.00"
LASER FBR GRNLT HPS 120W,"29,100.00"
RING EX FIX 155MM 2/3   ,"29,100.00"
RING EXFX 2/3 ID105MM   ,"29,100.00"
ENDOSCOPE SYSTEM FBROP M,"29,106.00"
BALLOON DRUG COAT 6X150 ,"29,181.00"
BALLOON DRUG COAT 5X150 ,"29,181.00"
CATH ADMXTRN 4X150 130CM,"29,181.00"
INSTRUMENT ORTHO L470MM ,"29,210.00"
CATH INFS MIC 1.9F 3.0CM,"29,263.00"
STRUT EXFX XX-S 59-76MM ,"29,263.00"
STRUT EXFX LNG 169-283MM,"29,263.00"
STRUT EXFX SHRT 90-125MM,"29,263.00"
STRUT EXFX MED 116-178MM,"29,263.00"
CATHETER VASCLR ARC 160 ,"29,263.00"
CATH EP NAV CRV F 2-6-2 ,"29,279.00"
CATH EP NAV CRV D 2-6-2 ,"29,279.00"
OXYGENATOR QUADROX-ID PE,"29,344.00"
CTHEP NVS DS7FD8 TCP174 ,"29,344.00"
CTHEP NVS DS7FF8 TCP174 ,"29,344.00"
SONABLATE INSERTION PACK,"29,344.00"
DEV EXFX DRV UNIT       ,"29,389.00"
HNDPC MIR1              ,"29,400.00"
MODEL ANTM ACRYL BN     ,"29,572.00"
DSCTR ARTC TIP 27X8     ,"29,621.00"
SHEATH LSR CLR 16F      ,"29,900.00"
SHTH LSR CLR 12F        ,"29,900.00"
SHTH LSR CLR 14F        ,"29,900.00"
RING EXFIX 2/3 180MM    ,"29,996.00"
RNG EX FX 230M 2/3 RNG  ,"29,996.00"
RING 205MM HALF CIRC EX ,"29,996.00"
SUPPLY                  ,"30,000.00"
INST PRFS DCMPRS HP DISP,"30,159.00"
STRUT EXFX FSTFX 143-205,"30,159.00"
STRUT EXFX FSTFX 116-152,"30,159.00"
STRUT EXFX FSTFX 195-311,"30,159.00"
SYSTEM SPRTR 8 IND 150CM,"30,241.00"
EVACUATOR CRNTMY SBDRL  ,"30,273.00"
RING EXFX FL CIRC 130MM ,"30,485.00"
MOLD STEM FEM STG1 125X9,"30,550.00"
MOLD STEM STG1 13X145MM ,"30,550.00"
MOLD STEM STG1 11X135MM ,"30,550.00"
ELCTRD RITA 3-5CMX25CM  ,"30,550.00"
RAIL EXFX FT/ANK FRM SP ,"30,567.00"
CTHLSR TRBO OW 2.5X120  ,"30,567.00"
CATH THRMCL CRV FJ 8FR  ,"30,618.00"
CATH THRMCL CRV DJ 8FR  ,"30,618.00"
CHARGER KIT SPINAL COLUM,"30,632.00"
DEVICE OCC 3-8MM VSL    ,"30,811.00"
DEVICE POD 5 OCL 30CM   ,"30,811.00"
DEVICE POD 6 OCL 50CM   ,"30,811.00"
DEVICE POD 8 OCL 60CM   ,"30,811.00"
ABTMNT COCLR DRMLOC 10  ,"30,816.00"
DEV MECH XTRT TGHTRL 9F ,"30,893.00"
